symbol,start_date,end_date,digit_type,mad,target
KRW-ELF,2022-12-31-00:00,2023-01-01-00:00,first,0.016208890816008358,TA
KRW-ELF,2022-12-31-00:00,2023-01-01-00:00,second,0.02144670421718429,TA
KRW-ELF,2022-12-30-00:00,2022-12-31-00:00,first,0.012752621845033521,TA
KRW-ELF,2022-12-30-00:00,2022-12-31-00:00,second,0.011875556857821452,TA
KRW-ELF,2022-12-29-00:00,2022-12-30-00:00,first,0.01736694452969859,TA
KRW-ELF,2022-12-29-00:00,2022-12-30-00:00,second,0.018494278015164706,TA
KRW-ELF,2022-12-28-00:00,2022-12-29-00:00,first,0.025569169642600014,TA
KRW-ELF,2022-12-28-00:00,2022-12-29-00:00,second,0.023215217992848605,TA
KRW-ELF,2022-12-27-00:00,2022-12-28-00:00,first,0.025954846957934947,TA
KRW-ELF,2022-12-27-00:00,2022-12-28-00:00,second,0.030480267299392426,TA
KRW-ELF,2022-12-26-00:00,2022-12-27-00:00,first,0.045508612952976445,TA
KRW-ELF,2022-12-26-00:00,2022-12-27-00:00,second,0.04834930594665673,TA
KRW-ELF,2022-12-25-00:00,2022-12-26-00:00,first,0.04180321639135263,TA
KRW-ELF,2022-12-25-00:00,2022-12-26-00:00,second,0.03127890809273606,TA
KRW-ELF,2022-12-24-00:00,2022-12-25-00:00,first,0.03846988305801929,TA
KRW-ELF,2022-12-24-00:00,2022-12-25-00:00,second,0.021480267299392425,TA
KRW-ELF,2022-12-23-00:00,2022-12-24-00:00,first,0.02088222318578196,TA
KRW-ELF,2022-12-23-00:00,2022-12-24-00:00,second,0.026083179685412065,TA
KRW-ELF,2022-12-22-00:00,2022-12-23-00:00,first,0.018409326368395724,TA
KRW-ELF,2022-12-22-00:00,2022-12-23-00:00,second,0.02914482013892794,TA
KRW-ELF,2022-12-21-00:00,2022-12-22-00:00,first,0.02285377081284018,TA
KRW-ELF,2022-12-21-00:00,2022-12-22-00:00,second,0.02914482013892794,TA
KRW-ELF,2022-12-20-00:00,2022-12-21-00:00,first,0.020011541845699803,TA
KRW-ELF,2022-12-20-00:00,2022-12-21-00:00,second,0.026702246617881148,TA
KRW-ELF,2022-12-19-00:00,2022-12-20-00:00,first,0.02421555651911529,TA
KRW-ELF,2022-12-19-00:00,2022-12-20-00:00,second,0.02762258306514378,TA
KRW-ELF,2022-12-18-00:00,2022-12-19-00:00,first,0.021050554421487545,TA
KRW-ELF,2022-12-18-00:00,2022-12-19-00:00,second,0.020154616880137553,TA
KRW-ELF,2022-12-17-00:00,2022-12-18-00:00,first,0.023286390730754225,TA
KRW-ELF,2022-12-17-00:00,2022-12-18-00:00,second,0.03247966972353032,TA
KRW-ELF,2022-12-16-00:00,2022-12-17-00:00,first,0.01927456620422383,TA
KRW-ELF,2022-12-16-00:00,2022-12-17-00:00,second,0.0323750272693599,TA
KRW-ELF,2022-12-15-00:00,2022-12-16-00:00,first,0.02730638784007501,TA
KRW-ELF,2022-12-15-00:00,2022-12-16-00:00,second,0.0315506651533131,TA
KRW-ELF,2022-12-14-00:00,2022-12-15-00:00,first,0.025770829393840247,TA
KRW-ELF,2022-12-14-00:00,2022-12-15-00:00,second,0.030300376067983713,TA
KRW-ELF,2022-12-13-00:00,2022-12-14-00:00,first,0.02036999098694583,TA
KRW-ELF,2022-12-13-00:00,2022-12-14-00:00,second,0.021238735614467846,TA
KRW-ELF,2022-12-12-00:00,2022-12-13-00:00,first,0.01858583018689171,TA
KRW-ELF,2022-12-12-00:00,2022-12-13-00:00,second,0.018257690405041598,TA
KRW-ELF,2022-12-11-00:00,2022-12-12-00:00,first,0.022188893706687567,TA
KRW-ELF,2022-12-11-00:00,2022-12-12-00:00,second,0.016183336107434908,TA
KRW-ELF,2022-12-10-00:00,2022-12-11-00:00,first,0.019045678278894664,TA
KRW-ELF,2022-12-10-00:00,2022-12-11-00:00,second,0.02389400146513702,TA
KRW-ELF,2022-12-09-00:00,2022-12-10-00:00,first,0.03334694742037779,TA
KRW-ELF,2022-12-09-00:00,2022-12-10-00:00,second,0.03522997821406306,TA
KRW-ELF,2022-12-08-00:00,2022-12-09-00:00,first,0.02779139186482223,TA
KRW-ELF,2022-12-08-00:00,2022-12-09-00:00,second,0.029198234234431936,TA
KRW-ELF,2022-12-07-00:00,2022-12-08-00:00,first,0.013286390730754225,TA
KRW-ELF,2022-12-07-00:00,2022-12-08-00:00,second,0.01955066515331309,TA
KRW-ELF,2022-12-06-00:00,2022-12-07-00:00,first,0.0149076617993568,TA
KRW-ELF,2022-12-06-00:00,2022-12-07-00:00,second,0.011786365352211446,TA
KRW-ELF,2022-12-05-00:00,2022-12-06-00:00,first,0.026693894840755576,TA
KRW-ELF,2022-12-05-00:00,2022-12-06-00:00,second,0.023920453306019572,TA
KRW-ELF,2022-12-04-00:00,2022-12-05-00:00,first,0.028916117062977795,TA
KRW-ELF,2022-12-04-00:00,2022-12-05-00:00,second,0.025099016861327355,TA
KRW-ELF,2022-12-03-00:00,2022-12-04-00:00,first,0.02447167261853335,TA
KRW-ELF,2022-12-03-00:00,2022-12-04-00:00,second,0.029894531053598572,TA
KRW-ELF,2022-12-02-00:00,2022-12-03-00:00,first,0.02355067941296268,TA
KRW-ELF,2022-12-02-00:00,2022-12-03-00:00,second,0.03296492890751923,TA
KRW-ELF,2022-12-01-00:00,2022-12-02-00:00,first,0.019784726161715296,TA
KRW-ELF,2022-12-01-00:00,2022-12-02-00:00,second,0.022847408229865213,TA
KRW-ELF,2022-11-30-00:00,2022-12-01-00:00,first,0.013554048675872085,TA
KRW-ELF,2022-11-30-00:00,2022-12-01-00:00,second,0.026847408229865217,TA
KRW-ELF,2022-11-29-00:00,2022-11-30-00:00,first,0.022020562470981983,TA
KRW-ELF,2022-11-29-00:00,2022-11-30-00:00,second,0.01477701037594455,TA
KRW-ELF,2022-11-28-00:00,2022-11-29-00:00,first,0.03885556037335424,TA
KRW-ELF,2022-11-28-00:00,2022-11-29-00:00,second,0.01328870483394567,TA
KRW-ELF,2022-11-27-00:00,2022-11-28-00:00,first,0.017986951274616733,TA
KRW-ELF,2022-11-27-00:00,2022-11-28-00:00,second,0.016349815698999993,TA
KRW-ELF,2022-11-26-00:00,2022-11-27-00:00,first,0.019517068216597433,TA
KRW-ELF,2022-11-26-00:00,2022-11-27-00:00,second,0.027993748426703147,TA
KRW-ELF,2022-11-25-00:00,2022-11-26-00:00,first,0.019757497987626396,TA
