symbol,start_date,end_date,digit_type,mad,target
KRW-MANA,2022-12-31-00:00,2023-01-01-00:00,first,0.02108595517836686,TA
KRW-MANA,2022-12-31-00:00,2023-01-01-00:00,second,0.03566758825510501,TA
KRW-MANA,2022-12-30-00:00,2022-12-31-00:00,first,0.01702873505377238,TA
KRW-MANA,2022-12-30-00:00,2022-12-31-00:00,second,0.02505066515331309,TA
KRW-MANA,2022-12-29-00:00,2022-12-30-00:00,first,0.010895837272826414,TA
KRW-MANA,2022-12-29-00:00,2022-12-30-00:00,second,0.03171521799284861,TA
KRW-MANA,2022-12-28-00:00,2022-12-29-00:00,first,0.013227381045645685,TA
KRW-MANA,2022-12-28-00:00,2022-12-29-00:00,second,0.02872922870862088,TA
KRW-MANA,2022-12-27-00:00,2022-12-28-00:00,first,0.024637931612894293,TA
KRW-MANA,2022-12-27-00:00,2022-12-28-00:00,second,0.02727626087050237,TA
KRW-MANA,2022-12-26-00:00,2022-12-27-00:00,first,0.020626107086363893,TA
KRW-MANA,2022-12-26-00:00,2022-12-27-00:00,second,0.02152235538647244,TA
KRW-MANA,2022-12-25-00:00,2022-12-26-00:00,first,0.01978265392037065,TA
KRW-MANA,2022-12-25-00:00,2022-12-26-00:00,second,0.03318637863754641,TA
KRW-MANA,2022-12-24-00:00,2022-12-25-00:00,first,0.013417498951186128,TA
KRW-MANA,2022-12-24-00:00,2022-12-25-00:00,second,0.02278665518757409,TA
KRW-MANA,2022-12-23-00:00,2022-12-24-00:00,first,0.018235553628436083,TA
KRW-MANA,2022-12-23-00:00,2022-12-24-00:00,second,0.041994278015164706,TA
KRW-MANA,2022-12-22-00:00,2022-12-23-00:00,first,0.0344696003771887,TA
KRW-MANA,2022-12-22-00:00,2022-12-23-00:00,second,0.028550067577450978,TA
KRW-MANA,2022-12-21-00:00,2022-12-22-00:00,first,0.0144696003771887,TA
KRW-MANA,2022-12-21-00:00,2022-12-22-00:00,second,0.024229228708620886,TA
KRW-MANA,2022-12-20-00:00,2022-12-21-00:00,first,0.025142650066131707,TA
KRW-MANA,2022-12-20-00:00,2022-12-21-00:00,second,0.032994278015164705,TA
KRW-MANA,2022-12-19-00:00,2022-12-20-00:00,first,0.013521378997529124,TA
KRW-MANA,2022-12-19-00:00,2022-12-20-00:00,second,0.018684753107121217,TA
KRW-MANA,2022-12-18-00:00,2022-12-19-00:00,first,0.015514713294422186,TA
KRW-MANA,2022-12-18-00:00,2022-12-19-00:00,second,0.022622583065143788,TA
KRW-MANA,2022-12-17-00:00,2022-12-18-00:00,first,0.02211082843028052,TA
KRW-MANA,2022-12-17-00:00,2022-12-18-00:00,second,0.03148902469979722,TA
KRW-MANA,2022-12-16-00:00,2022-12-17-00:00,first,0.02693432461178453,TA
KRW-MANA,2022-12-16-00:00,2022-12-17-00:00,second,0.036489024699797215,TA
KRW-MANA,2022-12-15-00:00,2022-12-16-00:00,first,0.021459565411172367,TA
KRW-MANA,2022-12-15-00:00,2022-12-16-00:00,second,0.030564675869085366,TA
KRW-MANA,2022-12-14-00:00,2022-12-15-00:00,first,0.026627896646877956,TA
KRW-MANA,2022-12-14-00:00,2022-12-15-00:00,second,0.033054281552013655,TA
KRW-MANA,2022-12-13-00:00,2022-12-14-00:00,first,0.020626107086363896,TA
KRW-MANA,2022-12-13-00:00,2022-12-14-00:00,second,0.028667588255105007,TA
KRW-MANA,2022-12-12-00:00,2022-12-13-00:00,first,0.018534993084573577,TA
KRW-MANA,2022-12-12-00:00,2022-12-13-00:00,second,0.026863316662429006,TA
KRW-MANA,2022-12-11-00:00,2022-12-12-00:00,first,0.02242388197346247,TA
KRW-MANA,2022-12-11-00:00,2022-12-12-00:00,second,0.025863316662429005,TA
KRW-MANA,2022-12-10-00:00,2022-12-11-00:00,first,0.020144722307476364,TA
KRW-MANA,2022-12-10-00:00,2022-12-11-00:00,second,0.01672869912015933,TA
KRW-MANA,2022-12-09-00:00,2022-12-10-00:00,first,0.015639721173408346,TA
KRW-MANA,2022-12-09-00:00,2022-12-10-00:00,second,0.026451208027109603,TA
KRW-MANA,2022-12-08-00:00,2022-12-09-00:00,first,0.016568886961769422,TA
KRW-MANA,2022-12-08-00:00,2022-12-09-00:00,second,0.03072922870862088,TA
KRW-MANA,2022-12-07-00:00,2022-12-08-00:00,first,0.013562221258662481,TA
KRW-MANA,2022-12-07-00:00,2022-12-08-00:00,second,0.023698763822893494,TA
KRW-MANA,2022-12-06-00:00,2022-12-07-00:00,first,0.013818337358080555,TA
KRW-MANA,2022-12-06-00:00,2022-12-07-00:00,second,0.01855218521122312,TA
KRW-MANA,2022-12-05-00:00,2022-12-06-00:00,first,0.009710555385047275,TA
KRW-MANA,2022-12-05-00:00,2022-12-06-00:00,second,0.022724485145596662,TA
KRW-MANA,2022-12-04-00:00,2022-12-05-00:00,first,0.016568886961769416,TA
KRW-MANA,2022-12-04-00:00,2022-12-05-00:00,second,0.024875717996705862,TA
KRW-MANA,2022-12-03-00:00,2022-12-04-00:00,first,0.025602498158134663,TA
KRW-MANA,2022-12-03-00:00,2022-12-04-00:00,second,0.02787571799670586,TA
KRW-MANA,2022-12-02-00:00,2022-12-03-00:00,first,0.021363607964669486,TA
KRW-MANA,2022-12-02-00:00,2022-12-03-00:00,second,0.02588081017318894,TA
KRW-MANA,2022-12-01-00:00,2022-12-02-00:00,first,0.023417498951186128,TA
KRW-MANA,2022-12-01-00:00,2022-12-02-00:00,second,0.015950918191746957,TA
KRW-MANA,2022-11-30-00:00,2022-12-01-00:00,first,0.023973054506741684,TA
KRW-MANA,2022-11-30-00:00,2022-12-01-00:00,second,0.024327558670500713,TA
KRW-MANA,2022-11-29-00:00,2022-11-30-00:00,first,0.026750832284519455,TA
KRW-MANA,2022-11-29-00:00,2022-11-30-00:00,second,0.03143210797318728,TA
KRW-MANA,2022-11-28-00:00,2022-11-29-00:00,first,0.03008416561785279,TA
KRW-MANA,2022-11-28-00:00,2022-11-29-00:00,second,0.024126729052305902,TA
KRW-MANA,2022-11-27-00:00,2022-11-28-00:00,first,0.02063972117340835,TA
KRW-MANA,2022-11-27-00:00,2022-11-28-00:00,second,0.02248388369809299,TA
KRW-MANA,2022-11-26-00:00,2022-11-27-00:00,first,0.01783471522154166,TA
KRW-MANA,2022-11-26-00:00,2022-11-27-00:00,second,0.021097190401184344,TA
KRW-MANA,2022-11-25-00:00,2022-11-26-00:00,first,0.022605827296212508,TA
KRW-MANA,2022-11-25-00:00,2022-11-26-00:00,second,0.028636593780916063,TA
KRW-MANA,2022-11-24-00:00,2022-11-25-00:00,first,0.014395429600520676,TA
KRW-MANA,2022-11-24-00:00,2022-11-25-00:00,second,0.021503035415569496,TA
KRW-MANA,2022-11-23-00:00,2022-11-24-00:00,first,0.021881940504951364,TA
KRW-MANA,2022-11-23-00:00,2022-11-24-00:00,second,0.02005066515331309,TA
KRW-MANA,2022-11-22-00:00,2022-11-23-00:00,first,0.01219706628947796,TA
KRW-MANA,2022-11-22-00:00,2022-11-23-00:00,second,0.013041310177046194,TA
KRW-MANA,2022-11-21-00:00,2022-11-22-00:00,first,0.015471389937702763,TA
KRW-MANA,2022-11-21-00:00,2022-11-22-00:00,second,0.01665883085470022,TA
KRW-MANA,2022-11-20-00:00,2022-11-21-00:00,first,0.022679998072880528,TA
KRW-MANA,2022-11-20-00:00,2022-11-21-00:00,second,0.015705863016581705,TA
KRW-MANA,2022-11-19-00:00,2022-11-20-00:00,first,0.023249167715480537,TA
KRW-MANA,2022-11-19-00:00,2022-11-20-00:00,second,0.01637571799670586,TA
KRW-MANA,2022-11-18-00:00,2022-11-19-00:00,first,0.019201942432070837,TA
KRW-MANA,2022-11-18-00:00,2022-11-19-00:00,second,0.021380810173188942,TA
KRW-MANA,2022-11-17-00:00,2022-11-18-00:00,first,0.0139276589086776,TA
KRW-MANA,2022-11-17-00:00,2022-11-18-00:00,second,0.019437197311337324,TA
KRW-MANA,2022-11-16-00:00,2022-11-17-00:00,first,0.014058767129109508,TA
KRW-MANA,2022-11-16-00:00,2022-11-17-00:00,second,0.01227264447180181,TA
KRW-MANA,2022-11-15-00:00,2022-11-16-00:00,first,0.014229170606159743,TA
KRW-MANA,2022-11-15-00:00,2022-11-16-00:00,second,0.02028665518757409,TA
KRW-MANA,2022-11-14-00:00,2022-11-15-00:00,first,0.009485286705577816,TA
KRW-MANA,2022-11-14-00:00,2022-11-15-00:00,second,0.014863536579409625,TA
KRW-MANA,2022-11-13-00:00,2022-11-14-00:00,first,0.011195276728963912,TA
KRW-MANA,2022-11-13-00:00,2022-11-14-00:00,second,0.008903288454003361,TA
KRW-MANA,2022-11-12-00:00,2022-11-13-00:00,first,0.01472416947209174,TA
KRW-MANA,2022-11-12-00:00,2022-11-13-00:00,second,0.013363316662429004,TA
KRW-MANA,2022-11-11-00:00,2022-11-12-00:00,first,0.014779284657461249,TA
KRW-MANA,2022-11-11-00:00,2022-11-12-00:00,second,0.017153577539332727,TA
KRW-MANA,2022-11-10-00:00,2022-11-11-00:00,first,0.014360278826591653,TA
KRW-MANA,2022-11-10-00:00,2022-11-11-00:00,second,0.011258987276723061,TA
KRW-MANA,2022-11-09-00:00,2022-11-10-00:00,first,0.016641510733922407,TA
KRW-MANA,2022-11-09-00:00,2022-11-10-00:00,second,0.018611708030966855,TA
KRW-MANA,2022-11-08-00:00,2022-11-09-00:00,first,0.015052384106833171,TA
KRW-MANA,2022-11-08-00:00,2022-11-09-00:00,second,0.012564675869085367,TA
KRW-MANA,2022-11-07-00:00,2022-11-08-00:00,first,0.022619441383256958,TA
KRW-MANA,2022-11-07-00:00,2022-11-08-00:00,second,0.023889728712478138,TA
KRW-MANA,2022-11-06-00:00,2022-11-07-00:00,first,0.012138056604369429,TA
KRW-MANA,2022-11-06-00:00,2022-11-07-00:00,second,0.02187571799670586,TA
KRW-MANA,2022-11-05-00:00,2022-11-06-00:00,first,0.01171568151059043,TA
KRW-MANA,2022-11-05-00:00,2022-11-06-00:00,second,0.012508344670700167,TA
KRW-MANA,2022-11-04-00:00,2022-11-05-00:00,first,0.02170206742354597,TA
KRW-MANA,2022-11-04-00:00,2022-11-05-00:00,second,0.014507815082238612,TA
KRW-MANA,2022-11-03-00:00,2022-11-04-00:00,first,0.015588884071090214,TA
KRW-MANA,2022-11-03-00:00,2022-11-04-00:00,second,0.015319330858557472,TA
KRW-MANA,2022-11-02-00:00,2022-11-03-00:00,first,0.01547138993770276,TA
KRW-MANA,2022-11-02-00:00,2022-11-03-00:00,second,0.017008344670700164,TA
KRW-MANA,2022-11-01-00:00,2022-11-02-00:00,first,0.01754681761110397,TA
KRW-MANA,2022-11-01-00:00,2022-11-02-00:00,second,0.010738735614467847,TA
KRW-MANA,2022-10-31-00:00,2022-11-01-00:00,first,0.01186832641790691,TA
KRW-MANA,2022-10-31-00:00,2022-11-01-00:00,second,0.018992641098497777,TA
KRW-MANA,2022-10-30-00:00,2022-10-31-00:00,first,0.010457775850658305,TA
KRW-MANA,2022-10-30-00:00,2022-10-31-00:00,second,0.013929244323316103,TA
KRW-MANA,2022-10-29-00:00,2022-10-30-00:00,first,0.011331826453649862,TA
KRW-MANA,2022-10-29-00:00,2022-10-30-00:00,second,0.01723873561446785,TA
