symbol,start_date,end_date,digit_type,mad,target
KRW-MED,2022-12-31-00:00,2023-01-01-00:00,first,0.017358771946908182,TA
KRW-MED,2022-12-31-00:00,2023-01-01-00:00,second,0.028951208027109605,TA
KRW-MED,2022-12-30-00:00,2022-12-31-00:00,first,0.017102655847490118,TA
KRW-MED,2022-12-30-00:00,2022-12-31-00:00,second,0.0299512080271096,TA
KRW-MED,2022-12-29-00:00,2022-12-30-00:00,first,0.01361460536549566,TA
KRW-MED,2022-12-29-00:00,2022-12-30-00:00,second,0.028125267772492087,TA
KRW-MED,2022-12-28-00:00,2022-12-29-00:00,first,0.02848349714506375,TA
KRW-MED,2022-12-28-00:00,2022-12-29-00:00,second,0.0280984872728658,TA
KRW-MED,2022-12-27-00:00,2022-12-28-00:00,first,0.034039052700619306,TA
KRW-MED,2022-12-27-00:00,2022-12-28-00:00,second,0.025099016861327355,TA
KRW-MED,2022-12-26-00:00,2022-12-27-00:00,first,0.02336056150742225,TA
KRW-MED,2022-12-26-00:00,2022-12-27-00:00,second,0.02819876382289349,TA
KRW-MED,2022-12-25-00:00,2022-12-26-00:00,first,0.02558278372964447,TA
KRW-MED,2022-12-25-00:00,2022-12-26-00:00,second,0.03862311265360534,TA
KRW-MED,2022-12-24-00:00,2022-12-25-00:00,first,0.02421555651911529,TA
KRW-MED,2022-12-24-00:00,2022-12-25-00:00,second,0.03713712336937761,TA
KRW-MED,2022-12-23-00:00,2022-12-24-00:00,first,0.0193384921567568,TA
KRW-MED,2022-12-23-00:00,2022-12-24-00:00,second,0.04148902469979722,TA
KRW-MED,2022-12-22-00:00,2022-12-23-00:00,first,0.024880433625267897,TA
KRW-MED,2022-12-22-00:00,2022-12-23-00:00,second,0.03606467586908537,TA
KRW-MED,2022-12-21-00:00,2022-12-22-00:00,first,0.023951267836906837,TA
KRW-MED,2022-12-21-00:00,2022-12-22-00:00,second,0.03472922870862087,TA
KRW-MED,2022-12-20-00:00,2022-12-21-00:00,first,0.029542224149341694,TA
KRW-MED,2022-12-20-00:00,2022-12-21-00:00,second,0.03805428155201366,TA
KRW-MED,2022-12-19-00:00,2022-12-20-00:00,first,0.0282512399568252,TA
KRW-MED,2022-12-19-00:00,2022-12-20-00:00,second,0.039054281552013646,TA
KRW-MED,2022-12-18-00:00,2022-12-19-00:00,first,0.022936114172298596,TA
KRW-MED,2022-12-18-00:00,2022-12-19-00:00,second,0.033289981750912,TA
KRW-MED,2022-12-17-00:00,2022-12-18-00:00,first,0.020713891950076373,TA
KRW-MED,2022-12-17-00:00,2022-12-18-00:00,second,0.033992641098497776,TA
KRW-MED,2022-12-16-00:00,2022-12-17-00:00,first,0.026678208512366474,TA
KRW-MED,2022-12-16-00:00,2022-12-17-00:00,second,0.03054027083624138,TA
KRW-MED,2022-12-15-00:00,2022-12-16-00:00,first,0.019771112074670846,TA
KRW-MED,2022-12-15-00:00,2022-12-16-00:00,second,0.028097697315194587,TA
KRW-MED,2022-12-14-00:00,2022-12-15-00:00,first,0.017052343982001603,TA
KRW-MED,2022-12-14-00:00,2022-12-15-00:00,second,0.023772644471801812,TA
KRW-MED,2022-12-13-00:00,2022-12-14-00:00,first,0.028660000963559737,TA
KRW-MED,2022-12-13-00:00,2022-12-14-00:00,second,0.02214482013892794,TA
KRW-MED,2022-12-12-00:00,2022-12-13-00:00,first,0.03471210238956232,TA
KRW-MED,2022-12-12-00:00,2022-12-13-00:00,second,0.021349305946656724,TA
KRW-MED,2022-12-11-00:00,2022-12-12-00:00,first,0.023600991278451205,TA
KRW-MED,2022-12-11-00:00,2022-12-12-00:00,second,0.028198763822893484,TA
KRW-MED,2022-12-10-00:00,2022-12-11-00:00,first,0.024907661799356804,TA
KRW-MED,2022-12-10-00:00,2022-12-11-00:00,second,0.029198763822893492,TA
KRW-MED,2022-12-09-00:00,2022-12-10-00:00,first,0.02063154859061795,TA
KRW-MED,2022-12-09-00:00,2022-12-10-00:00,second,0.028153577539332737,TA
KRW-MED,2022-12-08-00:00,2022-12-09-00:00,first,0.019630009013054173,TA
KRW-MED,2022-12-08-00:00,2022-12-09-00:00,second,0.03321521799284861,TA
KRW-MED,2022-12-07-00:00,2022-12-08-00:00,first,0.02406083937045416,TA
KRW-MED,2022-12-07-00:00,2022-12-08-00:00,second,0.037215217992848604,TA
KRW-MED,2022-12-06-00:00,2022-12-07-00:00,first,0.028045435722895647,TA
KRW-MED,2022-12-06-00:00,2022-12-07-00:00,second,0.04728665518757409,TA
KRW-MED,2022-12-05-00:00,2022-12-06-00:00,first,0.03267999807288053,TA
KRW-MED,2022-12-05-00:00,2022-12-06-00:00,second,0.04728665518757409,TA
KRW-MED,2022-12-04-00:00,2022-12-05-00:00,first,0.03112265295681092,TA
KRW-MED,2022-12-04-00:00,2022-12-05-00:00,second,0.04828665518757409,TA
KRW-MED,2022-12-03-00:00,2022-12-04-00:00,first,0.03223376406792202,TA
KRW-MED,2022-12-03-00:00,2022-12-04-00:00,second,0.053064675869085365,TA
KRW-MED,2022-12-02-00:00,2022-12-03-00:00,first,0.02684653974807206,TA
KRW-MED,2022-12-02-00:00,2022-12-03-00:00,second,0.050198763822893476,TA
KRW-MED,2022-12-01-00:00,2022-12-02-00:00,first,0.017957650859183164,TA
KRW-MED,2022-12-01-00:00,2022-12-02-00:00,second,0.049064675869085375,TA
KRW-MED,2022-11-30-00:00,2022-12-01-00:00,first,0.01465154569993875,TA
KRW-MED,2022-11-30-00:00,2022-12-01-00:00,second,0.04128665518757409,TA
KRW-MED,2022-11-29-00:00,2022-11-30-00:00,first,0.013782936601201244,TA
KRW-MED,2022-11-29-00:00,2022-11-30-00:00,second,0.038286655187574084,TA
KRW-MED,2022-11-28-00:00,2022-11-29-00:00,first,0.020267657945117867,TA
KRW-MED,2022-11-28-00:00,2022-11-29-00:00,second,0.025702246617881147,TA
KRW-MED,2022-11-27-00:00,2022-11-28-00:00,first,0.021596115135858327,TA
KRW-MED,2022-11-27-00:00,2022-11-28-00:00,second,0.017994278015164705,TA
KRW-MED,2022-11-26-00:00,2022-11-27-00:00,first,0.013564293500007133,TA
KRW-MED,2022-11-26-00:00,2022-11-27-00:00,second,0.021158830854700213,TA
KRW-MED,2022-11-25-00:00,2022-11-26-00:00,first,0.01270722624696944,TA
KRW-MED,2022-11-25-00:00,2022-11-26-00:00,second,0.02365883085470022,TA
KRW-MED,2022-11-24-00:00,2022-11-25-00:00,first,0.026881940504951365,TA
KRW-MED,2022-11-24-00:00,2022-11-25-00:00,second,0.01352381666628626,TA
KRW-MED,2022-11-23-00:00,2022-11-24-00:00,first,0.016306670520905606,TA
KRW-MED,2022-11-23-00:00,2022-11-24-00:00,second,0.02321521799284861,TA
KRW-MED,2022-11-22-00:00,2022-11-23-00:00,first,0.030895837272826417,TA
KRW-MED,2022-11-22-00:00,2022-11-23-00:00,second,0.03768475310712121,TA
KRW-MED,2022-11-21-00:00,2022-11-22-00:00,first,0.019762939491880453,TA
KRW-MED,2022-11-21-00:00,2022-11-22-00:00,second,0.035144820138927946,TA
KRW-MED,2022-11-20-00:00,2022-11-21-00:00,first,0.022671825490090135,TA
KRW-MED,2022-11-20-00:00,2022-11-21-00:00,second,0.03338972871247813,TA
KRW-MED,2022-11-19-00:00,2022-11-20-00:00,first,0.009856824697038675,TA
KRW-MED,2022-11-19-00:00,2022-11-20-00:00,second,0.02493940809659332,TA
KRW-MED,2022-11-18-00:00,2022-11-19-00:00,first,0.06932487806971234,TA
KRW-MED,2022-11-18-00:00,2022-11-19-00:00,second,0.057989605682928255,TA
KRW-MED,2022-11-17-00:00,2022-11-18-00:00,first,0.09864638687651527,TA
KRW-MED,2022-11-17-00:00,2022-11-18-00:00,second,0.07798960568292826,TA
KRW-MED,2022-11-16-00:00,2022-11-17-00:00,first,0.06179777488709856,TA
KRW-MED,2022-11-16-00:00,2022-11-17-00:00,second,0.04740519711323531,TA
KRW-MED,2022-11-15-00:00,2022-11-16-00:00,first,0.027949728259343047,TA
KRW-MED,2022-11-15-00:00,2022-11-16-00:00,second,0.02168836950582178,TA
KRW-MED,2022-11-14-00:00,2022-11-15-00:00,first,0.02447984520132375,TA
KRW-MED,2022-11-14-00:00,2022-11-15-00:00,second,0.034667588255105006,TA
KRW-MED,2022-11-13-00:00,2022-11-14-00:00,first,0.05781317853465709,TA
KRW-MED,2022-11-13-00:00,2022-11-14-00:00,second,0.0452152179928486,TA
KRW-MED,2022-11-12-00:00,2022-11-13-00:00,first,0.024047225283409704,TA
KRW-MED,2022-11-12-00:00,2022-11-13-00:00,second,0.040225014734058206,TA
KRW-MED,2022-11-11-00:00,2022-11-12-00:00,first,0.040262216440863814,TA
KRW-MED,2022-11-11-00:00,2022-11-12-00:00,second,0.025759516865184618,TA
KRW-MED,2022-11-10-00:00,2022-11-11-00:00,first,0.04805360830568605,TA
KRW-MED,2022-11-10-00:00,2022-11-11-00:00,second,0.03542074314138221,TA
KRW-MED,2022-11-09-00:00,2022-11-10-00:00,first,0.028221939541391634,TA
KRW-MED,2022-11-09-00:00,2022-11-10-00:00,second,0.019028089418945144,TA
KRW-MED,2022-11-08-00:00,2022-11-09-00:00,first,0.029258879875834712,TA
KRW-MED,2022-11-08-00:00,2022-11-09-00:00,second,0.03905450146899427,TA
KRW-MED,2022-11-07-00:00,2022-11-08-00:00,first,0.04642416465429306,TA
KRW-MED,2022-11-07-00:00,2022-11-08-00:00,second,0.06062489932291494,TA
KRW-MED,2022-11-06-00:00,2022-11-07-00:00,first,0.09438388775482089,TA
KRW-MED,2022-11-06-00:00,2022-11-07-00:00,second,0.07356075304229108,TA
KRW-MED,2022-11-05-00:00,2022-11-06-00:00,first,0.06309083132095973,TA
KRW-MED,2022-11-05-00:00,2022-11-06-00:00,second,0.057624899322914924,TA
KRW-MED,2022-11-04-00:00,2022-11-05-00:00,first,0.07882833219926531,TA
KRW-MED,2022-11-04-00:00,2022-11-05-00:00,second,0.07123570019889833,TA
KRW-MED,2022-11-03-00:00,2022-11-04-00:00,first,0.0742155565191153,TA
KRW-MED,2022-11-03-00:00,2022-11-04-00:00,second,0.07052182579801089,TA
KRW-MED,2022-11-02-00:00,2022-11-03-00:00,first,0.042439568301851575,TA
KRW-MED,2022-11-02-00:00,2022-11-03-00:00,second,0.027186378637546405,TA
KRW-MED,2022-11-01-00:00,2022-11-02-00:00,first,0.03336056150742224,TA
KRW-MED,2022-11-01-00:00,2022-11-02-00:00,second,0.02355503105745583,TA
