symbol,start_date,end_date,digit_type,mad,target
KRW-MTL,2022-12-31-00:00,2023-01-01-00:00,first,0.038585830186891705,TA
KRW-MTL,2022-12-31-00:00,2023-01-01-00:00,second,0.020432107973187275,TA
KRW-MTL,2022-12-30-00:00,2022-12-31-00:00,first,0.03839027077709722,TA
KRW-MTL,2022-12-30-00:00,2022-12-31-00:00,second,0.020864066167871183,TA
KRW-MTL,2022-12-29-00:00,2022-12-30-00:00,first,0.034201942432070837,TA
KRW-MTL,2022-12-29-00:00,2022-12-30-00:00,second,0.02228899598171406,TA
KRW-MTL,2022-12-28-00:00,2022-12-29-00:00,first,0.023646386876515282,TA
KRW-MTL,2022-12-28-00:00,2022-12-29-00:00,second,0.024905726701696863,TA
KRW-MTL,2022-12-27-00:00,2022-12-28-00:00,first,0.023478055640809695,TA
KRW-MTL,2022-12-27-00:00,2022-12-28-00:00,second,0.023039814655504986,TA
KRW-MTL,2022-12-26-00:00,2022-12-27-00:00,first,0.02503540075687931,TA
KRW-MTL,2022-12-26-00:00,2022-12-27-00:00,second,0.02070224661788115,TA
KRW-MTL,2022-12-25-00:00,2022-12-26-00:00,first,0.022981509770362663,TA
KRW-MTL,2022-12-25-00:00,2022-12-26-00:00,second,0.0246381003372573,TA
KRW-MTL,2022-12-24-00:00,2022-12-25-00:00,first,0.02245318238889602,TA
KRW-MTL,2022-12-24-00:00,2022-12-25-00:00,second,0.01724117386216135,TA
KRW-MTL,2022-12-23-00:00,2022-12-24-00:00,first,0.015530399622811296,TA
KRW-MTL,2022-12-23-00:00,2022-12-24-00:00,second,0.01887526181596947,TA
KRW-MTL,2022-12-22-00:00,2022-12-23-00:00,first,0.01897305450674168,TA
KRW-MTL,2022-12-22-00:00,2022-12-23-00:00,second,0.020158830854700216,TA
KRW-MTL,2022-12-21-00:00,2022-12-22-00:00,first,0.011075710354231796,TA
KRW-MTL,2022-12-21-00:00,2022-12-22-00:00,second,0.02072472489869557,TA
KRW-MTL,2022-12-20-00:00,2022-12-21-00:00,first,0.012535275765404167,TA
KRW-MTL,2022-12-20-00:00,2022-12-21-00:00,second,0.025229228708620877,TA
KRW-MTL,2022-12-19-00:00,2022-12-20-00:00,first,0.029106234968518243,TA
KRW-MTL,2022-12-19-00:00,2022-12-20-00:00,second,0.03138972871247814,TA
