symbol,start_date,end_date,digit_type,mad,target
KRW-TRX,2022-12-31-00:00,2023-01-01-00:00,first,0.014894047712312354,TA
KRW-TRX,2022-12-31-00:00,2023-01-01-00:00,second,0.01952235538647244,TA
KRW-TRX,2022-12-30-00:00,2022-12-31-00:00,first,0.015281272032162322,TA
KRW-TRX,2022-12-30-00:00,2022-12-31-00:00,second,0.012179533408645474,TA
KRW-TRX,2022-12-29-00:00,2022-12-30-00:00,first,0.010471389937702767,TA
KRW-TRX,2022-12-29-00:00,2022-12-30-00:00,second,0.011590180764151059,TA
KRW-TRX,2022-12-28-00:00,2022-12-29-00:00,first,0.010275830527908265,TA
KRW-TRX,2022-12-28-00:00,2022-12-29-00:00,second,0.011863316662429003,TA
KRW-TRX,2022-12-27-00:00,2022-12-28-00:00,first,0.01213805660436943,TA
KRW-TRX,2022-12-27-00:00,2022-12-28-00:00,second,0.019420453306019568,TA
KRW-TRX,2022-12-26-00:00,2022-12-27-00:00,first,0.013055680547030697,TA
KRW-TRX,2022-12-26-00:00,2022-12-27-00:00,second,0.020064675869085367,TA
KRW-TRX,2022-12-25-00:00,2022-12-26-00:00,first,0.007682070314225177,TA
KRW-TRX,2022-12-25-00:00,2022-12-26-00:00,second,0.014123112653605335,TA
KRW-TRX,2022-12-24-00:00,2022-12-25-00:00,first,0.017570676522283477,TA
KRW-TRX,2022-12-24-00:00,2022-12-25-00:00,second,0.016623112653605335,TA
KRW-TRX,2022-12-23-00:00,2022-12-24-00:00,first,0.012979437529018019,TA
KRW-TRX,2022-12-23-00:00,2022-12-24-00:00,second,0.014389787490574351,TA
KRW-TRX,2022-12-22-00:00,2022-12-23-00:00,first,0.016574328466023476,TA
KRW-TRX,2022-12-22-00:00,2022-12-23-00:00,second,0.01514243262450829,TA
KRW-TRX,2022-12-21-00:00,2022-12-22-00:00,first,0.011825003061187486,TA
KRW-TRX,2022-12-21-00:00,2022-12-22-00:00,second,0.01417289751023568,TA
KRW-TRX,2022-12-20-00:00,2022-12-21-00:00,first,0.01410960423142764,TA
KRW-TRX,2022-12-20-00:00,2022-12-21-00:00,second,0.029215217992848607,TA
KRW-TRX,2022-12-19-00:00,2022-12-20-00:00,first,0.016377222051713946,TA
KRW-TRX,2022-12-19-00:00,2022-12-20-00:00,second,0.014494278015164706,TA
KRW-TRX,2022-12-18-00:00,2022-12-19-00:00,first,0.01454222414934169,TA
KRW-TRX,2022-12-18-00:00,2022-12-19-00:00,second,0.01405006757745098,TA
KRW-TRX,2022-12-17-00:00,2022-12-18-00:00,first,0.01341749895118613,TA
KRW-TRX,2022-12-17-00:00,2022-12-18-00:00,second,0.012055031057455829,TA
KRW-TRX,2022-12-16-00:00,2022-12-17-00:00,first,0.011247660835797075,TA
KRW-TRX,2022-12-16-00:00,2022-12-17-00:00,second,0.01606467586908537,TA
KRW-TRX,2022-12-15-00:00,2022-12-16-00:00,first,0.012351783438139089,TA
KRW-TRX,2022-12-15-00:00,2022-12-16-00:00,second,0.01735881285250369,TA
KRW-TRX,2022-12-14-00:00,2022-12-15-00:00,first,0.013695401720439041,TA
KRW-TRX,2022-12-14-00:00,2022-12-15-00:00,second,0.01856421968834898,TA
KRW-TRX,2022-12-13-00:00,2022-12-14-00:00,first,0.009856824697038682,TA
KRW-TRX,2022-12-13-00:00,2022-12-14-00:00,second,0.013725835470288156,TA
KRW-TRX,2022-12-12-00:00,2022-12-13-00:00,first,0.02727123706614599,TA
KRW-TRX,2022-12-12-00:00,2022-12-13-00:00,second,0.01566057861807172,TA
KRW-TRX,2022-12-11-00:00,2022-12-12-00:00,first,0.011269447505631925,TA
KRW-TRX,2022-12-11-00:00,2022-12-12-00:00,second,0.017918626845876556,TA
KRW-TRX,2022-12-10-00:00,2022-12-11-00:00,first,0.013914044821633146,TA
KRW-TRX,2022-12-10-00:00,2022-12-11-00:00,second,0.017301676208913125,TA
KRW-TRX,2022-12-09-00:00,2022-12-10-00:00,first,0.017269164824801328,TA
KRW-TRX,2022-12-09-00:00,2022-12-10-00:00,second,0.013358812852503687,TA
KRW-TRX,2022-12-08-00:00,2022-12-09-00:00,first,0.010217346079629352,TA
KRW-TRX,2022-12-08-00:00,2022-12-09-00:00,second,0.015552714799684675,TA
KRW-TRX,2022-12-07-00:00,2022-12-08-00:00,first,0.013257340298270942,TA
KRW-TRX,2022-12-07-00:00,2022-12-08-00:00,second,0.015300376067983724,TA
KRW-TRX,2022-12-06-00:00,2022-12-07-00:00,first,0.023235553628436087,TA
KRW-TRX,2022-12-06-00:00,2022-12-07-00:00,second,0.019503035415569494,TA
KRW-TRX,2022-12-05-00:00,2022-12-06-00:00,first,0.01367361505060419,TA
KRW-TRX,2022-12-05-00:00,2022-12-06-00:00,second,0.022489024699797217,TA
KRW-TRX,2022-12-04-00:00,2022-12-05-00:00,first,0.013174996938812515,TA
KRW-TRX,2022-12-04-00:00,2022-12-05-00:00,second,0.015215217992848607,TA
KRW-TRX,2022-12-03-00:00,2022-12-04-00:00,first,0.01602694549325832,TA
KRW-TRX,2022-12-03-00:00,2022-12-04-00:00,second,0.020434464021791842,TA
KRW-TRX,2022-12-02-00:00,2022-12-03-00:00,first,0.014542224149341691,TA
KRW-TRX,2022-12-02-00:00,2022-12-03-00:00,second,0.014625428911376493,TA
KRW-TRX,2022-12-01-00:00,2022-12-02-00:00,first,0.01838234817725709,TA
KRW-TRX,2022-12-01-00:00,2022-12-02-00:00,second,0.015566725515456953,TA
KRW-TRX,2022-11-30-00:00,2022-12-01-00:00,first,0.019661790524073797,TA
KRW-TRX,2022-11-30-00:00,2022-12-01-00:00,second,0.012637123369377612,TA
KRW-TRX,2022-11-29-00:00,2022-11-30-00:00,first,0.023235553628436087,TA
KRW-TRX,2022-11-29-00:00,2022-11-30-00:00,second,0.012880810173188938,TA
KRW-TRX,2022-11-28-00:00,2022-11-29-00:00,first,0.013836504782055722,TA
KRW-TRX,2022-11-28-00:00,2022-11-29-00:00,second,0.014434464021791844,TA
KRW-TRX,2022-11-27-00:00,2022-11-28-00:00,first,0.02273083517519866,TA
KRW-TRX,2022-11-27-00:00,2022-11-28-00:00,second,0.02288956757359373,TA
KRW-TRX,2022-11-26-00:00,2022-11-27-00:00,first,0.01962456750880011,TA
