symbol,start_date,end_date,digit_type,mad,target
KRW-VET,2022-12-31-00:00,2023-01-01-00:00,first,0.027824720380356896,TA
KRW-VET,2022-12-31-00:00,2023-01-01-00:00,second,0.035889567573593725,TA
KRW-VET,2022-12-30-00:00,2022-12-31-00:00,first,0.014479845201323751,TA
KRW-VET,2022-12-30-00:00,2022-12-31-00:00,second,0.019085295980917724,TA
KRW-VET,2022-12-29-00:00,2022-12-30-00:00,first,0.028513456397689,TA
KRW-VET,2022-12-29-00:00,2022-12-30-00:00,second,0.03528665518757409,TA
KRW-VET,2022-12-28-00:00,2022-12-29-00:00,first,0.019360278826591654,TA
KRW-VET,2022-12-28-00:00,2022-12-29-00:00,second,0.032698763822893495,TA
KRW-VET,2022-12-27-00:00,2022-12-28-00:00,first,0.033959440419697236,TA
KRW-VET,2022-12-27-00:00,2022-12-28-00:00,second,0.026085295980917723,TA
KRW-VET,2022-12-26-00:00,2022-12-27-00:00,first,0.0110723410913224,TA
KRW-VET,2022-12-26-00:00,2022-12-27-00:00,second,0.02546071493295657,TA
KRW-VET,2022-12-25-00:00,2022-12-26-00:00,first,0.020700277863031913,TA
KRW-VET,2022-12-25-00:00,2022-12-26-00:00,second,0.023571285265145448,TA
KRW-VET,2022-12-24-00:00,2022-12-25-00:00,first,0.03397305450674168,TA
KRW-VET,2022-12-24-00:00,2022-12-25-00:00,second,0.023460185344495014,TA
KRW-VET,2022-12-23-00:00,2022-12-24-00:00,first,0.023534993084573574,TA
KRW-VET,2022-12-23-00:00,2022-12-24-00:00,second,0.028745795984774974,TA
KRW-VET,2022-12-22-00:00,2022-12-23-00:00,first,0.03660403773569845,TA
KRW-VET,2022-12-22-00:00,2022-12-23-00:00,second,0.025137123369377616,TA
KRW-VET,2022-12-21-00:00,2022-12-22-00:00,first,0.015925546542501376,TA
KRW-VET,2022-12-21-00:00,2022-12-22-00:00,second,0.019890317079035904,TA
KRW-VET,2022-12-20-00:00,2022-12-21-00:00,first,0.02754888985244862,TA
KRW-VET,2022-12-20-00:00,2022-12-21-00:00,second,0.026286655187574094,TA
KRW-VET,2022-12-19-00:00,2022-12-20-00:00,first,0.027124442517324973,TA
KRW-VET,2022-12-19-00:00,2022-12-20-00:00,second,0.023040270836241376,TA
KRW-VET,2022-12-18-00:00,2022-12-19-00:00,first,0.020201659751240244,TA
KRW-VET,2022-12-18-00:00,2022-12-19-00:00,second,0.03505428155201366,TA
KRW-VET,2022-12-17-00:00,2022-12-18-00:00,first,0.01658250104881387,TA
KRW-VET,2022-12-17-00:00,2022-12-18-00:00,second,0.023503035415569494,TA
KRW-VET,2022-12-16-00:00,2022-12-17-00:00,first,0.018235553628436083,TA
KRW-VET,2022-12-16-00:00,2022-12-17-00:00,second,0.027918626845876555,TA
KRW-VET,2022-12-15-00:00,2022-12-16-00:00,first,0.02867361505060419,TA
KRW-VET,2022-12-15-00:00,2022-12-16-00:00,second,0.021489024699797216,TA
KRW-VET,2022-12-14-00:00,2022-12-15-00:00,first,0.02132845719074046,TA
KRW-VET,2022-12-14-00:00,2022-12-15-00:00,second,0.0319512080271096,TA
KRW-VET,2022-12-13-00:00,2022-12-14-00:00,first,0.021437778741337506,TA
KRW-VET,2022-12-13-00:00,2022-12-14-00:00,second,0.03390328845400336,TA
KRW-VET,2022-12-12-00:00,2022-12-13-00:00,first,0.02754888985244862,TA
KRW-VET,2022-12-12-00:00,2022-12-13-00:00,second,0.04313712336937762,TA
KRW-VET,2022-12-11-00:00,2022-12-12-00:00,first,0.03840388486414167,TA
KRW-VET,2022-12-11-00:00,2022-12-12-00:00,second,0.03705428155201365,TA
KRW-VET,2022-12-10-00:00,2022-12-11-00:00,first,0.028902502975933338,TA
KRW-VET,2022-12-10-00:00,2022-12-11-00:00,second,0.02432808825896226,TA
KRW-VET,2022-12-09-00:00,2022-12-10-00:00,first,0.02712651475866962,TA
KRW-VET,2022-12-09-00:00,2022-12-10-00:00,second,0.027064675869085376,TA
KRW-VET,2022-12-08-00:00,2022-12-09-00:00,first,0.03292250008525413,TA
KRW-VET,2022-12-08-00:00,2022-12-09-00:00,second,0.02529984647952217,TA
KRW-VET,2022-12-07-00:00,2022-12-08-00:00,first,0.019771112074670843,TA
KRW-VET,2022-12-07-00:00,2022-12-08-00:00,second,0.019450918191746956,TA
KRW-VET,2022-12-06-00:00,2022-12-07-00:00,first,0.026796227882583536,TA
KRW-VET,2022-12-06-00:00,2022-12-07-00:00,second,0.021922243244577116,TA
KRW-VET,2022-12-05-00:00,2022-12-06-00:00,first,0.036015403647558515,TA
KRW-VET,2022-12-05-00:00,2022-12-06-00:00,second,0.026801676208913126,TA
KRW-VET,2022-12-04-00:00,2022-12-05-00:00,first,0.030700277863031922,TA
KRW-VET,2022-12-04-00:00,2022-12-05-00:00,second,0.03165883085470021,TA
KRW-VET,2022-12-03-00:00,2022-12-04-00:00,first,0.02780500595186669,TA
KRW-VET,2022-12-03-00:00,2022-12-04-00:00,second,0.029994278015164706,TA
KRW-VET,2022-12-02-00:00,2022-12-03-00:00,first,0.019762939491880446,TA
KRW-VET,2022-12-02-00:00,2022-12-03-00:00,second,0.029300376067983726,TA
KRW-VET,2022-12-01-00:00,2022-12-02-00:00,first,0.021985161714102672,TA
KRW-VET,2022-12-01-00:00,2022-12-02-00:00,second,0.023437197311337327,TA
KRW-VET,2022-11-30-00:00,2022-12-01-00:00,first,0.02548138477888753,TA
KRW-VET,2022-11-30-00:00,2022-12-01-00:00,second,0.028389728712478135,TA
KRW-VET,2022-11-29-00:00,2022-11-30-00:00,first,0.017548889852448624,TA
KRW-VET,2022-11-29-00:00,2022-11-30-00:00,second,0.03196492890751924,TA
KRW-VET,2022-11-28-00:00,2022-11-29-00:00,first,0.010882223185781954,TA
KRW-VET,2022-11-28-00:00,2022-11-29-00:00,second,0.015137123369377614,TA
KRW-VET,2022-11-27-00:00,2022-11-28-00:00,first,0.019798340248759753,TA
KRW-VET,2022-11-27-00:00,2022-11-28-00:00,second,0.022238735614467847,TA
KRW-VET,2022-11-26-00:00,2022-11-27-00:00,first,0.02774444926224312,TA
KRW-VET,2022-11-26-00:00,2022-11-27-00:00,second,0.019053751963552093,TA
KRW-VET,2022-11-25-00:00,2022-11-26-00:00,first,0.03396488192395128,TA
KRW-VET,2022-11-25-00:00,2022-11-26-00:00,second,0.026349815698999995,TA
KRW-VET,2022-11-24-00:00,2022-11-25-00:00,first,0.01546321735491236,TA
KRW-VET,2022-11-24-00:00,2022-11-25-00:00,second,0.021728699120159334,TA
KRW-VET,2022-11-23-00:00,2022-11-24-00:00,first,0.011778060458608373,TA
KRW-VET,2022-11-23-00:00,2022-11-24-00:00,second,0.031229228708620882,TA
KRW-VET,2022-11-22-00:00,2022-11-23-00:00,first,0.020882223185781954,TA
KRW-VET,2022-11-22-00:00,2022-11-23-00:00,second,0.03506467586908537,TA
KRW-VET,2022-11-21-00:00,2022-11-22-00:00,first,0.020617934503573496,TA
KRW-VET,2022-11-21-00:00,2022-11-22-00:00,second,0.018598487272865803,TA
KRW-VET,2022-11-20-00:00,2022-11-21-00:00,first,0.024154999829491722,TA
KRW-VET,2022-11-20-00:00,2022-11-21-00:00,second,0.01952381666628626,TA
KRW-VET,2022-11-19-00:00,2022-11-20-00:00,first,0.020217346079629352,TA
KRW-VET,2022-11-19-00:00,2022-11-20-00:00,second,0.02688972871247814,TA
KRW-VET,2022-11-18-00:00,2022-11-19-00:00,first,0.023791109183991636,TA
KRW-VET,2022-11-18-00:00,2022-11-19-00:00,second,0.02402235538647244,TA
KRW-VET,2022-11-17-00:00,2022-11-18-00:00,first,0.017050271740656948,TA
KRW-VET,2022-11-17-00:00,2022-11-18-00:00,second,0.014786655187574087,TA
KRW-VET,2022-11-16-00:00,2022-11-17-00:00,first,0.011349993877625034,TA
KRW-VET,2022-11-16-00:00,2022-11-17-00:00,second,0.015494278015164703,TA
KRW-VET,2022-11-15-00:00,2022-11-16-00:00,first,0.011026945493258323,TA
KRW-VET,2022-11-15-00:00,2022-11-16-00:00,second,0.018554281552013652,TA
KRW-VET,2022-11-14-00:00,2022-11-15-00:00,first,0.014542224149341691,TA
KRW-VET,2022-11-14-00:00,2022-11-15-00:00,second,0.013050067577450985,TA
KRW-VET,2022-11-13-00:00,2022-11-14-00:00,first,0.02366000096355973,TA
KRW-VET,2022-11-13-00:00,2022-11-14-00:00,second,0.013249931262566133,TA
KRW-VET,2022-11-12-00:00,2022-11-13-00:00,first,0.017848329308586115,TA
KRW-VET,2022-11-12-00:00,2022-11-13-00:00,second,0.01848902469979722,TA
KRW-VET,2022-11-11-00:00,2022-11-12-00:00,first,0.017693612159924984,TA
KRW-VET,2022-11-11-00:00,2022-11-12-00:00,second,0.01866758825510501,TA
KRW-VET,2022-11-10-00:00,2022-11-11-00:00,first,0.012540717269658226,TA
KRW-VET,2022-11-10-00:00,2022-11-11-00:00,second,0.012489024699797215,TA
KRW-VET,2022-11-09-00:00,2022-11-10-00:00,first,0.01315346025192795,TA
KRW-VET,2022-11-09-00:00,2022-11-10-00:00,second,0.017628365968972826,TA
KRW-VET,2022-11-08-00:00,2022-11-09-00:00,first,0.012496505745615456,TA
KRW-VET,2022-11-08-00:00,2022-11-09-00:00,second,0.012849815698999994,TA
KRW-VET,2022-11-07-00:00,2022-11-08-00:00,first,0.020544013709855743,TA
KRW-VET,2022-11-07-00:00,2022-11-08-00:00,second,0.02272922870862088,TA
KRW-VET,2022-11-06-00:00,2022-11-07-00:00,first,0.017682070314225175,TA
KRW-VET,2022-11-06-00:00,2022-11-07-00:00,second,0.028451208027109598,TA
KRW-VET,2022-11-05-00:00,2022-11-06-00:00,first,0.02152556360504999,TA
KRW-VET,2022-11-05-00:00,2022-11-06-00:00,second,0.01808529598091772,TA
KRW-VET,2022-11-04-00:00,2022-11-05-00:00,first,0.008600991278451202,TA
KRW-VET,2022-11-04-00:00,2022-11-05-00:00,second,0.019359102687866336,TA
KRW-VET,2022-11-03-00:00,2022-11-04-00:00,first,0.008745713585927566,TA
KRW-VET,2022-11-03-00:00,2022-11-04-00:00,second,0.027523816666286262,TA
