symbol,start_date,end_date,digit_type,mad,target
KRW-ZRX,2022-12-31-00:00,2023-01-01-00:00,first,0.021778060458608375,TA
KRW-ZRX,2022-12-31-00:00,2023-01-01-00:00,second,0.04055066515331309,TA
KRW-ZRX,2022-12-30-00:00,2022-12-31-00:00,first,0.017151670691413885,TA
KRW-ZRX,2022-12-30-00:00,2022-12-31-00:00,second,0.03848902469979722,TA
KRW-ZRX,2022-12-29-00:00,2022-12-30-00:00,first,0.028174996938812518,TA
KRW-ZRX,2022-12-29-00:00,2022-12-30-00:00,second,0.04355066515331309,TA
KRW-ZRX,2022-12-28-00:00,2022-12-29-00:00,first,0.035097779704897254,TA
KRW-ZRX,2022-12-28-00:00,2022-12-29-00:00,second,0.04172922870862088,TA
KRW-ZRX,2022-12-27-00:00,2022-12-28-00:00,first,0.032875557482675025,TA
KRW-ZRX,2022-12-27-00:00,2022-12-28-00:00,second,0.04572922870862088,TA
KRW-ZRX,2022-12-26-00:00,2022-12-27-00:00,first,0.027320001927119468,TA
KRW-ZRX,2022-12-26-00:00,2022-12-27-00:00,second,0.045729228708620874,TA
KRW-ZRX,2022-12-25-00:00,2022-12-26-00:00,first,0.021083882937022194,TA
KRW-ZRX,2022-12-25-00:00,2022-12-26-00:00,second,0.0440537519635521,TA
KRW-ZRX,2022-12-24-00:00,2022-12-25-00:00,first,0.02441721627035553,TA
KRW-ZRX,2022-12-24-00:00,2022-12-25-00:00,second,0.04505375196355209,TA
KRW-ZRX,2022-12-23-00:00,2022-12-24-00:00,first,0.02552832738146664,TA
KRW-ZRX,2022-12-23-00:00,2022-12-24-00:00,second,0.04405375196355209,TA
KRW-ZRX,2022-12-22-00:00,2022-12-23-00:00,first,0.024915834382147204,TA
KRW-ZRX,2022-12-22-00:00,2022-12-23-00:00,second,0.037053751963552095,TA
KRW-ZRX,2022-12-21-00:00,2022-12-22-00:00,first,0.019360278826591644,TA
KRW-ZRX,2022-12-21-00:00,2022-12-22-00:00,second,0.0310537519635521,TA
KRW-ZRX,2022-12-20-00:00,2022-12-21-00:00,first,0.023804723271036096,TA
KRW-ZRX,2022-12-20-00:00,2022-12-21-00:00,second,0.044053751963552094,TA
KRW-ZRX,2022-12-19-00:00,2022-12-20-00:00,first,0.02416861391653618,TA
KRW-ZRX,2022-12-19-00:00,2022-12-20-00:00,second,0.051064146280623814,TA
KRW-ZRX,2022-12-18-00:00,2022-12-19-00:00,first,0.02637722205171394,TA
KRW-ZRX,2022-12-18-00:00,2022-12-19-00:00,second,0.05506414628062382,TA
KRW-ZRX,2022-12-17-00:00,2022-12-18-00:00,first,0.021946391694313956,TA
KRW-ZRX,2022-12-17-00:00,2022-12-18-00:00,second,0.04006414628062381,TA
KRW-ZRX,2022-12-16-00:00,2022-12-17-00:00,first,0.029602780838965257,TA
KRW-ZRX,2022-12-16-00:00,2022-12-17-00:00,second,0.03872869912015932,TA
KRW-ZRX,2022-12-15-00:00,2022-12-16-00:00,first,0.036026945493258314,TA
KRW-ZRX,2022-12-15-00:00,2022-12-16-00:00,second,0.04172869912015933,TA
KRW-ZRX,2022-12-14-00:00,2022-12-15-00:00,first,0.0349158343821472,TA
KRW-ZRX,2022-12-14-00:00,2022-12-15-00:00,second,0.033054281552013655,TA
KRW-ZRX,2022-12-13-00:00,2022-12-14-00:00,first,0.029360278826591646,TA
KRW-ZRX,2022-12-13-00:00,2022-12-14-00:00,second,0.034611708030966866,TA
KRW-ZRX,2022-12-12-00:00,2022-12-13-00:00,first,0.01927456620422383,TA
KRW-ZRX,2022-12-12-00:00,2022-12-13-00:00,second,0.026216257333653424,TA
KRW-ZRX,2022-12-11-00:00,2022-12-12-00:00,first,0.022351783438139095,TA
KRW-ZRX,2022-12-11-00:00,2022-12-12-00:00,second,0.02388081017318894,TA
KRW-ZRX,2022-12-10-00:00,2022-12-11-00:00,first,0.032183452202433516,TA
KRW-ZRX,2022-12-10-00:00,2022-12-11-00:00,second,0.02796439931905768,TA
KRW-ZRX,2022-12-09-00:00,2022-12-10-00:00,first,0.034405674424655724,TA
KRW-ZRX,2022-12-09-00:00,2022-12-10-00:00,second,0.027300376067983717,TA
KRW-ZRX,2022-12-08-00:00,2022-12-09-00:00,first,0.02594123287089049,TA
KRW-ZRX,2022-12-08-00:00,2022-12-09-00:00,second,0.02965591375181901,TA
KRW-ZRX,2022-12-07-00:00,2022-12-08-00:00,first,0.02882833219926532,TA
KRW-ZRX,2022-12-07-00:00,2022-12-08-00:00,second,0.03284687864140366,TA
KRW-ZRX,2022-12-06-00:00,2022-12-07-00:00,first,0.036377222051713946,TA
KRW-ZRX,2022-12-06-00:00,2022-12-07-00:00,second,0.03821572774519187,TA
KRW-ZRX,2022-12-05-00:00,2022-12-06-00:00,first,0.026377222051713944,TA
KRW-ZRX,2022-12-05-00:00,2022-12-06-00:00,second,0.03531880127009593,TA
KRW-ZRX,2022-12-04-00:00,2022-12-05-00:00,first,0.023286390730754218,TA
KRW-ZRX,2022-12-04-00:00,2022-12-05-00:00,second,0.04231933085855748,TA
KRW-ZRX,2022-12-03-00:00,2022-12-04-00:00,first,0.023796550688245693,TA
KRW-ZRX,2022-12-03-00:00,2022-12-04-00:00,second,0.027002505827107937,TA
KRW-ZRX,2022-12-02-00:00,2022-12-03-00:00,first,0.022269164824801336,TA
KRW-ZRX,2022-12-02-00:00,2022-12-03-00:00,second,0.0193618996627427,TA
