symbol,start_date,end_date,digit_type,mad,target
KRW-PUNDIX,2023-01-01-00:00,2022-12-31-00:00,first,0.009528610062297237,TA
KRW-PUNDIX,2023-01-01-00:00,2022-12-31-00:00,second,0.014211708030966863,TA
KRW-PUNDIX,2022-12-31-00:00,2022-12-30-00:00,first,0.010705719367285973,TA
KRW-PUNDIX,2022-12-31-00:00,2022-12-30-00:00,second,0.023217331819979755,TA
KRW-PUNDIX,2022-12-30-00:00,2022-12-29-00:00,first,0.015422500085254134,TA
KRW-PUNDIX,2022-12-30-00:00,2022-12-29-00:00,second,0.023744278015164703,TA
KRW-PUNDIX,2022-12-29-00:00,2022-12-28-00:00,first,0.016895554591995814,TA
KRW-PUNDIX,2022-12-29-00:00,2022-12-28-00:00,second,0.015479228708620878,TA
KRW-PUNDIX,2022-12-28-00:00,2022-12-27-00:00,first,0.013655068243204475,TA
KRW-PUNDIX,2022-12-28-00:00,2022-12-27-00:00,second,0.027058058232028902,TA
KRW-PUNDIX,2022-12-27-00:00,2022-12-26-00:00,first,0.016767686233999057,TA
KRW-PUNDIX,2022-12-27-00:00,2022-12-26-00:00,second,0.02788399848664642,TA
KRW-PUNDIX,2022-12-26-00:00,2022-12-25-00:00,first,0.0204577758506583,TA
KRW-PUNDIX,2022-12-26-00:00,2022-12-25-00:00,second,0.03206467586908537,TA
KRW-PUNDIX,2022-12-25-00:00,2022-12-24-00:00,first,0.012679998072880531,TA
KRW-PUNDIX,2022-12-25-00:00,2022-12-24-00:00,second,0.020875717996705866,TA
KRW-PUNDIX,2022-12-24-00:00,2022-12-23-00:00,first,0.01726099224201093,TA
KRW-PUNDIX,2022-12-24-00:00,2022-12-23-00:00,second,0.021229228708620883,TA
KRW-PUNDIX,2022-12-23-00:00,2022-12-22-00:00,first,0.015545435722895644,TA
KRW-PUNDIX,2022-12-23-00:00,2022-12-22-00:00,second,0.020979228708620883,TA
KRW-PUNDIX,2022-12-22-00:00,2022-12-21-00:00,first,0.016247660835797068,TA
KRW-PUNDIX,2022-12-22-00:00,2022-12-21-00:00,second,0.01881467586908537,TA
