symbol,start_date,end_date,digit_type,mad,target
AEURUSDT,2023-12-04-00:00,2023-12-05-00:00,first,0.020351566360545654,TA
AEURUSDT,2023-12-04-00:00,2023-12-05-00:00,second,0.01638724847440322,TA
AEURUSDT,2023-12-05-00:00,2023-12-06-00:00,first,0.007544971873882305,TA
AEURUSDT,2023-12-05-00:00,2023-12-06-00:00,second,0.007313615738929228,TA
AEURUSDT,2023-12-06-00:00,2023-12-07-00:00,first,0.01767439463510019,TA
AEURUSDT,2023-12-06-00:00,2023-12-07-00:00,second,0.017012642797111805,TA
AEURUSDT,2023-12-08-00:00,2023-12-09-00:00,first,0.034042342518145446,TA
AEURUSDT,2023-12-08-00:00,2023-12-09-00:00,second,0.03525789174764954,TA
AEURUSDT,2023-12-09-00:00,2023-12-10-00:00,first,0.0062407698278921266,TA
AEURUSDT,2023-12-09-00:00,2023-12-10-00:00,second,0.0052733055034688255,TA
AEURUSDT,2023-12-10-00:00,2023-12-11-00:00,first,0.006076062411210169,TA
AEURUSDT,2023-12-10-00:00,2023-12-11-00:00,second,0.0048477297768725475,TA
AEURUSDT,2023-12-11-00:00,2023-12-12-00:00,first,0.006841447058059571,TA
AEURUSDT,2023-12-11-00:00,2023-12-12-00:00,second,0.006219261671397273,TA
AEURUSDT,2023-12-12-00:00,2023-12-13-00:00,first,0.006963242462587187,TA
AEURUSDT,2023-12-12-00:00,2023-12-13-00:00,second,0.008740483190221218,TA
AEURUSDT,2023-12-13-00:00,2023-12-14-00:00,first,0.00943288950142909,TA
AEURUSDT,2023-12-13-00:00,2023-12-14-00:00,second,0.010695644489094089,TA
AEURUSDT,2023-12-14-00:00,2023-12-15-00:00,first,0.006359197904041155,TA
AEURUSDT,2023-12-14-00:00,2023-12-15-00:00,second,0.014578321907085554,TA
AEURUSDT,2023-12-15-00:00,2023-12-16-00:00,first,0.006426835953905853,TA
AEURUSDT,2023-12-15-00:00,2023-12-16-00:00,second,0.010083854196827644,TA
AEURUSDT,2023-12-16-00:00,2023-12-17-00:00,first,0.010607964521633727,TA
AEURUSDT,2023-12-16-00:00,2023-12-17-00:00,second,0.012986666062274704,TA
AEURUSDT,2023-12-17-00:00,2023-12-18-00:00,first,0.018181284378125613,TA
AEURUSDT,2023-12-17-00:00,2023-12-18-00:00,second,0.018801239186382657,TA
AEURUSDT,2023-12-18-00:00,2023-12-19-00:00,first,0.011927309900837514,TA
AEURUSDT,2023-12-18-00:00,2023-12-19-00:00,second,0.011292497010803192,TA
AEURUSDT,2023-12-19-00:00,2023-12-20-00:00,first,0.00996906932278174,TA
AEURUSDT,2023-12-19-00:00,2023-12-20-00:00,second,0.017467466995692172,TA
AEURUSDT,2023-12-20-00:00,2023-12-21-00:00,first,0.01348042270292486,TA
AEURUSDT,2023-12-20-00:00,2023-12-21-00:00,second,0.016562789309862058,TA
AEURUSDT,2023-12-21-00:00,2023-12-22-00:00,first,0.011115829347121384,TA
AEURUSDT,2023-12-21-00:00,2023-12-22-00:00,second,0.0249253450545137,TA
AEURUSDT,2023-12-22-00:00,2023-12-23-00:00,first,0.014254251930945027,TA
AEURUSDT,2023-12-22-00:00,2023-12-23-00:00,second,0.01851476479633999,TA
AEURUSDT,2023-12-23-00:00,2023-12-24-00:00,first,0.0336340561779251,TA
AEURUSDT,2023-12-23-00:00,2023-12-24-00:00,second,0.03337297626434229,TA
AEURUSDT,2023-12-24-00:00,2023-12-25-00:00,first,0.024148910162095527,TA
AEURUSDT,2023-12-24-00:00,2023-12-25-00:00,second,0.029928354731086414,TA
AEURUSDT,2023-12-25-00:00,2023-12-26-00:00,first,0.01999674053101452,TA
AEURUSDT,2023-12-25-00:00,2023-12-26-00:00,second,0.027159326558854023,TA
AEURUSDT,2023-12-26-00:00,2023-12-27-00:00,first,0.015447179693808433,TA
AEURUSDT,2023-12-26-00:00,2023-12-27-00:00,second,0.02307991614356965,TA
AEURUSDT,2023-12-27-00:00,2023-12-28-00:00,first,0.013540825237303109,TA
AEURUSDT,2023-12-27-00:00,2023-12-28-00:00,second,0.012126477997307074,TA
AEURUSDT,2023-12-28-00:00,2023-12-29-00:00,first,0.01729237759202375,TA
AEURUSDT,2023-12-28-00:00,2023-12-29-00:00,second,0.023169459178502657,TA
AEURUSDT,2023-12-29-00:00,2023-12-30-00:00,first,0.017720298234645993,TA
AEURUSDT,2023-12-29-00:00,2023-12-30-00:00,second,0.021002812392814263,TA
AEURUSDT,2023-12-30-00:00,2023-12-31-00:00,first,0.020388523413560733,TA
AEURUSDT,2023-12-30-00:00,2023-12-31-00:00,second,0.01938213618654569,TA
AEURUSDT,2023-12-31-00:00,2024-01-01-00:00,first,0.025323550598686937,TA
AEURUSDT,2023-12-31-00:00,2024-01-01-00:00,second,0.03688020800075683,TA
