symbol,start_date,end_date,digit_type,mad,target
CRVUSDT,2023-01-01-00:00,2023-01-02-00:00,first,0.01008869940944377,TA
CRVUSDT,2023-01-01-00:00,2023-01-02-00:00,second,0.006129564740536457,TA
CRVUSDT,2023-01-02-00:00,2023-01-03-00:00,first,0.0077685967414645235,TA
CRVUSDT,2023-01-02-00:00,2023-01-03-00:00,second,0.010644707944012632,TA
CRVUSDT,2023-01-03-00:00,2023-01-04-00:00,first,0.012976459025466538,TA
CRVUSDT,2023-01-03-00:00,2023-01-04-00:00,second,0.023215842475187456,TA
CRVUSDT,2023-01-04-00:00,2023-01-05-00:00,first,0.006986071322385442,TA
CRVUSDT,2023-01-04-00:00,2023-01-05-00:00,second,0.014181694961930155,TA
CRVUSDT,2023-01-05-00:00,2023-01-06-00:00,first,0.010391459130017874,TA
CRVUSDT,2023-01-05-00:00,2023-01-06-00:00,second,0.018080097967196358,TA
CRVUSDT,2023-01-06-00:00,2023-01-07-00:00,first,0.007187021474148026,TA
CRVUSDT,2023-01-06-00:00,2023-01-07-00:00,second,0.017833618480311616,TA
CRVUSDT,2023-01-07-00:00,2023-01-08-00:00,first,0.013480771695128615,TA
CRVUSDT,2023-01-07-00:00,2023-01-08-00:00,second,0.027368469349721515,TA
CRVUSDT,2023-01-08-00:00,2023-01-09-00:00,first,0.016839980616017765,TA
CRVUSDT,2023-01-08-00:00,2023-01-09-00:00,second,0.029991572622497974,TA
CRVUSDT,2023-01-09-00:00,2023-01-10-00:00,first,0.009230670279063323,TA
CRVUSDT,2023-01-09-00:00,2023-01-10-00:00,second,0.0029516105292424224,TA
CRVUSDT,2023-01-10-00:00,2023-01-11-00:00,first,0.004985935908627283,TA
CRVUSDT,2023-01-10-00:00,2023-01-11-00:00,second,0.004317980462569165,TA
CRVUSDT,2023-01-11-00:00,2023-01-12-00:00,first,0.0055134208761432706,TA
CRVUSDT,2023-01-11-00:00,2023-01-12-00:00,second,0.0075545612106001124,TA
CRVUSDT,2023-01-12-00:00,2023-01-13-00:00,first,0.006732698423655633,TA
CRVUSDT,2023-01-12-00:00,2023-01-13-00:00,second,0.008094506936540877,TA
CRVUSDT,2023-01-13-00:00,2023-01-14-00:00,first,0.008105786544631352,TA
CRVUSDT,2023-01-13-00:00,2023-01-14-00:00,second,0.007991823242027097,TA
CRVUSDT,2023-01-14-00:00,2023-01-15-00:00,first,0.008008478244606907,TA
CRVUSDT,2023-01-14-00:00,2023-01-15-00:00,second,0.008349480548492183,TA
CRVUSDT,2023-01-15-00:00,2023-01-16-00:00,first,0.004607293896345879,TA
CRVUSDT,2023-01-15-00:00,2023-01-16-00:00,second,0.006366718968377823,TA
CRVUSDT,2023-01-16-00:00,2023-01-17-00:00,first,0.006787320841123185,TA
CRVUSDT,2023-01-16-00:00,2023-01-17-00:00,second,0.007535345232578225,TA
CRVUSDT,2023-01-17-00:00,2023-01-18-00:00,first,0.007705252752543249,TA
CRVUSDT,2023-01-17-00:00,2023-01-18-00:00,second,0.004727409207138551,TA
CRVUSDT,2023-01-18-00:00,2023-01-19-00:00,first,0.006855985557468566,TA
CRVUSDT,2023-01-18-00:00,2023-01-19-00:00,second,0.004018828628786245,TA
CRVUSDT,2023-01-19-00:00,2023-01-20-00:00,first,0.008731159920555938,TA
CRVUSDT,2023-01-19-00:00,2023-01-20-00:00,second,0.0070729279134361025,TA
CRVUSDT,2023-01-20-00:00,2023-01-21-00:00,first,0.008480724886408426,TA
CRVUSDT,2023-01-20-00:00,2023-01-21-00:00,second,0.007727510114368531,TA
CRVUSDT,2023-01-21-00:00,2023-01-22-00:00,first,0.010289290912003556,TA
CRVUSDT,2023-01-21-00:00,2023-01-22-00:00,second,0.01159144030169185,TA
CRVUSDT,2023-01-22-00:00,2023-01-23-00:00,first,0.005232386079111634,TA
CRVUSDT,2023-01-22-00:00,2023-01-23-00:00,second,0.006990999090845815,TA
CRVUSDT,2023-01-23-00:00,2023-01-24-00:00,first,0.007171328824605896,TA
CRVUSDT,2023-01-23-00:00,2023-01-24-00:00,second,0.0058742528150922905,TA
CRVUSDT,2023-01-24-00:00,2023-01-25-00:00,first,0.0069275834820325686,TA
CRVUSDT,2023-01-24-00:00,2023-01-25-00:00,second,0.004932750951983091,TA
CRVUSDT,2023-01-25-00:00,2023-01-26-00:00,first,0.004305071074366747,TA
CRVUSDT,2023-01-25-00:00,2023-01-26-00:00,second,0.0066012646063159375,TA
CRVUSDT,2023-01-26-00:00,2023-01-27-00:00,first,0.006886471236641773,TA
CRVUSDT,2023-01-26-00:00,2023-01-27-00:00,second,0.0064415756846815265,TA
CRVUSDT,2023-01-27-00:00,2023-01-28-00:00,first,0.006562204118549351,TA
CRVUSDT,2023-01-27-00:00,2023-01-28-00:00,second,0.004978661932709622,TA
CRVUSDT,2023-01-28-00:00,2023-01-29-00:00,first,0.006727471608781049,TA
CRVUSDT,2023-01-28-00:00,2023-01-29-00:00,second,0.0043446692646542774,TA
CRVUSDT,2023-01-29-00:00,2023-01-30-00:00,first,0.0071459027440905825,TA
CRVUSDT,2023-01-29-00:00,2023-01-30-00:00,second,0.0062551928385330205,TA
CRVUSDT,2023-01-30-00:00,2023-01-31-00:00,first,0.00973718001652014,TA
CRVUSDT,2023-01-30-00:00,2023-01-31-00:00,second,0.006866674731994893,TA
CRVUSDT,2023-01-31-00:00,2023-02-01-00:00,first,0.010562204218722707,TA
CRVUSDT,2023-01-31-00:00,2023-02-01-00:00,second,0.010364592776730748,TA
CRVUSDT,2023-02-01-00:00,2023-02-02-00:00,first,0.00942691843659983,TA
CRVUSDT,2023-02-01-00:00,2023-02-02-00:00,second,0.005397695632920951,TA
CRVUSDT,2023-02-02-00:00,2023-02-03-00:00,first,0.005419467253625206,TA
CRVUSDT,2023-02-02-00:00,2023-02-03-00:00,second,0.0042232619439006355,TA
CRVUSDT,2023-02-03-00:00,2023-02-04-00:00,first,0.007599360469950874,TA
CRVUSDT,2023-02-03-00:00,2023-02-04-00:00,second,0.006233704508258081,TA
CRVUSDT,2023-02-04-00:00,2023-02-05-00:00,first,0.0070461052551454555,TA
CRVUSDT,2023-02-04-00:00,2023-02-05-00:00,second,0.006834646884734892,TA
CRVUSDT,2023-02-05-00:00,2023-02-06-00:00,first,0.007029427876488579,TA
CRVUSDT,2023-02-05-00:00,2023-02-06-00:00,second,0.00895416669905474,TA
CRVUSDT,2023-02-06-00:00,2023-02-07-00:00,first,0.007197271518233491,TA
CRVUSDT,2023-02-06-00:00,2023-02-07-00:00,second,0.005008181700972253,TA
CRVUSDT,2023-02-07-00:00,2023-02-08-00:00,first,0.005802370267364317,TA
CRVUSDT,2023-02-07-00:00,2023-02-08-00:00,second,0.0079300109629396,TA
CRVUSDT,2023-02-08-00:00,2023-02-09-00:00,first,0.009458385835374974,TA
CRVUSDT,2023-02-08-00:00,2023-02-09-00:00,second,0.005505065342403512,TA
CRVUSDT,2023-02-09-00:00,2023-02-10-00:00,first,0.008758438979420417,TA
CRVUSDT,2023-02-09-00:00,2023-02-10-00:00,second,0.006093115724711608,TA
CRVUSDT,2023-02-10-00:00,2023-02-11-00:00,first,0.006086381705362465,TA
CRVUSDT,2023-02-10-00:00,2023-02-11-00:00,second,0.005393788215561732,TA
CRVUSDT,2023-02-11-00:00,2023-02-12-00:00,first,0.011538813394529397,TA
CRVUSDT,2023-02-11-00:00,2023-02-12-00:00,second,0.005682181920821754,TA
CRVUSDT,2023-02-12-00:00,2023-02-13-00:00,first,0.007316691807102319,TA
CRVUSDT,2023-02-12-00:00,2023-02-13-00:00,second,0.0036487431521101967,TA
CRVUSDT,2023-02-13-00:00,2023-02-14-00:00,first,0.00600225298318843,TA
CRVUSDT,2023-02-13-00:00,2023-02-14-00:00,second,0.008467237257252432,TA
CRVUSDT,2023-02-14-00:00,2023-02-15-00:00,first,0.00400184013899262,TA
CRVUSDT,2023-02-14-00:00,2023-02-15-00:00,second,0.00577638084749639,TA
CRVUSDT,2023-02-15-00:00,2023-02-16-00:00,first,0.006206596250598796,TA
CRVUSDT,2023-02-15-00:00,2023-02-16-00:00,second,0.005672342444913212,TA
CRVUSDT,2023-02-16-00:00,2023-02-17-00:00,first,0.004598287526270044,TA
CRVUSDT,2023-02-16-00:00,2023-02-17-00:00,second,0.006934266591799423,TA
CRVUSDT,2023-02-17-00:00,2023-02-18-00:00,first,0.00923241748733377,TA
CRVUSDT,2023-02-17-00:00,2023-02-18-00:00,second,0.006482914339540023,TA
CRVUSDT,2023-02-18-00:00,2023-02-19-00:00,first,0.010173201420424806,TA
CRVUSDT,2023-02-18-00:00,2023-02-19-00:00,second,0.006631164649343499,TA
CRVUSDT,2023-02-19-00:00,2023-02-20-00:00,first,0.005868652824828635,TA
CRVUSDT,2023-02-19-00:00,2023-02-20-00:00,second,0.005624359367186927,TA
CRVUSDT,2023-02-20-00:00,2023-02-21-00:00,first,0.008701624006073076,TA
CRVUSDT,2023-02-20-00:00,2023-02-21-00:00,second,0.005585446849860361,TA
CRVUSDT,2023-02-21-00:00,2023-02-22-00:00,first,0.006918244241955671,TA
CRVUSDT,2023-02-21-00:00,2023-02-22-00:00,second,0.00641433905279247,TA
CRVUSDT,2023-02-22-00:00,2023-02-23-00:00,first,0.006150457590634842,TA
CRVUSDT,2023-02-22-00:00,2023-02-23-00:00,second,0.009325713431547486,TA
CRVUSDT,2023-02-23-00:00,2023-02-24-00:00,first,0.005073019006020622,TA
CRVUSDT,2023-02-23-00:00,2023-02-24-00:00,second,0.006029701932821577,TA
