symbol,start_date,end_date,digit_type,mad,target
FDUSDUSDT,2023-07-26-00:00,2023-07-27-00:00,first,0.023840591767120833,TA
FDUSDUSDT,2023-07-26-00:00,2023-07-27-00:00,second,0.021200221829539866,TA
FDUSDUSDT,2023-07-27-00:00,2023-07-28-00:00,first,0.013765824154396943,TA
FDUSDUSDT,2023-07-27-00:00,2023-07-28-00:00,second,0.011043318811985378,TA
FDUSDUSDT,2023-07-28-00:00,2023-07-29-00:00,first,0.021755181453675103,TA
FDUSDUSDT,2023-07-28-00:00,2023-07-29-00:00,second,0.02166080484743804,TA
FDUSDUSDT,2023-07-29-00:00,2023-07-30-00:00,first,0.02824916771548054,TA
FDUSDUSDT,2023-07-29-00:00,2023-07-30-00:00,second,0.027506763582665163,TA
FDUSDUSDT,2023-07-30-00:00,2023-07-31-00:00,first,0.03264693379726122,TA
FDUSDUSDT,2023-07-30-00:00,2023-07-31-00:00,second,0.02704634548622024,TA
FDUSDUSDT,2023-07-31-00:00,2023-08-01-00:00,first,0.032359128419707305,TA
FDUSDUSDT,2023-07-31-00:00,2023-08-01-00:00,second,0.03357671505467672,TA
FDUSDUSDT,2023-08-01-00:00,2023-08-02-00:00,first,0.012157821586106433,TA
FDUSDUSDT,2023-08-01-00:00,2023-08-02-00:00,second,0.013858738371487569,TA
FDUSDUSDT,2023-08-02-00:00,2023-08-03-00:00,first,0.022895870452458392,TA
FDUSDUSDT,2023-08-02-00:00,2023-08-03-00:00,second,0.010606181587393489,TA
FDUSDUSDT,2023-08-03-00:00,2023-08-04-00:00,first,0.009260839191892065,TA
FDUSDUSDT,2023-08-03-00:00,2023-08-04-00:00,second,0.006544480340524296,TA
FDUSDUSDT,2023-08-04-00:00,2023-08-05-00:00,first,0.01119106291982324,TA
FDUSDUSDT,2023-08-04-00:00,2023-08-05-00:00,second,0.005348793663566709,TA
FDUSDUSDT,2023-08-05-00:00,2023-08-06-00:00,first,0.017459445793538912,TA
FDUSDUSDT,2023-08-05-00:00,2023-08-06-00:00,second,0.005150295929181895,TA
FDUSDUSDT,2023-08-06-00:00,2023-08-07-00:00,first,0.019276420401149328,TA
FDUSDUSDT,2023-08-06-00:00,2023-08-07-00:00,second,0.007226043855373275,TA
FDUSDUSDT,2023-08-07-00:00,2023-08-08-00:00,first,0.01453595579111454,TA
FDUSDUSDT,2023-08-07-00:00,2023-08-08-00:00,second,0.005022945608019036,TA
FDUSDUSDT,2023-08-08-00:00,2023-08-09-00:00,first,0.015038593773398397,TA
FDUSDUSDT,2023-08-08-00:00,2023-08-09-00:00,second,0.011997109371824266,TA
FDUSDUSDT,2023-08-09-00:00,2023-08-10-00:00,first,0.012048236245087995,TA
FDUSDUSDT,2023-08-09-00:00,2023-08-10-00:00,second,0.0059075842647578454,TA
FDUSDUSDT,2023-08-10-00:00,2023-08-11-00:00,first,0.007471905220717615,TA
FDUSDUSDT,2023-08-10-00:00,2023-08-11-00:00,second,0.01982852236755484,TA
FDUSDUSDT,2023-08-11-00:00,2023-08-12-00:00,first,0.013990703242423788,TA
FDUSDUSDT,2023-08-11-00:00,2023-08-12-00:00,second,0.014398243170406704,TA
FDUSDUSDT,2023-08-12-00:00,2023-08-13-00:00,first,0.019631444273483595,TA
FDUSDUSDT,2023-08-12-00:00,2023-08-13-00:00,second,0.019335556230259184,TA
FDUSDUSDT,2023-08-13-00:00,2023-08-14-00:00,first,0.00890484216703263,TA
FDUSDUSDT,2023-08-13-00:00,2023-08-14-00:00,second,0.01730243548698206,TA
FDUSDUSDT,2023-08-14-00:00,2023-08-15-00:00,first,0.01288112343532776,TA
FDUSDUSDT,2023-08-14-00:00,2023-08-15-00:00,second,0.02411206439325977,TA
FDUSDUSDT,2023-08-15-00:00,2023-08-16-00:00,first,0.007979313332621073,TA
FDUSDUSDT,2023-08-15-00:00,2023-08-16-00:00,second,0.016356286196538623,TA
FDUSDUSDT,2023-08-16-00:00,2023-08-17-00:00,first,0.004720734165097658,TA
FDUSDUSDT,2023-08-16-00:00,2023-08-17-00:00,second,0.010804560455728222,TA
FDUSDUSDT,2023-08-17-00:00,2023-08-18-00:00,first,0.012326789573150997,TA
FDUSDUSDT,2023-08-17-00:00,2023-08-18-00:00,second,0.006803478366122026,TA
FDUSDUSDT,2023-08-18-00:00,2023-08-19-00:00,first,0.00987663326731471,TA
FDUSDUSDT,2023-08-18-00:00,2023-08-19-00:00,second,0.00785502861259831,TA
FDUSDUSDT,2023-08-19-00:00,2023-08-20-00:00,first,0.017514461553383473,TA
FDUSDUSDT,2023-08-19-00:00,2023-08-20-00:00,second,0.012986746003522717,TA
FDUSDUSDT,2023-08-20-00:00,2023-08-21-00:00,first,0.008693337391373315,TA
FDUSDUSDT,2023-08-20-00:00,2023-08-21-00:00,second,0.010279629140113407,TA
FDUSDUSDT,2023-08-21-00:00,2023-08-22-00:00,first,0.013336983653279526,TA
FDUSDUSDT,2023-08-21-00:00,2023-08-22-00:00,second,0.011956608406706542,TA
FDUSDUSDT,2023-08-22-00:00,2023-08-23-00:00,first,0.013847342379721121,TA
FDUSDUSDT,2023-08-22-00:00,2023-08-23-00:00,second,0.015586992358433704,TA
FDUSDUSDT,2023-08-23-00:00,2023-08-24-00:00,first,0.018454746473152737,TA
FDUSDUSDT,2023-08-23-00:00,2023-08-24-00:00,second,0.019824376369690748,TA
FDUSDUSDT,2023-08-24-00:00,2023-08-25-00:00,first,0.014206764155393055,TA
FDUSDUSDT,2023-08-24-00:00,2023-08-25-00:00,second,0.012348539770971766,TA
FDUSDUSDT,2023-08-25-00:00,2023-08-26-00:00,first,0.018338639952270988,TA
FDUSDUSDT,2023-08-25-00:00,2023-08-26-00:00,second,0.016781779252801006,TA
FDUSDUSDT,2023-08-26-00:00,2023-08-27-00:00,first,0.015579858374291525,TA
FDUSDUSDT,2023-08-26-00:00,2023-08-27-00:00,second,0.01858296712368713,TA
FDUSDUSDT,2023-08-27-00:00,2023-08-28-00:00,first,0.03456834584070604,TA
FDUSDUSDT,2023-08-27-00:00,2023-08-28-00:00,second,0.02998175644844822,TA
FDUSDUSDT,2023-08-28-00:00,2023-08-29-00:00,first,0.014102812170889675,TA
FDUSDUSDT,2023-08-28-00:00,2023-08-29-00:00,second,0.01127078696506208,TA
FDUSDUSDT,2023-08-29-00:00,2023-08-30-00:00,first,0.013036908793385836,TA
FDUSDUSDT,2023-08-29-00:00,2023-08-30-00:00,second,0.008745957427664494,TA
FDUSDUSDT,2023-08-30-00:00,2023-08-31-00:00,first,0.010714971088659146,TA
FDUSDUSDT,2023-08-30-00:00,2023-08-31-00:00,second,0.005400101163804664,TA
FDUSDUSDT,2023-08-31-00:00,2023-09-01-00:00,first,0.006755099670573606,TA
FDUSDUSDT,2023-08-31-00:00,2023-09-01-00:00,second,0.010352862790075138,TA
FDUSDUSDT,2023-09-01-00:00,2023-09-02-00:00,first,0.007196811712541434,TA
FDUSDUSDT,2023-09-01-00:00,2023-09-02-00:00,second,0.00795898512370246,TA
FDUSDUSDT,2023-09-02-00:00,2023-09-03-00:00,first,0.005850052825015497,TA
FDUSDUSDT,2023-09-02-00:00,2023-09-03-00:00,second,0.01080083367497369,TA
FDUSDUSDT,2023-09-03-00:00,2023-09-04-00:00,first,0.013575649359174059,TA
FDUSDUSDT,2023-09-03-00:00,2023-09-04-00:00,second,0.014457255679266562,TA
FDUSDUSDT,2023-09-04-00:00,2023-09-05-00:00,first,0.015201159444295485,TA
FDUSDUSDT,2023-09-04-00:00,2023-09-05-00:00,second,0.013189739918635734,TA
FDUSDUSDT,2023-09-05-00:00,2023-09-06-00:00,first,0.010728421235807509,TA
FDUSDUSDT,2023-09-05-00:00,2023-09-06-00:00,second,0.006294944063021821,TA
FDUSDUSDT,2023-09-06-00:00,2023-09-07-00:00,first,0.0054697003545325674,TA
FDUSDUSDT,2023-09-06-00:00,2023-09-07-00:00,second,0.006348839276361087,TA
FDUSDUSDT,2023-09-07-00:00,2023-09-08-00:00,first,0.014269678163471898,TA
FDUSDUSDT,2023-09-07-00:00,2023-09-08-00:00,second,0.0075440766098642895,TA
FDUSDUSDT,2023-09-08-00:00,2023-09-09-00:00,first,0.007041964158398195,TA
FDUSDUSDT,2023-09-08-00:00,2023-09-09-00:00,second,0.007349407312732911,TA
FDUSDUSDT,2023-09-09-00:00,2023-09-10-00:00,first,0.007289114540860179,TA
