symbol,start_date,end_date,digit_type,mad,target
LINKUSDT,2023-01-01-00:00,2023-01-02-00:00,first,0.00528192116263538,TA
LINKUSDT,2023-01-01-00:00,2023-01-02-00:00,second,0.0076411307344468925,TA
LINKUSDT,2023-01-02-00:00,2023-01-03-00:00,first,0.006027488365288659,TA
LINKUSDT,2023-01-02-00:00,2023-01-03-00:00,second,0.005387700679476581,TA
LINKUSDT,2023-01-03-00:00,2023-01-04-00:00,first,0.00728132874519286,TA
LINKUSDT,2023-01-03-00:00,2023-01-04-00:00,second,0.006630871436319757,TA
LINKUSDT,2023-01-04-00:00,2023-01-05-00:00,first,0.009010957282196959,TA
LINKUSDT,2023-01-04-00:00,2023-01-05-00:00,second,0.00835476732578187,TA
LINKUSDT,2023-01-05-00:00,2023-01-06-00:00,first,0.016221927906152126,TA
LINKUSDT,2023-01-05-00:00,2023-01-06-00:00,second,0.0059243541516237255,TA
LINKUSDT,2023-01-06-00:00,2023-01-07-00:00,first,0.008913825398950186,TA
LINKUSDT,2023-01-06-00:00,2023-01-07-00:00,second,0.0065247013644376866,TA
LINKUSDT,2023-01-07-00:00,2023-01-08-00:00,first,0.007032950413471212,TA
LINKUSDT,2023-01-07-00:00,2023-01-08-00:00,second,0.005301332211278052,TA
LINKUSDT,2023-01-08-00:00,2023-01-09-00:00,first,0.007253818663811997,TA
LINKUSDT,2023-01-08-00:00,2023-01-09-00:00,second,0.008123175050663031,TA
LINKUSDT,2023-01-09-00:00,2023-01-10-00:00,first,0.006773432359458006,TA
LINKUSDT,2023-01-09-00:00,2023-01-10-00:00,second,0.010863008513343906,TA
LINKUSDT,2023-01-10-00:00,2023-01-11-00:00,first,0.009403397117350209,TA
LINKUSDT,2023-01-10-00:00,2023-01-11-00:00,second,0.006656208704411741,TA
LINKUSDT,2023-01-11-00:00,2023-01-12-00:00,first,0.006205738673179042,TA
LINKUSDT,2023-01-11-00:00,2023-01-12-00:00,second,0.007203527626018424,TA
LINKUSDT,2023-01-12-00:00,2023-01-13-00:00,first,0.004891783121247551,TA
LINKUSDT,2023-01-12-00:00,2023-01-13-00:00,second,0.006873921795647888,TA
LINKUSDT,2023-01-13-00:00,2023-01-14-00:00,first,0.010873145658085948,TA
LINKUSDT,2023-01-13-00:00,2023-01-14-00:00,second,0.005296279193503126,TA
LINKUSDT,2023-01-14-00:00,2023-01-15-00:00,first,0.009208549117961854,TA
LINKUSDT,2023-01-14-00:00,2023-01-15-00:00,second,0.006366244771056134,TA
LINKUSDT,2023-01-15-00:00,2023-01-16-00:00,first,0.007937122669283123,TA
LINKUSDT,2023-01-15-00:00,2023-01-16-00:00,second,0.004903711994128157,TA
LINKUSDT,2023-01-16-00:00,2023-01-17-00:00,first,0.013945801911698086,TA
LINKUSDT,2023-01-16-00:00,2023-01-17-00:00,second,0.005557692599989672,TA
LINKUSDT,2023-01-17-00:00,2023-01-18-00:00,first,0.007451506308558182,TA
LINKUSDT,2023-01-17-00:00,2023-01-18-00:00,second,0.006159373351963679,TA
LINKUSDT,2023-01-18-00:00,2023-01-19-00:00,first,0.006664789599344645,TA
LINKUSDT,2023-01-18-00:00,2023-01-19-00:00,second,0.005579373952430575,TA
LINKUSDT,2023-01-19-00:00,2023-01-20-00:00,first,0.008366805090525176,TA
LINKUSDT,2023-01-19-00:00,2023-01-20-00:00,second,0.004321302864238101,TA
LINKUSDT,2023-01-20-00:00,2023-01-21-00:00,first,0.0054096615426410255,TA
LINKUSDT,2023-01-20-00:00,2023-01-21-00:00,second,0.005409527682145069,TA
LINKUSDT,2023-01-21-00:00,2023-01-22-00:00,first,0.00870252949285314,TA
LINKUSDT,2023-01-21-00:00,2023-01-22-00:00,second,0.004549236975115665,TA
LINKUSDT,2023-01-22-00:00,2023-01-23-00:00,first,0.0058823481772570935,TA
LINKUSDT,2023-01-22-00:00,2023-01-23-00:00,second,0.00609153520905943,TA
LINKUSDT,2023-01-23-00:00,2023-01-24-00:00,first,0.011391033526341219,TA
LINKUSDT,2023-01-23-00:00,2023-01-24-00:00,second,0.005103393492481423,TA
LINKUSDT,2023-01-24-00:00,2023-01-25-00:00,first,0.01675524414424497,TA
LINKUSDT,2023-01-24-00:00,2023-01-25-00:00,second,0.005504632398766224,TA
LINKUSDT,2023-01-25-00:00,2023-01-26-00:00,first,0.011472716947157985,TA
LINKUSDT,2023-01-25-00:00,2023-01-26-00:00,second,0.00653092071857436,TA
LINKUSDT,2023-01-26-00:00,2023-01-27-00:00,first,0.011257930743888842,TA
LINKUSDT,2023-01-26-00:00,2023-01-27-00:00,second,0.006849135445568842,TA
LINKUSDT,2023-01-27-00:00,2023-01-28-00:00,first,0.011333951514916082,TA
LINKUSDT,2023-01-27-00:00,2023-01-28-00:00,second,0.007246115770025746,TA
LINKUSDT,2023-01-28-00:00,2023-01-29-00:00,first,0.010365606638631054,TA
LINKUSDT,2023-01-28-00:00,2023-01-29-00:00,second,0.004101751016241201,TA
LINKUSDT,2023-01-29-00:00,2023-01-30-00:00,first,0.008223111246829786,TA
LINKUSDT,2023-01-29-00:00,2023-01-30-00:00,second,0.006943919946344716,TA
LINKUSDT,2023-01-30-00:00,2023-01-31-00:00,first,0.005156785305658108,TA
LINKUSDT,2023-01-30-00:00,2023-01-31-00:00,second,0.0036592636286132073,TA
LINKUSDT,2023-01-31-00:00,2023-02-01-00:00,first,0.015113278110686591,TA
LINKUSDT,2023-01-31-00:00,2023-02-01-00:00,second,0.006362546087914806,TA
LINKUSDT,2023-02-01-00:00,2023-02-02-00:00,first,0.008651110131217539,TA
LINKUSDT,2023-02-01-00:00,2023-02-02-00:00,second,0.005195869160003651,TA
LINKUSDT,2023-02-02-00:00,2023-02-03-00:00,first,0.009586179311889468,TA
LINKUSDT,2023-02-02-00:00,2023-02-03-00:00,second,0.004183368503411798,TA
LINKUSDT,2023-02-03-00:00,2023-02-04-00:00,first,0.01087697248068988,TA
LINKUSDT,2023-02-03-00:00,2023-02-04-00:00,second,0.0033234036575148784,TA
LINKUSDT,2023-02-04-00:00,2023-02-05-00:00,first,0.0064017274315019855,TA
LINKUSDT,2023-02-04-00:00,2023-02-05-00:00,second,0.006701891945752543,TA
LINKUSDT,2023-02-05-00:00,2023-02-06-00:00,first,0.005856426538461019,TA
LINKUSDT,2023-02-05-00:00,2023-02-06-00:00,second,0.006130471316099746,TA
LINKUSDT,2023-02-06-00:00,2023-02-07-00:00,first,0.006891217535032263,TA
LINKUSDT,2023-02-06-00:00,2023-02-07-00:00,second,0.005898363703820518,TA
LINKUSDT,2023-02-07-00:00,2023-02-08-00:00,first,0.00696723830605951,TA
LINKUSDT,2023-02-07-00:00,2023-02-08-00:00,second,0.006236772642930275,TA
LINKUSDT,2023-02-08-00:00,2023-02-09-00:00,first,0.012887415761214247,TA
LINKUSDT,2023-02-08-00:00,2023-02-09-00:00,second,0.00501809668062313,TA
LINKUSDT,2023-02-09-00:00,2023-02-10-00:00,first,0.005976943033740456,TA
LINKUSDT,2023-02-09-00:00,2023-02-10-00:00,second,0.004433940309465133,TA
LINKUSDT,2023-02-10-00:00,2023-02-11-00:00,first,0.010124046673352847,TA
LINKUSDT,2023-02-10-00:00,2023-02-11-00:00,second,0.005924371057753154,TA
LINKUSDT,2023-02-11-00:00,2023-02-12-00:00,first,0.012309950790636506,TA
LINKUSDT,2023-02-11-00:00,2023-02-12-00:00,second,0.0043910686818958294,TA
LINKUSDT,2023-02-12-00:00,2023-02-13-00:00,first,0.0057889800105575895,TA
LINKUSDT,2023-02-12-00:00,2023-02-13-00:00,second,0.007756675491189626,TA
LINKUSDT,2023-02-13-00:00,2023-02-14-00:00,first,0.010824441592635271,TA
LINKUSDT,2023-02-13-00:00,2023-02-14-00:00,second,0.007979206234499723,TA
LINKUSDT,2023-02-14-00:00,2023-02-15-00:00,first,0.008020342406602602,TA
LINKUSDT,2023-02-14-00:00,2023-02-15-00:00,second,0.004896075901180535,TA
LINKUSDT,2023-02-15-00:00,2023-02-16-00:00,first,0.008180975112411636,TA
LINKUSDT,2023-02-15-00:00,2023-02-16-00:00,second,0.004621916371489646,TA
LINKUSDT,2023-02-16-00:00,2023-02-17-00:00,first,0.00943085389079855,TA
LINKUSDT,2023-02-16-00:00,2023-02-17-00:00,second,0.006119318073974986,TA
LINKUSDT,2023-02-17-00:00,2023-02-18-00:00,first,0.005942127851188766,TA
LINKUSDT,2023-02-17-00:00,2023-02-18-00:00,second,0.006527150236905745,TA
LINKUSDT,2023-02-18-00:00,2023-02-19-00:00,first,0.01210502098827563,TA
LINKUSDT,2023-02-18-00:00,2023-02-19-00:00,second,0.004650641716133582,TA
LINKUSDT,2023-02-19-00:00,2023-02-20-00:00,first,0.012276222832316145,TA
LINKUSDT,2023-02-19-00:00,2023-02-20-00:00,second,0.006512199750034959,TA
LINKUSDT,2023-02-20-00:00,2023-02-21-00:00,first,0.009864343042052116,TA
LINKUSDT,2023-02-20-00:00,2023-02-21-00:00,second,0.004810803701526194,TA
LINKUSDT,2023-02-21-00:00,2023-02-22-00:00,first,0.0153393896135348,TA
LINKUSDT,2023-02-21-00:00,2023-02-22-00:00,second,0.004142592383700605,TA
LINKUSDT,2023-02-22-00:00,2023-02-23-00:00,first,0.007285451908043795,TA
LINKUSDT,2023-02-22-00:00,2023-02-23-00:00,second,0.007218051508894342,TA
LINKUSDT,2023-02-23-00:00,2023-02-24-00:00,first,0.008932241307577214,TA
LINKUSDT,2023-02-23-00:00,2023-02-24-00:00,second,0.005228425546621479,TA
LINKUSDT,2023-02-24-00:00,2023-02-25-00:00,first,0.009494710078432235,TA
LINKUSDT,2023-02-24-00:00,2023-02-25-00:00,second,0.0044124546671706465,TA
LINKUSDT,2023-02-25-00:00,2023-02-26-00:00,first,0.005780553065493358,TA
LINKUSDT,2023-02-25-00:00,2023-02-26-00:00,second,0.0042892473312091325,TA
LINKUSDT,2023-02-26-00:00,2023-02-27-00:00,first,0.006660541537146429,TA
LINKUSDT,2023-02-26-00:00,2023-02-27-00:00,second,0.006147314545858602,TA
LINKUSDT,2023-02-27-00:00,2023-02-28-00:00,first,0.0072786840189884945,TA
LINKUSDT,2023-02-27-00:00,2023-02-28-00:00,second,0.00552585501072337,TA
LINKUSDT,2023-02-28-00:00,2023-03-01-00:00,first,0.009098936218482104,TA
LINKUSDT,2023-02-28-00:00,2023-03-01-00:00,second,0.009313760103542467,TA
LINKUSDT,2023-03-01-00:00,2023-03-02-00:00,first,0.016038561478718048,TA
LINKUSDT,2023-03-01-00:00,2023-03-02-00:00,second,0.008405485368277803,TA
LINKUSDT,2023-03-02-00:00,2023-03-03-00:00,first,0.007255029585274926,TA
LINKUSDT,2023-03-02-00:00,2023-03-03-00:00,second,0.006927895716965842,TA
LINKUSDT,2023-03-03-00:00,2023-03-04-00:00,first,0.009136018644106713,TA
LINKUSDT,2023-03-03-00:00,2023-03-04-00:00,second,0.006144486550198257,TA
LINKUSDT,2023-03-04-00:00,2023-03-05-00:00,first,0.00570369314540045,TA
LINKUSDT,2023-03-04-00:00,2023-03-05-00:00,second,0.005486204036663273,TA
