symbol,start_date,end_date,digit_type,mad,target
OGUSDT,2023-01-01-00:00,2023-01-02-00:00,first,0.025325500718383173,TA
OGUSDT,2023-01-01-00:00,2023-01-02-00:00,second,0.01964343474929143,TA
OGUSDT,2023-01-02-00:00,2023-01-03-00:00,first,0.02785701067527532,TA
OGUSDT,2023-01-02-00:00,2023-01-03-00:00,second,0.02107176327412936,TA
OGUSDT,2023-01-03-00:00,2023-01-04-00:00,first,0.03814646221472687,TA
OGUSDT,2023-01-03-00:00,2023-01-04-00:00,second,0.024508326750647035,TA
OGUSDT,2023-01-04-00:00,2023-01-05-00:00,first,0.03192256019828352,TA
OGUSDT,2023-01-04-00:00,2023-01-05-00:00,second,0.02564112984643501,TA
OGUSDT,2023-01-05-00:00,2023-01-06-00:00,first,0.021683772021979998,TA
OGUSDT,2023-01-05-00:00,2023-01-06-00:00,second,0.018167156333954843,TA
OGUSDT,2023-01-06-00:00,2023-01-07-00:00,first,0.028147299261130514,TA
OGUSDT,2023-01-06-00:00,2023-01-07-00:00,second,0.01709539842928454,TA
OGUSDT,2023-01-07-00:00,2023-01-08-00:00,first,0.03774675895442731,TA
OGUSDT,2023-01-07-00:00,2023-01-08-00:00,second,0.031472093153292295,TA
OGUSDT,2023-01-08-00:00,2023-01-09-00:00,first,0.03577349859176323,TA
OGUSDT,2023-01-08-00:00,2023-01-09-00:00,second,0.041530811420190536,TA
OGUSDT,2023-01-09-00:00,2023-01-10-00:00,first,0.03386547820363239,TA
OGUSDT,2023-01-09-00:00,2023-01-10-00:00,second,0.019331328059184534,TA
OGUSDT,2023-01-10-00:00,2023-01-11-00:00,first,0.02819367297085425,TA
OGUSDT,2023-01-10-00:00,2023-01-11-00:00,second,0.027267646147558788,TA
OGUSDT,2023-01-11-00:00,2023-01-12-00:00,first,0.028920315672471386,TA
OGUSDT,2023-01-11-00:00,2023-01-12-00:00,second,0.014365542213649279,TA
OGUSDT,2023-01-12-00:00,2023-01-13-00:00,first,0.026776578949430883,TA
OGUSDT,2023-01-12-00:00,2023-01-13-00:00,second,0.019922403146022727,TA
OGUSDT,2023-01-13-00:00,2023-01-14-00:00,first,0.01654562166660299,TA
OGUSDT,2023-01-13-00:00,2023-01-14-00:00,second,0.013462538290589752,TA
OGUSDT,2023-01-14-00:00,2023-01-15-00:00,first,0.015557553486130644,TA
OGUSDT,2023-01-14-00:00,2023-01-15-00:00,second,0.01238783575384675,TA
OGUSDT,2023-01-15-00:00,2023-01-16-00:00,first,0.015071957618980343,TA
OGUSDT,2023-01-15-00:00,2023-01-16-00:00,second,0.009559701964769832,TA
OGUSDT,2023-01-16-00:00,2023-01-17-00:00,first,0.009256723949358999,TA
OGUSDT,2023-01-16-00:00,2023-01-17-00:00,second,0.021924496929014027,TA
OGUSDT,2023-01-17-00:00,2023-01-18-00:00,first,0.01767998193406401,TA
OGUSDT,2023-01-17-00:00,2023-01-18-00:00,second,0.017916317164475455,TA
OGUSDT,2023-01-18-00:00,2023-01-19-00:00,first,0.01242713369094927,TA
OGUSDT,2023-01-18-00:00,2023-01-19-00:00,second,0.03506028053792848,TA
OGUSDT,2023-01-19-00:00,2023-01-20-00:00,first,0.016261806242824934,TA
OGUSDT,2023-01-19-00:00,2023-01-20-00:00,second,0.02429774772499743,TA
OGUSDT,2023-01-20-00:00,2023-01-21-00:00,first,0.021938328796343016,TA
OGUSDT,2023-01-20-00:00,2023-01-21-00:00,second,0.018455724979164617,TA
OGUSDT,2023-01-21-00:00,2023-01-22-00:00,first,0.008950220770247888,TA
OGUSDT,2023-01-21-00:00,2023-01-22-00:00,second,0.022352352917026176,TA
OGUSDT,2023-01-22-00:00,2023-01-23-00:00,first,0.019970749288914902,TA
OGUSDT,2023-01-22-00:00,2023-01-23-00:00,second,0.027523515832046118,TA
OGUSDT,2023-01-23-00:00,2023-01-24-00:00,first,0.011549682859232104,TA
OGUSDT,2023-01-23-00:00,2023-01-24-00:00,second,0.024524803084347575,TA
OGUSDT,2023-01-24-00:00,2023-01-25-00:00,first,0.015575112124675716,TA
OGUSDT,2023-01-24-00:00,2023-01-25-00:00,second,0.024429526845447136,TA
OGUSDT,2023-01-25-00:00,2023-01-26-00:00,first,0.007480004688122121,TA
OGUSDT,2023-01-25-00:00,2023-01-26-00:00,second,0.017853516677403557,TA
OGUSDT,2023-01-26-00:00,2023-01-27-00:00,first,0.00925617104033245,TA
OGUSDT,2023-01-26-00:00,2023-01-27-00:00,second,0.01574442369643749,TA
OGUSDT,2023-01-27-00:00,2023-01-28-00:00,first,0.013866143471995595,TA
OGUSDT,2023-01-27-00:00,2023-01-28-00:00,second,0.023566701808525006,TA
OGUSDT,2023-01-28-00:00,2023-01-29-00:00,first,0.02475983963712389,TA
OGUSDT,2023-01-28-00:00,2023-01-29-00:00,second,0.03292359703091109,TA
OGUSDT,2023-01-29-00:00,2023-01-30-00:00,first,0.012684914485632436,TA
OGUSDT,2023-01-29-00:00,2023-01-30-00:00,second,0.029040462794024835,TA
OGUSDT,2023-01-30-00:00,2023-01-31-00:00,first,0.017296219059103588,TA
OGUSDT,2023-01-30-00:00,2023-01-31-00:00,second,0.02193812073159989,TA
OGUSDT,2023-01-31-00:00,2023-02-01-00:00,first,0.014361461804568851,TA
