symbol,start_date,end_date,digit_type,mad,target
POLYXUSDT,2023-01-01-00:00,2023-01-02-00:00,first,0.025546969213186513,TA
POLYXUSDT,2023-01-01-00:00,2023-01-02-00:00,second,0.010677519211102136,TA
POLYXUSDT,2023-01-02-00:00,2023-01-03-00:00,first,0.016790727927067206,TA
POLYXUSDT,2023-01-02-00:00,2023-01-03-00:00,second,0.012906888759790586,TA
POLYXUSDT,2023-01-03-00:00,2023-01-04-00:00,first,0.03653924595277019,TA
POLYXUSDT,2023-01-03-00:00,2023-01-04-00:00,second,0.027394074112107175,TA
POLYXUSDT,2023-01-04-00:00,2023-01-05-00:00,first,0.02955105675141059,TA
POLYXUSDT,2023-01-04-00:00,2023-01-05-00:00,second,0.01389469912695337,TA
POLYXUSDT,2023-01-05-00:00,2023-01-06-00:00,first,0.025180585292909008,TA
POLYXUSDT,2023-01-05-00:00,2023-01-06-00:00,second,0.021378835863479464,TA
POLYXUSDT,2023-01-06-00:00,2023-01-07-00:00,first,0.060492843605584046,TA
POLYXUSDT,2023-01-06-00:00,2023-01-07-00:00,second,0.027902614550181986,TA
POLYXUSDT,2023-01-07-00:00,2023-01-08-00:00,first,0.03969359269482589,TA
POLYXUSDT,2023-01-07-00:00,2023-01-08-00:00,second,0.0348481878368201,TA
POLYXUSDT,2023-01-08-00:00,2023-01-09-00:00,first,0.0286122466625021,TA
POLYXUSDT,2023-01-08-00:00,2023-01-09-00:00,second,0.02449827063615771,TA
POLYXUSDT,2023-01-09-00:00,2023-01-10-00:00,first,0.021868184260396217,TA
POLYXUSDT,2023-01-09-00:00,2023-01-10-00:00,second,0.017465107141939055,TA
POLYXUSDT,2023-01-10-00:00,2023-01-11-00:00,first,0.010739852543315696,TA
POLYXUSDT,2023-01-10-00:00,2023-01-11-00:00,second,0.0075984542850012935,TA
POLYXUSDT,2023-01-11-00:00,2023-01-12-00:00,first,0.01988341426966829,TA
POLYXUSDT,2023-01-11-00:00,2023-01-12-00:00,second,0.018077351955881584,TA
POLYXUSDT,2023-01-12-00:00,2023-01-13-00:00,first,0.026724992491237803,TA
POLYXUSDT,2023-01-12-00:00,2023-01-13-00:00,second,0.01703601648723658,TA
POLYXUSDT,2023-01-13-00:00,2023-01-14-00:00,first,0.016194191182291436,TA
POLYXUSDT,2023-01-13-00:00,2023-01-14-00:00,second,0.007983640794359485,TA
POLYXUSDT,2023-01-14-00:00,2023-01-15-00:00,first,0.01604031800126509,TA
POLYXUSDT,2023-01-14-00:00,2023-01-15-00:00,second,0.01653200527667255,TA
POLYXUSDT,2023-01-15-00:00,2023-01-16-00:00,first,0.011687322851748887,TA
POLYXUSDT,2023-01-15-00:00,2023-01-16-00:00,second,0.01227890183116976,TA
POLYXUSDT,2023-01-16-00:00,2023-01-17-00:00,first,0.011886947833265592,TA
POLYXUSDT,2023-01-16-00:00,2023-01-17-00:00,second,0.01317562954642868,TA
POLYXUSDT,2023-01-17-00:00,2023-01-18-00:00,first,0.019009600079419448,TA
POLYXUSDT,2023-01-17-00:00,2023-01-18-00:00,second,0.02397359009827935,TA
POLYXUSDT,2023-01-18-00:00,2023-01-19-00:00,first,0.018698570536605542,TA
POLYXUSDT,2023-01-18-00:00,2023-01-19-00:00,second,0.03442699470966508,TA
POLYXUSDT,2023-01-19-00:00,2023-01-20-00:00,first,0.014958045650355892,TA
POLYXUSDT,2023-01-19-00:00,2023-01-20-00:00,second,0.02088050543002034,TA
POLYXUSDT,2023-01-20-00:00,2023-01-21-00:00,first,0.010668211201898375,TA
POLYXUSDT,2023-01-20-00:00,2023-01-21-00:00,second,0.01908033677949412,TA
POLYXUSDT,2023-01-21-00:00,2023-01-22-00:00,first,0.009497910848604303,TA
POLYXUSDT,2023-01-21-00:00,2023-01-22-00:00,second,0.014666362186087597,TA
POLYXUSDT,2023-01-22-00:00,2023-01-23-00:00,first,0.02964433028445839,TA
POLYXUSDT,2023-01-22-00:00,2023-01-23-00:00,second,0.017989125950198272,TA
POLYXUSDT,2023-01-23-00:00,2023-01-24-00:00,first,0.03945789459757141,TA
POLYXUSDT,2023-01-23-00:00,2023-01-24-00:00,second,0.026161531729347105,TA
POLYXUSDT,2023-01-24-00:00,2023-01-25-00:00,first,0.029379346948799036,TA
POLYXUSDT,2023-01-24-00:00,2023-01-25-00:00,second,0.016342297059656712,TA
POLYXUSDT,2023-01-25-00:00,2023-01-26-00:00,first,0.025341281105177638,TA
POLYXUSDT,2023-01-25-00:00,2023-01-26-00:00,second,0.011075267526435291,TA
POLYXUSDT,2023-01-26-00:00,2023-01-27-00:00,first,0.03197228938745936,TA
POLYXUSDT,2023-01-26-00:00,2023-01-27-00:00,second,0.017768829311757554,TA
POLYXUSDT,2023-01-27-00:00,2023-01-28-00:00,first,0.03106692744043114,TA
POLYXUSDT,2023-01-27-00:00,2023-01-28-00:00,second,0.0129112546274272,TA
POLYXUSDT,2023-01-28-00:00,2023-01-29-00:00,first,0.022208867645966794,TA
POLYXUSDT,2023-01-28-00:00,2023-01-29-00:00,second,0.017443818362481753,TA
POLYXUSDT,2023-01-29-00:00,2023-01-30-00:00,first,0.025651523921755973,TA
POLYXUSDT,2023-01-29-00:00,2023-01-30-00:00,second,0.01580357747072838,TA
POLYXUSDT,2023-01-30-00:00,2023-01-31-00:00,first,0.03144201423425603,TA
POLYXUSDT,2023-01-30-00:00,2023-01-31-00:00,second,0.014515888735517596,TA
POLYXUSDT,2023-01-31-00:00,2023-02-01-00:00,first,0.013420738813621273,TA
POLYXUSDT,2023-01-31-00:00,2023-02-01-00:00,second,0.01806402205313911,TA
POLYXUSDT,2023-02-01-00:00,2023-02-02-00:00,first,0.011406105837500562,TA
POLYXUSDT,2023-02-01-00:00,2023-02-02-00:00,second,0.015417514869249468,TA
POLYXUSDT,2023-02-02-00:00,2023-02-03-00:00,first,0.010614994659620732,TA
POLYXUSDT,2023-02-02-00:00,2023-02-03-00:00,second,0.011762093951929991,TA
POLYXUSDT,2023-02-03-00:00,2023-02-04-00:00,first,0.02345339327783026,TA
POLYXUSDT,2023-02-03-00:00,2023-02-04-00:00,second,0.016378503878351793,TA
POLYXUSDT,2023-02-04-00:00,2023-02-05-00:00,first,0.014751460030909916,TA
POLYXUSDT,2023-02-04-00:00,2023-02-05-00:00,second,0.015542435682941771,TA
POLYXUSDT,2023-02-05-00:00,2023-02-06-00:00,first,0.016045499718666097,TA
POLYXUSDT,2023-02-05-00:00,2023-02-06-00:00,second,0.011365750937015178,TA
POLYXUSDT,2023-02-06-00:00,2023-02-07-00:00,first,0.029750705143587606,TA
POLYXUSDT,2023-02-06-00:00,2023-02-07-00:00,second,0.01637282356827597,TA
POLYXUSDT,2023-02-07-00:00,2023-02-08-00:00,first,0.02170903188811621,TA
POLYXUSDT,2023-02-07-00:00,2023-02-08-00:00,second,0.015892520341605775,TA
POLYXUSDT,2023-02-08-00:00,2023-02-09-00:00,first,0.027411457448690717,TA
POLYXUSDT,2023-02-08-00:00,2023-02-09-00:00,second,0.013000389900427034,TA
POLYXUSDT,2023-02-09-00:00,2023-02-10-00:00,first,0.023169661093332534,TA
POLYXUSDT,2023-02-09-00:00,2023-02-10-00:00,second,0.015333627778865105,TA
POLYXUSDT,2023-02-10-00:00,2023-02-11-00:00,first,0.028574747601336183,TA
POLYXUSDT,2023-02-10-00:00,2023-02-11-00:00,second,0.011867488129835272,TA
POLYXUSDT,2023-02-11-00:00,2023-02-12-00:00,first,0.03522594923045622,TA
POLYXUSDT,2023-02-11-00:00,2023-02-12-00:00,second,0.018572113361094537,TA
POLYXUSDT,2023-02-12-00:00,2023-02-13-00:00,first,0.01834501436084795,TA
POLYXUSDT,2023-02-12-00:00,2023-02-13-00:00,second,0.018031908111248707,TA
POLYXUSDT,2023-02-13-00:00,2023-02-14-00:00,first,0.016234325881351985,TA
POLYXUSDT,2023-02-13-00:00,2023-02-14-00:00,second,0.013706685749731167,TA
POLYXUSDT,2023-02-14-00:00,2023-02-15-00:00,first,0.018386668593786144,TA
POLYXUSDT,2023-02-14-00:00,2023-02-15-00:00,second,0.02289170803096686,TA
POLYXUSDT,2023-02-15-00:00,2023-02-16-00:00,first,0.012701586408653957,TA
POLYXUSDT,2023-02-15-00:00,2023-02-16-00:00,second,0.011890776439104021,TA
POLYXUSDT,2023-02-16-00:00,2023-02-17-00:00,first,0.0154563291056845,TA
POLYXUSDT,2023-02-16-00:00,2023-02-17-00:00,second,0.011902308700314716,TA
POLYXUSDT,2023-02-17-00:00,2023-02-18-00:00,first,0.009071040277876226,TA
POLYXUSDT,2023-02-17-00:00,2023-02-18-00:00,second,0.007238213739477868,TA
POLYXUSDT,2023-02-18-00:00,2023-02-19-00:00,first,0.021430622111776335,TA
POLYXUSDT,2023-02-18-00:00,2023-02-19-00:00,second,0.007868748796691083,TA
POLYXUSDT,2023-02-19-00:00,2023-02-20-00:00,first,0.020721191213546084,TA
POLYXUSDT,2023-02-19-00:00,2023-02-20-00:00,second,0.013841180648613893,TA
POLYXUSDT,2023-02-20-00:00,2023-02-21-00:00,first,0.025447865458815784,TA
POLYXUSDT,2023-02-20-00:00,2023-02-21-00:00,second,0.016218505954509996,TA
POLYXUSDT,2023-02-21-00:00,2023-02-22-00:00,first,0.022505165953147704,TA
POLYXUSDT,2023-02-21-00:00,2023-02-22-00:00,second,0.017425132403976234,TA
POLYXUSDT,2023-02-22-00:00,2023-02-23-00:00,first,0.027485291290931222,TA
POLYXUSDT,2023-02-22-00:00,2023-02-23-00:00,second,0.021625747601655525,TA
POLYXUSDT,2023-02-23-00:00,2023-02-24-00:00,first,0.013045772874084125,TA
POLYXUSDT,2023-02-23-00:00,2023-02-24-00:00,second,0.012908628104905335,TA
POLYXUSDT,2023-02-24-00:00,2023-02-25-00:00,first,0.010970256150854693,TA
POLYXUSDT,2023-02-24-00:00,2023-02-25-00:00,second,0.007983602486027256,TA
POLYXUSDT,2023-02-25-00:00,2023-02-26-00:00,first,0.014294552188098374,TA
POLYXUSDT,2023-02-25-00:00,2023-02-26-00:00,second,0.01107968815045967,TA
POLYXUSDT,2023-02-26-00:00,2023-02-27-00:00,first,0.031157048359100856,TA
POLYXUSDT,2023-02-26-00:00,2023-02-27-00:00,second,0.014198787898344781,TA
POLYXUSDT,2023-02-27-00:00,2023-02-28-00:00,first,0.016537103334106684,TA
POLYXUSDT,2023-02-27-00:00,2023-02-28-00:00,second,0.015998856118552333,TA
POLYXUSDT,2023-02-28-00:00,2023-03-01-00:00,first,0.011651946992941718,TA
POLYXUSDT,2023-02-28-00:00,2023-03-01-00:00,second,0.009780577408374833,TA
POLYXUSDT,2023-03-01-00:00,2023-03-02-00:00,first,0.020356751785300116,TA
POLYXUSDT,2023-03-01-00:00,2023-03-02-00:00,second,0.017554912201063554,TA
POLYXUSDT,2023-03-02-00:00,2023-03-03-00:00,first,0.019262890601713385,TA
POLYXUSDT,2023-03-02-00:00,2023-03-03-00:00,second,0.019597946742551588,TA
POLYXUSDT,2023-03-03-00:00,2023-03-04-00:00,first,0.01968406462982951,TA
POLYXUSDT,2023-03-03-00:00,2023-03-04-00:00,second,0.02472254294220539,TA
POLYXUSDT,2023-03-04-00:00,2023-03-05-00:00,first,0.027529842657585773,TA
POLYXUSDT,2023-03-04-00:00,2023-03-05-00:00,second,0.02412435361374095,TA
POLYXUSDT,2023-03-05-00:00,2023-03-06-00:00,first,0.03669336102015164,TA
POLYXUSDT,2023-03-05-00:00,2023-03-06-00:00,second,0.024726718574692795,TA
POLYXUSDT,2023-03-06-00:00,2023-03-07-00:00,first,0.018850754278793583,TA
POLYXUSDT,2023-03-06-00:00,2023-03-07-00:00,second,0.01757697776821925,TA
POLYXUSDT,2023-03-07-00:00,2023-03-08-00:00,first,0.022236257751567443,TA
POLYXUSDT,2023-03-07-00:00,2023-03-08-00:00,second,0.017222602972601104,TA
POLYXUSDT,2023-03-08-00:00,2023-03-09-00:00,first,0.01875413011923853,TA
POLYXUSDT,2023-03-08-00:00,2023-03-09-00:00,second,0.013940786224647405,TA
POLYXUSDT,2023-03-09-00:00,2023-03-10-00:00,first,0.020443642742035792,TA
POLYXUSDT,2023-03-09-00:00,2023-03-10-00:00,second,0.011388232685690761,TA
POLYXUSDT,2023-03-10-00:00,2023-03-11-00:00,first,0.017559670371907664,TA
POLYXUSDT,2023-03-10-00:00,2023-03-11-00:00,second,0.00874176238324237,TA
POLYXUSDT,2023-03-11-00:00,2023-03-12-00:00,first,0.02014396105954924,TA
POLYXUSDT,2023-03-11-00:00,2023-03-12-00:00,second,0.015702283603255242,TA
POLYXUSDT,2023-03-12-00:00,2023-03-13-00:00,first,0.022438601734487647,TA
POLYXUSDT,2023-03-12-00:00,2023-03-13-00:00,second,0.016265227243121443,TA
POLYXUSDT,2023-03-13-00:00,2023-03-14-00:00,first,0.01696968374153338,TA
POLYXUSDT,2023-03-13-00:00,2023-03-14-00:00,second,0.011293339285485541,TA
POLYXUSDT,2023-03-14-00:00,2023-03-15-00:00,first,0.020834232297287376,TA
POLYXUSDT,2023-03-14-00:00,2023-03-15-00:00,second,0.014605071130365294,TA
POLYXUSDT,2023-03-15-00:00,2023-03-16-00:00,first,0.014875873960327536,TA
POLYXUSDT,2023-03-15-00:00,2023-03-16-00:00,second,0.015340596668481088,TA
POLYXUSDT,2023-03-16-00:00,2023-03-17-00:00,first,0.03039228442812666,TA
POLYXUSDT,2023-03-16-00:00,2023-03-17-00:00,second,0.016178534399643545,TA
POLYXUSDT,2023-03-17-00:00,2023-03-18-00:00,first,0.02288405030877412,TA
POLYXUSDT,2023-03-17-00:00,2023-03-18-00:00,second,0.013861759837933424,TA
POLYXUSDT,2023-03-18-00:00,2023-03-19-00:00,first,0.01739476101777187,TA
POLYXUSDT,2023-03-18-00:00,2023-03-19-00:00,second,0.014842477261736093,TA
POLYXUSDT,2023-03-19-00:00,2023-03-20-00:00,first,0.029631969235423845,TA
POLYXUSDT,2023-03-19-00:00,2023-03-20-00:00,second,0.02265046772088934,TA
POLYXUSDT,2023-03-20-00:00,2023-03-21-00:00,first,0.022587491639053627,TA
POLYXUSDT,2023-03-20-00:00,2023-03-21-00:00,second,0.02013022654948538,TA
POLYXUSDT,2023-03-21-00:00,2023-03-22-00:00,first,0.019243144537207227,TA
POLYXUSDT,2023-03-21-00:00,2023-03-22-00:00,second,0.02171511566667203,TA
POLYXUSDT,2023-03-22-00:00,2023-03-23-00:00,first,0.01605989124172143,TA
POLYXUSDT,2023-03-22-00:00,2023-03-23-00:00,second,0.01410650596268273,TA
POLYXUSDT,2023-03-23-00:00,2023-03-24-00:00,first,0.031833136811268425,TA
POLYXUSDT,2023-03-23-00:00,2023-03-24-00:00,second,0.021132863428833967,TA
POLYXUSDT,2023-03-24-00:00,2023-03-25-00:00,first,0.031269447505631924,TA
POLYXUSDT,2023-03-24-00:00,2023-03-25-00:00,second,0.022262250154730094,TA
POLYXUSDT,2023-03-25-00:00,2023-03-26-00:00,first,0.03945404347731833,TA
POLYXUSDT,2023-03-25-00:00,2023-03-26-00:00,second,0.08395919063701784,TA
POLYXUSDT,2023-03-26-00:00,2023-03-27-00:00,first,0.03186441268906964,TA
POLYXUSDT,2023-03-26-00:00,2023-03-27-00:00,second,0.09020322182244614,TA
POLYXUSDT,2023-03-27-00:00,2023-03-28-00:00,first,0.019072770064248137,TA
POLYXUSDT,2023-03-27-00:00,2023-03-28-00:00,second,0.03515490143299514,TA
POLYXUSDT,2023-03-28-00:00,2023-03-29-00:00,first,0.029339140815620366,TA
POLYXUSDT,2023-03-28-00:00,2023-03-29-00:00,second,0.015095635567877203,TA
POLYXUSDT,2023-03-29-00:00,2023-03-30-00:00,first,0.03770698439430378,TA
POLYXUSDT,2023-03-29-00:00,2023-03-30-00:00,second,0.011714741754952919,TA
POLYXUSDT,2023-03-30-00:00,2023-03-31-00:00,first,0.020009538752181148,TA
POLYXUSDT,2023-03-30-00:00,2023-03-31-00:00,second,0.01369316799012087,TA
POLYXUSDT,2023-03-31-00:00,2023-04-01-00:00,first,0.01117524007034668,TA
POLYXUSDT,2023-03-31-00:00,2023-04-01-00:00,second,0.019528199529355052,TA
POLYXUSDT,2023-04-01-00:00,2023-04-02-00:00,first,0.017383699381061227,TA
POLYXUSDT,2023-04-01-00:00,2023-04-02-00:00,second,0.021107217501715805,TA
POLYXUSDT,2023-04-02-00:00,2023-04-03-00:00,first,0.016433244460677524,TA
POLYXUSDT,2023-04-02-00:00,2023-04-03-00:00,second,0.03343482984949633,TA
POLYXUSDT,2023-04-03-00:00,2023-04-04-00:00,first,0.02899518648135002,TA
