symbol,start_date,end_date,digit_type,mad,target
SYSUSDT,2023-01-01-00:00,2023-01-02-00:00,first,0.03903991541690457,TA
SYSUSDT,2023-01-01-00:00,2023-01-02-00:00,second,0.028342999114013934,TA
SYSUSDT,2023-01-02-00:00,2023-01-03-00:00,first,0.03173929113724025,TA
SYSUSDT,2023-01-02-00:00,2023-01-03-00:00,second,0.022274488071030493,TA
SYSUSDT,2023-01-03-00:00,2023-01-04-00:00,first,0.017138319693956197,TA
SYSUSDT,2023-01-03-00:00,2023-01-04-00:00,second,0.020388828928055547,TA
SYSUSDT,2023-01-04-00:00,2023-01-05-00:00,first,0.0392331674087177,TA
SYSUSDT,2023-01-04-00:00,2023-01-05-00:00,second,0.03281389231159525,TA
SYSUSDT,2023-01-05-00:00,2023-01-06-00:00,first,0.02683317827902969,TA
SYSUSDT,2023-01-05-00:00,2023-01-06-00:00,second,0.031034224133924804,TA
SYSUSDT,2023-01-06-00:00,2023-01-07-00:00,first,0.03497305898872803,TA
SYSUSDT,2023-01-06-00:00,2023-01-07-00:00,second,0.02800876336641499,TA
SYSUSDT,2023-01-07-00:00,2023-01-08-00:00,first,0.03911868678640648,TA
SYSUSDT,2023-01-07-00:00,2023-01-08-00:00,second,0.025638832933246276,TA
SYSUSDT,2023-01-08-00:00,2023-01-09-00:00,first,0.04478251279296808,TA
SYSUSDT,2023-01-08-00:00,2023-01-09-00:00,second,0.03057601424393966,TA
SYSUSDT,2023-01-09-00:00,2023-01-10-00:00,first,0.019147575601193092,TA
SYSUSDT,2023-01-09-00:00,2023-01-10-00:00,second,0.01838522940952602,TA
SYSUSDT,2023-01-10-00:00,2023-01-11-00:00,first,0.019057846258200097,TA
SYSUSDT,2023-01-10-00:00,2023-01-11-00:00,second,0.0189621425647905,TA
SYSUSDT,2023-01-11-00:00,2023-01-12-00:00,first,0.02242641049123601,TA
SYSUSDT,2023-01-11-00:00,2023-01-12-00:00,second,0.018258258070324634,TA
SYSUSDT,2023-01-12-00:00,2023-01-13-00:00,first,0.021522608403002855,TA
SYSUSDT,2023-01-12-00:00,2023-01-13-00:00,second,0.02377557446407488,TA
SYSUSDT,2023-01-13-00:00,2023-01-14-00:00,first,0.016620171662071817,TA
SYSUSDT,2023-01-13-00:00,2023-01-14-00:00,second,0.0172825940525071,TA
SYSUSDT,2023-01-14-00:00,2023-01-15-00:00,first,0.006112141602638123,TA
SYSUSDT,2023-01-14-00:00,2023-01-15-00:00,second,0.018205212753860195,TA
SYSUSDT,2023-01-15-00:00,2023-01-16-00:00,first,0.016471770871930375,TA
SYSUSDT,2023-01-15-00:00,2023-01-16-00:00,second,0.012138357913892447,TA
SYSUSDT,2023-01-16-00:00,2023-01-17-00:00,first,0.019804479651218846,TA
SYSUSDT,2023-01-16-00:00,2023-01-17-00:00,second,0.01928897793590063,TA
SYSUSDT,2023-01-17-00:00,2023-01-18-00:00,first,0.020325916740328118,TA
SYSUSDT,2023-01-17-00:00,2023-01-18-00:00,second,0.017611708030966854,TA
SYSUSDT,2023-01-18-00:00,2023-01-19-00:00,first,0.021212988559321317,TA
SYSUSDT,2023-01-18-00:00,2023-01-19-00:00,second,0.019600809387804237,TA
SYSUSDT,2023-01-19-00:00,2023-01-20-00:00,first,0.012170776663224473,TA
SYSUSDT,2023-01-19-00:00,2023-01-20-00:00,second,0.0231926913862747,TA
SYSUSDT,2023-01-20-00:00,2023-01-21-00:00,first,0.009858048010416006,TA
SYSUSDT,2023-01-20-00:00,2023-01-21-00:00,second,0.02241970499954494,TA
SYSUSDT,2023-01-21-00:00,2023-01-22-00:00,first,0.007178519482078256,TA
SYSUSDT,2023-01-21-00:00,2023-01-22-00:00,second,0.01143730019024611,TA
SYSUSDT,2023-01-22-00:00,2023-01-23-00:00,first,0.02159342261244552,TA
SYSUSDT,2023-01-22-00:00,2023-01-23-00:00,second,0.013882256429023593,TA
SYSUSDT,2023-01-23-00:00,2023-01-24-00:00,first,0.013337886643761867,TA
SYSUSDT,2023-01-23-00:00,2023-01-24-00:00,second,0.01038740257726951,TA
SYSUSDT,2023-01-24-00:00,2023-01-25-00:00,first,0.004823793320668232,TA
SYSUSDT,2023-01-24-00:00,2023-01-25-00:00,second,0.008949279096552352,TA
SYSUSDT,2023-01-25-00:00,2023-01-26-00:00,first,0.007276831220912454,TA
SYSUSDT,2023-01-25-00:00,2023-01-26-00:00,second,0.011771163155739605,TA
SYSUSDT,2023-01-26-00:00,2023-01-27-00:00,first,0.014668830154594002,TA
SYSUSDT,2023-01-26-00:00,2023-01-27-00:00,second,0.013890871748189908,TA
SYSUSDT,2023-01-27-00:00,2023-01-28-00:00,first,0.010083255128816202,TA
SYSUSDT,2023-01-27-00:00,2023-01-28-00:00,second,0.014811628739790545,TA
