symbol,start_date,end_date,digit_type,mad,target
WAXPUSDT,2023-01-01-00:00,2023-01-02-00:00,first,0.028679518111277454,TA
WAXPUSDT,2023-01-01-00:00,2023-01-02-00:00,second,0.023248023459113976,TA
WAXPUSDT,2023-01-02-00:00,2023-01-03-00:00,first,0.030143093289113482,TA
WAXPUSDT,2023-01-02-00:00,2023-01-03-00:00,second,0.024751537481240714,TA
WAXPUSDT,2023-01-03-00:00,2023-01-04-00:00,first,0.029661920674625246,TA
WAXPUSDT,2023-01-03-00:00,2023-01-04-00:00,second,0.015079271633987493,TA
WAXPUSDT,2023-01-04-00:00,2023-01-05-00:00,first,0.020543795351231166,TA
WAXPUSDT,2023-01-04-00:00,2023-01-05-00:00,second,0.01964837416868472,TA
WAXPUSDT,2023-01-05-00:00,2023-01-06-00:00,first,0.014157270800153256,TA
WAXPUSDT,2023-01-05-00:00,2023-01-06-00:00,second,0.02217842230300709,TA
WAXPUSDT,2023-01-06-00:00,2023-01-07-00:00,first,0.02159112212997501,TA
WAXPUSDT,2023-01-06-00:00,2023-01-07-00:00,second,0.013740392526401548,TA
WAXPUSDT,2023-01-07-00:00,2023-01-08-00:00,first,0.013584417578175119,TA
WAXPUSDT,2023-01-07-00:00,2023-01-08-00:00,second,0.012621278445868495,TA
WAXPUSDT,2023-01-08-00:00,2023-01-09-00:00,first,0.018080687675330366,TA
WAXPUSDT,2023-01-08-00:00,2023-01-09-00:00,second,0.025378437968474755,TA
WAXPUSDT,2023-01-09-00:00,2023-01-10-00:00,first,0.0190725654813806,TA
WAXPUSDT,2023-01-09-00:00,2023-01-10-00:00,second,0.01388488986512904,TA
WAXPUSDT,2023-01-10-00:00,2023-01-11-00:00,first,0.011727922777073867,TA
WAXPUSDT,2023-01-10-00:00,2023-01-11-00:00,second,0.008402087637200236,TA
WAXPUSDT,2023-01-11-00:00,2023-01-12-00:00,first,0.020440985852721805,TA
WAXPUSDT,2023-01-11-00:00,2023-01-12-00:00,second,0.016193739972707653,TA
WAXPUSDT,2023-01-12-00:00,2023-01-13-00:00,first,0.012006610766274704,TA
WAXPUSDT,2023-01-12-00:00,2023-01-13-00:00,second,0.010060574817966765,TA
WAXPUSDT,2023-01-13-00:00,2023-01-14-00:00,first,0.01905585354842963,TA
WAXPUSDT,2023-01-13-00:00,2023-01-14-00:00,second,0.01007545127074956,TA
WAXPUSDT,2023-01-14-00:00,2023-01-15-00:00,first,0.011136447829037298,TA
WAXPUSDT,2023-01-14-00:00,2023-01-15-00:00,second,0.005066179610204319,TA
WAXPUSDT,2023-01-15-00:00,2023-01-16-00:00,first,0.009942457862458842,TA
WAXPUSDT,2023-01-15-00:00,2023-01-16-00:00,second,0.014281391695282303,TA
WAXPUSDT,2023-01-16-00:00,2023-01-17-00:00,first,0.013554519379686374,TA
WAXPUSDT,2023-01-16-00:00,2023-01-17-00:00,second,0.011683349169876976,TA
WAXPUSDT,2023-01-17-00:00,2023-01-18-00:00,first,0.008360983753866215,TA
WAXPUSDT,2023-01-17-00:00,2023-01-18-00:00,second,0.011036658973775234,TA
WAXPUSDT,2023-01-18-00:00,2023-01-19-00:00,first,0.008192114484991776,TA
WAXPUSDT,2023-01-18-00:00,2023-01-19-00:00,second,0.009920286187648408,TA
WAXPUSDT,2023-01-19-00:00,2023-01-20-00:00,first,0.004201653711585213,TA
WAXPUSDT,2023-01-19-00:00,2023-01-20-00:00,second,0.009836975713622246,TA
WAXPUSDT,2023-01-20-00:00,2023-01-21-00:00,first,0.006504671934728226,TA
WAXPUSDT,2023-01-20-00:00,2023-01-21-00:00,second,0.005899061614941208,TA
WAXPUSDT,2023-01-21-00:00,2023-01-22-00:00,first,0.007212192672243382,TA
WAXPUSDT,2023-01-21-00:00,2023-01-22-00:00,second,0.007678947469455177,TA
WAXPUSDT,2023-01-22-00:00,2023-01-23-00:00,first,0.013960719060106819,TA
WAXPUSDT,2023-01-22-00:00,2023-01-23-00:00,second,0.012357214814851957,TA
WAXPUSDT,2023-01-23-00:00,2023-01-24-00:00,first,0.007699527718897015,TA
WAXPUSDT,2023-01-23-00:00,2023-01-24-00:00,second,0.012050611781415246,TA
WAXPUSDT,2023-01-24-00:00,2023-01-25-00:00,first,0.007200565307781885,TA
WAXPUSDT,2023-01-24-00:00,2023-01-25-00:00,second,0.008450775396772891,TA
WAXPUSDT,2023-01-25-00:00,2023-01-26-00:00,first,0.006861266404854565,TA
WAXPUSDT,2023-01-25-00:00,2023-01-26-00:00,second,0.006015350957614125,TA
WAXPUSDT,2023-01-26-00:00,2023-01-27-00:00,first,0.00786534629760242,TA
WAXPUSDT,2023-01-26-00:00,2023-01-27-00:00,second,0.0067216685057361935,TA
WAXPUSDT,2023-01-27-00:00,2023-01-28-00:00,first,0.013587398508256786,TA
