symbol,start_date,end_date,digit_type,mad,target
KRW-BTC,2023-12-31-00:00,2024-01-01-00:00,first,0.09656888696176942,TA
KRW-BTC,2023-12-31-00:00,2024-01-01-00:00,second,0.03515591375181901,TA
KRW-BTC,2023-12-30-00:00,2023-12-31-00:00,first,0.09380472327103609,TA
KRW-BTC,2023-12-30-00:00,2023-12-31-00:00,second,0.023320466591354522,TA
KRW-BTC,2023-12-29-00:00,2023-12-30-00:00,first,0.07903361119636526,TA
KRW-BTC,2023-12-29-00:00,2023-12-30-00:00,second,0.02052182579801089,TA
KRW-BTC,2023-12-28-00:00,2023-12-29-00:00,first,0.09903361119636526,TA
KRW-BTC,2023-12-28-00:00,2023-12-29-00:00,second,0.011906202837148383,TA
KRW-BTC,2023-12-27-00:00,2023-12-28-00:00,first,0.0745422241493417,TA
KRW-BTC,2023-12-27-00:00,2023-12-28-00:00,second,0.01630814769919057,TA
KRW-BTC,2023-12-26-00:00,2023-12-27-00:00,first,0.07521527383828469,TA
KRW-BTC,2023-12-26-00:00,2023-12-27-00:00,second,0.020523125938940297,TA
KRW-BTC,2023-12-25-00:00,2023-12-26-00:00,first,0.06656888696176942,TA
KRW-BTC,2023-12-25-00:00,2023-12-26-00:00,second,0.007358812852503692,TA
KRW-BTC,2023-12-24-00:00,2023-12-25-00:00,first,0.03675083228451946,TA
KRW-BTC,2023-12-24-00:00,2023-12-25-00:00,second,0.016414704019082276,TA
KRW-BTC,2023-12-23-00:00,2023-12-24-00:00,first,0.04338234817725709,TA
KRW-BTC,2023-12-23-00:00,2023-12-24-00:00,second,0.010737749845269906,TA
KRW-BTC,2023-12-22-00:00,2023-12-23-00:00,first,0.03590400985561681,TA
KRW-BTC,2023-12-22-00:00,2023-12-23-00:00,second,0.01461322808887689,TA
KRW-BTC,2023-12-21-00:00,2023-12-22-00:00,first,0.02893790373281265,TA
KRW-BTC,2023-12-21-00:00,2023-12-22-00:00,second,0.01022162149572549,TA
KRW-BTC,2023-12-20-00:00,2023-12-21-00:00,first,0.017320001927119466,TA
KRW-BTC,2023-12-20-00:00,2023-12-21-00:00,second,0.014507815082238609,TA
KRW-BTC,2023-12-19-00:00,2023-12-20-00:00,first,0.03229277375303055,TA
KRW-BTC,2023-12-19-00:00,2023-12-20-00:00,second,0.015771227472115505,TA
KRW-BTC,2023-12-18-00:00,2023-12-19-00:00,first,0.0209527747165903,TA
KRW-BTC,2023-12-18-00:00,2023-12-19-00:00,second,0.01478273236077981,TA
KRW-BTC,2023-12-17-00:00,2023-12-18-00:00,first,0.018431113038230577,TA
KRW-BTC,2023-12-17-00:00,2023-12-18-00:00,second,0.015506609396060047,TA
KRW-BTC,2023-12-16-00:00,2023-12-17-00:00,first,0.025457775850658306,TA
KRW-BTC,2023-12-16-00:00,2023-12-17-00:00,second,0.013509864728610193,TA
