symbol,start_date,end_date,digit_type,mad,target
KRW-DOGE,2023-12-31-00:00,2024-01-01-00:00,first,0.011331826453649866,TA
KRW-DOGE,2023-12-31-00:00,2024-01-01-00:00,second,0.02196492890751924,TA
KRW-DOGE,2023-12-30-00:00,2023-12-31-00:00,first,0.022129884021579026,TA
KRW-DOGE,2023-12-30-00:00,2023-12-31-00:00,second,0.02061170803096686,TA
KRW-DOGE,2023-12-29-00:00,2023-12-30-00:00,first,0.010835280583202846,TA
KRW-DOGE,2023-12-29-00:00,2023-12-30-00:00,second,0.018022355386472445,TA
KRW-DOGE,2023-12-28-00:00,2023-12-29-00:00,first,0.012020562470981976,TA
KRW-DOGE,2023-12-28-00:00,2023-12-29-00:00,second,0.018002505827107936,TA
KRW-DOGE,2023-12-27-00:00,2023-12-28-00:00,first,0.012165284778458341,TA
KRW-DOGE,2023-12-27-00:00,2023-12-28-00:00,second,0.01608529598091773,TA
KRW-DOGE,2023-12-26-00:00,2023-12-27-00:00,first,0.01525249685355838,TA
KRW-DOGE,2023-12-26-00:00,2023-12-27-00:00,second,0.016186908226007955,TA
KRW-DOGE,2023-12-25-00:00,2023-12-26-00:00,first,0.008176543943327556,TA
KRW-DOGE,2023-12-25-00:00,2023-12-26-00:00,second,0.014433934433330292,TA
KRW-DOGE,2023-12-24-00:00,2023-12-25-00:00,first,0.017197066289477963,TA
KRW-DOGE,2023-12-24-00:00,2023-12-25-00:00,second,0.019402758865541807,TA
KRW-DOGE,2023-12-23-00:00,2023-12-24-00:00,first,0.01941928851170018,TA
KRW-DOGE,2023-12-23-00:00,2023-12-24-00:00,second,0.01865591375181901,TA
KRW-DOGE,2023-12-22-00:00,2023-12-23-00:00,first,0.011715431527640149,TA
KRW-DOGE,2023-12-22-00:00,2023-12-23-00:00,second,0.022714688404387052,TA
KRW-DOGE,2023-12-21-00:00,2023-12-22-00:00,first,0.010631548590617957,TA
KRW-DOGE,2023-12-21-00:00,2023-12-22-00:00,second,0.01757075567668389,TA
KRW-DOGE,2023-12-20-00:00,2023-12-21-00:00,first,0.014907661799356813,TA
KRW-DOGE,2023-12-20-00:00,2023-12-21-00:00,second,0.01388028058472739,TA
KRW-DOGE,2023-12-19-00:00,2023-12-20-00:00,first,0.008550679412962685,TA
KRW-DOGE,2023-12-19-00:00,2023-12-20-00:00,second,0.007722219071587599,TA
KRW-DOGE,2023-12-18-00:00,2023-12-19-00:00,first,0.010463217354912359,TA
KRW-DOGE,2023-12-18-00:00,2023-12-19-00:00,second,0.015419923717558015,TA
KRW-DOGE,2023-12-17-00:00,2023-12-18-00:00,first,0.01961639492600971,TA
KRW-DOGE,2023-12-17-00:00,2023-12-18-00:00,second,0.015349305946656728,TA
KRW-DOGE,2023-12-16-00:00,2023-12-17-00:00,first,0.016947938698828983,TA
KRW-DOGE,2023-12-16-00:00,2023-12-17-00:00,second,0.015889037985132175,TA
KRW-DOGE,2023-12-15-00:00,2023-12-16-00:00,first,0.012210680376522417,TA
KRW-DOGE,2023-12-15-00:00,2023-12-16-00:00,second,0.01755428155201365,TA
KRW-DOGE,2023-12-14-00:00,2023-12-15-00:00,first,0.006655124820966867,TA
KRW-DOGE,2023-12-14-00:00,2023-12-15-00:00,second,0.01174579598477498,TA
KRW-DOGE,2023-12-13-00:00,2023-12-14-00:00,first,0.01775262184503352,TA
KRW-DOGE,2023-12-13-00:00,2023-12-14-00:00,second,0.02094670421718429,TA
KRW-DOGE,2023-12-12-00:00,2023-12-13-00:00,first,0.017050271740656948,TA
KRW-DOGE,2023-12-12-00:00,2023-12-13-00:00,second,0.014362787073967454,TA
KRW-DOGE,2023-12-11-00:00,2023-12-12-00:00,first,0.01275262184503352,TA
KRW-DOGE,2023-12-11-00:00,2023-12-12-00:00,second,0.011776480787482996,TA
KRW-DOGE,2023-12-10-00:00,2023-12-11-00:00,first,0.016392383143273428,TA
KRW-DOGE,2023-12-10-00:00,2023-12-11-00:00,second,0.010849305946656725,TA
KRW-DOGE,2023-12-09-00:00,2023-12-10-00:00,first,0.009168613916536181,TA
KRW-DOGE,2023-12-09-00:00,2023-12-10-00:00,second,0.015175398130854317,TA
KRW-DOGE,2023-12-08-00:00,2023-12-09-00:00,first,0.009929448469191667,TA
KRW-DOGE,2023-12-08-00:00,2023-12-09-00:00,second,0.015966448965429265,TA
KRW-DOGE,2023-12-07-00:00,2023-12-08-00:00,first,0.013166824356022115,TA
KRW-DOGE,2023-12-07-00:00,2023-12-08-00:00,second,0.012030127017679288,TA
KRW-DOGE,2023-12-06-00:00,2023-12-07-00:00,first,0.01187376792216097,TA
KRW-DOGE,2023-12-06-00:00,2023-12-07-00:00,second,0.012363536579409626,TA
KRW-DOGE,2023-12-05-00:00,2023-12-06-00:00,first,0.012188893706687567,TA
KRW-DOGE,2023-12-05-00:00,2023-12-06-00:00,second,0.011347888946970423,TA
KRW-DOGE,2023-12-04-00:00,2023-12-05-00:00,first,0.008935831491467998,TA
KRW-DOGE,2023-12-04-00:00,2023-12-05-00:00,second,0.0174512080271096,TA
KRW-DOGE,2023-12-03-00:00,2023-12-04-00:00,first,0.014651545699938743,TA
KRW-DOGE,2023-12-03-00:00,2023-12-04-00:00,second,0.010503035415569495,TA
KRW-DOGE,2023-12-02-00:00,2023-12-03-00:00,first,0.023177069180157165,TA
KRW-DOGE,2023-12-02-00:00,2023-12-03-00:00,second,0.019541310177046196,TA
KRW-DOGE,2023-12-01-00:00,2023-12-02-00:00,first,0.010252496853558378,TA
KRW-DOGE,2023-12-01-00:00,2023-12-02-00:00,second,0.01978665518757409,TA
KRW-DOGE,2023-11-30-00:00,2023-12-01-00:00,first,0.0173633252838389,TA
KRW-DOGE,2023-11-30-00:00,2023-12-01-00:00,second,0.014050067577450984,TA
KRW-DOGE,2023-11-29-00:00,2023-11-30-00:00,first,0.013372103353122052,TA
KRW-DOGE,2023-11-29-00:00,2023-11-30-00:00,second,0.010694679857214801,TA
KRW-DOGE,2023-11-28-00:00,2023-11-29-00:00,first,0.01165512482096686,TA
KRW-DOGE,2023-11-28-00:00,2023-11-29-00:00,second,0.010063258869399063,TA
KRW-DOGE,2023-11-27-00:00,2023-11-28-00:00,first,0.01926432138008878,TA
KRW-DOGE,2023-11-27-00:00,2023-11-28-00:00,second,0.014889272531741748,TA
KRW-DOGE,2023-11-26-00:00,2023-11-27-00:00,first,0.011195276728963902,TA
KRW-DOGE,2023-11-26-00:00,2023-11-27-00:00,second,0.013756320310730675,TA
KRW-DOGE,2023-11-25-00:00,2023-11-26-00:00,first,0.011560714378979015,TA
KRW-DOGE,2023-11-25-00:00,2023-11-26-00:00,second,0.019434464021791848,TA
KRW-DOGE,2023-11-24-00:00,2023-11-25-00:00,first,0.012685439577134583,TA
KRW-DOGE,2023-11-24-00:00,2023-11-25-00:00,second,0.007080262582530858,TA
KRW-DOGE,2023-11-23-00:00,2023-11-24-00:00,first,0.011267900501116894,TA
KRW-DOGE,2023-11-23-00:00,2023-11-24-00:00,second,0.013479140135068768,TA
KRW-DOGE,2023-11-22-00:00,2023-11-23-00:00,first,0.012298215257284618,TA
KRW-DOGE,2023-11-22-00:00,2023-11-23-00:00,second,0.011849305946656728,TA
KRW-DOGE,2023-11-21-00:00,2023-11-22-00:00,first,0.01008960712210685,TA
KRW-DOGE,2023-11-21-00:00,2023-11-22-00:00,second,0.014304790554323646,TA
KRW-DOGE,2023-11-20-00:00,2023-11-21-00:00,first,0.010075993035062398,TA
KRW-DOGE,2023-11-20-00:00,2023-11-21-00:00,second,0.013697346823207186,TA
KRW-DOGE,2023-11-19-00:00,2023-11-20-00:00,first,0.010084165617852796,TA
KRW-DOGE,2023-11-19-00:00,2023-11-20-00:00,second,0.013836334571689268,TA
KRW-DOGE,2023-11-18-00:00,2023-11-19-00:00,first,0.006664594425322017,TA
KRW-DOGE,2023-11-18-00:00,2023-11-19-00:00,second,0.009049611396714594,TA
KRW-DOGE,2023-11-17-00:00,2023-11-18-00:00,first,0.020471389937702755,TA
KRW-DOGE,2023-11-17-00:00,2023-11-18-00:00,second,0.016210547837549542,TA
KRW-DOGE,2023-11-16-00:00,2023-11-17-00:00,first,0.014199870190726181,TA
KRW-DOGE,2023-11-16-00:00,2023-11-17-00:00,second,0.015229978214063055,TA
KRW-DOGE,2023-11-15-00:00,2023-11-16-00:00,first,0.012402095303627613,TA
KRW-DOGE,2023-11-15-00:00,2023-11-16-00:00,second,0.008877767643077444,TA
KRW-DOGE,2023-11-14-00:00,2023-11-15-00:00,first,0.010530399622811298,TA
