symbol,start_date,end_date,digit_type,mad,target
KRW-WAVES,2023-12-31-00:00,2024-01-01-00:00,first,0.014974844067255737,TA
KRW-WAVES,2023-12-31-00:00,2024-01-01-00:00,second,0.016611708030966853,TA
KRW-WAVES,2023-12-30-00:00,2023-12-31-00:00,first,0.02310444540800418,TA
KRW-WAVES,2023-12-30-00:00,2023-12-31-00:00,second,0.028451208027109605,TA
KRW-WAVES,2023-12-29-00:00,2023-12-30-00:00,first,0.012875557482675024,TA
KRW-WAVES,2023-12-29-00:00,2023-12-30-00:00,second,0.020611708030966857,TA
KRW-WAVES,2023-12-28-00:00,2023-12-29-00:00,first,0.011465006915426425,TA
KRW-WAVES,2023-12-28-00:00,2023-12-29-00:00,second,0.02115644334028056,TA
KRW-WAVES,2023-12-27-00:00,2023-12-28-00:00,first,0.01354043458882763,TA
KRW-WAVES,2023-12-27-00:00,2023-12-28-00:00,second,0.012832867925631384,TA
KRW-WAVES,2023-12-26-00:00,2023-12-27-00:00,first,0.029119849055562697,TA
KRW-WAVES,2023-12-26-00:00,2023-12-27-00:00,second,0.019920743141382213,TA
KRW-WAVES,2023-12-25-00:00,2023-12-26-00:00,first,0.01194639169431396,TA
KRW-WAVES,2023-12-25-00:00,2023-12-26-00:00,second,0.016285835763749888,TA
KRW-WAVES,2023-12-24-00:00,2023-12-25-00:00,first,0.01952861006229724,TA
KRW-WAVES,2023-12-24-00:00,2023-12-25-00:00,second,0.02088972871247814,TA
KRW-WAVES,2023-12-23-00:00,2023-12-24-00:00,first,0.021385394634504347,TA
KRW-WAVES,2023-12-23-00:00,2023-12-24-00:00,second,0.009155913751819013,TA
KRW-WAVES,2023-12-22-00:00,2023-12-23-00:00,first,0.015530399622811287,TA
KRW-WAVES,2023-12-22-00:00,2023-12-23-00:00,second,0.02637571799670586,TA
KRW-WAVES,2023-12-21-00:00,2023-12-22-00:00,first,0.02793611417229859,TA
KRW-WAVES,2023-12-21-00:00,2023-12-22-00:00,second,0.02928665518757409,TA
KRW-WAVES,2023-12-20-00:00,2023-12-21-00:00,first,0.017984879033272075,TA
KRW-WAVES,2023-12-20-00:00,2023-12-21-00:00,second,0.018964928907519236,TA
KRW-WAVES,2023-12-19-00:00,2023-12-20-00:00,first,0.010653335260452805,TA
KRW-WAVES,2023-12-19-00:00,2023-12-20-00:00,second,0.01559480288676469,TA
KRW-WAVES,2023-12-18-00:00,2023-12-19-00:00,first,0.019242784693204198,TA
KRW-WAVES,2023-12-18-00:00,2023-12-19-00:00,second,0.015389272531741749,TA
KRW-WAVES,2023-12-17-00:00,2023-12-18-00:00,first,0.02591762394266126,TA
KRW-WAVES,2023-12-17-00:00,2023-12-18-00:00,second,0.015391778358849723,TA
KRW-WAVES,2023-12-16-00:00,2023-12-17-00:00,first,0.027190440711202597,TA
KRW-WAVES,2023-12-16-00:00,2023-12-17-00:00,second,0.01969876382289349,TA
KRW-WAVES,2023-12-15-00:00,2023-12-16-00:00,first,0.02213805660436943,TA
KRW-WAVES,2023-12-15-00:00,2023-12-16-00:00,second,0.01921625733365343,TA
KRW-WAVES,2023-12-14-00:00,2023-12-15-00:00,first,0.012936114172298598,TA
KRW-WAVES,2023-12-14-00:00,2023-12-15-00:00,second,0.011136593780916065,TA
KRW-WAVES,2023-12-13-00:00,2023-12-14-00:00,first,0.01718499920694854,TA
KRW-WAVES,2023-12-13-00:00,2023-12-14-00:00,second,0.021667588255105008,TA
KRW-WAVES,2023-12-12-00:00,2023-12-13-00:00,first,0.018104445408004172,TA
KRW-WAVES,2023-12-12-00:00,2023-12-13-00:00,second,0.014686908226007956,TA
KRW-WAVES,2023-12-11-00:00,2023-12-12-00:00,first,0.02199333429689307,TA
KRW-WAVES,2023-12-11-00:00,2023-12-12-00:00,second,0.020494278015164707,TA
KRW-WAVES,2023-12-10-00:00,2023-12-11-00:00,first,0.023344875179033133,TA
KRW-WAVES,2023-12-10-00:00,2023-12-11-00:00,second,0.031503035415569494,TA
KRW-WAVES,2023-12-09-00:00,2023-12-10-00:00,first,0.01702056247098198,TA
KRW-WAVES,2023-12-09-00:00,2023-12-10-00:00,second,0.01780114662045158,TA
KRW-WAVES,2023-12-08-00:00,2023-12-09-00:00,first,0.0161952767289639,TA
KRW-WAVES,2023-12-08-00:00,2023-12-09-00:00,second,0.018301676208913126,TA
KRW-WAVES,2023-12-07-00:00,2023-12-08-00:00,first,0.009493209305417926,TA
KRW-WAVES,2023-12-07-00:00,2023-12-08-00:00,second,0.02172501473405821,TA
KRW-WAVES,2023-12-06-00:00,2023-12-07-00:00,first,0.01254681761110397,TA
KRW-WAVES,2023-12-06-00:00,2023-12-07-00:00,second,0.011225014734058215,TA
KRW-WAVES,2023-12-05-00:00,2023-12-06-00:00,first,0.022717221088154216,TA
KRW-WAVES,2023-12-05-00:00,2023-12-06-00:00,second,0.02052235538647244,TA
KRW-WAVES,2023-12-04-00:00,2023-12-05-00:00,first,0.018161382851768063,TA
KRW-WAVES,2023-12-04-00:00,2023-12-05-00:00,second,0.015215217992848607,TA
KRW-WAVES,2023-12-03-00:00,2023-12-04-00:00,first,0.015084165617852792,TA
KRW-WAVES,2023-12-03-00:00,2023-12-04-00:00,second,0.023849305946656726,TA
KRW-WAVES,2023-12-02-00:00,2023-12-03-00:00,first,0.013030274631336158,TA
KRW-WAVES,2023-12-02-00:00,2023-12-03-00:00,second,0.017420453306019566,TA
