symbol,start_date,end_date,digit_type,mad,target
KRW-DKA,2024-01-01-00:00,2023-12-31-00:00,first,0.01918028075371112,TA
KRW-DKA,2024-01-01-00:00,2023-12-31-00:00,second,0.0362530354155695,TA
KRW-DKA,2023-12-31-00:00,2023-12-30-00:00,first,0.01847805564080969,TA
KRW-DKA,2023-12-31-00:00,2023-12-30-00:00,second,0.029564675869085365,TA
KRW-DKA,2023-12-30-00:00,2023-12-29-00:00,first,0.02136694452969858,TA
KRW-DKA,2023-12-30-00:00,2023-12-29-00:00,second,0.023064675869085366,TA
KRW-DKA,2023-12-29-00:00,2023-12-28-00:00,first,0.01803361119636525,TA
KRW-DKA,2023-12-29-00:00,2023-12-28-00:00,second,0.018422508906950245,TA
KRW-DKA,2023-12-28-00:00,2023-12-27-00:00,first,0.018249167715480533,TA
KRW-DKA,2023-12-28-00:00,2023-12-27-00:00,second,0.024603035415569494,TA
KRW-DKA,2023-12-27-00:00,2023-12-26-00:00,first,0.018851665873615205,TA
KRW-DKA,2023-12-27-00:00,2023-12-26-00:00,second,0.028786655187574083,TA
KRW-DKA,2023-12-26-00:00,2023-12-25-00:00,first,0.020700277863031913,TA
KRW-DKA,2023-12-26-00:00,2023-12-25-00:00,second,0.02752922870862089,TA
KRW-DKA,2023-12-25-00:00,2023-12-24-00:00,first,0.015313178534657086,TA
KRW-DKA,2023-12-25-00:00,2023-12-24-00:00,second,0.03072922870862088,TA
KRW-DKA,2023-12-24-00:00,2023-12-23-00:00,first,0.017415834382147204,TA
KRW-DKA,2023-12-24-00:00,2023-12-23-00:00,second,0.02881467586908537,TA
KRW-DKA,2023-12-23-00:00,2023-12-22-00:00,first,0.01562277794828605,TA
KRW-DKA,2023-12-23-00:00,2023-12-22-00:00,second,0.024729228708620883,TA
KRW-DKA,2023-12-22-00:00,2023-12-21-00:00,first,0.04790071341541927,TA
KRW-DKA,2023-12-22-00:00,2023-12-21-00:00,second,0.05223134253575203,TA
KRW-DKA,2023-12-21-00:00,2023-12-20-00:00,first,0.07496420547891135,TA
KRW-DKA,2023-12-21-00:00,2023-12-20-00:00,second,0.0743498605663381,TA
KRW-DKA,2023-12-20-00:00,2023-12-19-00:00,first,0.06321817373287959,TA
KRW-DKA,2023-12-20-00:00,2023-12-19-00:00,second,0.06492128913776667,TA
KRW-DKA,2023-12-19-00:00,2023-12-18-00:00,first,0.035939801595312175,TA
KRW-DKA,2023-12-19-00:00,2023-12-18-00:00,second,0.039064675869085366,TA
KRW-DKA,2023-12-18-00:00,2023-12-17-00:00,first,0.021860278826591646,TA
KRW-DKA,2023-12-18-00:00,2023-12-17-00:00,second,0.03298902469979722,TA
KRW-DKA,2023-12-17-00:00,2023-12-16-00:00,first,0.02597805564080969,TA
KRW-DKA,2023-12-17-00:00,2023-12-16-00:00,second,0.04131467586908537,TA
KRW-DKA,2023-12-16-00:00,2023-12-15-00:00,first,0.018971361648821572,TA
KRW-DKA,2023-12-16-00:00,2023-12-15-00:00,second,0.029898009202418706,TA
KRW-DKA,2023-12-15-00:00,2023-12-14-00:00,first,0.06484515785986372,TA
KRW-DKA,2023-12-15-00:00,2023-12-14-00:00,second,0.07404984647952216,TA
KRW-DKA,2023-12-14-00:00,2023-12-13-00:00,first,0.05350515882342346,TA
KRW-DKA,2023-12-14-00:00,2023-12-13-00:00,second,0.05729984647952217,TA
KRW-DKA,2023-12-13-00:00,2023-12-12-00:00,first,0.04599932540483598,TA
KRW-DKA,2023-12-13-00:00,2023-12-12-00:00,second,0.05454984647952218,TA
KRW-DKA,2023-12-12-00:00,2023-12-11-00:00,first,0.03354821525728461,TA
KRW-DKA,2023-12-12-00:00,2023-12-11-00:00,second,0.03780037606798372,TA
KRW-DKA,2023-12-11-00:00,2023-12-10-00:00,first,0.012235836309266676,TA
KRW-DKA,2023-12-11-00:00,2023-12-10-00:00,second,0.020486655187574088,TA
KRW-DKA,2023-12-10-00:00,2023-12-09-00:00,first,0.013161762235192602,TA
KRW-DKA,2023-12-10-00:00,2023-12-09-00:00,second,0.026953321854240757,TA
KRW-DKA,2023-12-09-00:00,2023-12-08-00:00,first,0.01774768912467826,TA
KRW-DKA,2023-12-09-00:00,2023-12-08-00:00,second,0.024786655187574086,TA
KRW-DKA,2023-12-08-00:00,2023-12-07-00:00,first,0.011527256462970098,TA
KRW-DKA,2023-12-08-00:00,2023-12-07-00:00,second,0.01728665518757409,TA
KRW-DKA,2023-12-07-00:00,2023-12-06-00:00,first,0.011212130678443503,TA
KRW-DKA,2023-12-07-00:00,2023-12-06-00:00,second,0.017453321854240755,TA
