symbol,start_date,end_date,digit_type,mad,target
ALPHAUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.007901437432330568,TA
ALPHAUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.007361535216327188,TA
ALPHAUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.004094877785236551,TA
ALPHAUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.0053286945099076995,TA
ALPHAUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.0075763929873346875,TA
ALPHAUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.006231098629856548,TA
ALPHAUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.00723713558421898,TA
ALPHAUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.0047579353657983435,TA
ALPHAUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.009289219395067098,TA
ALPHAUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.005874623740467608,TA
ALPHAUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.007639451583727964,TA
ALPHAUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.0050200672288354216,TA
ALPHAUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.005278481023018181,TA
ALPHAUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.012364694777040148,TA
ALPHAUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.010377548742164856,TA
ALPHAUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.007375713426296474,TA
ALPHAUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.00885242169549513,TA
ALPHAUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.009620905334176514,TA
ALPHAUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.0060723410913223995,TA
ALPHAUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.007537330404927006,TA
ALPHAUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.010997316736463139,TA
ALPHAUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.005182215265915187,TA
ALPHAUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.006049402537971817,TA
ALPHAUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.0050407442812026425,TA
ALPHAUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.009218387536977303,TA
ALPHAUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.01006327333285666,TA
ALPHAUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.007729565983646057,TA
ALPHAUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.007823652490999667,TA
ALPHAUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.011395242115713404,TA
ALPHAUSDT,2024-01-15-00:00,2024-01-16-00:00,second,0.01176216904875588,TA
ALPHAUSDT,2024-01-16-00:00,2024-01-17-00:00,first,0.011617124815681739,TA
ALPHAUSDT,2024-01-16-00:00,2024-01-17-00:00,second,0.012364178600415754,TA
ALPHAUSDT,2024-01-17-00:00,2024-01-18-00:00,first,0.004335193145874325,TA
ALPHAUSDT,2024-01-17-00:00,2024-01-18-00:00,second,0.012616804433696963,TA
ALPHAUSDT,2024-01-18-00:00,2024-01-19-00:00,first,0.012516984371426258,TA
ALPHAUSDT,2024-01-18-00:00,2024-01-19-00:00,second,0.013894891879984234,TA
ALPHAUSDT,2024-01-19-00:00,2024-01-20-00:00,first,0.010056537356938976,TA
ALPHAUSDT,2024-01-19-00:00,2024-01-20-00:00,second,0.014777250195822317,TA
ALPHAUSDT,2024-01-20-00:00,2024-01-21-00:00,first,0.004455123759481502,TA
ALPHAUSDT,2024-01-20-00:00,2024-01-21-00:00,second,0.012031398018324879,TA
ALPHAUSDT,2024-01-21-00:00,2024-01-22-00:00,first,0.010318757206374906,TA
ALPHAUSDT,2024-01-21-00:00,2024-01-22-00:00,second,0.015206874082464872,TA
ALPHAUSDT,2024-01-22-00:00,2024-01-23-00:00,first,0.0028972509851829253,TA
ALPHAUSDT,2024-01-22-00:00,2024-01-23-00:00,second,0.00771885480368824,TA
ALPHAUSDT,2024-01-23-00:00,2024-01-24-00:00,first,0.008044501153834661,TA
ALPHAUSDT,2024-01-23-00:00,2024-01-24-00:00,second,0.011152258951514758,TA
ALPHAUSDT,2024-01-24-00:00,2024-01-25-00:00,first,0.011410010451085882,TA
ALPHAUSDT,2024-01-24-00:00,2024-01-25-00:00,second,0.009726549159478222,TA
ALPHAUSDT,2024-01-25-00:00,2024-01-26-00:00,first,0.009830740919739626,TA
ALPHAUSDT,2024-01-25-00:00,2024-01-26-00:00,second,0.012020741913803272,TA
ALPHAUSDT,2024-01-26-00:00,2024-01-27-00:00,first,0.013741464941380264,TA
ALPHAUSDT,2024-01-26-00:00,2024-01-27-00:00,second,0.015997481709167493,TA
ALPHAUSDT,2024-01-27-00:00,2024-01-28-00:00,first,0.035398177190071406,TA
ALPHAUSDT,2024-01-27-00:00,2024-01-28-00:00,second,0.007928906039765515,TA
ALPHAUSDT,2024-01-28-00:00,2024-01-29-00:00,first,0.016083547803873183,TA
ALPHAUSDT,2024-01-28-00:00,2024-01-29-00:00,second,0.008337815364605594,TA
ALPHAUSDT,2024-01-29-00:00,2024-01-30-00:00,first,0.01783014114725043,TA
ALPHAUSDT,2024-01-29-00:00,2024-01-30-00:00,second,0.0057028834059895,TA
ALPHAUSDT,2024-01-30-00:00,2024-01-31-00:00,first,0.020300777238812184,TA
ALPHAUSDT,2024-01-30-00:00,2024-01-31-00:00,second,0.008848314033611486,TA
ALPHAUSDT,2024-01-31-00:00,2024-02-01-00:00,first,0.007378911216013504,TA
