symbol,start_date,end_date,digit_type,mad,target
ALPINEUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.011483720000544345,TA
ALPINEUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.017491106886830136,TA
ALPINEUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.012999713827883385,TA
ALPINEUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.017391522423671348,TA
ALPINEUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.010284416002546294,TA
ALPINEUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.018238646212017207,TA
ALPINEUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.012720074637548486,TA
ALPINEUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.011829214956361262,TA
ALPINEUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.011434663870377509,TA
ALPINEUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.017021933966059093,TA
ALPINEUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.008906112461707269,TA
ALPINEUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.009833043315626556,TA
ALPINEUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.006594826143850077,TA
ALPINEUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.02542198445377214,TA
ALPINEUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.01794616819562257,TA
ALPINEUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.01410939399787708,TA
ALPINEUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.010100849072607498,TA
ALPINEUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.0184162650823905,TA
ALPINEUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.007328883112958179,TA
ALPINEUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.011808825734236195,TA
ALPINEUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.010132540112643206,TA
ALPINEUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.010196499586326603,TA
ALPINEUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.01157523732134143,TA
ALPINEUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.012504185513793061,TA
