symbol,start_date,end_date,digit_type,mad,target
BEAMXUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.007580277072033564,TA
BEAMXUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.004048264597670626,TA
BEAMXUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.006201831482489487,TA
BEAMXUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.006922042110225417,TA
BEAMXUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.0068731173692047525,TA
BEAMXUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.009077845355228762,TA
BEAMXUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.009498833241283165,TA
BEAMXUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.007235748863224696,TA
BEAMXUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.0065203615173132,TA
BEAMXUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.009971950612229597,TA
BEAMXUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.015185175718862897,TA
BEAMXUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.009440322612008637,TA
BEAMXUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.006910085992529038,TA
BEAMXUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.0062359251034681176,TA
BEAMXUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.009897302304825793,TA
BEAMXUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.007214916561985798,TA
BEAMXUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.010174310318334536,TA
BEAMXUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.004013521389723916,TA
BEAMXUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.008606509136025382,TA
BEAMXUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.0055663624630150526,TA
BEAMXUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.006344197226607263,TA
BEAMXUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.004700463090935322,TA
BEAMXUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.010409536551165895,TA
BEAMXUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.0047937969167948305,TA
BEAMXUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.006593434726733502,TA
BEAMXUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.008764617226734635,TA
BEAMXUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.010411939534924836,TA
BEAMXUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.006259955741271281,TA
BEAMXUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.007753501286368684,TA
