symbol,start_date,end_date,digit_type,mad,target
BONKUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.014066740110756898,TA
BONKUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.006196069533149875,TA
BONKUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.009709496281701372,TA
BONKUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.005656949340268376,TA
BONKUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.012717753404112334,TA
BONKUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.004214870135338711,TA
BONKUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.007204991541326198,TA
BONKUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.009290854062967384,TA
BONKUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.017773852665511687,TA
BONKUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.006088069961667592,TA
BONKUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.00823988780883742,TA
BONKUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.009638910612902367,TA
BONKUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.012001070738585414,TA
BONKUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.004337284688387684,TA
BONKUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.017955363173167743,TA
BONKUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.005213600274288732,TA
BONKUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.014172546280225125,TA
BONKUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.007282541427392224,TA
BONKUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.02319863559201267,TA
BONKUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.008114437011323215,TA
BONKUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.019364399337434463,TA
BONKUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.0050470784282483135,TA
BONKUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.030292474746920532,TA
BONKUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.006310134443661866,TA
BONKUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.01628012144399627,TA
BONKUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.005228140885816327,TA
BONKUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.017205404812027734,TA
BONKUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.006977584239675584,TA
BONKUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.03339786375257828,TA
BONKUSDT,2024-01-15-00:00,2024-01-16-00:00,second,0.004337524762113407,TA
BONKUSDT,2024-01-16-00:00,2024-01-17-00:00,first,0.016104796437104822,TA
BONKUSDT,2024-01-16-00:00,2024-01-17-00:00,second,0.00616385134046467,TA
BONKUSDT,2024-01-17-00:00,2024-01-18-00:00,first,0.011428816155089935,TA
BONKUSDT,2024-01-17-00:00,2024-01-18-00:00,second,0.007006631155527389,TA
BONKUSDT,2024-01-18-00:00,2024-01-19-00:00,first,0.01565760321551909,TA
BONKUSDT,2024-01-18-00:00,2024-01-19-00:00,second,0.0070669974630126154,TA
BONKUSDT,2024-01-19-00:00,2024-01-20-00:00,first,0.013102834830162226,TA
BONKUSDT,2024-01-19-00:00,2024-01-20-00:00,second,0.005225812507241706,TA
BONKUSDT,2024-01-20-00:00,2024-01-21-00:00,first,0.014115464268799989,TA
BONKUSDT,2024-01-20-00:00,2024-01-21-00:00,second,0.0034574452333565333,TA
BONKUSDT,2024-01-21-00:00,2024-01-22-00:00,first,0.017353956056910105,TA
BONKUSDT,2024-01-21-00:00,2024-01-22-00:00,second,0.007451236321050117,TA
BONKUSDT,2024-01-22-00:00,2024-01-23-00:00,first,0.013552995497944982,TA
BONKUSDT,2024-01-22-00:00,2024-01-23-00:00,second,0.0048056151604287225,TA
BONKUSDT,2024-01-23-00:00,2024-01-24-00:00,first,0.02055350949961758,TA
BONKUSDT,2024-01-23-00:00,2024-01-24-00:00,second,0.0037661328434192274,TA
BONKUSDT,2024-01-24-00:00,2024-01-25-00:00,first,0.01943126716150007,TA
BONKUSDT,2024-01-24-00:00,2024-01-25-00:00,second,0.008497258514127913,TA
BONKUSDT,2024-01-25-00:00,2024-01-26-00:00,first,0.012249449070307065,TA
BONKUSDT,2024-01-25-00:00,2024-01-26-00:00,second,0.004596032043911534,TA
BONKUSDT,2024-01-26-00:00,2024-01-27-00:00,first,0.0128148852873591,TA
BONKUSDT,2024-01-26-00:00,2024-01-27-00:00,second,0.007741668208700593,TA
BONKUSDT,2024-01-27-00:00,2024-01-28-00:00,first,0.010712972773377504,TA
BONKUSDT,2024-01-27-00:00,2024-01-28-00:00,second,0.005924624174619848,TA
BONKUSDT,2024-01-28-00:00,2024-01-29-00:00,first,0.008717977955283139,TA
BONKUSDT,2024-01-28-00:00,2024-01-29-00:00,second,0.008789967204308517,TA
BONKUSDT,2024-01-29-00:00,2024-01-30-00:00,first,0.012546028709096754,TA
BONKUSDT,2024-01-29-00:00,2024-01-30-00:00,second,0.005488817923909975,TA
BONKUSDT,2024-01-30-00:00,2024-01-31-00:00,first,0.012085449362994686,TA
BONKUSDT,2024-01-30-00:00,2024-01-31-00:00,second,0.004356992239977738,TA
BONKUSDT,2024-01-31-00:00,2024-02-01-00:00,first,0.015113278110686591,TA
BONKUSDT,2024-01-31-00:00,2024-02-01-00:00,second,0.004614741092272409,TA
BONKUSDT,2024-02-01-00:00,2024-02-02-00:00,first,0.01611045908689435,TA
BONKUSDT,2024-02-01-00:00,2024-02-02-00:00,second,0.008562660411781359,TA
BONKUSDT,2024-02-02-00:00,2024-02-03-00:00,first,0.015118269677818798,TA
BONKUSDT,2024-02-02-00:00,2024-02-03-00:00,second,0.003937281909523166,TA
BONKUSDT,2024-02-03-00:00,2024-02-04-00:00,first,0.00910563214044879,TA
BONKUSDT,2024-02-03-00:00,2024-02-04-00:00,second,0.007829170654791565,TA
BONKUSDT,2024-02-04-00:00,2024-02-05-00:00,first,0.007186478161650973,TA
BONKUSDT,2024-02-04-00:00,2024-02-05-00:00,second,0.006972316617719104,TA
BONKUSDT,2024-02-05-00:00,2024-02-06-00:00,first,0.016571593217085283,TA
BONKUSDT,2024-02-05-00:00,2024-02-06-00:00,second,0.0061764269803786225,TA
BONKUSDT,2024-02-06-00:00,2024-02-07-00:00,first,0.011483951435555226,TA
BONKUSDT,2024-02-06-00:00,2024-02-07-00:00,second,0.00793484415992651,TA
BONKUSDT,2024-02-07-00:00,2024-02-08-00:00,first,0.009342754287198227,TA
BONKUSDT,2024-02-07-00:00,2024-02-08-00:00,second,0.007146027482064166,TA
BONKUSDT,2024-02-08-00:00,2024-02-09-00:00,first,0.010281228014221785,TA
BONKUSDT,2024-02-08-00:00,2024-02-09-00:00,second,0.007035942854529453,TA
BONKUSDT,2024-02-09-00:00,2024-02-10-00:00,first,0.007906814782191577,TA
BONKUSDT,2024-02-09-00:00,2024-02-10-00:00,second,0.003709741332083419,TA
BONKUSDT,2024-02-10-00:00,2024-02-11-00:00,first,0.011021400562721329,TA
BONKUSDT,2024-02-10-00:00,2024-02-11-00:00,second,0.006586130028900574,TA
BONKUSDT,2024-02-11-00:00,2024-02-12-00:00,first,0.009406731142147082,TA
BONKUSDT,2024-02-11-00:00,2024-02-12-00:00,second,0.007038597743166115,TA
BONKUSDT,2024-02-12-00:00,2024-02-13-00:00,first,0.010314503709834876,TA
BONKUSDT,2024-02-12-00:00,2024-02-13-00:00,second,0.008776972621022424,TA
BONKUSDT,2024-02-13-00:00,2024-02-14-00:00,first,0.007847081395084316,TA
BONKUSDT,2024-02-13-00:00,2024-02-14-00:00,second,0.009417079889321145,TA
BONKUSDT,2024-02-14-00:00,2024-02-15-00:00,first,0.007865225061106828,TA
BONKUSDT,2024-02-14-00:00,2024-02-15-00:00,second,0.0052928357628621,TA
BONKUSDT,2024-02-15-00:00,2024-02-16-00:00,first,0.009671190801977583,TA
BONKUSDT,2024-02-15-00:00,2024-02-16-00:00,second,0.008592767925931132,TA
BONKUSDT,2024-02-16-00:00,2024-02-17-00:00,first,0.009655742339547576,TA
BONKUSDT,2024-02-16-00:00,2024-02-17-00:00,second,0.006391016952124531,TA
BONKUSDT,2024-02-17-00:00,2024-02-18-00:00,first,0.009914141524227097,TA
BONKUSDT,2024-02-17-00:00,2024-02-18-00:00,second,0.007527845109171973,TA
BONKUSDT,2024-02-18-00:00,2024-02-19-00:00,first,0.007368991248638578,TA
BONKUSDT,2024-02-18-00:00,2024-02-19-00:00,second,0.00630259494140194,TA
BONKUSDT,2024-02-19-00:00,2024-02-20-00:00,first,0.014220954005428808,TA
BONKUSDT,2024-02-19-00:00,2024-02-20-00:00,second,0.003885113554402057,TA
BONKUSDT,2024-02-20-00:00,2024-02-21-00:00,first,0.009172374931453266,TA
BONKUSDT,2024-02-20-00:00,2024-02-21-00:00,second,0.007987376161754694,TA
BONKUSDT,2024-02-21-00:00,2024-02-22-00:00,first,0.005254597718424,TA
BONKUSDT,2024-02-21-00:00,2024-02-22-00:00,second,0.007227013935751088,TA
BONKUSDT,2024-02-22-00:00,2024-02-23-00:00,first,0.013961250374128074,TA
BONKUSDT,2024-02-22-00:00,2024-02-23-00:00,second,0.007648250041085838,TA
BONKUSDT,2024-02-23-00:00,2024-02-24-00:00,first,0.015300451268132176,TA
BONKUSDT,2024-02-23-00:00,2024-02-24-00:00,second,0.009688289894770056,TA
BONKUSDT,2024-02-24-00:00,2024-02-25-00:00,first,0.012743787448355859,TA
BONKUSDT,2024-02-24-00:00,2024-02-25-00:00,second,0.0037028565258779055,TA
BONKUSDT,2024-02-25-00:00,2024-02-26-00:00,first,0.009733696635742353,TA
BONKUSDT,2024-02-25-00:00,2024-02-26-00:00,second,0.006021389251828055,TA
BONKUSDT,2024-02-26-00:00,2024-02-27-00:00,first,0.00977863851350415,TA
BONKUSDT,2024-02-26-00:00,2024-02-27-00:00,second,0.009703720806496877,TA
BONKUSDT,2024-02-27-00:00,2024-02-28-00:00,first,0.009437628067007093,TA
BONKUSDT,2024-02-27-00:00,2024-02-28-00:00,second,0.006016513482576554,TA
BONKUSDT,2024-02-28-00:00,2024-02-29-00:00,first,0.004916700963478606,TA
BONKUSDT,2024-02-28-00:00,2024-02-29-00:00,second,0.0068614201812451595,TA
BONKUSDT,2024-02-29-00:00,2024-03-01-00:00,first,0.014115464268799992,TA
BONKUSDT,2024-02-29-00:00,2024-03-01-00:00,second,0.0052421859976861385,TA
BONKUSDT,2024-03-01-00:00,2024-03-02-00:00,first,0.01533372696374527,TA
BONKUSDT,2024-03-01-00:00,2024-03-02-00:00,second,0.007327505102945381,TA
BONKUSDT,2024-03-02-00:00,2024-03-03-00:00,first,0.01511830789479729,TA
BONKUSDT,2024-03-02-00:00,2024-03-03-00:00,second,0.004493140162567984,TA
BONKUSDT,2024-03-03-00:00,2024-03-04-00:00,first,0.01689131437289438,TA
BONKUSDT,2024-03-03-00:00,2024-03-04-00:00,second,0.006739720594286423,TA
BONKUSDT,2024-03-04-00:00,2024-03-05-00:00,first,0.009627812860884603,TA
BONKUSDT,2024-03-04-00:00,2024-03-05-00:00,second,0.007248367163973614,TA
BONKUSDT,2024-03-05-00:00,2024-03-06-00:00,first,0.019981254916122113,TA
BONKUSDT,2024-03-05-00:00,2024-03-06-00:00,second,0.007756500919308455,TA
BONKUSDT,2024-03-06-00:00,2024-03-07-00:00,first,0.009782026755556514,TA
BONKUSDT,2024-03-06-00:00,2024-03-07-00:00,second,0.006111630865670005,TA
BONKUSDT,2024-03-07-00:00,2024-03-08-00:00,first,0.042799248677775244,TA
BONKUSDT,2024-03-07-00:00,2024-03-08-00:00,second,0.009450053941539674,TA
BONKUSDT,2024-03-08-00:00,2024-03-09-00:00,first,0.01473231984748763,TA
BONKUSDT,2024-03-08-00:00,2024-03-09-00:00,second,0.011890116071194605,TA
BONKUSDT,2024-03-09-00:00,2024-03-10-00:00,first,0.026606789737224693,TA
BONKUSDT,2024-03-09-00:00,2024-03-10-00:00,second,0.009105684154567497,TA
BONKUSDT,2024-03-10-00:00,2024-03-11-00:00,first,0.027229307965701874,TA
BONKUSDT,2024-03-10-00:00,2024-03-11-00:00,second,0.0052132746546986975,TA
BONKUSDT,2024-03-11-00:00,2024-03-12-00:00,first,0.028771446912420968,TA
BONKUSDT,2024-03-11-00:00,2024-03-12-00:00,second,0.008143695474270983,TA
BONKUSDT,2024-03-12-00:00,2024-03-13-00:00,first,0.020582662032379753,TA
BONKUSDT,2024-03-12-00:00,2024-03-13-00:00,second,0.005154916039844833,TA
BONKUSDT,2024-03-13-00:00,2024-03-14-00:00,first,0.017541129214355692,TA
BONKUSDT,2024-03-13-00:00,2024-03-14-00:00,second,0.005023747200868617,TA
BONKUSDT,2024-03-14-00:00,2024-03-15-00:00,first,0.014304493346023591,TA
BONKUSDT,2024-03-14-00:00,2024-03-15-00:00,second,0.0034563024281729594,TA
BONKUSDT,2024-03-15-00:00,2024-03-16-00:00,first,0.026959818521760673,TA
BONKUSDT,2024-03-15-00:00,2024-03-16-00:00,second,0.009496161321738722,TA
BONKUSDT,2024-03-16-00:00,2024-03-17-00:00,first,0.030159371964468155,TA
BONKUSDT,2024-03-16-00:00,2024-03-17-00:00,second,0.007228125196996195,TA
BONKUSDT,2024-03-17-00:00,2024-03-18-00:00,first,0.02906442623933479,TA
BONKUSDT,2024-03-17-00:00,2024-03-18-00:00,second,0.006363630137008296,TA
BONKUSDT,2024-03-18-00:00,2024-03-19-00:00,first,0.018157984793043327,TA
BONKUSDT,2024-03-18-00:00,2024-03-19-00:00,second,0.0055168446317192,TA
BONKUSDT,2024-03-19-00:00,2024-03-20-00:00,first,0.02244301458108313,TA
BONKUSDT,2024-03-19-00:00,2024-03-20-00:00,second,0.00456427329959992,TA
BONKUSDT,2024-03-20-00:00,2024-03-21-00:00,first,0.02732347240275162,TA
BONKUSDT,2024-03-20-00:00,2024-03-21-00:00,second,0.005643558732754507,TA
BONKUSDT,2024-03-21-00:00,2024-03-22-00:00,first,0.021507945400411208,TA
BONKUSDT,2024-03-21-00:00,2024-03-22-00:00,second,0.006659607991738761,TA
BONKUSDT,2024-03-22-00:00,2024-03-23-00:00,first,0.007677419037982409,TA
BONKUSDT,2024-03-22-00:00,2024-03-23-00:00,second,0.007465235251172433,TA
BONKUSDT,2024-03-23-00:00,2024-03-24-00:00,first,0.015190838368652423,TA
BONKUSDT,2024-03-23-00:00,2024-03-24-00:00,second,0.005162979530686988,TA
BONKUSDT,2024-03-24-00:00,2024-03-25-00:00,first,0.010779840597443111,TA
BONKUSDT,2024-03-24-00:00,2024-03-25-00:00,second,0.005246441453537505,TA
BONKUSDT,2024-03-25-00:00,2024-03-26-00:00,first,0.017851412923477517,TA
BONKUSDT,2024-03-25-00:00,2024-03-26-00:00,second,0.005243199501139263,TA
BONKUSDT,2024-03-26-00:00,2024-03-27-00:00,first,0.008901344382717223,TA
BONKUSDT,2024-03-26-00:00,2024-03-27-00:00,second,0.005108122585205298,TA
BONKUSDT,2024-03-27-00:00,2024-03-28-00:00,first,0.018439115969403015,TA
BONKUSDT,2024-03-27-00:00,2024-03-28-00:00,second,0.005134260739053558,TA
BONKUSDT,2024-03-28-00:00,2024-03-29-00:00,first,0.00836082600789623,TA
BONKUSDT,2024-03-28-00:00,2024-03-29-00:00,second,0.009980896787120979,TA
BONKUSDT,2024-03-29-00:00,2024-03-30-00:00,first,0.014529381794772625,TA
BONKUSDT,2024-03-29-00:00,2024-03-30-00:00,second,0.00927027205159307,TA
BONKUSDT,2024-03-30-00:00,2024-03-31-00:00,first,0.01082824832264679,TA
BONKUSDT,2024-03-30-00:00,2024-03-31-00:00,second,0.005137993429720008,TA
BONKUSDT,2024-03-31-00:00,2024-04-01-00:00,first,0.010150504002522494,TA
BONKUSDT,2024-03-31-00:00,2024-04-01-00:00,second,0.006621565697049932,TA
BONKUSDT,2024-04-01-00:00,2024-04-02-00:00,first,0.015406257437600403,TA
BONKUSDT,2024-04-01-00:00,2024-04-02-00:00,second,0.0074741178846911005,TA
BONKUSDT,2024-04-02-00:00,2024-04-03-00:00,first,0.013074905351499253,TA
BONKUSDT,2024-04-02-00:00,2024-04-03-00:00,second,0.010241112567418435,TA
BONKUSDT,2024-04-03-00:00,2024-04-04-00:00,first,0.020135468810794015,TA
BONKUSDT,2024-04-03-00:00,2024-04-04-00:00,second,0.006905233852784585,TA
BONKUSDT,2024-04-04-00:00,2024-04-05-00:00,first,0.015449002513014549,TA
BONKUSDT,2024-04-04-00:00,2024-04-05-00:00,second,0.006049969565756508,TA
BONKUSDT,2024-04-05-00:00,2024-04-06-00:00,first,0.01634698926806187,TA
BONKUSDT,2024-04-05-00:00,2024-04-06-00:00,second,0.0048407589689427695,TA
BONKUSDT,2024-04-06-00:00,2024-04-07-00:00,first,0.025532955124310856,TA
BONKUSDT,2024-04-06-00:00,2024-04-07-00:00,second,0.005988902826211689,TA
BONKUSDT,2024-04-07-00:00,2024-04-08-00:00,first,0.007078707125317266,TA
BONKUSDT,2024-04-07-00:00,2024-04-08-00:00,second,0.006628554977923656,TA
BONKUSDT,2024-04-08-00:00,2024-04-09-00:00,first,0.006543534967446409,TA
BONKUSDT,2024-04-08-00:00,2024-04-09-00:00,second,0.0037197238962855942,TA
BONKUSDT,2024-04-09-00:00,2024-04-10-00:00,first,0.025599822948376465,TA
BONKUSDT,2024-04-09-00:00,2024-04-10-00:00,second,0.00847140275206065,TA
BONKUSDT,2024-04-10-00:00,2024-04-11-00:00,first,0.010414330796674151,TA
BONKUSDT,2024-04-10-00:00,2024-04-11-00:00,second,0.00614931792776723,TA
BONKUSDT,2024-04-11-00:00,2024-04-12-00:00,first,0.017272272636093326,TA
BONKUSDT,2024-04-11-00:00,2024-04-12-00:00,second,0.0054959634262128545,TA
BONKUSDT,2024-04-12-00:00,2024-04-13-00:00,first,0.010909931743463566,TA
BONKUSDT,2024-04-12-00:00,2024-04-13-00:00,second,0.0033287264162536676,TA
BONKUSDT,2024-04-13-00:00,2024-04-14-00:00,first,0.025599822948376465,TA
BONKUSDT,2024-04-13-00:00,2024-04-14-00:00,second,0.009588103161553656,TA
BONKUSDT,2024-04-14-00:00,2024-04-15-00:00,first,0.02212480097909884,TA
BONKUSDT,2024-04-14-00:00,2024-04-15-00:00,second,0.00746040387360346,TA
BONKUSDT,2024-04-15-00:00,2024-04-16-00:00,first,0.010193249077936636,TA
BONKUSDT,2024-04-15-00:00,2024-04-16-00:00,second,0.00827898072472594,TA
