symbol,start_date,end_date,digit_type,mad,target
EURIUSDT,2024-08-28-00:00,2024-08-29-00:00,first,0.011401686050345812,TA
EURIUSDT,2024-08-28-00:00,2024-08-29-00:00,second,0.013899433338709377,TA
EURIUSDT,2024-08-29-00:00,2024-08-30-00:00,first,0.007672442578129288,TA
EURIUSDT,2024-08-29-00:00,2024-08-30-00:00,second,0.0070154525294301735,TA
EURIUSDT,2024-08-30-00:00,2024-08-31-00:00,first,0.008111208337451405,TA
EURIUSDT,2024-08-30-00:00,2024-08-31-00:00,second,0.007929680797314681,TA
EURIUSDT,2024-08-31-00:00,2024-09-01-00:00,first,0.008088978484244759,TA
EURIUSDT,2024-08-31-00:00,2024-09-01-00:00,second,0.006757715317431555,TA
EURIUSDT,2024-09-01-00:00,2024-09-02-00:00,first,0.01142520647608517,TA
EURIUSDT,2024-09-01-00:00,2024-09-02-00:00,second,0.010959049851976613,TA
EURIUSDT,2024-09-02-00:00,2024-09-03-00:00,first,0.014804217455663928,TA
EURIUSDT,2024-09-02-00:00,2024-09-03-00:00,second,0.0100661353994639,TA
EURIUSDT,2024-09-03-00:00,2024-09-04-00:00,first,0.01020385161497133,TA
EURIUSDT,2024-09-03-00:00,2024-09-04-00:00,second,0.007550130510805159,TA
EURIUSDT,2024-09-04-00:00,2024-09-05-00:00,first,0.010303812203983704,TA
EURIUSDT,2024-09-04-00:00,2024-09-05-00:00,second,0.006942780930087125,TA
EURIUSDT,2024-09-05-00:00,2024-09-06-00:00,first,0.009956619559925892,TA
EURIUSDT,2024-09-05-00:00,2024-09-06-00:00,second,0.008194072968110628,TA
EURIUSDT,2024-09-06-00:00,2024-09-07-00:00,first,0.006672471686287261,TA
EURIUSDT,2024-09-06-00:00,2024-09-07-00:00,second,0.005615214872921601,TA
EURIUSDT,2024-09-07-00:00,2024-09-08-00:00,first,0.006582746780712583,TA
EURIUSDT,2024-09-07-00:00,2024-09-08-00:00,second,0.008349027006104267,TA
EURIUSDT,2024-09-08-00:00,2024-09-09-00:00,first,0.006148174122347749,TA
EURIUSDT,2024-09-08-00:00,2024-09-09-00:00,second,0.013111138619267987,TA
EURIUSDT,2024-09-09-00:00,2024-09-10-00:00,first,0.008673783723836282,TA
EURIUSDT,2024-09-09-00:00,2024-09-10-00:00,second,0.007644470970349285,TA
EURIUSDT,2024-09-10-00:00,2024-09-11-00:00,first,0.006855006469429631,TA
EURIUSDT,2024-09-10-00:00,2024-09-11-00:00,second,0.006608482910174969,TA
EURIUSDT,2024-09-11-00:00,2024-09-12-00:00,first,0.011085701427730948,TA
EURIUSDT,2024-09-11-00:00,2024-09-12-00:00,second,0.0063436542834543076,TA
EURIUSDT,2024-09-12-00:00,2024-09-13-00:00,first,0.010282888429963472,TA
EURIUSDT,2024-09-12-00:00,2024-09-13-00:00,second,0.00960204781912595,TA
EURIUSDT,2024-09-13-00:00,2024-09-14-00:00,first,0.012836456798413045,TA
EURIUSDT,2024-09-13-00:00,2024-09-14-00:00,second,0.009263154560318808,TA
EURIUSDT,2024-09-14-00:00,2024-09-15-00:00,first,0.011387953916160988,TA
EURIUSDT,2024-09-14-00:00,2024-09-15-00:00,second,0.005040611058103585,TA
EURIUSDT,2024-09-15-00:00,2024-09-16-00:00,first,0.009675968172943052,TA
EURIUSDT,2024-09-15-00:00,2024-09-16-00:00,second,0.012470865178989767,TA
EURIUSDT,2024-09-16-00:00,2024-09-17-00:00,first,0.01103934717988237,TA
EURIUSDT,2024-09-16-00:00,2024-09-17-00:00,second,0.006458697427856633,TA
EURIUSDT,2024-09-17-00:00,2024-09-18-00:00,first,0.012044659325449049,TA
EURIUSDT,2024-09-17-00:00,2024-09-18-00:00,second,0.003569634818025058,TA
EURIUSDT,2024-09-18-00:00,2024-09-19-00:00,first,0.01083431795932156,TA
EURIUSDT,2024-09-18-00:00,2024-09-19-00:00,second,0.013318882343324604,TA
EURIUSDT,2024-09-19-00:00,2024-09-20-00:00,first,0.010637893047918009,TA
EURIUSDT,2024-09-19-00:00,2024-09-20-00:00,second,0.00490515432084355,TA
EURIUSDT,2024-09-20-00:00,2024-09-21-00:00,first,0.009980671349276849,TA
EURIUSDT,2024-09-20-00:00,2024-09-21-00:00,second,0.004668275285177881,TA
EURIUSDT,2024-09-21-00:00,2024-09-22-00:00,first,0.011419548996923892,TA
EURIUSDT,2024-09-21-00:00,2024-09-22-00:00,second,0.010990542886762818,TA
EURIUSDT,2024-09-22-00:00,2024-09-23-00:00,first,0.013803716392702238,TA
EURIUSDT,2024-09-22-00:00,2024-09-23-00:00,second,0.00819739506345665,TA
EURIUSDT,2024-09-23-00:00,2024-09-24-00:00,first,0.01065725513240378,TA
EURIUSDT,2024-09-23-00:00,2024-09-24-00:00,second,0.01161906434141962,TA
EURIUSDT,2024-09-24-00:00,2024-09-25-00:00,first,0.00986054687924631,TA
EURIUSDT,2024-09-24-00:00,2024-09-25-00:00,second,0.010011570036182667,TA
EURIUSDT,2024-09-25-00:00,2024-09-26-00:00,first,0.01149289642586813,TA
EURIUSDT,2024-09-25-00:00,2024-09-26-00:00,second,0.007007784828137627,TA
EURIUSDT,2024-09-26-00:00,2024-09-27-00:00,first,0.007560388326622074,TA
EURIUSDT,2024-09-26-00:00,2024-09-27-00:00,second,0.008281129777977524,TA
EURIUSDT,2024-09-27-00:00,2024-09-28-00:00,first,0.014673171531388486,TA
EURIUSDT,2024-09-27-00:00,2024-09-28-00:00,second,0.008924557168418074,TA
EURIUSDT,2024-09-28-00:00,2024-09-29-00:00,first,0.007999935592127761,TA
EURIUSDT,2024-09-28-00:00,2024-09-29-00:00,second,0.008227547347075299,TA
EURIUSDT,2024-09-29-00:00,2024-09-30-00:00,first,0.020811085093320157,TA
EURIUSDT,2024-09-29-00:00,2024-09-30-00:00,second,0.013049845049559371,TA
EURIUSDT,2024-09-30-00:00,2024-10-01-00:00,first,0.016962556258127887,TA
EURIUSDT,2024-09-30-00:00,2024-10-01-00:00,second,0.011552616607026974,TA
EURIUSDT,2024-10-01-00:00,2024-10-02-00:00,first,0.010638058753826141,TA
EURIUSDT,2024-10-01-00:00,2024-10-02-00:00,second,0.005223211300877431,TA
EURIUSDT,2024-10-02-00:00,2024-10-03-00:00,first,0.010834708969150857,TA
EURIUSDT,2024-10-02-00:00,2024-10-03-00:00,second,0.011228314519554609,TA
EURIUSDT,2024-10-03-00:00,2024-10-04-00:00,first,0.011271070754620876,TA
EURIUSDT,2024-10-03-00:00,2024-10-04-00:00,second,0.005076831655710656,TA
EURIUSDT,2024-10-04-00:00,2024-10-05-00:00,first,0.009352903906451585,TA
EURIUSDT,2024-10-04-00:00,2024-10-05-00:00,second,0.006179740413743702,TA
EURIUSDT,2024-10-05-00:00,2024-10-06-00:00,first,0.009824251388837675,TA
EURIUSDT,2024-10-05-00:00,2024-10-06-00:00,second,0.010830045754563537,TA
EURIUSDT,2024-10-06-00:00,2024-10-07-00:00,first,0.014459780330508395,TA
EURIUSDT,2024-10-06-00:00,2024-10-07-00:00,second,0.01121725727009211,TA
EURIUSDT,2024-10-07-00:00,2024-10-08-00:00,first,0.010467938811792685,TA
EURIUSDT,2024-10-07-00:00,2024-10-08-00:00,second,0.007227518266964876,TA
EURIUSDT,2024-10-08-00:00,2024-10-09-00:00,first,0.005509576683206573,TA
EURIUSDT,2024-10-08-00:00,2024-10-09-00:00,second,0.005573923069923938,TA
EURIUSDT,2024-10-09-00:00,2024-10-10-00:00,first,0.00854656548499726,TA
EURIUSDT,2024-10-09-00:00,2024-10-10-00:00,second,0.0048646320201742475,TA
EURIUSDT,2024-10-10-00:00,2024-10-11-00:00,first,0.014054496601244712,TA
EURIUSDT,2024-10-10-00:00,2024-10-11-00:00,second,0.007469790826721927,TA
EURIUSDT,2024-10-11-00:00,2024-10-12-00:00,first,0.009394957867256868,TA
EURIUSDT,2024-10-11-00:00,2024-10-12-00:00,second,0.004970290817627112,TA
EURIUSDT,2024-10-12-00:00,2024-10-13-00:00,first,0.007330033015351848,TA
EURIUSDT,2024-10-12-00:00,2024-10-13-00:00,second,0.008652550702668675,TA
EURIUSDT,2024-10-13-00:00,2024-10-14-00:00,first,0.012325105273825333,TA
EURIUSDT,2024-10-13-00:00,2024-10-14-00:00,second,0.008449958140973837,TA
EURIUSDT,2024-10-14-00:00,2024-10-15-00:00,first,0.012089018550632631,TA
EURIUSDT,2024-10-14-00:00,2024-10-15-00:00,second,0.007594899253806858,TA
EURIUSDT,2024-10-15-00:00,2024-10-16-00:00,first,0.010331955659647887,TA
EURIUSDT,2024-10-15-00:00,2024-10-16-00:00,second,0.006649872912085022,TA
EURIUSDT,2024-10-16-00:00,2024-10-17-00:00,first,0.008095653580398028,TA
EURIUSDT,2024-10-16-00:00,2024-10-17-00:00,second,0.005792847214112636,TA
EURIUSDT,2024-10-17-00:00,2024-10-18-00:00,first,0.007434884762698278,TA
EURIUSDT,2024-10-17-00:00,2024-10-18-00:00,second,0.009262079493886265,TA
EURIUSDT,2024-10-18-00:00,2024-10-19-00:00,first,0.008439705922412064,TA
EURIUSDT,2024-10-18-00:00,2024-10-19-00:00,second,0.009528700738562374,TA
EURIUSDT,2024-10-19-00:00,2024-10-20-00:00,first,0.005914675414226664,TA
EURIUSDT,2024-10-19-00:00,2024-10-20-00:00,second,0.012691182822336828,TA
EURIUSDT,2024-10-20-00:00,2024-10-21-00:00,first,0.010525938646446834,TA
EURIUSDT,2024-10-20-00:00,2024-10-21-00:00,second,0.012786595366491224,TA
EURIUSDT,2024-10-21-00:00,2024-10-22-00:00,first,0.0070243257789616214,TA
EURIUSDT,2024-10-21-00:00,2024-10-22-00:00,second,0.013671041432576914,TA
EURIUSDT,2024-10-22-00:00,2024-10-23-00:00,first,0.011637028649681882,TA
EURIUSDT,2024-10-22-00:00,2024-10-23-00:00,second,0.013976890905395275,TA
EURIUSDT,2024-10-23-00:00,2024-10-24-00:00,first,0.009452653289711102,TA
EURIUSDT,2024-10-23-00:00,2024-10-24-00:00,second,0.014255197381333167,TA
