symbol,start_date,end_date,digit_type,mad,target
GHSTUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.015649240115048785,TA
GHSTUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.01915291598651281,TA
GHSTUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.009150607427192727,TA
GHSTUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.019126347237561615,TA
GHSTUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.00550204950891316,TA
GHSTUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.010732267409524873,TA
GHSTUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.00781862999204124,TA
GHSTUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.007644036541098842,TA
GHSTUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.009580690842656787,TA
GHSTUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.008427471674358328,TA
GHSTUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.008308185370052528,TA
GHSTUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.012852567392796244,TA
GHSTUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.024660336918181654,TA
GHSTUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.026530579504020425,TA
GHSTUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.01552094653655513,TA
GHSTUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.01972439875479149,TA
GHSTUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.021889978337423233,TA
GHSTUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.02230538213444517,TA
GHSTUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.01279976192339562,TA
GHSTUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.010693679443212534,TA
GHSTUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.008473896296939466,TA
GHSTUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.01327265656779834,TA
GHSTUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.01171205633549097,TA
GHSTUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.02385245145743605,TA
GHSTUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.013431113038230582,TA
GHSTUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.015796173435018733,TA
GHSTUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.008815720459083869,TA
GHSTUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.0063209253536289315,TA
GHSTUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.006633385165546717,TA
GHSTUSDT,2024-01-15-00:00,2024-01-16-00:00,second,0.018802212098755558,TA
GHSTUSDT,2024-01-16-00:00,2024-01-17-00:00,first,0.012673873759989969,TA
GHSTUSDT,2024-01-16-00:00,2024-01-17-00:00,second,0.017323490112539985,TA
GHSTUSDT,2024-01-17-00:00,2024-01-18-00:00,first,0.015263261614920599,TA
GHSTUSDT,2024-01-17-00:00,2024-01-18-00:00,second,0.020962032012164684,TA
GHSTUSDT,2024-01-18-00:00,2024-01-19-00:00,first,0.018148433677798906,TA
GHSTUSDT,2024-01-18-00:00,2024-01-19-00:00,second,0.035897520443865426,TA
GHSTUSDT,2024-01-19-00:00,2024-01-20-00:00,first,0.02273381154889427,TA
GHSTUSDT,2024-01-19-00:00,2024-01-20-00:00,second,0.02163702538499026,TA
