symbol,start_date,end_date,digit_type,mad,target
HARDUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.01167470706758952,TA
HARDUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.009511359114006673,TA
HARDUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.007516868524551107,TA
HARDUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.013051780261346197,TA
HARDUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.006972426369181475,TA
HARDUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.015794478168895128,TA
HARDUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.007089781341880066,TA
HARDUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.008453086113124095,TA
HARDUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.007485388058367965,TA
HARDUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.006531129479454639,TA
HARDUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.010609027496305826,TA
HARDUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.015856690608828012,TA
HARDUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.009542096246255492,TA
HARDUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.01088200277628169,TA
HARDUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.008158608205899571,TA
HARDUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.005946122151126725,TA
HARDUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.007379498441112165,TA
HARDUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.004218227830066507,TA
HARDUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.012440612175864936,TA
HARDUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.012515357689972523,TA
HARDUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.009931834538952081,TA
HARDUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.0090537841445885,TA
HARDUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.010960760174365416,TA
HARDUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.006735173600448422,TA
HARDUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.00803910649891449,TA
HARDUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.008411830540984717,TA
HARDUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.012210510724904443,TA
HARDUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.013202266707670694,TA
HARDUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.014454982217585058,TA
HARDUSDT,2024-01-15-00:00,2024-01-16-00:00,second,0.015414459282948855,TA
HARDUSDT,2024-01-16-00:00,2024-01-17-00:00,first,0.013255144288794561,TA
HARDUSDT,2024-01-16-00:00,2024-01-17-00:00,second,0.015272111774248667,TA
HARDUSDT,2024-01-17-00:00,2024-01-18-00:00,first,0.009617428860877675,TA
HARDUSDT,2024-01-17-00:00,2024-01-18-00:00,second,0.017463073912437177,TA
HARDUSDT,2024-01-18-00:00,2024-01-19-00:00,first,0.009673605835153608,TA
HARDUSDT,2024-01-18-00:00,2024-01-19-00:00,second,0.016723727646886805,TA
HARDUSDT,2024-01-19-00:00,2024-01-20-00:00,first,0.009922236040326382,TA
HARDUSDT,2024-01-19-00:00,2024-01-20-00:00,second,0.012865159995346764,TA
HARDUSDT,2024-01-20-00:00,2024-01-21-00:00,first,0.011539112126627582,TA
HARDUSDT,2024-01-20-00:00,2024-01-21-00:00,second,0.009352565534287942,TA
HARDUSDT,2024-01-21-00:00,2024-01-22-00:00,first,0.007603712177267275,TA
HARDUSDT,2024-01-21-00:00,2024-01-22-00:00,second,0.008088334607361969,TA
HARDUSDT,2024-01-22-00:00,2024-01-23-00:00,first,0.009942707256996388,TA
HARDUSDT,2024-01-22-00:00,2024-01-23-00:00,second,0.006792757640468478,TA
HARDUSDT,2024-01-23-00:00,2024-01-24-00:00,first,0.0075837796452141205,TA
HARDUSDT,2024-01-23-00:00,2024-01-24-00:00,second,0.017155796892169374,TA
