symbol,start_date,end_date,digit_type,mad,target
MANAUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.007069200656866799,TA
MANAUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.005250555573689861,TA
MANAUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.008739089067502684,TA
MANAUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.005970763098757355,TA
MANAUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.012907679412080769,TA
MANAUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.005077997089595087,TA
MANAUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.007100712681968278,TA
MANAUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.007660978320361117,TA
MANAUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.00619034400860865,TA
MANAUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.005741391695838499,TA
MANAUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.0065540978942645375,TA
MANAUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.008363131409287006,TA
MANAUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.003757615550448138,TA
MANAUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.005474957192222999,TA
MANAUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.00827398503695456,TA
MANAUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.007054574494732577,TA
MANAUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.0039761277400982035,TA
MANAUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.007234339847610715,TA
MANAUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.005398139627620948,TA
MANAUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.00867588648628392,TA
MANAUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.004472519378324802,TA
MANAUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.0051266710803501815,TA
MANAUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.007730314022716715,TA
MANAUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.009099449635240347,TA
MANAUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.003484491349078684,TA
MANAUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.005858111015721294,TA
MANAUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.006201147881436164,TA
MANAUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.005425543519878609,TA
MANAUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.005501401760578529,TA
MANAUSDT,2024-01-15-00:00,2024-01-16-00:00,second,0.007093808592220742,TA
MANAUSDT,2024-01-16-00:00,2024-01-17-00:00,first,0.008119222200023958,TA
MANAUSDT,2024-01-16-00:00,2024-01-17-00:00,second,0.009433117651444783,TA
MANAUSDT,2024-01-17-00:00,2024-01-18-00:00,first,0.004375291069784224,TA
MANAUSDT,2024-01-17-00:00,2024-01-18-00:00,second,0.0069242493012798,TA
MANAUSDT,2024-01-18-00:00,2024-01-19-00:00,first,0.004134387008414074,TA
MANAUSDT,2024-01-18-00:00,2024-01-19-00:00,second,0.004939978070629562,TA
MANAUSDT,2024-01-19-00:00,2024-01-20-00:00,first,0.008404009855616809,TA
MANAUSDT,2024-01-19-00:00,2024-01-20-00:00,second,0.003485600434885529,TA
MANAUSDT,2024-01-20-00:00,2024-01-21-00:00,first,0.0072511432542312505,TA
MANAUSDT,2024-01-20-00:00,2024-01-21-00:00,second,0.005045091726037271,TA
MANAUSDT,2024-01-21-00:00,2024-01-22-00:00,first,0.004273035404696117,TA
MANAUSDT,2024-01-21-00:00,2024-01-22-00:00,second,0.008260935456387857,TA
MANAUSDT,2024-01-22-00:00,2024-01-23-00:00,first,0.005190066387079381,TA
MANAUSDT,2024-01-22-00:00,2024-01-23-00:00,second,0.006995543665536799,TA
MANAUSDT,2024-01-23-00:00,2024-01-24-00:00,first,0.007709507329344232,TA
MANAUSDT,2024-01-23-00:00,2024-01-24-00:00,second,0.005232200856008748,TA
MANAUSDT,2024-01-24-00:00,2024-01-25-00:00,first,0.006711946787034382,TA
MANAUSDT,2024-01-24-00:00,2024-01-25-00:00,second,0.005857439695917359,TA
MANAUSDT,2024-01-25-00:00,2024-01-26-00:00,first,0.009135145439452132,TA
MANAUSDT,2024-01-25-00:00,2024-01-26-00:00,second,0.006714616890531613,TA
MANAUSDT,2024-01-26-00:00,2024-01-27-00:00,first,0.007774890530799929,TA
MANAUSDT,2024-01-26-00:00,2024-01-27-00:00,second,0.007053524857329868,TA
MANAUSDT,2024-01-27-00:00,2024-01-28-00:00,first,0.009231390964331053,TA
MANAUSDT,2024-01-27-00:00,2024-01-28-00:00,second,0.005971070119379184,TA
MANAUSDT,2024-01-28-00:00,2024-01-29-00:00,first,0.0026093031639717276,TA
MANAUSDT,2024-01-28-00:00,2024-01-29-00:00,second,0.007087630899028248,TA
MANAUSDT,2024-01-29-00:00,2024-01-30-00:00,first,0.004851352432315734,TA
MANAUSDT,2024-01-29-00:00,2024-01-30-00:00,second,0.009156699839469734,TA
MANAUSDT,2024-01-30-00:00,2024-01-31-00:00,first,0.00965533824274658,TA
MANAUSDT,2024-01-30-00:00,2024-01-31-00:00,second,0.006578372398499897,TA
MANAUSDT,2024-01-31-00:00,2024-02-01-00:00,first,0.004107055382615494,TA
MANAUSDT,2024-01-31-00:00,2024-02-01-00:00,second,0.00571846503307317,TA
MANAUSDT,2024-02-01-00:00,2024-02-02-00:00,first,0.005728678333697248,TA
MANAUSDT,2024-02-01-00:00,2024-02-02-00:00,second,0.008663697189120743,TA
MANAUSDT,2024-02-02-00:00,2024-02-03-00:00,first,0.0047726072353674286,TA
MANAUSDT,2024-02-02-00:00,2024-02-03-00:00,second,0.005815815660429428,TA
MANAUSDT,2024-02-03-00:00,2024-02-04-00:00,first,0.009129396636978274,TA
MANAUSDT,2024-02-03-00:00,2024-02-04-00:00,second,0.005784568391551651,TA
MANAUSDT,2024-02-04-00:00,2024-02-05-00:00,first,0.012610519313357334,TA
MANAUSDT,2024-02-04-00:00,2024-02-05-00:00,second,0.009585164861253864,TA
MANAUSDT,2024-02-05-00:00,2024-02-06-00:00,first,0.005740458840286756,TA
MANAUSDT,2024-02-05-00:00,2024-02-06-00:00,second,0.002512590725078713,TA
MANAUSDT,2024-02-06-00:00,2024-02-07-00:00,first,0.0042884064616291505,TA
MANAUSDT,2024-02-06-00:00,2024-02-07-00:00,second,0.007786614634548164,TA
MANAUSDT,2024-02-07-00:00,2024-02-08-00:00,first,0.009946037899875063,TA
MANAUSDT,2024-02-07-00:00,2024-02-08-00:00,second,0.0056553266073163105,TA
MANAUSDT,2024-02-08-00:00,2024-02-09-00:00,first,0.00421936918470502,TA
MANAUSDT,2024-02-08-00:00,2024-02-09-00:00,second,0.00647208664582082,TA
MANAUSDT,2024-02-09-00:00,2024-02-10-00:00,first,0.004268363056721201,TA
MANAUSDT,2024-02-09-00:00,2024-02-10-00:00,second,0.006690083949367166,TA
MANAUSDT,2024-02-10-00:00,2024-02-11-00:00,first,0.007737099450561912,TA
MANAUSDT,2024-02-10-00:00,2024-02-11-00:00,second,0.004123994677164494,TA
MANAUSDT,2024-02-11-00:00,2024-02-12-00:00,first,0.007482408881258756,TA
MANAUSDT,2024-02-11-00:00,2024-02-12-00:00,second,0.006214862302378677,TA
MANAUSDT,2024-02-12-00:00,2024-02-13-00:00,first,0.004882501368586742,TA
MANAUSDT,2024-02-12-00:00,2024-02-13-00:00,second,0.00718814047772996,TA
MANAUSDT,2024-02-13-00:00,2024-02-14-00:00,first,0.009218273743948426,TA
MANAUSDT,2024-02-13-00:00,2024-02-14-00:00,second,0.008507109327147594,TA
MANAUSDT,2024-02-14-00:00,2024-02-15-00:00,first,0.003958381260461938,TA
MANAUSDT,2024-02-14-00:00,2024-02-15-00:00,second,0.006123381962536635,TA
MANAUSDT,2024-02-15-00:00,2024-02-16-00:00,first,0.009785240911271387,TA
MANAUSDT,2024-02-15-00:00,2024-02-16-00:00,second,0.0049045110580136515,TA
MANAUSDT,2024-02-16-00:00,2024-02-17-00:00,first,0.008368828200204518,TA
MANAUSDT,2024-02-16-00:00,2024-02-17-00:00,second,0.005205652253192754,TA
MANAUSDT,2024-02-17-00:00,2024-02-18-00:00,first,0.008597124626522575,TA
MANAUSDT,2024-02-17-00:00,2024-02-18-00:00,second,0.0075265768406519344,TA
MANAUSDT,2024-02-18-00:00,2024-02-19-00:00,first,0.005325380739522914,TA
MANAUSDT,2024-02-18-00:00,2024-02-19-00:00,second,0.003652111889531967,TA
MANAUSDT,2024-02-19-00:00,2024-02-20-00:00,first,0.007205097103210955,TA
MANAUSDT,2024-02-19-00:00,2024-02-20-00:00,second,0.004932194289714346,TA
MANAUSDT,2024-02-20-00:00,2024-02-21-00:00,first,0.00803960214198245,TA
MANAUSDT,2024-02-20-00:00,2024-02-21-00:00,second,0.005751516907275404,TA
MANAUSDT,2024-02-21-00:00,2024-02-22-00:00,first,0.0048515533824492075,TA
MANAUSDT,2024-02-21-00:00,2024-02-22-00:00,second,0.005337019252028977,TA
MANAUSDT,2024-02-22-00:00,2024-02-23-00:00,first,0.006438461748076537,TA
MANAUSDT,2024-02-22-00:00,2024-02-23-00:00,second,0.003892053606106026,TA
MANAUSDT,2024-02-23-00:00,2024-02-24-00:00,first,0.008247202457333217,TA
MANAUSDT,2024-02-23-00:00,2024-02-24-00:00,second,0.007204920196331644,TA
MANAUSDT,2024-02-24-00:00,2024-02-25-00:00,first,0.008393388230566897,TA
MANAUSDT,2024-02-24-00:00,2024-02-25-00:00,second,0.008102997644874942,TA
MANAUSDT,2024-02-25-00:00,2024-02-26-00:00,first,0.009487834094951634,TA
MANAUSDT,2024-02-25-00:00,2024-02-26-00:00,second,0.00682893187143877,TA
MANAUSDT,2024-02-26-00:00,2024-02-27-00:00,first,0.003691165080702091,TA
MANAUSDT,2024-02-26-00:00,2024-02-27-00:00,second,0.006332134198573534,TA
MANAUSDT,2024-02-27-00:00,2024-02-28-00:00,first,0.0054250993593404125,TA
MANAUSDT,2024-02-27-00:00,2024-02-28-00:00,second,0.00900277763541492,TA
MANAUSDT,2024-02-28-00:00,2024-02-29-00:00,first,0.007837295582443844,TA
MANAUSDT,2024-02-28-00:00,2024-02-29-00:00,second,0.006799991516782271,TA
MANAUSDT,2024-02-29-00:00,2024-03-01-00:00,first,0.007865225061106821,TA
MANAUSDT,2024-02-29-00:00,2024-03-01-00:00,second,0.005937162027162856,TA
MANAUSDT,2024-03-01-00:00,2024-03-02-00:00,first,0.013334608982799978,TA
MANAUSDT,2024-03-01-00:00,2024-03-02-00:00,second,0.008213836275726033,TA
MANAUSDT,2024-03-02-00:00,2024-03-03-00:00,first,0.009897302304825793,TA
MANAUSDT,2024-03-02-00:00,2024-03-03-00:00,second,0.005557030165757674,TA
MANAUSDT,2024-03-03-00:00,2024-03-04-00:00,first,0.008337652557763033,TA
MANAUSDT,2024-03-03-00:00,2024-03-04-00:00,second,0.008218317836960804,TA
MANAUSDT,2024-03-04-00:00,2024-03-05-00:00,first,0.010597697224108221,TA
MANAUSDT,2024-03-04-00:00,2024-03-05-00:00,second,0.006884916020799342,TA
MANAUSDT,2024-03-05-00:00,2024-03-06-00:00,first,0.011060338908123956,TA
MANAUSDT,2024-03-05-00:00,2024-03-06-00:00,second,0.005325912099925724,TA
MANAUSDT,2024-03-06-00:00,2024-03-07-00:00,first,0.007024320317484644,TA
MANAUSDT,2024-03-06-00:00,2024-03-07-00:00,second,0.007589115252431213,TA
MANAUSDT,2024-03-07-00:00,2024-03-08-00:00,first,0.0158991631807973,TA
MANAUSDT,2024-03-07-00:00,2024-03-08-00:00,second,0.007212208437294844,TA
MANAUSDT,2024-03-08-00:00,2024-03-09-00:00,first,0.009543434236475325,TA
MANAUSDT,2024-03-08-00:00,2024-03-09-00:00,second,0.008810933723188733,TA
MANAUSDT,2024-03-09-00:00,2024-03-10-00:00,first,0.008405427003088389,TA
MANAUSDT,2024-03-09-00:00,2024-03-10-00:00,second,0.004971216365641148,TA
MANAUSDT,2024-03-10-00:00,2024-03-11-00:00,first,0.010574207341135603,TA
MANAUSDT,2024-03-10-00:00,2024-03-11-00:00,second,0.004800756570708128,TA
MANAUSDT,2024-03-11-00:00,2024-03-12-00:00,first,0.009351505050499968,TA
MANAUSDT,2024-03-11-00:00,2024-03-12-00:00,second,0.003976427701188686,TA
MANAUSDT,2024-03-12-00:00,2024-03-13-00:00,first,0.013416925269295579,TA
MANAUSDT,2024-03-12-00:00,2024-03-13-00:00,second,0.006746260470354722,TA
MANAUSDT,2024-03-13-00:00,2024-03-14-00:00,first,0.00584499596794199,TA
MANAUSDT,2024-03-13-00:00,2024-03-14-00:00,second,0.005623544919324286,TA
MANAUSDT,2024-03-14-00:00,2024-03-15-00:00,first,0.008370611820536696,TA
MANAUSDT,2024-03-14-00:00,2024-03-15-00:00,second,0.008130741550795342,TA
MANAUSDT,2024-03-15-00:00,2024-03-16-00:00,first,0.006250555640532584,TA
MANAUSDT,2024-03-15-00:00,2024-03-16-00:00,second,0.00641638443951025,TA
MANAUSDT,2024-03-16-00:00,2024-03-17-00:00,first,0.005999209862613899,TA
MANAUSDT,2024-03-16-00:00,2024-03-17-00:00,second,0.007724077600926649,TA
MANAUSDT,2024-03-17-00:00,2024-03-18-00:00,first,0.010090454544900327,TA
MANAUSDT,2024-03-17-00:00,2024-03-18-00:00,second,0.007827089530900864,TA
MANAUSDT,2024-03-18-00:00,2024-03-19-00:00,first,0.007941697445610059,TA
MANAUSDT,2024-03-18-00:00,2024-03-19-00:00,second,0.003919796507866917,TA
MANAUSDT,2024-03-19-00:00,2024-03-20-00:00,first,0.0067131973245483185,TA
MANAUSDT,2024-03-19-00:00,2024-03-20-00:00,second,0.005741317669594499,TA
MANAUSDT,2024-03-20-00:00,2024-03-21-00:00,first,0.007885703307647521,TA
MANAUSDT,2024-03-20-00:00,2024-03-21-00:00,second,0.007174731027947326,TA
MANAUSDT,2024-03-21-00:00,2024-03-22-00:00,first,0.008042195860460505,TA
MANAUSDT,2024-03-21-00:00,2024-03-22-00:00,second,0.007971543537517384,TA
MANAUSDT,2024-03-22-00:00,2024-03-23-00:00,first,0.007625999676346797,TA
MANAUSDT,2024-03-22-00:00,2024-03-23-00:00,second,0.005541896543083057,TA
MANAUSDT,2024-03-23-00:00,2024-03-24-00:00,first,0.009110125383909595,TA
MANAUSDT,2024-03-23-00:00,2024-03-24-00:00,second,0.004852042069538959,TA
MANAUSDT,2024-03-24-00:00,2024-03-25-00:00,first,0.008119595554748664,TA
MANAUSDT,2024-03-24-00:00,2024-03-25-00:00,second,0.004746187547941126,TA
MANAUSDT,2024-03-25-00:00,2024-03-26-00:00,first,0.00657649423022008,TA
MANAUSDT,2024-03-25-00:00,2024-03-26-00:00,second,0.0056991443256179,TA
MANAUSDT,2024-03-26-00:00,2024-03-27-00:00,first,0.005783146783971403,TA
MANAUSDT,2024-03-26-00:00,2024-03-27-00:00,second,0.005235921296827137,TA
MANAUSDT,2024-03-27-00:00,2024-03-28-00:00,first,0.00749753159764854,TA
MANAUSDT,2024-03-27-00:00,2024-03-28-00:00,second,0.006966257333653426,TA
MANAUSDT,2024-03-28-00:00,2024-03-29-00:00,first,0.008447341178193235,TA
MANAUSDT,2024-03-28-00:00,2024-03-29-00:00,second,0.005128015825844656,TA
MANAUSDT,2024-03-29-00:00,2024-03-30-00:00,first,0.0046085896069742085,TA
MANAUSDT,2024-03-29-00:00,2024-03-30-00:00,second,0.004829555810547469,TA
MANAUSDT,2024-03-30-00:00,2024-03-31-00:00,first,0.005355847869913291,TA
MANAUSDT,2024-03-30-00:00,2024-03-31-00:00,second,0.005955927939169896,TA
MANAUSDT,2024-03-31-00:00,2024-04-01-00:00,first,0.004046134598798404,TA
MANAUSDT,2024-03-31-00:00,2024-04-01-00:00,second,0.005277069440046515,TA
MANAUSDT,2024-04-01-00:00,2024-04-02-00:00,first,0.006017221821605214,TA
MANAUSDT,2024-04-01-00:00,2024-04-02-00:00,second,0.007468678486602825,TA
MANAUSDT,2024-04-02-00:00,2024-04-03-00:00,first,0.0052611207190469125,TA
MANAUSDT,2024-04-02-00:00,2024-04-03-00:00,second,0.006394865922621888,TA
MANAUSDT,2024-04-03-00:00,2024-04-04-00:00,first,0.003834552687417626,TA
MANAUSDT,2024-04-03-00:00,2024-04-04-00:00,second,0.007404438534623742,TA
MANAUSDT,2024-04-04-00:00,2024-04-05-00:00,first,0.0072615133944928896,TA
MANAUSDT,2024-04-04-00:00,2024-04-05-00:00,second,0.005948346777839753,TA
MANAUSDT,2024-04-05-00:00,2024-04-06-00:00,first,0.006500664928813475,TA
MANAUSDT,2024-04-05-00:00,2024-04-06-00:00,second,0.006059521553167075,TA
MANAUSDT,2024-04-06-00:00,2024-04-07-00:00,first,0.006762538064136762,TA
MANAUSDT,2024-04-06-00:00,2024-04-07-00:00,second,0.005581171015697846,TA
MANAUSDT,2024-04-07-00:00,2024-04-08-00:00,first,0.006872002031788057,TA
MANAUSDT,2024-04-07-00:00,2024-04-08-00:00,second,0.0053119108730639185,TA
MANAUSDT,2024-04-08-00:00,2024-04-09-00:00,first,0.009603064109407542,TA
MANAUSDT,2024-04-08-00:00,2024-04-09-00:00,second,0.006550905676946396,TA
