symbol,start_date,end_date,digit_type,mad,target
NMRUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.007814793415516769,TA
NMRUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.0030987414861277833,TA
NMRUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.010894198873645379,TA
NMRUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.00519964170125171,TA
NMRUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.005844123174166808,TA
NMRUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.008682907045326248,TA
NMRUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.005270171874146754,TA
NMRUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.005438920681670291,TA
NMRUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.010557823752285598,TA
NMRUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.007384188933580285,TA
NMRUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.006023974971510066,TA
NMRUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.010597495478892187,TA
NMRUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.00959661592095707,TA
NMRUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.0175076085036207,TA
NMRUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.011990363712091797,TA
NMRUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.008504685121318193,TA
NMRUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.006422909700334281,TA
NMRUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.0064851691565622465,TA
NMRUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.007797757769426323,TA
NMRUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.005805074184588988,TA
NMRUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.006905131966421961,TA
NMRUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.009953792591220157,TA
NMRUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.007166912769700757,TA
NMRUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.008168410443701273,TA
NMRUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.008206295843350852,TA
NMRUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.008229669958897168,TA
NMRUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.0028108754410600253,TA
NMRUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.010554594118057613,TA
NMRUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.00758881568340258,TA
NMRUSDT,2024-01-15-00:00,2024-01-16-00:00,second,0.0066469117758670496,TA
NMRUSDT,2024-01-16-00:00,2024-01-17-00:00,first,0.007670524739541745,TA
NMRUSDT,2024-01-16-00:00,2024-01-17-00:00,second,0.010232782285118092,TA
NMRUSDT,2024-01-17-00:00,2024-01-18-00:00,first,0.014436796525244112,TA
NMRUSDT,2024-01-17-00:00,2024-01-18-00:00,second,0.011545099605792124,TA
NMRUSDT,2024-01-18-00:00,2024-01-19-00:00,first,0.014128420722617854,TA
NMRUSDT,2024-01-18-00:00,2024-01-19-00:00,second,0.01626350055076999,TA
NMRUSDT,2024-01-19-00:00,2024-01-20-00:00,first,0.007413235707155257,TA
NMRUSDT,2024-01-19-00:00,2024-01-20-00:00,second,0.013439584301526308,TA
NMRUSDT,2024-01-20-00:00,2024-01-21-00:00,first,0.009201337820559137,TA
NMRUSDT,2024-01-20-00:00,2024-01-21-00:00,second,0.007965881945033759,TA
NMRUSDT,2024-01-21-00:00,2024-01-22-00:00,first,0.004946006348875393,TA
NMRUSDT,2024-01-21-00:00,2024-01-22-00:00,second,0.004698701156340866,TA
NMRUSDT,2024-01-22-00:00,2024-01-23-00:00,first,0.00976011123005642,TA
NMRUSDT,2024-01-22-00:00,2024-01-23-00:00,second,0.007511380773440918,TA
