symbol,start_date,end_date,digit_type,mad,target
STXUSDT,2024-01-01-00:00,2024-01-02-00:00,first,0.00906928312277623,TA
STXUSDT,2024-01-01-00:00,2024-01-02-00:00,second,0.005680823328047637,TA
STXUSDT,2024-01-02-00:00,2024-01-03-00:00,first,0.0048864369042974426,TA
STXUSDT,2024-01-02-00:00,2024-01-03-00:00,second,0.006454302327635488,TA
STXUSDT,2024-01-03-00:00,2024-01-04-00:00,first,0.010172137965717103,TA
STXUSDT,2024-01-03-00:00,2024-01-04-00:00,second,0.00823680738074934,TA
STXUSDT,2024-01-04-00:00,2024-01-05-00:00,first,0.010347462972608558,TA
STXUSDT,2024-01-04-00:00,2024-01-05-00:00,second,0.008316635385932325,TA
STXUSDT,2024-01-05-00:00,2024-01-06-00:00,first,0.013123313076702938,TA
STXUSDT,2024-01-05-00:00,2024-01-06-00:00,second,0.00396995363551726,TA
STXUSDT,2024-01-06-00:00,2024-01-07-00:00,first,0.006376840056541514,TA
STXUSDT,2024-01-06-00:00,2024-01-07-00:00,second,0.009205367676318885,TA
STXUSDT,2024-01-07-00:00,2024-01-08-00:00,first,0.007271542932552398,TA
STXUSDT,2024-01-07-00:00,2024-01-08-00:00,second,0.006635075495538325,TA
STXUSDT,2024-01-08-00:00,2024-01-09-00:00,first,0.013113527264062464,TA
STXUSDT,2024-01-08-00:00,2024-01-09-00:00,second,0.006761012732756674,TA
STXUSDT,2024-01-09-00:00,2024-01-10-00:00,first,0.011295013169513458,TA
STXUSDT,2024-01-09-00:00,2024-01-10-00:00,second,0.006892691279596979,TA
STXUSDT,2024-01-10-00:00,2024-01-11-00:00,first,0.0072756660954033285,TA
STXUSDT,2024-01-10-00:00,2024-01-11-00:00,second,0.008617772742450137,TA
STXUSDT,2024-01-11-00:00,2024-01-12-00:00,first,0.005148791548955777,TA
STXUSDT,2024-01-11-00:00,2024-01-12-00:00,second,0.005369454153800973,TA
STXUSDT,2024-01-12-00:00,2024-01-13-00:00,first,0.013271864321585301,TA
STXUSDT,2024-01-12-00:00,2024-01-13-00:00,second,0.005807242998859909,TA
STXUSDT,2024-01-13-00:00,2024-01-14-00:00,first,0.004973466542064322,TA
STXUSDT,2024-01-13-00:00,2024-01-14-00:00,second,0.00891154613022511,TA
STXUSDT,2024-01-14-00:00,2024-01-15-00:00,first,0.0033930221156214355,TA
STXUSDT,2024-01-14-00:00,2024-01-15-00:00,second,0.004926994971404475,TA
STXUSDT,2024-01-15-00:00,2024-01-16-00:00,first,0.0032815532963636675,TA
STXUSDT,2024-01-15-00:00,2024-01-16-00:00,second,0.005879865003415093,TA
STXUSDT,2024-01-16-00:00,2024-01-17-00:00,first,0.010795289059873113,TA
STXUSDT,2024-01-16-00:00,2024-01-17-00:00,second,0.010557063980286528,TA
STXUSDT,2024-01-17-00:00,2024-01-18-00:00,first,0.010105903007330335,TA
STXUSDT,2024-01-17-00:00,2024-01-18-00:00,second,0.006799299432958069,TA
STXUSDT,2024-01-18-00:00,2024-01-19-00:00,first,0.010934054492115026,TA
STXUSDT,2024-01-18-00:00,2024-01-19-00:00,second,0.006977241581426569,TA
STXUSDT,2024-01-19-00:00,2024-01-20-00:00,first,0.006949727505715831,TA
STXUSDT,2024-01-19-00:00,2024-01-20-00:00,second,0.00496298681424478,TA
STXUSDT,2024-01-20-00:00,2024-01-21-00:00,first,0.005315916766830476,TA
STXUSDT,2024-01-20-00:00,2024-01-21-00:00,second,0.009210359689505159,TA
STXUSDT,2024-01-21-00:00,2024-01-22-00:00,first,0.008722323521130214,TA
STXUSDT,2024-01-21-00:00,2024-01-22-00:00,second,0.009395294881643831,TA
STXUSDT,2024-01-22-00:00,2024-01-23-00:00,first,0.007795050429535573,TA
STXUSDT,2024-01-22-00:00,2024-01-23-00:00,second,0.005650600288831785,TA
STXUSDT,2024-01-23-00:00,2024-01-24-00:00,first,0.018125025530269647,TA
STXUSDT,2024-01-23-00:00,2024-01-24-00:00,second,0.0058317174766859435,TA
STXUSDT,2024-01-24-00:00,2024-01-25-00:00,first,0.018726432646527284,TA
STXUSDT,2024-01-24-00:00,2024-01-25-00:00,second,0.006230555668821495,TA
STXUSDT,2024-01-25-00:00,2024-01-26-00:00,first,0.01761963877083977,TA
STXUSDT,2024-01-25-00:00,2024-01-26-00:00,second,0.002190036004299624,TA
STXUSDT,2024-01-26-00:00,2024-01-27-00:00,first,0.006477300009059636,TA
STXUSDT,2024-01-26-00:00,2024-01-27-00:00,second,0.008398481449595045,TA
STXUSDT,2024-01-27-00:00,2024-01-28-00:00,first,0.0074867888805302445,TA
STXUSDT,2024-01-27-00:00,2024-01-28-00:00,second,0.007220448790510379,TA
STXUSDT,2024-01-28-00:00,2024-01-29-00:00,first,0.0042831524426661565,TA
STXUSDT,2024-01-28-00:00,2024-01-29-00:00,second,0.005128881589539324,TA
STXUSDT,2024-01-29-00:00,2024-01-30-00:00,first,0.007203768487227026,TA
STXUSDT,2024-01-29-00:00,2024-01-30-00:00,second,0.0068481705874498785,TA
STXUSDT,2024-01-30-00:00,2024-01-31-00:00,first,0.005088056033244153,TA
STXUSDT,2024-01-30-00:00,2024-01-31-00:00,second,0.007859138023099314,TA
STXUSDT,2024-01-31-00:00,2024-02-01-00:00,first,0.007238175635795325,TA
STXUSDT,2024-01-31-00:00,2024-02-01-00:00,second,0.010360210791084418,TA
STXUSDT,2024-02-01-00:00,2024-02-02-00:00,first,0.005639435024074813,TA
STXUSDT,2024-02-01-00:00,2024-02-02-00:00,second,0.006079142203527311,TA
STXUSDT,2024-02-02-00:00,2024-02-03-00:00,first,0.009812082713307928,TA
STXUSDT,2024-02-02-00:00,2024-02-03-00:00,second,0.007484344182493821,TA
STXUSDT,2024-02-03-00:00,2024-02-04-00:00,first,0.006515980983372843,TA
STXUSDT,2024-02-03-00:00,2024-02-04-00:00,second,0.00417333118867845,TA
STXUSDT,2024-02-04-00:00,2024-02-05-00:00,first,0.011137021032054183,TA
STXUSDT,2024-02-04-00:00,2024-02-05-00:00,second,0.006357976652813925,TA
STXUSDT,2024-02-05-00:00,2024-02-06-00:00,first,0.003201453443898437,TA
STXUSDT,2024-02-05-00:00,2024-02-06-00:00,second,0.00554610142554895,TA
STXUSDT,2024-02-06-00:00,2024-02-07-00:00,first,0.005533355765356086,TA
STXUSDT,2024-02-06-00:00,2024-02-07-00:00,second,0.005568768989620815,TA
STXUSDT,2024-02-07-00:00,2024-02-08-00:00,first,0.008041449747034983,TA
STXUSDT,2024-02-07-00:00,2024-02-08-00:00,second,0.0035744144749178196,TA
STXUSDT,2024-02-08-00:00,2024-02-09-00:00,first,0.003482746956980832,TA
STXUSDT,2024-02-08-00:00,2024-02-09-00:00,second,0.0058660124428992905,TA
STXUSDT,2024-02-09-00:00,2024-02-10-00:00,first,0.009010957282196967,TA
STXUSDT,2024-02-09-00:00,2024-02-10-00:00,second,0.007582689820127726,TA
STXUSDT,2024-02-10-00:00,2024-02-11-00:00,first,0.00437772207559622,TA
STXUSDT,2024-02-10-00:00,2024-02-11-00:00,second,0.0064925356618581245,TA
STXUSDT,2024-02-11-00:00,2024-02-12-00:00,first,0.007864592195427992,TA
STXUSDT,2024-02-11-00:00,2024-02-12-00:00,second,0.006641362853462787,TA
STXUSDT,2024-02-12-00:00,2024-02-13-00:00,first,0.010937021938312044,TA
STXUSDT,2024-02-12-00:00,2024-02-13-00:00,second,0.006856759111797346,TA
STXUSDT,2024-02-13-00:00,2024-02-14-00:00,first,0.00908729448606362,TA
STXUSDT,2024-02-13-00:00,2024-02-14-00:00,second,0.0064847833891049115,TA
STXUSDT,2024-02-14-00:00,2024-02-15-00:00,first,0.005376058768457888,TA
STXUSDT,2024-02-14-00:00,2024-02-15-00:00,second,0.010551635365463335,TA
STXUSDT,2024-02-15-00:00,2024-02-16-00:00,first,0.010556063675113097,TA
STXUSDT,2024-02-15-00:00,2024-02-16-00:00,second,0.0045018825283167085,TA
STXUSDT,2024-02-16-00:00,2024-02-17-00:00,first,0.00435538790927751,TA
STXUSDT,2024-02-16-00:00,2024-02-17-00:00,second,0.0066485541535448445,TA
STXUSDT,2024-02-17-00:00,2024-02-18-00:00,first,0.009137874563884735,TA
STXUSDT,2024-02-17-00:00,2024-02-18-00:00,second,0.008145065778837689,TA
STXUSDT,2024-02-18-00:00,2024-02-19-00:00,first,0.005436741091758896,TA
STXUSDT,2024-02-18-00:00,2024-02-19-00:00,second,0.005506892586916079,TA
STXUSDT,2024-02-19-00:00,2024-02-20-00:00,first,0.00602370563082318,TA
STXUSDT,2024-02-19-00:00,2024-02-20-00:00,second,0.00618693135633711,TA
STXUSDT,2024-02-20-00:00,2024-02-21-00:00,first,0.009147027510846367,TA
STXUSDT,2024-02-20-00:00,2024-02-21-00:00,second,0.005804476772946705,TA
STXUSDT,2024-02-21-00:00,2024-02-22-00:00,first,0.007247736616740352,TA
STXUSDT,2024-02-21-00:00,2024-02-22-00:00,second,0.005229307576506641,TA
STXUSDT,2024-02-22-00:00,2024-02-23-00:00,first,0.010928391842325485,TA
STXUSDT,2024-02-22-00:00,2024-02-23-00:00,second,0.005350679949207284,TA
STXUSDT,2024-02-23-00:00,2024-02-24-00:00,first,0.006949727505715835,TA
STXUSDT,2024-02-23-00:00,2024-02-24-00:00,second,0.006000495198577639,TA
STXUSDT,2024-02-24-00:00,2024-02-25-00:00,first,0.00646121868095079,TA
STXUSDT,2024-02-24-00:00,2024-02-25-00:00,second,0.006641362853462789,TA
STXUSDT,2024-02-25-00:00,2024-02-26-00:00,first,0.006376840056541516,TA
STXUSDT,2024-02-25-00:00,2024-02-26-00:00,second,0.008498490269266459,TA
STXUSDT,2024-02-26-00:00,2024-02-27-00:00,first,0.005161272565188745,TA
STXUSDT,2024-02-26-00:00,2024-02-27-00:00,second,0.0043817513786089295,TA
STXUSDT,2024-02-27-00:00,2024-02-28-00:00,first,0.0075659502187246375,TA
STXUSDT,2024-02-27-00:00,2024-02-28-00:00,second,0.008219926620585167,TA
STXUSDT,2024-02-28-00:00,2024-02-29-00:00,first,0.0058987499100957895,TA
STXUSDT,2024-02-28-00:00,2024-02-29-00:00,second,0.010017810719169008,TA
STXUSDT,2024-02-29-00:00,2024-03-01-00:00,first,0.020972773242540335,TA
STXUSDT,2024-02-29-00:00,2024-03-01-00:00,second,0.00637094503747206,TA
STXUSDT,2024-03-01-00:00,2024-03-02-00:00,first,0.010481198620739754,TA
STXUSDT,2024-03-01-00:00,2024-03-02-00:00,second,0.008678091295073213,TA
STXUSDT,2024-03-02-00:00,2024-03-03-00:00,first,0.011550910070802658,TA
STXUSDT,2024-03-02-00:00,2024-03-03-00:00,second,0.005693163450538883,TA
STXUSDT,2024-03-03-00:00,2024-03-04-00:00,first,0.009125393547651751,TA
STXUSDT,2024-03-03-00:00,2024-03-04-00:00,second,0.005400270283226478,TA
