symbol,start_date,end_date,digit_type,mad,target
KRW-AVAX,2024-12-31-00:00,2025-01-01-00:00,first,0.011236118990097268,TA
KRW-AVAX,2024-12-31-00:00,2025-01-01-00:00,second,0.028667588255105007,TA
KRW-AVAX,2024-12-30-00:00,2024-12-31-00:00,first,0.024710555385047277,TA
KRW-AVAX,2024-12-30-00:00,2024-12-31-00:00,second,0.01922501473405821,TA
KRW-AVAX,2024-12-29-00:00,2024-12-30-00:00,first,0.022693612159924985,TA
KRW-AVAX,2024-12-29-00:00,2024-12-30-00:00,second,0.02388972871247814,TA
KRW-AVAX,2024-12-28-00:00,2024-12-29-00:00,first,0.01620071823321796,TA
KRW-AVAX,2024-12-28-00:00,2024-12-29-00:00,second,0.028003035415569495,TA
KRW-AVAX,2024-12-27-00:00,2024-12-28-00:00,first,0.013599444273936164,TA
KRW-AVAX,2024-12-27-00:00,2024-12-28-00:00,second,0.014715727745191875,TA
KRW-AVAX,2024-12-26-00:00,2024-12-27-00:00,first,0.013131673582093085,TA
KRW-AVAX,2024-12-26-00:00,2024-12-27-00:00,second,0.018920743141382212,TA
KRW-AVAX,2024-12-25-00:00,2024-12-26-00:00,first,0.01011956637473211,TA
KRW-AVAX,2024-12-25-00:00,2024-12-26-00:00,second,0.01372448514559666,TA
KRW-AVAX,2024-12-24-00:00,2024-12-25-00:00,first,0.017910708256604055,TA
KRW-AVAX,2024-12-24-00:00,2024-12-25-00:00,second,0.014450678438648052,TA
KRW-AVAX,2024-12-23-00:00,2024-12-24-00:00,first,0.019675404611118243,TA
KRW-AVAX,2024-12-23-00:00,2024-12-24-00:00,second,0.010286125599112537,TA
KRW-AVAX,2024-12-22-00:00,2024-12-23-00:00,first,0.012151670691413886,TA
KRW-AVAX,2024-12-22-00:00,2024-12-23-00:00,second,0.021286655187574093,TA
KRW-AVAX,2024-12-21-00:00,2024-12-22-00:00,first,0.01353499308457358,TA
KRW-AVAX,2024-12-21-00:00,2024-12-22-00:00,second,0.010725014734058215,TA
KRW-AVAX,2024-12-20-00:00,2024-12-21-00:00,first,0.01784832930858611,TA
KRW-AVAX,2024-12-20-00:00,2024-12-21-00:00,second,0.010820466591354523,TA
KRW-AVAX,2024-12-19-00:00,2024-12-20-00:00,first,0.01045777585065831,TA
KRW-AVAX,2024-12-19-00:00,2024-12-20-00:00,second,0.009539741247779825,TA
KRW-AVAX,2024-12-18-00:00,2024-12-19-00:00,first,0.011415992071502661,TA
KRW-AVAX,2024-12-18-00:00,2024-12-19-00:00,second,0.02543210797318728,TA
KRW-AVAX,2024-12-17-00:00,2024-12-18-00:00,first,0.013747785827272214,TA
KRW-AVAX,2024-12-17-00:00,2024-12-18-00:00,second,0.010700080112752667,TA
KRW-AVAX,2024-12-16-00:00,2024-12-17-00:00,first,0.0099158343821472,TA
KRW-AVAX,2024-12-16-00:00,2024-12-17-00:00,second,0.020349815698999994,TA
KRW-AVAX,2024-12-15-00:00,2024-12-16-00:00,first,0.013417498951186126,TA
KRW-AVAX,2024-12-15-00:00,2024-12-16-00:00,second,0.012731255680541152,TA
KRW-AVAX,2024-12-14-00:00,2024-12-15-00:00,first,0.01158457329015853,TA
