symbol,start_date,end_date,digit_type,mad,target
KRW-FLOW,2024-12-31-00:00,2025-01-01-00:00,first,0.014784726161715297,TA
KRW-FLOW,2024-12-31-00:00,2025-01-01-00:00,second,0.03378665518757409,TA
KRW-FLOW,2024-12-30-00:00,2024-12-31-00:00,first,0.011026945493258318,TA
KRW-FLOW,2024-12-30-00:00,2024-12-31-00:00,second,0.030786655187574084,TA
KRW-FLOW,2024-12-29-00:00,2024-12-30-00:00,first,0.01898666859378613,TA
KRW-FLOW,2024-12-29-00:00,2024-12-30-00:00,second,0.03206467586908537,TA
KRW-FLOW,2024-12-28-00:00,2024-12-29-00:00,first,0.027861943395630567,TA
KRW-FLOW,2024-12-28-00:00,2024-12-29-00:00,second,0.03156467586908537,TA
KRW-FLOW,2024-12-27-00:00,2024-12-28-00:00,first,0.027437496060506914,TA
KRW-FLOW,2024-12-27-00:00,2024-12-28-00:00,second,0.026729228708620878,TA
KRW-FLOW,2024-12-26-00:00,2024-12-27-00:00,first,0.03145139282838197,TA
KRW-FLOW,2024-12-26-00:00,2024-12-27-00:00,second,0.025229228708620887,TA
KRW-FLOW,2024-12-25-00:00,2024-12-26-00:00,first,0.023986668593786137,TA
KRW-FLOW,2024-12-25-00:00,2024-12-26-00:00,second,0.02278665518757409,TA
KRW-FLOW,2024-12-24-00:00,2024-12-25-00:00,first,0.017116269934534578,TA
KRW-FLOW,2024-12-24-00:00,2024-12-25-00:00,second,0.03072922870862088,TA
KRW-FLOW,2024-12-23-00:00,2024-12-24-00:00,first,0.013104445408004178,TA
KRW-FLOW,2024-12-23-00:00,2024-12-24-00:00,second,0.024729228708620887,TA
KRW-FLOW,2024-12-22-00:00,2024-12-23-00:00,first,0.018599444273936165,TA
KRW-FLOW,2024-12-22-00:00,2024-12-23-00:00,second,0.021064675869085368,TA
KRW-FLOW,2024-12-21-00:00,2024-12-22-00:00,first,0.024520437479506836,TA
KRW-FLOW,2024-12-21-00:00,2024-12-22-00:00,second,0.02319876382289349,TA
KRW-FLOW,2024-12-20-00:00,2024-12-21-00:00,first,0.025397219161034733,TA
KRW-FLOW,2024-12-20-00:00,2024-12-21-00:00,second,0.017494278015164705,TA
KRW-FLOW,2024-12-19-00:00,2024-12-20-00:00,first,0.025207101255494295,TA
KRW-FLOW,2024-12-19-00:00,2024-12-20-00:00,second,0.023137123369377614,TA
KRW-FLOW,2024-12-18-00:00,2024-12-19-00:00,first,0.016181662641919448,TA
KRW-FLOW,2024-12-18-00:00,2024-12-19-00:00,second,0.021167588255105008,TA
KRW-FLOW,2024-12-17-00:00,2024-12-18-00:00,first,0.016582501048813876,TA
KRW-FLOW,2024-12-17-00:00,2024-12-18-00:00,second,0.0194512080271096,TA
KRW-FLOW,2024-12-16-00:00,2024-12-17-00:00,first,0.01676444637156391,TA
KRW-FLOW,2024-12-16-00:00,2024-12-17-00:00,second,0.015686378637546405,TA
KRW-FLOW,2024-12-15-00:00,2024-12-16-00:00,first,0.02095277471659029,TA
KRW-FLOW,2024-12-15-00:00,2024-12-16-00:00,second,0.015801146620451578,TA
KRW-FLOW,2024-12-14-00:00,2024-12-15-00:00,first,0.028240995132690135,TA
KRW-FLOW,2024-12-14-00:00,2024-12-15-00:00,second,0.012363316662429005,TA
KRW-FLOW,2024-12-13-00:00,2024-12-14-00:00,first,0.01936027882659165,TA
KRW-FLOW,2024-12-13-00:00,2024-12-14-00:00,second,0.014022355386472441,TA
KRW-FLOW,2024-12-12-00:00,2024-12-13-00:00,first,0.016750832284519453,TA
KRW-FLOW,2024-12-12-00:00,2024-12-13-00:00,second,0.020863316662429004,TA
KRW-FLOW,2024-12-11-00:00,2024-12-12-00:00,first,0.027175279619643104,TA
KRW-FLOW,2024-12-11-00:00,2024-12-12-00:00,second,0.01836331666242901,TA
KRW-FLOW,2024-12-10-00:00,2024-12-11-00:00,first,0.00936572033084571,TA
KRW-FLOW,2024-12-10-00:00,2024-12-11-00:00,second,0.01230037606798372,TA
KRW-FLOW,2024-12-09-00:00,2024-12-10-00:00,first,0.014360278826591645,TA
KRW-FLOW,2024-12-09-00:00,2024-12-10-00:00,second,0.025188369505821772,TA
KRW-FLOW,2024-12-08-00:00,2024-12-09-00:00,first,0.020776270898094303,TA
KRW-FLOW,2024-12-08-00:00,2024-12-09-00:00,second,0.018128365968972826,TA
KRW-FLOW,2024-12-07-00:00,2024-12-08-00:00,first,0.01644932058703731,TA
KRW-FLOW,2024-12-07-00:00,2024-12-08-00:00,second,0.01668783991736022,TA
KRW-FLOW,2024-12-06-00:00,2024-12-07-00:00,first,0.01873055249436807,TA
KRW-FLOW,2024-12-06-00:00,2024-12-07-00:00,second,0.012920743141382213,TA
KRW-FLOW,2024-12-05-00:00,2024-12-06-00:00,first,0.015220715342538752,TA
KRW-FLOW,2024-12-05-00:00,2024-12-06-00:00,second,0.014833397514092937,TA
KRW-FLOW,2024-12-04-00:00,2024-12-05-00:00,first,0.009469600377188704,TA
KRW-FLOW,2024-12-04-00:00,2024-12-05-00:00,second,0.015349305946656728,TA
KRW-FLOW,2024-12-03-00:00,2024-12-04-00:00,first,0.020653335260452807,TA
KRW-FLOW,2024-12-03-00:00,2024-12-04-00:00,second,0.013687839917360223,TA
KRW-FLOW,2024-12-02-00:00,2024-12-03-00:00,first,0.008006665703106937,TA
KRW-FLOW,2024-12-02-00:00,2024-12-03-00:00,second,0.01930037606798372,TA
KRW-FLOW,2024-12-01-00:00,2024-12-02-00:00,first,0.013131673582093096,TA
KRW-FLOW,2024-12-01-00:00,2024-12-02-00:00,second,0.01386406616787118,TA
KRW-FLOW,2024-11-30-00:00,2024-12-01-00:00,first,0.01213805660436943,TA
KRW-FLOW,2024-11-30-00:00,2024-12-01-00:00,second,0.015537376407811481,TA
KRW-FLOW,2024-11-29-00:00,2024-11-30-00:00,first,0.01600515882342346,TA
KRW-FLOW,2024-11-29-00:00,2024-11-30-00:00,second,0.015684753107121214,TA
KRW-FLOW,2024-11-28-00:00,2024-11-29-00:00,first,0.015463217354912358,TA
KRW-FLOW,2024-11-28-00:00,2024-11-29-00:00,second,0.01956467586908537,TA
KRW-FLOW,2024-11-27-00:00,2024-11-28-00:00,first,0.02547138993770276,TA
KRW-FLOW,2024-11-27-00:00,2024-11-28-00:00,second,0.032786655187574086,TA
KRW-FLOW,2024-11-26-00:00,2024-11-27-00:00,first,0.0192427846932042,TA
KRW-FLOW,2024-11-26-00:00,2024-11-27-00:00,second,0.01815883085470022,TA
KRW-FLOW,2024-11-25-00:00,2024-11-26-00:00,first,0.010850441674762337,TA
KRW-FLOW,2024-11-25-00:00,2024-11-26-00:00,second,0.014420743141382208,TA
KRW-FLOW,2024-11-24-00:00,2024-11-25-00:00,first,0.01897849601099574,TA
KRW-FLOW,2024-11-24-00:00,2024-11-25-00:00,second,0.01388081017318894,TA
