symbol,start_date,end_date,digit_type,mad,target
KRW-POLYX,2024-12-31-00:00,2025-01-01-00:00,first,0.022366944529698576,TA
KRW-POLYX,2024-12-31-00:00,2025-01-01-00:00,second,0.03928665518757409,TA
KRW-POLYX,2024-12-30-00:00,2024-12-31-00:00,first,0.02988860620805829,TA
KRW-POLYX,2024-12-30-00:00,2024-12-31-00:00,second,0.022951208027109607,TA
KRW-POLYX,2024-12-29-00:00,2024-12-30-00:00,first,0.022993051616062476,TA
KRW-POLYX,2024-12-29-00:00,2024-12-30-00:00,second,0.02256467586908537,TA
KRW-POLYX,2024-12-28-00:00,2024-12-29-00:00,first,0.026318212366605406,TA
KRW-POLYX,2024-12-28-00:00,2024-12-29-00:00,second,0.031064675869085366,TA
KRW-POLYX,2024-12-27-00:00,2024-12-28-00:00,first,0.026619724064087556,TA
KRW-POLYX,2024-12-27-00:00,2024-12-28-00:00,second,0.03805066515331309,TA
KRW-POLYX,2024-12-26-00:00,2024-12-27-00:00,first,0.02547138993770276,TA
KRW-POLYX,2024-12-26-00:00,2024-12-27-00:00,second,0.02278665518757409,TA
KRW-POLYX,2024-12-25-00:00,2024-12-26-00:00,first,0.015471389937702763,TA
KRW-POLYX,2024-12-25-00:00,2024-12-26-00:00,second,0.02202235538647244,TA
KRW-POLYX,2024-12-24-00:00,2024-12-25-00:00,first,0.027366944529698584,TA
KRW-POLYX,2024-12-24-00:00,2024-12-25-00:00,second,0.022403288454003363,TA
KRW-POLYX,2024-12-23-00:00,2024-12-24-00:00,first,0.02236694452969858,TA
KRW-POLYX,2024-12-23-00:00,2024-12-24-00:00,second,0.02438956757359373,TA
KRW-POLYX,2024-12-22-00:00,2024-12-23-00:00,first,0.023469883058019295,TA
KRW-POLYX,2024-12-22-00:00,2024-12-23-00:00,second,0.022389567573593727,TA
KRW-POLYX,2024-12-21-00:00,2024-12-22-00:00,first,0.019193769849280437,TA
KRW-POLYX,2024-12-21-00:00,2024-12-22-00:00,second,0.01943263756164883,TA
KRW-POLYX,2024-12-20-00:00,2024-12-21-00:00,first,0.015700277863031915,TA
KRW-POLYX,2024-12-20-00:00,2024-12-21-00:00,second,0.01772922870862088,TA
KRW-POLYX,2024-12-19-00:00,2024-12-20-00:00,first,0.027006948383937524,TA
KRW-POLYX,2024-12-19-00:00,2024-12-20-00:00,second,0.02288081017318894,TA
KRW-POLYX,2024-12-18-00:00,2024-12-19-00:00,first,0.021124725198155565,TA
KRW-POLYX,2024-12-18-00:00,2024-12-19-00:00,second,0.022994278015164703,TA
KRW-POLYX,2024-12-17-00:00,2024-12-18-00:00,first,0.023673615050604186,TA
KRW-POLYX,2024-12-17-00:00,2024-12-18-00:00,second,0.028003035415569495,TA
KRW-POLYX,2024-12-16-00:00,2024-12-17-00:00,first,0.03089583727282641,TA
KRW-POLYX,2024-12-16-00:00,2024-12-17-00:00,second,0.015741012723276937,TA
KRW-POLYX,2024-12-15-00:00,2024-12-16-00:00,first,0.02991583438214721,TA
KRW-POLYX,2024-12-15-00:00,2024-12-16-00:00,second,0.019725014734058216,TA
KRW-POLYX,2024-12-14-00:00,2024-12-15-00:00,first,0.017576118026537538,TA
KRW-POLYX,2024-12-14-00:00,2024-12-15-00:00,second,0.015989024699797218,TA
KRW-POLYX,2024-12-13-00:00,2024-12-14-00:00,first,0.028600991278451202,TA
KRW-POLYX,2024-12-13-00:00,2024-12-14-00:00,second,0.02688956757359373,TA
KRW-POLYX,2024-12-12-00:00,2024-12-13-00:00,first,0.02059432557534427,TA
KRW-POLYX,2024-12-12-00:00,2024-12-13-00:00,second,0.025451208027109606,TA
KRW-POLYX,2024-12-11-00:00,2024-12-12-00:00,first,0.013431113038230578,TA
KRW-POLYX,2024-12-11-00:00,2024-12-12-00:00,second,0.01866758825510501,TA
KRW-POLYX,2024-12-10-00:00,2024-12-11-00:00,first,0.012451110147551379,TA
KRW-POLYX,2024-12-10-00:00,2024-12-11-00:00,second,0.013859102687866337,TA
KRW-POLYX,2024-12-09-00:00,2024-12-10-00:00,first,0.013118059495048632,TA
KRW-POLYX,2024-12-09-00:00,2024-12-10-00:00,second,0.031667588255105,TA
KRW-POLYX,2024-12-08-00:00,2024-12-09-00:00,first,0.01633999903644026,TA
KRW-POLYX,2024-12-08-00:00,2024-12-09-00:00,second,0.035229228708620886,TA
KRW-POLYX,2024-12-07-00:00,2024-12-08-00:00,first,0.01601333140621386,TA
KRW-POLYX,2024-12-07-00:00,2024-12-08-00:00,second,0.024729228708620883,TA
KRW-POLYX,2024-12-06-00:00,2024-12-07-00:00,first,0.01898666859378614,TA
KRW-POLYX,2024-12-06-00:00,2024-12-07-00:00,second,0.01738956757359373,TA
KRW-POLYX,2024-12-05-00:00,2024-12-06-00:00,first,0.02242932347771652,TA
KRW-POLYX,2024-12-05-00:00,2024-12-06-00:00,second,0.02221100401828594,TA
KRW-POLYX,2024-12-04-00:00,2024-12-05-00:00,first,0.018286390730754214,TA
KRW-POLYX,2024-12-04-00:00,2024-12-05-00:00,second,0.013571285265145444,TA
KRW-POLYX,2024-12-03-00:00,2024-12-04-00:00,first,0.01314984100606826,TA
KRW-POLYX,2024-12-03-00:00,2024-12-04-00:00,second,0.007346878641403659,TA
KRW-POLYX,2024-12-02-00:00,2024-12-03-00:00,first,0.010705719367285975,TA
KRW-POLYX,2024-12-02-00:00,2024-12-03-00:00,second,0.024503035415569495,TA
KRW-POLYX,2024-12-01-00:00,2024-12-02-00:00,first,0.016050554421487548,TA
KRW-POLYX,2024-12-01-00:00,2024-12-02-00:00,second,0.02959901686132736,TA
KRW-POLYX,2024-11-30-00:00,2024-12-01-00:00,first,0.018927658908677605,TA
KRW-POLYX,2024-11-30-00:00,2024-12-01-00:00,second,0.032800376067983715,TA
KRW-POLYX,2024-11-29-00:00,2024-11-30-00:00,first,0.01868722913764865,TA
KRW-POLYX,2024-11-29-00:00,2024-11-30-00:00,second,0.024328088258962266,TA
KRW-POLYX,2024-11-28-00:00,2024-11-29-00:00,first,0.012055713244911007,TA
KRW-POLYX,2024-11-28-00:00,2024-11-29-00:00,second,0.02828665518757409,TA
KRW-POLYX,2024-11-27-00:00,2024-11-28-00:00,first,0.011013331406213862,TA
KRW-POLYX,2024-11-27-00:00,2024-11-28-00:00,second,0.021186908226007956,TA
KRW-POLYX,2024-11-26-00:00,2024-11-27-00:00,first,0.013540434588827633,TA
KRW-POLYX,2024-11-26-00:00,2024-11-27-00:00,second,0.019186908226007958,TA
KRW-POLYX,2024-11-25-00:00,2024-11-26-00:00,first,0.023927658908677603,TA
KRW-POLYX,2024-11-25-00:00,2024-11-26-00:00,second,0.033229228708620884,TA
KRW-POLYX,2024-11-24-00:00,2024-11-25-00:00,first,0.01625583341858747,TA
KRW-POLYX,2024-11-24-00:00,2024-11-25-00:00,second,0.02302381666628626,TA
KRW-POLYX,2024-11-23-00:00,2024-11-24-00:00,first,0.01548500402474722,TA
KRW-POLYX,2024-11-23-00:00,2024-11-24-00:00,second,0.02149427801516471,TA
KRW-POLYX,2024-11-22-00:00,2024-11-23-00:00,first,0.010594325575344269,TA
KRW-POLYX,2024-11-22-00:00,2024-11-23-00:00,second,0.01987571799670586,TA
KRW-POLYX,2024-11-21-00:00,2024-11-22-00:00,first,0.014733889059397163,TA
KRW-POLYX,2024-11-21-00:00,2024-11-22-00:00,second,0.021064675869085368,TA
KRW-POLYX,2024-11-20-00:00,2024-11-21-00:00,first,0.011811388974143027,TA
KRW-POLYX,2024-11-20-00:00,2024-11-21-00:00,second,0.027464928907519236,TA
KRW-POLYX,2024-11-19-00:00,2024-11-20-00:00,first,0.008922217404423545,TA
KRW-POLYX,2024-11-19-00:00,2024-11-20-00:00,second,0.023464928907519236,TA
KRW-POLYX,2024-11-18-00:00,2024-11-19-00:00,first,0.022140128845714077,TA
KRW-POLYX,2024-11-18-00:00,2024-11-19-00:00,second,0.021216257333653423,TA
KRW-POLYX,2024-11-17-00:00,2024-11-18-00:00,first,0.01546594843344871,TA
KRW-POLYX,2024-11-17-00:00,2024-11-18-00:00,second,0.016614355253200548,TA
KRW-POLYX,2024-11-16-00:00,2024-11-17-00:00,first,0.013986668593786136,TA
KRW-POLYX,2024-11-16-00:00,2024-11-17-00:00,second,0.020085295980917725,TA
