symbol,start_date,end_date,digit_type,mad,target
KRW-SHIB,2024-12-31-00:00,2025-01-01-00:00,first,0.01811805949504864,TA
KRW-SHIB,2024-12-31-00:00,2025-01-01-00:00,second,0.012585515897898348,TA
KRW-SHIB,2024-12-30-00:00,2024-12-31-00:00,first,0.009907661799356813,TA
KRW-SHIB,2024-12-30-00:00,2024-12-31-00:00,second,0.01425716081658005,TA
KRW-SHIB,2024-12-29-00:00,2024-12-30-00:00,first,0.015362068387105706,TA
KRW-SHIB,2024-12-29-00:00,2024-12-30-00:00,second,0.019349815698999993,TA
KRW-SHIB,2024-12-28-00:00,2024-12-29-00:00,first,0.018599444273936165,TA
KRW-SHIB,2024-12-28-00:00,2024-12-29-00:00,second,0.01572922870862088,TA
KRW-SHIB,2024-12-27-00:00,2024-12-28-00:00,first,0.01200487614259287,TA
KRW-SHIB,2024-12-27-00:00,2024-12-28-00:00,second,0.02204027083624138,TA
KRW-SHIB,2024-12-26-00:00,2024-12-27-00:00,first,0.015653335260452806,TA
KRW-SHIB,2024-12-26-00:00,2024-12-27-00:00,second,0.016964928907519237,TA
KRW-SHIB,2024-12-25-00:00,2024-12-26-00:00,first,0.008614605365495652,TA
KRW-SHIB,2024-12-25-00:00,2024-12-26-00:00,second,0.01218783991736022,TA
KRW-SHIB,2024-12-24-00:00,2024-12-25-00:00,first,0.007693612159924983,TA
KRW-SHIB,2024-12-24-00:00,2024-12-25-00:00,second,0.010007815082238612,TA
KRW-SHIB,2024-12-23-00:00,2024-12-24-00:00,first,0.012063885827701404,TA
KRW-SHIB,2024-12-23-00:00,2024-12-24-00:00,second,0.01362311265360534,TA
KRW-SHIB,2024-12-22-00:00,2024-12-23-00:00,first,0.010749042724005406,TA
KRW-SHIB,2024-12-22-00:00,2024-12-23-00:00,second,0.01044781478877688,TA
KRW-SHIB,2024-12-21-00:00,2024-12-22-00:00,first,0.010821666496158391,TA
KRW-SHIB,2024-12-21-00:00,2024-12-22-00:00,second,0.011052364091463445,TA
KRW-SHIB,2024-12-20-00:00,2024-12-21-00:00,first,0.017415709390672066,TA
KRW-SHIB,2024-12-20-00:00,2024-12-21-00:00,second,0.013160578618071721,TA
KRW-SHIB,2024-12-19-00:00,2024-12-20-00:00,first,0.012028735053772381,TA
KRW-SHIB,2024-12-19-00:00,2024-12-20-00:00,second,0.010939408096593318,TA
KRW-SHIB,2024-12-18-00:00,2024-12-19-00:00,first,0.0092427846932042,TA
KRW-SHIB,2024-12-18-00:00,2024-12-19-00:00,second,0.016271658702603872,TA
