symbol,start_date,end_date,digit_type,mad,target
KRW-CHZ,2025-01-01-00:00,2024-12-31-00:00,first,0.011622777948286055,TA
KRW-CHZ,2025-01-01-00:00,2024-12-31-00:00,second,0.016500376067983723,TA
KRW-CHZ,2024-12-31-00:00,2024-12-30-00:00,first,0.00940398156673562,TA
KRW-CHZ,2024-12-31-00:00,2024-12-30-00:00,second,0.013564675869085371,TA
KRW-CHZ,2024-12-30-00:00,2024-12-29-00:00,first,0.011934324611784532,TA
KRW-CHZ,2024-12-30-00:00,2024-12-29-00:00,second,0.0218980092024187,TA
KRW-CHZ,2024-12-29-00:00,2024-12-28-00:00,first,0.008986668593786135,TA
KRW-CHZ,2024-12-29-00:00,2024-12-28-00:00,second,0.022133709401317054,TA
KRW-CHZ,2024-12-28-00:00,2024-12-27-00:00,first,0.009806512831550153,TA
KRW-CHZ,2024-12-28-00:00,2024-12-27-00:00,second,0.01292074314138221,TA
KRW-CHZ,2024-12-27-00:00,2024-12-26-00:00,first,0.009166921058616058,TA
KRW-CHZ,2024-12-27-00:00,2024-12-26-00:00,second,0.015532097156226823,TA
KRW-CHZ,2024-12-26-00:00,2024-12-25-00:00,first,0.00770619151699375,TA
KRW-CHZ,2024-12-26-00:00,2024-12-25-00:00,second,0.011201215900373238,TA
KRW-CHZ,2024-12-25-00:00,2024-12-24-00:00,first,0.010376076238359507,TA
KRW-CHZ,2024-12-25-00:00,2024-12-24-00:00,second,0.01227999230087899,TA
KRW-CHZ,2024-12-24-00:00,2024-12-23-00:00,first,0.00809043755675038,TA
KRW-CHZ,2024-12-24-00:00,2024-12-23-00:00,second,0.014951208027109603,TA
KRW-CHZ,2024-12-23-00:00,2024-12-22-00:00,first,0.01337210335312204,TA
KRW-CHZ,2024-12-23-00:00,2024-12-22-00:00,second,0.013264950867598806,TA
KRW-CHZ,2024-12-22-00:00,2024-12-21-00:00,first,0.0049246479307039435,TA
KRW-CHZ,2024-12-22-00:00,2024-12-21-00:00,second,0.010930531259294909,TA
KRW-CHZ,2024-12-21-00:00,2024-12-20-00:00,first,0.004823889945713361,TA
KRW-CHZ,2024-12-21-00:00,2024-12-20-00:00,second,0.005315108260697895,TA
KRW-CHZ,2024-12-20-00:00,2024-12-19-00:00,first,0.005732700339817879,TA
KRW-CHZ,2024-12-20-00:00,2024-12-19-00:00,second,0.00995277295235774,TA
KRW-CHZ,2024-12-19-00:00,2024-12-18-00:00,first,0.008272382879500419,TA
KRW-CHZ,2024-12-19-00:00,2024-12-18-00:00,second,0.009058358757516097,TA
KRW-CHZ,2024-12-18-00:00,2024-12-17-00:00,first,0.007128455527394005,TA
KRW-CHZ,2024-12-18-00:00,2024-12-17-00:00,second,0.006193955437816034,TA
KRW-CHZ,2024-12-17-00:00,2024-12-16-00:00,first,0.008417498951186122,TA
KRW-CHZ,2024-12-17-00:00,2024-12-16-00:00,second,0.010044051083150814,TA
KRW-CHZ,2024-12-16-00:00,2024-12-15-00:00,first,0.008249167715480541,TA
KRW-CHZ,2024-12-16-00:00,2024-12-15-00:00,second,0.011107786050376378,TA
KRW-CHZ,2024-12-15-00:00,2024-12-14-00:00,first,0.005975202352191492,TA
KRW-CHZ,2024-12-15-00:00,2024-12-14-00:00,second,0.011906732425609932,TA
KRW-CHZ,2024-12-14-00:00,2024-12-13-00:00,first,0.004777459617673594,TA
KRW-CHZ,2024-12-14-00:00,2024-12-13-00:00,second,0.009577602376714718,TA
KRW-CHZ,2024-12-13-00:00,2024-12-12-00:00,first,0.008184598015787938,TA
KRW-CHZ,2024-12-13-00:00,2024-12-12-00:00,second,0.009443469555568487,TA
KRW-CHZ,2024-12-12-00:00,2024-12-11-00:00,first,0.006040559580302772,TA
KRW-CHZ,2024-12-12-00:00,2024-12-11-00:00,second,0.005636242322661555,TA
KRW-CHZ,2024-12-11-00:00,2024-12-10-00:00,first,0.006786108049923626,TA
KRW-CHZ,2024-12-11-00:00,2024-12-10-00:00,second,0.005443640131211511,TA
KRW-CHZ,2024-12-10-00:00,2024-12-09-00:00,first,0.0035718223356379104,TA
KRW-CHZ,2024-12-10-00:00,2024-12-09-00:00,second,0.00750197161936771,TA
KRW-CHZ,2024-12-09-00:00,2024-12-08-00:00,first,0.009913499849213482,TA
KRW-CHZ,2024-12-09-00:00,2024-12-08-00:00,second,0.007900664351832117,TA
KRW-CHZ,2024-12-08-00:00,2024-12-07-00:00,first,0.009826868225806702,TA
KRW-CHZ,2024-12-08-00:00,2024-12-07-00:00,second,0.008682846767032787,TA
KRW-CHZ,2024-12-07-00:00,2024-12-06-00:00,first,0.00522071534253876,TA
KRW-CHZ,2024-12-07-00:00,2024-12-06-00:00,second,0.008458179685412064,TA
KRW-CHZ,2024-12-06-00:00,2024-12-05-00:00,first,0.0032843184894095745,TA
KRW-CHZ,2024-12-06-00:00,2024-12-05-00:00,second,0.005287376407811482,TA
KRW-CHZ,2024-12-05-00:00,2024-12-04-00:00,first,0.01015043073458869,TA
KRW-CHZ,2024-12-05-00:00,2024-12-04-00:00,second,0.007337176212770384,TA
KRW-CHZ,2024-12-04-00:00,2024-12-03-00:00,first,0.00993737106903178,TA
KRW-CHZ,2024-12-04-00:00,2024-12-03-00:00,second,0.005769820138927942,TA
KRW-CHZ,2024-12-03-00:00,2024-12-02-00:00,first,0.009485678619911229,TA
KRW-CHZ,2024-12-03-00:00,2024-12-02-00:00,second,0.0063742232251979255,TA
KRW-CHZ,2024-12-02-00:00,2024-12-01-00:00,first,0.007153884864141674,TA
KRW-CHZ,2024-12-02-00:00,2024-12-01-00:00,second,0.007319968942544173,TA
KRW-CHZ,2024-12-01-00:00,2024-11-30-00:00,first,0.004571791487633532,TA
KRW-CHZ,2024-12-01-00:00,2024-11-30-00:00,second,0.006045743141382211,TA
KRW-CHZ,2024-11-30-00:00,2024-11-29-00:00,first,0.005250282680830592,TA
KRW-CHZ,2024-11-30-00:00,2024-11-29-00:00,second,0.007069198390076317,TA
KRW-CHZ,2024-11-29-00:00,2024-11-28-00:00,first,0.004907661799356801,TA
KRW-CHZ,2024-11-29-00:00,2024-11-28-00:00,second,0.01327365552740185,TA
KRW-CHZ,2024-11-28-00:00,2024-11-27-00:00,first,0.009760992242010937,TA
KRW-CHZ,2024-11-28-00:00,2024-11-27-00:00,second,0.005367111510036222,TA
KRW-CHZ,2024-11-27-00:00,2024-11-26-00:00,first,0.012058177400589074,TA
KRW-CHZ,2024-11-27-00:00,2024-11-26-00:00,second,0.005062197311337326,TA
KRW-CHZ,2024-11-26-00:00,2024-11-25-00:00,first,0.003978887925329156,TA
KRW-CHZ,2024-11-26-00:00,2024-11-25-00:00,second,0.0042481126536053375,TA
KRW-CHZ,2024-11-25-00:00,2024-11-24-00:00,first,0.00859321060999422,TA
KRW-CHZ,2024-11-25-00:00,2024-11-24-00:00,second,0.008142432624508287,TA
KRW-CHZ,2024-11-24-00:00,2024-11-23-00:00,first,0.01015833639452082,TA
KRW-CHZ,2024-11-24-00:00,2024-11-23-00:00,second,0.00325755793656044,TA
