symbol,start_date,end_date,digit_type,mad,target
KRW-G,2025-01-01-00:00,2024-12-31-00:00,first,0.01200873794445158,TA
KRW-G,2025-01-01-00:00,2024-12-31-00:00,second,0.018864675869085367,TA
KRW-G,2024-12-31-00:00,2024-12-30-00:00,first,0.009545464011776836,TA
KRW-G,2024-12-31-00:00,2024-12-30-00:00,second,0.01228665518757409,TA
KRW-G,2024-12-30-00:00,2024-12-29-00:00,first,0.0059021848158291625,TA
KRW-G,2024-12-30-00:00,2024-12-29-00:00,second,0.009288749701283782,TA
KRW-G,2024-12-29-00:00,2024-12-28-00:00,first,0.01824916771548054,TA
KRW-G,2024-12-29-00:00,2024-12-28-00:00,second,0.023700376067983718,TA
KRW-G,2024-12-28-00:00,2024-12-27-00:00,first,0.012080739777181007,TA
KRW-G,2024-12-28-00:00,2024-12-27-00:00,second,0.015564675869085368,TA
KRW-G,2024-12-27-00:00,2024-12-26-00:00,first,0.010417312972949485,TA
KRW-G,2024-12-27-00:00,2024-12-26-00:00,second,0.00966970208223616,TA
KRW-G,2024-12-26-00:00,2024-12-25-00:00,first,0.00543559541661411,TA
KRW-G,2024-12-26-00:00,2024-12-25-00:00,second,0.006409857656827532,TA
KRW-G,2024-12-25-00:00,2024-12-24-00:00,first,0.007584290609327931,TA
KRW-G,2024-12-25-00:00,2024-12-24-00:00,second,0.010033616572843188,TA
KRW-G,2024-12-24-00:00,2024-12-23-00:00,first,0.009634602474816449,TA
KRW-G,2024-12-24-00:00,2024-12-23-00:00,second,0.014886655187574089,TA
KRW-G,2024-12-23-00:00,2024-12-22-00:00,first,0.01274768912467826,TA
KRW-G,2024-12-23-00:00,2024-12-22-00:00,second,0.013633709401317057,TA
KRW-G,2024-12-22-00:00,2024-12-21-00:00,first,0.011696755319766175,TA
KRW-G,2024-12-22-00:00,2024-12-21-00:00,second,0.016439311138468478,TA
KRW-G,2024-12-21-00:00,2024-12-20-00:00,first,0.010485004024747217,TA
KRW-G,2024-12-21-00:00,2024-12-20-00:00,second,0.013565706586593276,TA
KRW-G,2024-12-20-00:00,2024-12-19-00:00,first,0.008544200397339654,TA
KRW-G,2024-12-20-00:00,2024-12-19-00:00,second,0.013064675869085367,TA
KRW-G,2024-12-19-00:00,2024-12-18-00:00,first,0.011898794454430966,TA
KRW-G,2024-12-19-00:00,2024-12-18-00:00,second,0.017539490234942633,TA
KRW-G,2024-12-18-00:00,2024-12-17-00:00,first,0.012821480517921745,TA
KRW-G,2024-12-18-00:00,2024-12-17-00:00,second,0.018731342535752038,TA
KRW-G,2024-12-17-00:00,2024-12-16-00:00,first,0.012323241789554615,TA
KRW-G,2024-12-17-00:00,2024-12-16-00:00,second,0.022738735614467848,TA
KRW-G,2024-12-16-00:00,2024-12-15-00:00,first,0.016240995132690134,TA
KRW-G,2024-12-16-00:00,2024-12-15-00:00,second,0.021794278015164707,TA
KRW-G,2024-12-15-00:00,2024-12-14-00:00,first,0.011568886961769418,TA
KRW-G,2024-12-15-00:00,2024-12-14-00:00,second,0.02095066515331309,TA
KRW-G,2024-12-14-00:00,2024-12-13-00:00,first,0.014895837272826408,TA
KRW-G,2024-12-14-00:00,2024-12-13-00:00,second,0.02486467586908537,TA
KRW-G,2024-12-13-00:00,2024-12-12-00:00,first,0.01069703800059677,TA
