symbol,start_date,end_date,digit_type,mad,target
KRW-WAVES,2025-01-01-00:00,2024-12-31-00:00,first,0.008905363454943947,TA
KRW-WAVES,2025-01-01-00:00,2024-12-31-00:00,second,0.01361170803096686,TA
KRW-WAVES,2024-12-31-00:00,2024-12-30-00:00,first,0.00662373707415658,TA
KRW-WAVES,2024-12-31-00:00,2024-12-30-00:00,second,0.00867875844106856,TA
KRW-WAVES,2024-12-30-00:00,2024-12-29-00:00,first,0.005401625935313102,TA
KRW-WAVES,2024-12-30-00:00,2024-12-29-00:00,second,0.009587610411608036,TA
KRW-WAVES,2024-12-29-00:00,2024-12-28-00:00,first,0.008434352900665723,TA
KRW-WAVES,2024-12-29-00:00,2024-12-28-00:00,second,0.014564675869085367,TA
KRW-WAVES,2024-12-28-00:00,2024-12-27-00:00,first,0.005294638917649773,TA
KRW-WAVES,2024-12-28-00:00,2024-12-27-00:00,second,0.009658537853990254,TA
KRW-WAVES,2024-12-27-00:00,2024-12-26-00:00,first,0.013054643035661723,TA
KRW-WAVES,2024-12-27-00:00,2024-12-26-00:00,second,0.005987960903595435,TA
KRW-WAVES,2024-12-26-00:00,2024-12-25-00:00,first,0.007900319651209945,TA
KRW-WAVES,2024-12-26-00:00,2024-12-25-00:00,second,0.005761557629266082,TA
KRW-WAVES,2024-12-25-00:00,2024-12-24-00:00,first,0.00823956663850511,TA
KRW-WAVES,2024-12-25-00:00,2024-12-24-00:00,second,0.004613825664738997,TA
KRW-WAVES,2024-12-24-00:00,2024-12-23-00:00,first,0.0067803996228113,TA
KRW-WAVES,2024-12-24-00:00,2024-12-23-00:00,second,0.0070614105771976046,TA
KRW-WAVES,2024-12-23-00:00,2024-12-22-00:00,first,0.006473179498216823,TA
KRW-WAVES,2024-12-23-00:00,2024-12-22-00:00,second,0.00893263756164883,TA
KRW-WAVES,2024-12-22-00:00,2024-12-21-00:00,first,0.006872339427975937,TA
KRW-WAVES,2024-12-22-00:00,2024-12-21-00:00,second,0.00758609035369801,TA
KRW-WAVES,2024-12-21-00:00,2024-12-20-00:00,first,0.00589817180576013,TA
KRW-WAVES,2024-12-21-00:00,2024-12-20-00:00,second,0.008006173805286147,TA
KRW-WAVES,2024-12-20-00:00,2024-12-19-00:00,first,0.006554879110515617,TA
KRW-WAVES,2024-12-20-00:00,2024-12-19-00:00,second,0.007696285030522371,TA
KRW-WAVES,2024-12-19-00:00,2024-12-18-00:00,first,0.0052565098636274,TA
KRW-WAVES,2024-12-19-00:00,2024-12-18-00:00,second,0.00656318897084107,TA
KRW-WAVES,2024-12-18-00:00,2024-12-17-00:00,first,0.006569921691745103,TA
KRW-WAVES,2024-12-18-00:00,2024-12-17-00:00,second,0.006835781863165269,TA
KRW-WAVES,2024-12-17-00:00,2024-12-16-00:00,first,0.006775594453054375,TA
KRW-WAVES,2024-12-17-00:00,2024-12-16-00:00,second,0.00985140908366333,TA
KRW-WAVES,2024-12-16-00:00,2024-12-15-00:00,first,0.008771000991292096,TA
KRW-WAVES,2024-12-16-00:00,2024-12-15-00:00,second,0.008940532497972154,TA
KRW-WAVES,2024-12-15-00:00,2024-12-14-00:00,first,0.0034491338995534058,TA
KRW-WAVES,2024-12-15-00:00,2024-12-14-00:00,second,0.009809530952000548,TA
KRW-WAVES,2024-12-14-00:00,2024-12-13-00:00,first,0.006447379818312942,TA
KRW-WAVES,2024-12-14-00:00,2024-12-13-00:00,second,0.005387833703807928,TA
KRW-WAVES,2024-12-13-00:00,2024-12-12-00:00,first,0.004493459288368213,TA
KRW-WAVES,2024-12-13-00:00,2024-12-12-00:00,second,0.009230259426128791,TA
KRW-WAVES,2024-12-12-00:00,2024-12-11-00:00,first,0.004379087216333164,TA
KRW-WAVES,2024-12-12-00:00,2024-12-11-00:00,second,0.0065963796006570565,TA
KRW-WAVES,2024-12-11-00:00,2024-12-10-00:00,first,0.007670403477050242,TA
KRW-WAVES,2024-12-11-00:00,2024-12-10-00:00,second,0.00843911901126395,TA
KRW-WAVES,2024-12-10-00:00,2024-12-09-00:00,first,0.012483138860127998,TA
KRW-WAVES,2024-12-10-00:00,2024-12-09-00:00,second,0.006652513743130949,TA
KRW-WAVES,2024-12-09-00:00,2024-12-08-00:00,first,0.008771788519710777,TA
KRW-WAVES,2024-12-09-00:00,2024-12-08-00:00,second,0.010607485433107279,TA
KRW-WAVES,2024-12-08-00:00,2024-12-07-00:00,first,0.003923252134399228,TA
KRW-WAVES,2024-12-08-00:00,2024-12-07-00:00,second,0.007287665493140853,TA
KRW-WAVES,2024-12-07-00:00,2024-12-06-00:00,first,0.004637931612894292,TA
KRW-WAVES,2024-12-07-00:00,2024-12-06-00:00,second,0.004892432624508286,TA
KRW-WAVES,2024-12-06-00:00,2024-12-05-00:00,first,0.0031024981581346664,TA
KRW-WAVES,2024-12-06-00:00,2024-12-05-00:00,second,0.0068138785081317665,TA
KRW-WAVES,2024-12-05-00:00,2024-12-04-00:00,first,0.011788447214126557,TA
KRW-WAVES,2024-12-05-00:00,2024-12-04-00:00,second,0.00423521250942565,TA
KRW-WAVES,2024-12-04-00:00,2024-12-03-00:00,first,0.007034443480884712,TA
KRW-WAVES,2024-12-04-00:00,2024-12-03-00:00,second,0.0077050435927575114,TA
KRW-WAVES,2024-12-03-00:00,2024-12-02-00:00,first,0.003929998072880535,TA
KRW-WAVES,2024-12-03-00:00,2024-12-02-00:00,second,0.008455673858304095,TA
KRW-WAVES,2024-12-02-00:00,2024-12-01-00:00,first,0.010041109183991648,TA
KRW-WAVES,2024-12-02-00:00,2024-12-01-00:00,second,0.00494876382289349,TA
KRW-WAVES,2024-12-01-00:00,2024-11-30-00:00,first,0.004988333162825052,TA
KRW-WAVES,2024-12-01-00:00,2024-11-30-00:00,second,0.006028339187277211,TA
KRW-WAVES,2024-11-30-00:00,2024-11-29-00:00,first,0.006617651822742901,TA
KRW-WAVES,2024-11-30-00:00,2024-11-29-00:00,second,0.004691663892565092,TA
KRW-WAVES,2024-11-29-00:00,2024-11-28-00:00,first,0.009617182454428407,TA
KRW-WAVES,2024-11-29-00:00,2024-11-28-00:00,second,0.012515961923198843,TA
KRW-WAVES,2024-11-28-00:00,2024-11-27-00:00,first,0.010788850255163077,TA
KRW-WAVES,2024-11-28-00:00,2024-11-27-00:00,second,0.00963188184265436,TA
KRW-WAVES,2024-11-27-00:00,2024-11-26-00:00,first,0.004770718310461507,TA
KRW-WAVES,2024-11-27-00:00,2024-11-26-00:00,second,0.006682564150112737,TA
KRW-WAVES,2024-11-26-00:00,2024-11-25-00:00,first,0.007671431725880788,TA
KRW-WAVES,2024-11-26-00:00,2024-11-25-00:00,second,0.004467355366568504,TA
KRW-WAVES,2024-11-25-00:00,2024-11-24-00:00,first,0.01206829260197978,TA
KRW-WAVES,2024-11-25-00:00,2024-11-24-00:00,second,0.005952388094857687,TA
KRW-WAVES,2024-11-24-00:00,2024-11-23-00:00,first,0.00724166972785415,TA
KRW-WAVES,2024-11-24-00:00,2024-11-23-00:00,second,0.002677425714355304,TA
KRW-WAVES,2024-11-23-00:00,2024-11-22-00:00,first,0.0056120992351100935,TA
KRW-WAVES,2024-11-23-00:00,2024-11-22-00:00,second,0.008981496183673335,TA
KRW-WAVES,2024-11-22-00:00,2024-11-21-00:00,first,0.0071594513598708664,TA
KRW-WAVES,2024-11-22-00:00,2024-11-21-00:00,second,0.0042796168801375505,TA
KRW-WAVES,2024-11-21-00:00,2024-11-20-00:00,first,0.007568212366605413,TA
KRW-WAVES,2024-11-21-00:00,2024-11-20-00:00,second,0.00808219182791437,TA
KRW-WAVES,2024-11-20-00:00,2024-11-19-00:00,first,0.008717185608880613,TA
KRW-WAVES,2024-11-20-00:00,2024-11-19-00:00,second,0.00936787187691536,TA
KRW-WAVES,2024-11-19-00:00,2024-11-18-00:00,first,0.005143175302961319,TA
KRW-WAVES,2024-11-19-00:00,2024-11-18-00:00,second,0.006738735614467847,TA
KRW-WAVES,2024-11-18-00:00,2024-11-17-00:00,first,0.008147626833340475,TA
KRW-WAVES,2024-11-18-00:00,2024-11-17-00:00,second,0.005989066167871182,TA
KRW-WAVES,2024-11-17-00:00,2024-11-16-00:00,first,0.007576118026537533,TA
KRW-WAVES,2024-11-17-00:00,2024-11-16-00:00,second,0.006589928907519238,TA
KRW-WAVES,2024-11-16-00:00,2024-11-15-00:00,first,0.009836469302782124,TA
KRW-WAVES,2024-11-16-00:00,2024-11-15-00:00,second,0.007801687997557362,TA
KRW-WAVES,2024-11-15-00:00,2024-11-14-00:00,first,0.00991000096355973,TA
KRW-WAVES,2024-11-15-00:00,2024-11-14-00:00,second,0.0053212852651454475,TA
KRW-WAVES,2024-11-14-00:00,2024-11-13-00:00,first,0.006400430734588691,TA
KRW-WAVES,2024-11-14-00:00,2024-11-13-00:00,second,0.006674868542392763,TA
KRW-WAVES,2024-11-13-00:00,2024-11-12-00:00,first,0.005270123950671864,TA
KRW-WAVES,2024-11-13-00:00,2024-11-12-00:00,second,0.006818300141049567,TA
KRW-WAVES,2024-11-12-00:00,2024-11-11-00:00,first,0.004829329600091491,TA
KRW-WAVES,2024-11-12-00:00,2024-11-11-00:00,second,0.005589928907519237,TA
KRW-WAVES,2024-11-11-00:00,2024-11-10-00:00,first,0.011187496060506917,TA
KRW-WAVES,2024-11-11-00:00,2024-11-10-00:00,second,0.007585714932956569,TA
KRW-WAVES,2024-11-10-00:00,2024-11-09-00:00,first,0.0097622985261141,TA
KRW-WAVES,2024-11-10-00:00,2024-11-09-00:00,second,0.007932637561648833,TA
KRW-WAVES,2024-11-09-00:00,2024-11-08-00:00,first,0.007071270882073124,TA
KRW-WAVES,2024-11-09-00:00,2024-11-08-00:00,second,0.008087402283271648,TA
KRW-WAVES,2024-11-08-00:00,2024-11-07-00:00,first,0.014897287574747496,TA
KRW-WAVES,2024-11-08-00:00,2024-11-07-00:00,second,0.01468902205313911,TA
KRW-WAVES,2024-11-07-00:00,2024-11-06-00:00,first,0.010899077135261555,TA
KRW-WAVES,2024-11-07-00:00,2024-11-06-00:00,second,0.016611708030966864,TA
KRW-WAVES,2024-11-06-00:00,2024-11-05-00:00,first,0.013804723271036093,TA
KRW-WAVES,2024-11-06-00:00,2024-11-05-00:00,second,0.027337123369377613,TA
KRW-WAVES,2024-11-05-00:00,2024-11-04-00:00,first,0.012914327502463735,TA
KRW-WAVES,2024-11-05-00:00,2024-11-04-00:00,second,0.020464675869085368,TA
KRW-WAVES,2024-11-04-00:00,2024-11-03-00:00,first,0.01024737815496648,TA
KRW-WAVES,2024-11-04-00:00,2024-11-03-00:00,second,0.021529228708620878,TA
KRW-WAVES,2024-11-03-00:00,2024-11-02-00:00,first,0.00556071437897902,TA
KRW-WAVES,2024-11-03-00:00,2024-11-02-00:00,second,0.009825428911376492,TA
KRW-WAVES,2024-11-02-00:00,2024-11-01-00:00,first,0.011562221258662485,TA
KRW-WAVES,2024-11-02-00:00,2024-11-01-00:00,second,0.02086467586908537,TA
KRW-WAVES,2024-11-01-00:00,2024-10-31-00:00,first,0.01317833350384161,TA
KRW-WAVES,2024-11-01-00:00,2024-10-31-00:00,second,0.023003035415569494,TA
KRW-WAVES,2024-10-31-00:00,2024-10-30-00:00,first,0.012229170606159743,TA
