symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ALICEUSDT,2024-01-01,2024-01-02-00:00,first,"[0.313927781871776, 0.18054532056005895, 0.11348563006632277, 0.08400884303610906, 0.0847457627118644, 0.06337509211495947, 0.0604274134119381, 0.05305821665438467, 0.04642593957258659]",0.0062057720065729,2.8560872408060023
ALICEUSDT,2024-01-01,2024-01-02-00:00,second,"[0.11495946941783346, 0.12011790714812086, 0.10759027266028003, 0.09579955784819455, 0.10022107590272661, 0.09285187914517318, 0.08548268238761975, 0.08327192336035372, 0.09874723655121592, 0.10095799557848195]",0.0066731260467417,3.3129756624431423
ALICEUSDT,2024-01-02,2024-01-03-00:00,first,"[0.30918220946915353, 0.17073170731707318, 0.12553802008608322, 0.08608321377331421, 0.07675753228120516, 0.06886657101865136, 0.05667144906743185, 0.055236728837876614, 0.050932568149210905]",0.0044290139222277,2.873754021609559
ALICEUSDT,2024-01-02,2024-01-03-00:00,second,"[0.12410329985652797, 0.12553802008608322, 0.0975609756097561, 0.09827833572453372, 0.08751793400286945, 0.1054519368723099, 0.09325681492109039, 0.08177905308464849, 0.09397417503586801, 0.09253945480631277]",0.0077585746427577,3.3086706808321598
ALICEUSDT,2024-01-03,2024-01-04-00:00,first,"[0.31199411331861665, 0.1817512877115526, 0.10890360559234731, 0.09345106696100074, 0.07873436350257543, 0.06769683590875644, 0.05886681383370125, 0.042678440029433405, 0.05592347314201619]",0.0063144537835567,2.8584317745410264
ALICEUSDT,2024-01-03,2024-01-04-00:00,second,"[0.14201618837380428, 0.11184694628403238, 0.11626195732155997, 0.09713024282560706, 0.09786607799852833, 0.07358351729212656, 0.09124356144223694, 0.08903605592347315, 0.0772626931567329, 0.10375275938189846]",0.0097065570834362,3.296629910492216
ALICEUSDT,2024-01-04,2024-01-05-00:00,first,"[0.3110485573539761, 0.18156228008444758, 0.12244897959183673, 0.0964109781843772, 0.07318789584799437, 0.05489092188599578, 0.059113300492610835, 0.05348346235045742, 0.04785362420830401]",0.00467511328542,2.8502391444563178
ALICEUSDT,2024-01-04,2024-01-05-00:00,second,"[0.12807881773399016, 0.10767065446868403, 0.11330049261083744, 0.10485573539760731, 0.08937368050668543, 0.08866995073891626, 0.10133708655876143, 0.09781843771991555, 0.09289232934553132, 0.07600281491907107]",0.0068311585803587,3.308142774316855
ALICEUSDT,2024-01-05,2024-01-06-00:00,first,"[0.31059506531204645, 0.15529753265602322, 0.0965166908563135, 0.09143686502177069, 0.09361393323657474, 0.08200290275761973, 0.06313497822931785, 0.05878084179970972, 0.04862119013062409]",0.0121530933639844,2.9021394989830545
ALICEUSDT,2024-01-05,2024-01-06-00:00,second,"[0.11756168359941944, 0.11248185776487664, 0.10740203193033382, 0.10595065312046444, 0.1081277213352685, 0.09506531204644413, 0.08563134978229318, 0.09506531204644413, 0.08345428156748912, 0.08925979680696662]",0.0036832758966618,3.3127622606679465
