symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ALTUSDT,2024-01-25,2024-01-26-00:00,first,"[0.3687707641196013, 0.15946843853820597, 0.11295681063122924, 0.10299003322259136, 0.06976744186046512, 0.06976744186046512, 0.036544850498338874, 0.03322259136212625, 0.046511627906976744]",0.0171990173880685,2.7257608301039538
ALTUSDT,2024-01-25,2024-01-26-00:00,second,"[0.11960132890365449, 0.12624584717607973, 0.09966777408637874, 0.11295681063122924, 0.12624584717607973, 0.059800664451827246, 0.07308970099667775, 0.07973421926910298, 0.10299003322259136, 0.09966777408637874]",0.0154022081499419,3.2863363057034185
ALTUSDT,2024-01-26,2024-01-27-00:00,first,"[0.32269257460097156, 0.14295628036086053, 0.11311589174184594, 0.08813324080499653, 0.08119361554476058, 0.07078417765440666, 0.07356002775850104, 0.05759888965995836, 0.04996530187369882]",0.0119410212809632,2.8869055137146344
ALTUSDT,2024-01-26,2024-01-27-00:00,second,"[0.11380985426786953, 0.1179736294240111, 0.11034004163775156, 0.11034004163775156, 0.09507286606523248, 0.09299097848716169, 0.09784871616932686, 0.08743927827897294, 0.08466342817487855, 0.08952116585704371]",0.0041220688482264,3.3125420617086645
ALTUSDT,2024-01-27,2024-01-28-00:00,first,"[0.28521859819569745, 0.17696044413601666, 0.09437890353920889, 0.09507286606523248, 0.07494795281054822, 0.0791117279666898, 0.07217210270645386, 0.0659264399722415, 0.056210964607911175]",0.0116537046038389,2.937973691911026
ALTUSDT,2024-01-27,2024-01-28-00:00,second,"[0.12283136710617627, 0.10756419153365718, 0.10825815405968078, 0.10340041637751561, 0.09437890353920889, 0.10478834142956281, 0.10687022900763359, 0.09715475364330327, 0.08049965301873699, 0.07425399028452463]",0.0063122923469666,3.3084785649764594
ALTUSDT,2024-01-28,2024-01-29-00:00,first,"[0.366412213740458, 0.1450381679389313, 0.09437890353920889, 0.07078417765440666, 0.06939625260235947, 0.061068702290076333, 0.06037473976405274, 0.06731436502428868, 0.0652324774462179]",0.0229781867389539,2.803447910789911
ALTUSDT,2024-01-28,2024-01-29-00:00,second,"[0.12421929215822346, 0.12005551700208189, 0.11450381679389313, 0.11589174184594032, 0.08466342817487855, 0.10617626648161, 0.09715475364330327, 0.08119361554476058, 0.08327550312283137, 0.07286606523247745]",0.0082457970197577,3.2992385686748533
ALTUSDT,2024-01-29,2024-01-30-00:00,first,"[0.2768910478834143, 0.13532269257460097, 0.1179736294240111, 0.12352532963219987, 0.08466342817487855, 0.0784177654406662, 0.07147814018043026, 0.062456627342123525, 0.049271339347675226]",0.0159716936546524,2.965441221854636
ALTUSDT,2024-01-29,2024-01-30-00:00,second,"[0.12699514226231784, 0.1054823039555864, 0.10478834142956281, 0.09299097848716169, 0.08952116585704371, 0.10062456627342123, 0.09784871616932686, 0.09646079111727966, 0.09021512838306732, 0.09507286606523248]",0.0069133150364497,3.3145090167974502
