symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ANKRUSDT,2024-01-01,2024-01-02-00:00,first,"[0.3188720173535792, 0.17932031814895155, 0.12002892263195951, 0.09327548806941431, 0.07664497469269703, 0.06796818510484454, 0.052060737527114966, 0.04772234273318872, 0.044107013738250184]",0.0049094391682443,2.8344531033093965
ANKRUSDT,2024-01-01,2024-01-02-00:00,second,"[0.11424439624005785, 0.12581344902386118, 0.1294287780187997, 0.09399855386840203, 0.09761388286334056, 0.0918293564714389, 0.1019522776572668, 0.0824295010845987, 0.07953723788864786, 0.08315256688358641]",0.0082216333007653,3.301755684256123
ANKRUSDT,2024-01-02,2024-01-03-00:00,first,"[0.3124108416547789, 0.19543509272467904, 0.10912981455064194, 0.09771754636233952, 0.06918687589158345, 0.06847360912981455, 0.05420827389443652, 0.047075606276747506, 0.046362339514978604]",0.0074808625483518,2.8337252598011595
ANKRUSDT,2024-01-02,2024-01-03-00:00,second,"[0.12696148359486448, 0.11340941512125535, 0.11982881597717546, 0.09843081312410841, 0.10128388017118402, 0.10057061340941512, 0.07417974322396577, 0.08630527817403709, 0.07774607703281027, 0.10128388017118402]",0.0078890231187679,3.302571747356133
ANKRUSDT,2024-01-03,2024-01-04-00:00,first,"[0.3014967925873129, 0.18531717747683535, 0.11689237348538846, 0.09764789736279401, 0.07982893799002139, 0.06771204561653599, 0.05060584461867427, 0.04918032786885246, 0.05131860299358518]",0.0038677022356561,2.8675075740558515
ANKRUSDT,2024-01-03,2024-01-04-00:00,second,"[0.1368496079828938, 0.12544547398431932, 0.1083392729864576, 0.08909479686386315, 0.09764789736279401, 0.08766928011404133, 0.07555238774055595, 0.09836065573770492, 0.08980755523877405, 0.09123307198859587]",0.0090415196043387,3.3001911854608066
ANKRUSDT,2024-01-04,2024-01-05-00:00,first,"[0.2810734463276836, 0.2062146892655367, 0.12782485875706215, 0.10098870056497175, 0.0748587570621469, 0.07415254237288135, 0.05367231638418079, 0.048728813559322036, 0.03248587570621469]",0.0098431094795113,2.855522956193606
ANKRUSDT,2024-01-04,2024-01-05-00:00,second,"[0.1292372881355932, 0.10663841807909605, 0.09392655367231638, 0.09675141242937853, 0.09463276836158192, 0.1016949152542373, 0.10098870056497175, 0.0981638418079096, 0.09110169491525423, 0.08686440677966102]",0.0070800424738461,3.3134725646066165
ANKRUSDT,2024-01-05,2024-01-06-00:00,first,"[0.28346456692913385, 0.20973514674302077, 0.13743736578382248, 0.08518253400143164, 0.07086614173228346, 0.06442376521116679, 0.05654974946313529, 0.046528274874731566, 0.04581245526127416]",0.0102661070141024,2.853906738566411
ANKRUSDT,2024-01-05,2024-01-06-00:00,second,"[0.11954187544738726, 0.10880458124552612, 0.11095204008589836, 0.11381531853972798, 0.10952040085898354, 0.09162491052254831, 0.07229778095919828, 0.09663564781675017, 0.08446671438797423, 0.09234073013600573]",0.0068911069212046,3.30699871581721
ANKRUSDT,2024-01-06,2024-01-07-00:00,first,"[0.3310911808669656, 0.16591928251121077, 0.10986547085201794, 0.08819133034379671, 0.07324364723467862, 0.07623318385650224, 0.05455904334828102, 0.053811659192825115, 0.04708520179372197]",0.009629872757192,2.8396452301166444
ANKRUSDT,2024-01-06,2024-01-07-00:00,second,"[0.1210762331838565, 0.10687593423019431, 0.09865470852017937, 0.09192825112107623, 0.11584454409566518, 0.09267563527653214, 0.07623318385650224, 0.09641255605381166, 0.10463378176382661, 0.09566517189835576]",0.0101450842449796,3.3111527160023515
