symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
CHESSUSDT,2021-10-22-00:00,2021-10-23-00:00,first,"[0.34935304990757854, 0.18853974121996303, 0.07948243992606285, 0.08317929759704251, 0.07948243992606285, 0.06099815157116451, 0.053604436229205174, 0.04251386321626617, 0.06284658040665435]",0.0173692933627325,2.7800291873620417
CHESSUSDT,2021-10-22-00:00,2021-10-23-00:00,second,"[0.1256931608133087, 0.1423290203327172, 0.11645101663585952, 0.08317929759704251, 0.10166358595194085, 0.09611829944547134, 0.07024029574861368, 0.09611829944547134, 0.08502772643253234, 0.08317929759704251]",0.0098408041264338,3.290850659781151
CHESSUSDT,2021-10-23-00:00,2021-10-24-00:00,first,"[0.32061068702290074, 0.16238723108952116, 0.1179736294240111, 0.09993060374739764, 0.09021512838306732, 0.06315058986814712, 0.05690492713393477, 0.04371963913948647, 0.04510756419153366]",0.0074744809852673,2.846985087748901
CHESSUSDT,2021-10-23-00:00,2021-10-24-00:00,second,"[0.1325468424705066, 0.10201249132546843, 0.10617626648161, 0.11242192921582235, 0.09021512838306732, 0.09576682859125607, 0.09437890353920889, 0.0777238029146426, 0.08674531575294935, 0.10201249132546843]",0.0077958499764875,3.3073205883021943
CHESSUSDT,2021-10-24-00:00,2021-10-25-00:00,first,"[0.27936066712995133, 0.19179986101459348, 0.1292564280750521, 0.09937456567060458, 0.08200138985406533, 0.0660180681028492, 0.05906879777623349, 0.03891591382904795, 0.054204308547602505]",0.0077410352622504,2.88947470520143
CHESSUSDT,2021-10-24-00:00,2021-10-25-00:00,second,"[0.11605281445448228, 0.10771369006254343, 0.11118832522585129, 0.10910354412786658, 0.1014593467685893, 0.09798471160528145, 0.09937456567060458, 0.08547602501737317, 0.08061153578874218, 0.09103544127866574]",0.0043274699059521,3.3131385260414867
CHESSUSDT,2021-10-25-00:00,2021-10-26-00:00,first,"[0.28789986091794156, 0.1780250347705146, 0.12726008344923506, 0.0952712100139082, 0.08484005563282336, 0.06467315716272601, 0.06815020862308763, 0.04659248956884562, 0.04728789986091794]",0.0048005784636912,2.897903729228592
CHESSUSDT,2021-10-25-00:00,2021-10-26-00:00,second,"[0.12934631432545202, 0.1105702364394993, 0.10361613351877608, 0.09874826147426982, 0.0952712100139082, 0.09944367176634214, 0.09457579972183588, 0.08136300417246176, 0.0952712100139082, 0.0917941585535466]",0.0056265017124583,3.3116406144574153
CHESSUSDT,2021-10-26-00:00,2021-10-27-00:00,first,"[0.32590529247910865, 0.15181058495821728, 0.11350974930362116, 0.08704735376044569, 0.07799442896935933, 0.07242339832869081, 0.060584958217270196, 0.05153203342618384, 0.059192200557103065]",0.0103909194951153,2.871221690499206
CHESSUSDT,2021-10-26-00:00,2021-10-27-00:00,second,"[0.12813370473537605, 0.116991643454039, 0.11002785515320335, 0.10236768802228412, 0.10236768802228412, 0.10167130919220056, 0.0905292479108635, 0.08844011142061281, 0.08356545961002786, 0.07590529247910864]",0.0039631782954511,3.3056047455785187
CHESSUSDT,2021-10-27-00:00,2021-10-28-00:00,first,"[0.296373779637378, 0.1589958158995816, 0.1087866108786611, 0.10599721059972106, 0.08158995815899582, 0.08368200836820083, 0.06345885634588563, 0.05509065550906555, 0.04602510460251046]",0.0084230633138537,2.914898495238056
