symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
DENTUSDT,2020-01-01-00:00,2020-01-02-00:00,first,"[0.3541666666666667, 0.13541666666666666, 0.22916666666666666, 0.07291666666666667, 0.020833333333333332, 0.07291666666666667, 0.052083333333333336, 0.041666666666666664, 0.020833333333333332]",0.0362965506882457,2.60475877226689
DENTUSDT,2020-01-01-00:00,2020-01-02-00:00,second,"[0.11458333333333333, 0.052083333333333336, 0.11458333333333333, 0.052083333333333336, 0.09375, 0.09375, 0.10416666666666667, 0.1875, 0.09375, 0.09375]",0.0257268740610597,3.233691588370608
DENTUSDT,2020-01-02-00:00,2020-01-03-00:00,first,"[0.2532467532467532, 0.12987012987012986, 0.2532467532467532, 0.11038961038961038, 0.045454545454545456, 0.05844155844155844, 0.05194805194805195, 0.03896103896103896, 0.05844155844155844]",0.0343270404224201,2.822587107221199
DENTUSDT,2020-01-02-00:00,2020-01-03-00:00,second,"[0.12987012987012986, 0.13636363636363635, 0.09740259740259741, 0.11038961038961038, 0.09090909090909091, 0.07792207792207792, 0.05844155844155844, 0.09740259740259741, 0.11688311688311688, 0.08441558441558442]",0.0150176231650458,3.283753915773801
DENTUSDT,2020-01-03-00:00,2020-01-04-00:00,first,"[0.3062200956937799, 0.15789473684210525, 0.19138755980861244, 0.11483253588516747, 0.03349282296650718, 0.05263157894736842, 0.05741626794258373, 0.03827751196172249, 0.04784688995215311]",0.0203668545552667,2.7727883523269488
DENTUSDT,2020-01-03-00:00,2020-01-04-00:00,second,"[0.12440191387559808, 0.14354066985645933, 0.0861244019138756, 0.05263157894736842, 0.0861244019138756, 0.08133971291866028, 0.10047846889952153, 0.09569377990430622, 0.11483253588516747, 0.11483253588516747]",0.0207832803225179,3.2775433688807394
DENTUSDT,2020-01-04-00:00,2020-01-05-00:00,first,"[0.38345864661654133, 0.17293233082706766, 0.15789473684210525, 0.06766917293233082, 0.09022556390977443, 0.03007518796992481, 0.03759398496240601, 0.022556390977443608, 0.03759398496240601]",0.0280953264552255,2.5959040386524435
DENTUSDT,2020-01-04-00:00,2020-01-05-00:00,second,"[0.16541353383458646, 0.09774436090225563, 0.13533834586466165, 0.08270676691729323, 0.09022556390977443, 0.07518796992481203, 0.11278195488721804, 0.12030075187969924, 0.05263157894736842, 0.06766917293233082]",0.0243214187622273,3.2481500359834
DENTUSDT,2020-01-05-00:00,2020-01-06-00:00,first,"[0.4304635761589404, 0.1456953642384106, 0.17880794701986755, 0.046357615894039736, 0.033112582781456956, 0.046357615894039736, 0.033112582781456956, 0.026490066225165563, 0.059602649006622516]",0.0438106554116609,2.490093872530744
DENTUSDT,2020-01-05-00:00,2020-01-06-00:00,second,"[0.23841059602649006, 0.07947019867549669, 0.08609271523178808, 0.08609271523178808, 0.08609271523178808, 0.046357615894039736, 0.13245033112582782, 0.08609271523178808, 0.059602649006622516, 0.09933774834437085]",0.0344294638118158,3.166997814138503
DENTUSDT,2020-01-06-00:00,2020-01-07-00:00,first,"[0.36585365853658536, 0.13658536585365855, 0.2146341463414634, 0.06829268292682927, 0.06829268292682927, 0.03902439024390244, 0.04878048780487805, 0.03414634146341464, 0.024390243902439025]",0.0343375716901705,2.6206085164802184
