symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
DUSKUSDT,2024-01-01,2024-01-02-00:00,first,"[0.28197879858657243, 0.24946996466431096, 0.10247349823321555, 0.09469964664310954, 0.07703180212014134, 0.06431095406360424, 0.045229681978798585, 0.045936395759717315, 0.038869257950530034]",0.0163063790241399,2.801289730906226
DUSKUSDT,2024-01-01,2024-01-02-00:00,second,"[0.12367491166077739, 0.10812720848056537, 0.11872791519434629, 0.09752650176678446, 0.16890459363957597, 0.08763250883392226, 0.06643109540636043, 0.07632508833922262, 0.0784452296819788, 0.07420494699646643]",0.0164996901249462,3.2632713985168555
DUSKUSDT,2024-01-02,2024-01-03-00:00,first,"[0.2839248434237996, 0.1871955462769659, 0.12317327766179541, 0.0918580375782881, 0.08072372999304106, 0.06958942240779402, 0.0675017397355602, 0.05149617258176757, 0.04453723034098817]",0.0055872992969203,2.900255877192846
DUSKUSDT,2024-01-02,2024-01-03-00:00,second,"[0.12178148921363953, 0.10716771050800278, 0.12178148921363953, 0.10090466249130133, 0.12456506610995129, 0.081419624217119, 0.08559498956158663, 0.0883785664578984, 0.09255393180236604, 0.07585247042449547]",0.0088605905781532,3.3008774532901897
DUSKUSDT,2024-01-03,2024-01-04-00:00,first,"[0.298110566829951, 0.1959412176347096, 0.11756473058082575, 0.10426871938418475, 0.07207837648705388, 0.06857942617214835, 0.052484254723582924, 0.042687193841847444, 0.04828551434569629]",0.0069709611737139,2.851590295248459
DUSKUSDT,2024-01-03,2024-01-04-00:00,second,"[0.12526242127361792, 0.10426871938418475, 0.10076976906927922, 0.10426871938418475, 0.12946116165150454, 0.09517144856543037, 0.08747375787263821, 0.086074177746676, 0.08327501749475158, 0.08397480755773268]",0.0069472224121324,3.3047597846595416
DUSKUSDT,2024-01-04,2024-01-05-00:00,first,"[0.3084958217270195, 0.17200557103064068, 0.12534818941504178, 0.0988857938718663, 0.08774373259052924, 0.06685236768802229, 0.056406685236768804, 0.04596100278551532, 0.0383008356545961]",0.0040918991725543,2.853260764376196
DUSKUSDT,2024-01-04,2024-01-05-00:00,second,"[0.12465181058495822, 0.10027855153203342, 0.10306406685236769, 0.10167130919220056, 0.11977715877437325, 0.10236768802228412, 0.09331476323119778, 0.08704735376044569, 0.08774373259052924, 0.08008356545961003]",0.0060611259453001,3.309286625834916
DUSKUSDT,2024-01-05,2024-01-06-00:00,first,"[0.29748603351955305, 0.22136871508379888, 0.11731843575418995, 0.08729050279329609, 0.08379888268156424, 0.06075418994413408, 0.055865921787709494, 0.036312849162011177, 0.039804469273743016]",0.011087798369346,2.8082732264726573
DUSKUSDT,2024-01-05,2024-01-06-00:00,second,"[0.11103351955307263, 0.11452513966480447, 0.09427374301675978, 0.10195530726256984, 0.1585195530726257, 0.09916201117318436, 0.08589385474860335, 0.06843575418994413, 0.09217877094972067, 0.07402234636871509]",0.013187975960803,3.2830109949670097
