symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
FLUXUSDT,2022-01-01-00:00,2022-01-02-00:00,first,"[0.27871148459383754, 0.17647058823529413, 0.12044817927170869, 0.11834733893557423, 0.0784313725490196, 0.07352941176470588, 0.05952380952380952, 0.047619047619047616, 0.0469187675070028]",0.0069094259408163,2.910935368089608
FLUXUSDT,2022-01-01-00:00,2022-01-02-00:00,second,"[0.11764705882352941, 0.11974789915966387, 0.11064425770308123, 0.09733893557422969, 0.10294117647058823, 0.1057422969187675, 0.09103641456582633, 0.08893557422969188, 0.0784313725490196, 0.08753501400560224]",0.0043832503434088,3.309709688056495
FLUXUSDT,2022-01-02-00:00,2022-01-03-00:00,first,"[0.32770745428973275, 0.16244725738396623, 0.13572433192686356, 0.08649789029535865, 0.07313642756680731, 0.06188466947960619, 0.04852320675105485, 0.05625879043600562, 0.04781997187060478]",0.0099181784984153,2.829399219544921
FLUXUSDT,2022-01-02-00:00,2022-01-03-00:00,second,"[0.12728551336146274, 0.12306610407876231, 0.10689170182841069, 0.09915611814345991, 0.09212376933895922, 0.09353023909985936, 0.0970464135021097, 0.08790436005625879, 0.0829817158931083, 0.090014064697609]",0.0050941271589556,3.308179701496854
FLUXUSDT,2022-01-03-00:00,2022-01-04-00:00,first,"[0.32546842470506593, 0.17487855655794587, 0.11172796668979876, 0.0916030534351145, 0.07147814018043026, 0.0798056904927134, 0.047883414295628035, 0.05412907702984039, 0.04302567661346287]",0.0089497521079208,2.8322660618021804
FLUXUSDT,2022-01-03-00:00,2022-01-04-00:00,second,"[0.12907702984038863, 0.11103400416377515, 0.10825815405968078, 0.09715475364330327, 0.08952116585704371, 0.0922970159611381, 0.09784871616932686, 0.10201249132546843, 0.08396946564885496, 0.08882720333102012]",0.0058724189917982,3.310740595522744
FLUXUSDT,2022-01-04-00:00,2022-01-05-00:00,first,"[0.2907702984038862, 0.17487855655794587, 0.12491325468424705, 0.08188757807078417, 0.08882720333102012, 0.07286606523247745, 0.05829285218598196, 0.04996530187369882, 0.05759888965995836]",0.0061572304872973,2.9063860640470267
FLUXUSDT,2022-01-04-00:00,2022-01-05-00:00,second,"[0.1304649548924358, 0.10895211658570438, 0.10478834142956281, 0.11034004163775156, 0.10340041637751561, 0.1040943789035392, 0.08466342817487855, 0.08882720333102012, 0.08327550312283137, 0.08119361554476058]",0.0054611049827,3.306557549258802
FLUXUSDT,2022-01-05-00:00,2022-01-06-00:00,first,"[0.2904794996525365, 0.16886726893676163, 0.11952744961779013, 0.10076441973592773, 0.07644197359277276, 0.06323835997220292, 0.07644197359277276, 0.05281445448227936, 0.05142460041695622]",0.0065852167186969,2.9145754071373093
FLUXUSDT,2022-01-05-00:00,2022-01-06-00:00,second,"[0.12369701181375956, 0.12161223071577484, 0.103544127866574, 0.12230715774843641, 0.09034051424600417, 0.08547602501737317, 0.0917303683113273, 0.09381514940931203, 0.0847810979847116, 0.08269631688672689]",0.0066361256364565,3.304430398675237
FLUXUSDT,2022-01-06-00:00,2022-01-07-00:00,first,"[0.31228313671061764, 0.1693268563497571, 0.11311589174184594, 0.09784871616932686, 0.07356002775850104, 0.07078417765440666, 0.062456627342123525, 0.04996530187369882, 0.05065926439972242]",0.0056434858744854,2.8731971594686705
FLUXUSDT,2022-01-06-00:00,2022-01-07-00:00,second,"[0.12352532963219987, 0.10270645385149202, 0.11727966689798751, 0.11103400416377515, 0.09646079111727966, 0.09576682859125607, 0.09576682859125607, 0.08258154059680778, 0.09090909090909091, 0.08396946564885496]",0.0049479605998126,3.3100187376880092
FLUXUSDT,2022-01-07-00:00,2022-01-08-00:00,first,"[0.2939541348158443, 0.18068102849200834, 0.1202223766504517, 0.10423905489923559, 0.08200138985406533, 0.0660180681028492, 0.04447533009034051, 0.05837387074357193, 0.05003474635163308]",0.0058305687157989,2.8825979897034166
FLUXUSDT,2022-01-07-00:00,2022-01-08-00:00,second,"[0.13620569840166782, 0.103544127866574, 0.09728978457261987, 0.11257817929117443, 0.10284920083391244, 0.0945100764419736, 0.08686587908269632, 0.08895066018068103, 0.09381514940931203, 0.08339124391938846]",0.0067122286523571,3.307314657827286
FLUXUSDT,2022-01-08-00:00,2022-01-09-00:00,first,"[0.30625, 0.1736111111111111, 0.13194444444444445, 0.09652777777777778, 0.06944444444444445, 0.06736111111111111, 0.05277777777777778, 0.05625, 0.04583333333333333]",0.0039585231062084,2.8632746723362823
FLUXUSDT,2022-01-08-00:00,2022-01-09-00:00,second,"[0.12361111111111112, 0.1125, 0.11388888888888889, 0.09375, 0.09027777777777778, 0.10694444444444444, 0.09236111111111112, 0.10625, 0.07222222222222222, 0.08819444444444445]",0.0076723088313763,3.3065201669827013
FLUXUSDT,2022-01-09-00:00,2022-01-10-00:00,first,"[0.29562803608605137, 0.18598195697432338, 0.12213740458015267, 0.09021512838306732, 0.08258154059680778, 0.05412907702984039, 0.06731436502428868, 0.04996530187369882, 0.0520471894517696]",0.006422913201227,2.879531777481588
FLUXUSDT,2022-01-09-00:00,2022-01-10-00:00,second,"[0.12421929215822346, 0.10964607911172797, 0.11172796668979876, 0.10756419153365718, 0.10201249132546843, 0.10617626648161, 0.08813324080499653, 0.08188757807078417, 0.09784871616932686, 0.07078417765440666]",0.0064326209751945,3.3052151907692995
FLUXUSDT,2022-01-10-00:00,2022-01-11-00:00,first,"[0.31710709318497915, 0.16411682892906815, 0.10917941585535466, 0.10292072322670376, 0.07232267037552156, 0.06815020862308763, 0.061891515994436715, 0.06258692628650904, 0.04172461752433936]",0.0085833776862216,2.8678285258289073
FLUXUSDT,2022-01-10-00:00,2022-01-11-00:00,second,"[0.09944367176634214, 0.10639777468706536, 0.1105702364394993, 0.11961057023643949, 0.10500695410292073, 0.1105702364394993, 0.08205841446453407, 0.08414464534075104, 0.0952712100139082, 0.08692628650904033]",0.0090503181596768,3.311445222746784
FLUXUSDT,2022-01-11-00:00,2022-01-12-00:00,first,"[0.29937194696441033, 0.1584089323098395, 0.11444521981856245, 0.1060711793440335, 0.08653175157013258, 0.0718771807397069, 0.06559665038381018, 0.05931612002791347, 0.03838101884159107]",0.0082689697676075,2.901837551370146
FLUXUSDT,2022-01-11-00:00,2022-01-12-00:00,second,"[0.11095603628750872, 0.12142358688066993, 0.10956036287508723, 0.09909281228192603, 0.10048848569434753, 0.10816468946266573, 0.09002093510118632, 0.09211444521981857, 0.08443824145150035, 0.0837404047452896]",0.0043405080760038,3.3118108547458127
FLUXUSDT,2022-01-12-00:00,2022-01-13-00:00,first,"[0.2915796798886569, 0.1767571329157968, 0.12317327766179541, 0.11343075852470424, 0.0709812108559499, 0.06471816283924843, 0.05288796102992345, 0.05149617258176757, 0.054975643702157274]",0.005944093922807,2.8899351250496115
FLUXUSDT,2022-01-12-00:00,2022-01-13-00:00,second,"[0.1301322199025748, 0.12386917188587335, 0.12386917188587335, 0.11064718162839249, 0.08420320111343076, 0.09742519137091162, 0.0918580375782881, 0.0779401530967293, 0.0918580375782881, 0.06819763395963814]",0.0093666507259649,3.2925700298949616
FLUXUSDT,2022-01-13-00:00,2022-01-14-00:00,first,"[0.29207232267037553, 0.17663421418636996, 0.1258692628650904, 0.10222531293463143, 0.07301808066759388, 0.07719054242002782, 0.06815020862308763, 0.04102920723226704, 0.04381084840055633]",0.0060423990553043,2.8848444496960117
FLUXUSDT,2022-01-13-00:00,2022-01-14-00:00,second,"[0.11474269819193324, 0.12517385257301808, 0.1043115438108484, 0.10500695410292073, 0.1070931849791377, 0.09318497913769123, 0.08692628650904033, 0.09318497913769123, 0.07927677329624479, 0.09109874826147427]",0.0055361023641702,3.3096347597362277
FLUXUSDT,2022-01-14-00:00,2022-01-15-00:00,first,"[0.28670842032011135, 0.1885873347251218, 0.12108559498956159, 0.09812108559498957, 0.07933194154488518, 0.07376478775226165, 0.05358385525400139, 0.05706332637439109, 0.04175365344467641]",0.0059081435116205,2.8888208183296573
FLUXUSDT,2022-01-14-00:00,2022-01-15-00:00,second,"[0.11830201809324982, 0.12108559498956159, 0.10160055671537926, 0.09812108559498957, 0.09116214335421016, 0.10160055671537926, 0.10090466249130133, 0.09394572025052192, 0.0953375086986778, 0.0779401530967293]",0.0062019850608124,3.311764581117211
FLUXUSDT,2022-01-15-00:00,2022-01-16-00:00,first,"[0.2976776917663617, 0.18578465869106264, 0.12104152005629838, 0.10344827586206896, 0.08022519352568613, 0.0633356790992259, 0.05840957072484166, 0.04996481351161154, 0.04011259676284307]",0.0039318297143578,2.864450114922903
FLUXUSDT,2022-01-15-00:00,2022-01-16-00:00,second,"[0.12596762843068263, 0.10344827586206896, 0.11681914144968332, 0.09570724841660802, 0.11822660098522167, 0.09711470795214637, 0.09218859957776214, 0.08796622097114708, 0.07670654468684025, 0.08585503166783955]",0.006699910551118,3.3056425997884338
FLUXUSDT,2022-01-16-00:00,2022-01-17-00:00,first,"[0.300561797752809, 0.1797752808988764, 0.13412921348314608, 0.09480337078651685, 0.08075842696629214, 0.06390449438202248, 0.05547752808988764, 0.051264044943820225, 0.03932584269662921]",0.0032362671406994,2.8587985309716486
FLUXUSDT,2022-01-16-00:00,2022-01-17-00:00,second,"[0.10884831460674158, 0.11306179775280899, 0.1074438202247191, 0.10674157303370786, 0.09480337078651685, 0.10252808988764045, 0.10112359550561797, 0.08848314606741572, 0.07865168539325842, 0.09831460674157304]",0.0058657962589057,3.3146684326664437
FLUXUSDT,2022-01-17-00:00,2022-01-18-00:00,first,"[0.2812939521800281, 0.18846694796061886, 0.13009845288326302, 0.07313642756680731, 0.09282700421940929, 0.06258790436005626, 0.06962025316455696, 0.05625879043600562, 0.04571026722925457]",0.0106479416727066,2.900484624604079
FLUXUSDT,2022-01-17-00:00,2022-01-18-00:00,second,"[0.11181434599156118, 0.12376933895921238, 0.11744022503516174, 0.1111111111111111, 0.0949367088607595, 0.09915611814345991, 0.08157524613220815, 0.07876230661040788, 0.0949367088607595, 0.08649789029535865]",0.0073251176644326,3.3063498336001076
FLUXUSDT,2022-01-18-00:00,2022-01-19-00:00,first,"[0.30425680390788556, 0.17096999302163293, 0.1284019539427774, 0.09490579204466155, 0.0928122819260293, 0.0642009769713887, 0.06001395673412421, 0.03838101884159107, 0.046057222609909285]",0.0050317340583239,2.8618509222539776
FLUXUSDT,2022-01-18-00:00,2022-01-19-00:00,second,"[0.11025819958129798, 0.11793440334961619, 0.12281926029309141, 0.09351011863224006, 0.10327983251919051, 0.09839497557571528, 0.09071877180739707, 0.08164689462665736, 0.09211444521981857, 0.08932309839497557]",0.0063203138465774,3.310546376616113
FLUXUSDT,2022-01-19-00:00,2022-01-20-00:00,first,"[0.31719298245614036, 0.16842105263157894, 0.12210526315789473, 0.09894736842105263, 0.07578947368421053, 0.05894736842105263, 0.05894736842105263, 0.060350877192982454, 0.03929824561403509]",0.0063009151986938,2.8504785795719507
FLUXUSDT,2022-01-19-00:00,2022-01-20-00:00,second,"[0.1080701754385965, 0.12140350877192982, 0.10877192982456141, 0.1143859649122807, 0.10245614035087719, 0.08842105263157894, 0.0863157894736842, 0.0968421052631579, 0.09473684210526316, 0.07859649122807018]",0.0066749305297897,3.3101013234992975
FLUXUSDT,2022-01-20-00:00,2022-01-21-00:00,first,"[0.31876790830945556, 0.17908309455587393, 0.11318051575931232, 0.10386819484240688, 0.08166189111747851, 0.07234957020057306, 0.04512893982808023, 0.05157593123209169, 0.034383954154727794]",0.0079988365343425,2.824017407351299
FLUXUSDT,2022-01-20-00:00,2022-01-21-00:00,second,"[0.11461318051575932, 0.10386819484240688, 0.10243553008595989, 0.10673352435530085, 0.11389684813753581, 0.09598853868194843, 0.08882521489971347, 0.1010028653295129, 0.08166189111747851, 0.09097421203438395]",0.0065240692061798,3.314399225231918
FLUXUSDT,2022-01-21-00:00,2022-01-22-00:00,first,"[0.3025676613462873, 0.1963913948646773, 0.11103400416377515, 0.10478834142956281, 0.07702984038861901, 0.06176266481609993, 0.05968077723802915, 0.04718945176960444, 0.0395558639833449]",0.0069788800384779,2.844016543435058
FLUXUSDT,2022-01-21-00:00,2022-01-22-00:00,second,"[0.1179736294240111, 0.1193615544760583, 0.10478834142956281, 0.09993060374739764, 0.10895211658570438, 0.1054823039555864, 0.0791117279666898, 0.0922970159611381, 0.09646079111727966, 0.07564191533657183]",0.0067512395539687,3.307643184738904
