symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
JASMYUSDT,2023-01-01-00:00,2023-01-02-00:00,first,"[0.27773749093546046, 0.19361856417693982, 0.12255257432922408, 0.1065989847715736, 0.0877447425670776, 0.0681653372008702, 0.05801305293691081, 0.03770848440899202, 0.047860768672951415]",0.0086939344546635,2.8860223871699793
JASMYUSDT,2023-01-01-00:00,2023-01-02-00:00,second,"[0.1116751269035533, 0.11240029006526468, 0.11530094271211022, 0.10877447425670776, 0.10079767947788253, 0.09717186366932559, 0.09064539521392313, 0.09789702683103699, 0.0775924583031182, 0.0877447425670776]",0.0044401781760951,3.311961545996361
JASMYUSDT,2023-01-02-00:00,2023-01-03-00:00,first,"[0.3103688239387613, 0.1649269311064718, 0.13639526791927628, 0.08907446068197634, 0.07237299930410578, 0.06819763395963814, 0.05915100904662491, 0.04523312456506611, 0.054279749478079335]",0.0070505610891386,2.8653805742237264
JASMYUSDT,2023-01-02-00:00,2023-01-03-00:00,second,"[0.1336116910229645, 0.10786360473208072, 0.11551844119693806, 0.10020876826722339, 0.10368823938761308, 0.09881697981906751, 0.09672929714683368, 0.08698677800974251, 0.07724425887265135, 0.07933194154488518]",0.0059007414236179,3.303636624288409
JASMYUSDT,2023-01-03-00:00,2023-01-04-00:00,first,"[0.3108952116585704, 0.17210270645385148, 0.1179736294240111, 0.09784871616932686, 0.06453851492019431, 0.05898681471200555, 0.05759888965995836, 0.07217210270645386, 0.047883414295628035]",0.00754431625553,2.869668582769956
JASMYUSDT,2023-01-03-00:00,2023-01-04-00:00,second,"[0.12491325468424705, 0.11172796668979876, 0.10340041637751561, 0.10756419153365718, 0.10062456627342123, 0.09507286606523248, 0.10964607911172797, 0.0798056904927134, 0.0777238029146426, 0.08952116585704371]",0.0059160277047898,3.3076467355178716
JASMYUSDT,2023-01-04-00:00,2023-01-05-00:00,first,"[0.27032661570535094, 0.1702571230020848, 0.14246004169562196, 0.10701876302988186, 0.08061153578874218, 0.06879777623349548, 0.07018763029881862, 0.04933981931897151, 0.04100069492703266]",0.0095793366165064,2.921229655823911
JASMYUSDT,2023-01-04-00:00,2023-01-05-00:00,second,"[0.12647671994440585, 0.11257817929117443, 0.11952744961779013, 0.09937456567060458, 0.08547602501737317, 0.10215427380125087, 0.08686587908269632, 0.0945100764419736, 0.09034051424600417, 0.08269631688672689]",0.0059817975596496,3.3074292684572084
JASMYUSDT,2023-01-05-00:00,2023-01-06-00:00,first,"[0.2921034241788959, 0.1684136967155835, 0.13137665967854648, 0.1090146750524109, 0.08176100628930817, 0.0649895178197065, 0.0496156533892383, 0.05380852550663871, 0.04891684136967156]",0.0059861553832307,2.8911470486708124
JASMYUSDT,2023-01-05-00:00,2023-01-06-00:00,second,"[0.12718378756114604, 0.1013277428371768, 0.11320754716981132, 0.10412299091544375, 0.09014675052410902, 0.11180992313067785, 0.09503843466107617, 0.0936408106219427, 0.0803633822501747, 0.08315863032844165]",0.0063951549374606,3.3083567817862676
JASMYUSDT,2023-01-06-00:00,2023-01-07-00:00,first,"[0.2927864214992928, 0.1782178217821782, 0.1272984441301273, 0.09759547383309759, 0.0876944837340877, 0.07284299858557285, 0.05799151343705799, 0.04384724186704385, 0.04172560113154172]",0.0043513728255084,2.878951591638048
JASMYUSDT,2023-01-06-00:00,2023-01-07-00:00,second,"[0.1265912305516266, 0.1166902404526167, 0.10608203677510608, 0.086987270155587, 0.11173974540311174, 0.10113154172560113, 0.08132956152758133, 0.09476661951909476, 0.09264497878359264, 0.08203677510608204]",0.0070175007025679,3.3070453633670995
JASMYUSDT,2023-01-07-00:00,2023-01-08-00:00,first,"[0.2948539638386648, 0.17593880389429764, 0.12656467315716272, 0.10222531293463143, 0.08623087621696801, 0.06606397774687066, 0.04937413073713491, 0.05146036161335188, 0.04728789986091794]",0.0035175811357765,2.880917640991888
JASMYUSDT,2023-01-07-00:00,2023-01-08-00:00,second,"[0.12308762169680111, 0.11613351877607789, 0.10778859527121001, 0.1133518776077886, 0.08831710709318498, 0.09874826147426982, 0.08344923504867872, 0.09457579972183588, 0.08831710709318498, 0.08623087621696801]",0.00458989992861,3.3090976593642876
JASMYUSDT,2023-01-08-00:00,2023-01-09-00:00,first,"[0.3004891684136967, 0.18308874912648498, 0.12299091544374563, 0.1146051712089448, 0.07756813417190776, 0.06079664570230608, 0.06219426974143955, 0.03843466107617051, 0.039832285115303984]",0.0064211046745433,2.846550597485042
JASMYUSDT,2023-01-08-00:00,2023-01-09-00:00,second,"[0.10482180293501048, 0.11250873515024458, 0.11809923130677848, 0.10621942697414395, 0.09643605870020965, 0.09014675052410902, 0.09294199860237597, 0.0880503144654088, 0.1013277428371768, 0.08944793850454227]",0.005875174949924,3.3150683543187363
JASMYUSDT,2023-01-09-00:00,2023-01-10-00:00,first,"[0.2972222222222222, 0.16041666666666668, 0.11805555555555555, 0.10694444444444444, 0.0875, 0.07291666666666667, 0.05763888888888889, 0.05, 0.049305555555555554]",0.0061935838710437,2.9030256982299316
JASMYUSDT,2023-01-09-00:00,2023-01-10-00:00,second,"[0.12986111111111112, 0.12291666666666666, 0.11527777777777778, 0.10902777777777778, 0.10416666666666667, 0.09444444444444444, 0.08819444444444445, 0.07222222222222222, 0.08888888888888889, 0.075]",0.0071080403603086,3.296921335449068
JASMYUSDT,2023-01-10-00:00,2023-01-11-00:00,first,"[0.27847222222222223, 0.15902777777777777, 0.13333333333333333, 0.10833333333333334, 0.0763888888888889, 0.07847222222222222, 0.06319444444444444, 0.05486111111111111, 0.04791666666666667]",0.0094252470840885,2.93354058738107
JASMYUSDT,2023-01-10-00:00,2023-01-11-00:00,second,"[0.12708333333333333, 0.11666666666666667, 0.09583333333333334, 0.11180555555555556, 0.1076388888888889, 0.10486111111111111, 0.09166666666666666, 0.08194444444444444, 0.07569444444444444, 0.08680555555555555]",0.006995877749624,3.3044907221187687
JASMYUSDT,2023-01-11-00:00,2023-01-12-00:00,first,"[0.2494773519163763, 0.18397212543554006, 0.1337979094076655, 0.12264808362369338, 0.09059233449477352, 0.06341463414634146, 0.06132404181184669, 0.049477351916376304, 0.04529616724738676]",0.0127158429058155,2.938589777999701
JASMYUSDT,2023-01-11-00:00,2023-01-12-00:00,second,"[0.13240418118466898, 0.12334494773519164, 0.09686411149825784, 0.09198606271777003, 0.09895470383275261, 0.09128919860627177, 0.09407665505226481, 0.09268292682926829, 0.07386759581881533, 0.10452961672473868]",0.0089489756822726,3.30406211127446
JASMYUSDT,2023-01-12-00:00,2023-01-13-00:00,first,"[0.2604166666666667, 0.17222222222222222, 0.13541666666666666, 0.10486111111111111, 0.10902777777777778, 0.07847222222222222, 0.05694444444444444, 0.0375, 0.04513888888888889]",0.0132891094407074,2.925830850506631
JASMYUSDT,2023-01-12-00:00,2023-01-13-00:00,second,"[0.11180555555555556, 0.11944444444444445, 0.10555555555555556, 0.10486111111111111, 0.10416666666666667, 0.11180555555555556, 0.09652777777777778, 0.08333333333333333, 0.08194444444444444, 0.08055555555555556]",0.0056451436128203,3.309271825733392
JASMYUSDT,2023-01-13-00:00,2023-01-14-00:00,first,"[0.28938237335183903, 0.1589174184594032, 0.11866759195003469, 0.10756419153365718, 0.09715475364330327, 0.07286606523247745, 0.05968077723802915, 0.05135322692574601, 0.04441360166551006]",0.0080969992137445,2.9146372432477654
JASMYUSDT,2023-01-13-00:00,2023-01-14-00:00,second,"[0.11380985426786953, 0.11658570437196392, 0.09784871616932686, 0.09715475364330327, 0.10756419153365718, 0.09646079111727966, 0.1040943789035392, 0.08952116585704371, 0.09299097848716169, 0.08396946564885496]",0.0052184316518577,3.3148769425020577
JASMYUSDT,2023-01-14-00:00,2023-01-15-00:00,first,"[0.3039555863983345, 0.17626648160999306, 0.12768910478834142, 0.0922970159611381, 0.08049965301873699, 0.0659264399722415, 0.05412907702984039, 0.04996530187369882, 0.049271339347675226]",0.0023740971615152,2.8690095797391018
JASMYUSDT,2023-01-14-00:00,2023-01-15-00:00,second,"[0.12699514226231784, 0.12005551700208189, 0.09784871616932686, 0.10270645385149202, 0.0936849410131853, 0.11519777931991672, 0.10201249132546843, 0.08674531575294935, 0.07494795281054822, 0.0798056904927134]",0.0081279172639977,3.302916854623142
JASMYUSDT,2023-01-15-00:00,2023-01-16-00:00,first,"[0.2873004857737682, 0.16099930603747398, 0.1311589174184594, 0.0916030534351145, 0.08605135322692574, 0.07564191533657183, 0.05898681471200555, 0.062456627342123525, 0.04580152671755725]",0.0075840938847471,2.922190853890843
JASMYUSDT,2023-01-15-00:00,2023-01-16-00:00,second,"[0.12213740458015267, 0.12352532963219987, 0.09646079111727966, 0.1040943789035392, 0.09854267869535045, 0.09646079111727966, 0.09993060374739764, 0.08674531575294935, 0.08674531575294935, 0.08535739070090215]",0.0038018537630973,3.3103163940239453
JASMYUSDT,2023-01-16-00:00,2023-01-17-00:00,first,"[0.2609299097848716, 0.15336571825121442, 0.1297709923664122, 0.09507286606523248, 0.09437890353920889, 0.07494795281054822, 0.07702984038861901, 0.05968077723802915, 0.054823039555863984]",0.0143695052503111,2.9844493883636356
JASMYUSDT,2023-01-16-00:00,2023-01-17-00:00,second,"[0.13532269257460097, 0.10617626648161, 0.10687022900763359, 0.11519777931991672, 0.08535739070090215, 0.09507286606523248, 0.09784871616932686, 0.08535739070090215, 0.08674531575294935, 0.08605135322692574]",0.0064079249244403,3.3053733527064884
JASMYUSDT,2023-01-17-00:00,2023-01-18-00:00,first,"[0.2997918112421929, 0.16238723108952116, 0.11311589174184594, 0.09993060374739764, 0.08882720333102012, 0.0798056904927134, 0.06315058986814712, 0.04996530187369882, 0.04302567661346287]",0.0068186870611771,2.8988753876077724
