symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
OGNUSDT,2020-01-09-00:00,2020-01-10-00:00,first,"[0.31977559607293127, 0.1753155680224404, 0.1388499298737728, 0.09256661991584852, 0.0729312762973352, 0.05890603085553997, 0.051893408134642355, 0.043478260869565216, 0.04628330995792426]",0.0073739140159271,2.8191981833204665
OGNUSDT,2020-01-09-00:00,2020-01-10-00:00,second,"[0.12903225806451613, 0.10238429172510519, 0.11640953716690042, 0.10659186535764376, 0.12482468443197756, 0.08976157082748948, 0.07713884992987377, 0.09396914446002805, 0.0785413744740533, 0.08134642356241234]",0.0094673940221069,3.2986369967494205
OGNUSDT,2020-01-10-00:00,2020-01-11-00:00,first,"[0.30104923325262306, 0.17998385794995964, 0.13640032284100082, 0.10008071025020178, 0.07102502017756256, 0.06133979015334948, 0.043583535108958835, 0.053268765133171914, 0.053268765133171914]",0.0062603638257897,2.856786996603047
OGNUSDT,2020-01-10-00:00,2020-01-11-00:00,second,"[0.12429378531073447, 0.10653753026634383, 0.1089588377723971, 0.1016949152542373, 0.09685230024213075, 0.09765940274414851, 0.08797417271993543, 0.0903954802259887, 0.08232445520581114, 0.1033091202582728]",0.0048178563159068,3.312728770993984
OGNUSDT,2020-01-11-00:00,2020-01-12-00:00,first,"[0.30319148936170215, 0.1773049645390071, 0.15780141843971632, 0.09131205673758866, 0.08421985815602837, 0.051418439716312055, 0.044326241134751775, 0.04609929078014184, 0.044326241134751775]",0.0091725540268592,2.8241483666829597
OGNUSDT,2020-01-11-00:00,2020-01-12-00:00,second,"[0.13386524822695037, 0.1276595744680851, 0.09131205673758866, 0.10549645390070922, 0.10549645390070922, 0.09042553191489362, 0.08421985815602837, 0.09663120567375887, 0.08156028368794327, 0.08333333333333333]",0.0081179624795266,3.3009881352878874
OGNUSDT,2020-01-12-00:00,2020-01-13-00:00,first,"[0.2952755905511811, 0.18110236220472442, 0.14763779527559054, 0.08956692913385826, 0.07381889763779527, 0.05708661417322835, 0.03937007874015748, 0.05905511811023622, 0.05708661417322835]",0.0104315291314982,2.8592645296366217
OGNUSDT,2020-01-12-00:00,2020-01-13-00:00,second,"[0.12893700787401574, 0.1220472440944882, 0.08661417322834646, 0.09940944881889764, 0.08169291338582677, 0.08366141732283465, 0.09744094488188976, 0.10925196850393701, 0.08759842519685039, 0.10334645669291338]",0.0117517089100928,3.305262323066864
OGNUSDT,2020-01-13-00:00,2020-01-14-00:00,first,"[0.31393939393939396, 0.18787878787878787, 0.13575757575757577, 0.09090909090909091, 0.05454545454545454, 0.07393939393939394, 0.044848484848484846, 0.048484848484848485, 0.0496969696969697]",0.0103217443761934,2.8180288790419716
OGNUSDT,2020-01-13-00:00,2020-01-14-00:00,second,"[0.12484848484848485, 0.10909090909090909, 0.11757575757575757, 0.11757575757575757, 0.08, 0.08727272727272728, 0.09454545454545454, 0.08121212121212121, 0.08, 0.10787878787878788]",0.010244365350033,3.3022094941017324
OGNUSDT,2020-01-14-00:00,2020-01-15-00:00,first,"[0.30218068535825543, 0.17964693665628245, 0.1536863966770509, 0.09553478712357218, 0.07061266874350987, 0.06853582554517133, 0.04776739356178609, 0.040498442367601244, 0.04153686396677051]",0.0077873473951521,2.8281880920696074
OGNUSDT,2020-01-14-00:00,2020-01-15-00:00,second,"[0.14122533748701974, 0.11318795430944964, 0.10072689511941849, 0.102803738317757, 0.1059190031152648, 0.09968847352024922, 0.0976116303219107, 0.07061266874350987, 0.09034267912772585, 0.0778816199376947]",0.007435525508698,3.298053477947469
OGNUSDT,2020-01-15-00:00,2020-01-16-00:00,first,"[0.28773168578993824, 0.18181818181818182, 0.14210061782877317, 0.09355692850838482, 0.07855251544571933, 0.07590467784642542, 0.05913503971756399, 0.04501323918799647, 0.03618711385701677]",0.0073310633197029,2.870625864187528
OGNUSDT,2020-01-15-00:00,2020-01-16-00:00,second,"[0.14827890556045895, 0.10856134157105031, 0.09885260370697264, 0.10679611650485436, 0.07766990291262135, 0.08384819064430715, 0.0997352162400706, 0.07766990291262135, 0.10061782877316858, 0.09796999117387467]",0.0126894176009994,3.296637434992274
OGNUSDT,2020-01-16-00:00,2020-01-17-00:00,first,"[0.3410041841004184, 0.19246861924686193, 0.1202928870292887, 0.07740585774058577, 0.0700836820083682, 0.05753138075313807, 0.0596234309623431, 0.04497907949790795, 0.036610878661087864]",0.0128851183582831,2.7643778289366603
OGNUSDT,2020-01-16-00:00,2020-01-17-00:00,second,"[0.13493723849372385, 0.09518828451882845, 0.11297071129707113, 0.09623430962343096, 0.08891213389121339, 0.1087866108786611, 0.09100418410041841, 0.09728033472803348, 0.09205020920502092, 0.08263598326359832]",0.0085850116698668,3.3076621492203735
OGNUSDT,2020-01-17-00:00,2020-01-18-00:00,first,"[0.3034934497816594, 0.19323144104803494, 0.11899563318777293, 0.10043668122270742, 0.06986899563318777, 0.06877729257641921, 0.05240174672489083, 0.04475982532751092, 0.048034934497816595]",0.0060529447128067,2.846569453419817
OGNUSDT,2020-01-17-00:00,2020-01-18-00:00,second,"[0.13427947598253276, 0.11026200873362445, 0.12117903930131005, 0.0982532751091703, 0.11135371179039301, 0.08733624454148471, 0.09170305676855896, 0.09934497816593886, 0.07096069868995633, 0.07532751091703056]",0.0093992492201205,3.2962962691479127
OGNUSDT,2020-01-18-00:00,2020-01-19-00:00,first,"[0.3242009132420091, 0.197869101978691, 0.1461187214611872, 0.0867579908675799, 0.0730593607305936, 0.0639269406392694, 0.0441400304414003, 0.0273972602739726, 0.0365296803652968]",0.0146952767453166,2.7454925947641615
OGNUSDT,2020-01-18-00:00,2020-01-19-00:00,second,"[0.1552511415525114, 0.1111111111111111, 0.0989345509893455, 0.0974124809741248, 0.1004566210045662, 0.091324200913242, 0.0791476407914764, 0.0989345509893455, 0.0654490106544901, 0.1019786910197869]",0.0122568384748908,3.2884009050051315
OGNUSDT,2020-01-19-00:00,2020-01-20-00:00,first,"[0.3398328690807799, 0.1671309192200557, 0.14345403899721448, 0.09192200557103064, 0.06128133704735376, 0.05988857938718663, 0.03899721448467967, 0.04735376044568245, 0.05013927576601671]",0.013711102446901,2.7764086993381283
OGNUSDT,2020-01-19-00:00,2020-01-20-00:00,second,"[0.16991643454038996, 0.11002785515320335, 0.12674094707520892, 0.08774373259052924, 0.07938718662952646, 0.08356545961002786, 0.07381615598885793, 0.09331476323119778, 0.08495821727019498, 0.0905292479108635]",0.015330256765595,3.272726672316301
OGNUSDT,2020-01-20-00:00,2020-01-21-00:00,first,"[0.30357142857142855, 0.19196428571428573, 0.15848214285714285, 0.09151785714285714, 0.07366071428571429, 0.060267857142857144, 0.03794642857142857, 0.04241071428571429, 0.04017857142857143]",0.0115461924033099,2.796309157395799
OGNUSDT,2020-01-20-00:00,2020-01-21-00:00,second,"[0.14732142857142858, 0.14732142857142858, 0.09821428571428571, 0.10491071428571429, 0.10267857142857142, 0.06473214285714286, 0.078125, 0.08482142857142858, 0.09151785714285714, 0.08035714285714286]",0.0135945623836325,3.2742543122658123
OGNUSDT,2020-01-21-00:00,2020-01-22-00:00,first,"[0.3426724137931034, 0.1724137931034483, 0.12931034482758622, 0.09698275862068965, 0.0603448275862069, 0.06465517241379311, 0.05172413793103448, 0.036637931034482756, 0.04525862068965517]",0.0102415048802314,2.7725785114307318
OGNUSDT,2020-01-21-00:00,2020-01-22-00:00,second,"[0.12931034482758622, 0.1336206896551724, 0.08620689655172414, 0.09698275862068965, 0.10775862068965517, 0.08836206896551724, 0.09267241379310345, 0.08189655172413793, 0.07543103448275862, 0.10775862068965517]",0.011914669906472,3.297841109709983
OGNUSDT,2020-01-22-00:00,2020-01-23-00:00,first,"[0.2853236098450319, 0.1959890610756609, 0.13309024612579762, 0.09206927985414767, 0.0902461257976299, 0.06927985414767548, 0.05560619872379216, 0.04740200546946217, 0.03099361896080219]",0.0092105012898988,2.8567302324151935
