symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ZECUSDT,2024-01-01,2024-01-02-00:00,first,"[0.29572529782761037, 0.18920812894183603, 0.14225648213034336, 0.08759635599159075, 0.08479327259985985, 0.050455501051156273, 0.051156271899089, 0.046250875963559916, 0.05255781359495445]",0.0095215477766027,2.8493400792608576
ZECUSDT,2024-01-01,2024-01-02-00:00,second,"[0.1289418360196216, 0.10441485634197617, 0.10161177295024527, 0.11772950245269796, 0.08549404344779257, 0.08409250175192712, 0.10161177295024527, 0.09950946040644709, 0.08829712683952348, 0.08829712683952348]",0.008816773198205,3.308489359530527
ZECUSDT,2024-01-02,2024-01-03-00:00,first,"[0.29585382993675335, 0.17006324666198172, 0.13492621222768797, 0.09276177090653549, 0.08784258608573436, 0.06535488404778636, 0.0646521433591005, 0.044975404075895994, 0.04356992269852424]",0.0056242248975358,2.8816966312473387
ZECUSDT,2024-01-02,2024-01-03-00:00,second,"[0.13000702740688685, 0.09768095572733661, 0.1061138439915671, 0.11314125087842586, 0.09838369641602249, 0.09908643710470837, 0.08573436401967674, 0.09065354884047787, 0.08573436401967674, 0.09346451159522136]",0.0060634739736524,3.3104246087782374
ZECUSDT,2024-01-03,2024-01-04-00:00,first,"[0.30903790087463556, 0.18440233236151604, 0.12026239067055394, 0.11370262390670553, 0.06851311953352769, 0.0619533527696793, 0.04446064139941691, 0.048104956268221574, 0.04956268221574344]",0.0082037291267125,2.836143772784367
ZECUSDT,2024-01-03,2024-01-04-00:00,second,"[0.12463556851311954, 0.11224489795918367, 0.08892128279883382, 0.11078717201166181, 0.09839650145772595, 0.10204081632653061, 0.09183673469387756, 0.08819241982507289, 0.09110787172011661, 0.09183673469387756]",0.0054309385997179,3.3124273022313235
ZECUSDT,2024-01-04,2024-01-05-00:00,first,"[0.29481792717086835, 0.18487394957983194, 0.11554621848739496, 0.10014005602240897, 0.08473389355742297, 0.06722689075630252, 0.055322128851540614, 0.05392156862745098, 0.04341736694677871]",0.0045810063009023,2.880195632450392
ZECUSDT,2024-01-04,2024-01-05-00:00,second,"[0.10434173669467788, 0.11834733893557423, 0.09803921568627451, 0.13165266106442577, 0.09593837535014006, 0.09453781512605042, 0.1057422969187675, 0.08543417366946779, 0.08123249299719888, 0.08473389355742297]",0.008829579499443,3.306233429504254
ZECUSDT,2024-01-05,2024-01-06-00:00,first,"[0.2944055944055944, 0.17202797202797201, 0.11538461538461539, 0.08321678321678322, 0.0958041958041958, 0.07342657342657342, 0.056643356643356645, 0.05874125874125874, 0.05034965034965035]",0.0078408065856408,2.906925228742631
ZECUSDT,2024-01-05,2024-01-06-00:00,second,"[0.1076923076923077, 0.11958041958041958, 0.11188811188811189, 0.0958041958041958, 0.10909090909090909, 0.10979020979020979, 0.0986013986013986, 0.07972027972027972, 0.09160839160839161, 0.07622377622377623]",0.0079835221429152,3.3083786565023456
ZECUSDT,2024-01-06,2024-01-07-00:00,first,"[0.3032440056417489, 0.19605077574047955, 0.1318758815232722, 0.09590973201692525, 0.06629055007052186, 0.057122708039492244, 0.06064880112834979, 0.045839210155148094, 0.04301833568406206]",0.0070594501618225,2.832477070706684
ZECUSDT,2024-01-06,2024-01-07-00:00,second,"[0.12411847672778561, 0.11212976022566996, 0.11071932299012693, 0.09943582510578279, 0.10578279266572638, 0.0930888575458392, 0.08956276445698166, 0.09943582510578279, 0.08885754583921016, 0.0768688293370945]",0.0044365901220397,3.3096753588232546
