symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ASRUSDT,2022-01-01-00:00,2022-01-02-00:00,first,"[0.3442622950819672, 0.1885245901639344, 0.1092896174863388, 0.09562841530054644, 0.07377049180327869, 0.05191256830601093, 0.04234972677595628, 0.05191256830601093, 0.04234972677595628]",0.0125390391966375,2.7632113657197954
ASRUSDT,2022-01-01-00:00,2022-01-02-00:00,second,"[0.14754098360655737, 0.12431693989071038, 0.11612021857923498, 0.11202185792349727, 0.0942622950819672, 0.09562841530054644, 0.07650273224043716, 0.0778688524590164, 0.06557377049180328, 0.09016393442622951]",0.0116892302255264,3.2819737815888868
ASRUSDT,2022-01-02-00:00,2022-01-03-00:00,first,"[0.35093167701863354, 0.16666666666666666, 0.09937888198757763, 0.12422360248447205, 0.08281573498964803, 0.049689440993788817, 0.052795031055900624, 0.035196687370600416, 0.038302277432712216]",0.0179666132829091,2.752884041238609
ASRUSDT,2022-01-02-00:00,2022-01-03-00:00,second,"[0.11697722567287784, 0.13043478260869565, 0.13457556935817805, 0.08385093167701864, 0.09834368530020704, 0.10248447204968944, 0.07039337474120083, 0.08385093167701864, 0.09006211180124224, 0.08902691511387163]",0.0109255214159472,3.293347366721407
ASRUSDT,2022-01-03-00:00,2022-01-04-00:00,first,"[0.4016260162601626, 0.15772357723577235, 0.08617886178861789, 0.0991869918699187, 0.0943089430894309, 0.04065040650406504, 0.05040650406504065, 0.02926829268292683, 0.04065040650406504]",0.0262223769999666,2.6475524271683217
ASRUSDT,2022-01-03-00:00,2022-01-04-00:00,second,"[0.12520325203252033, 0.11869918699186992, 0.11382113821138211, 0.0975609756097561, 0.0959349593495935, 0.08780487804878048, 0.0991869918699187, 0.06341463414634146, 0.08130081300813008, 0.11707317073170732]",0.0106441561973448,3.2969044829857412
ASRUSDT,2022-01-04-00:00,2022-01-05-00:00,first,"[0.32653061224489793, 0.22448979591836735, 0.09090909090909091, 0.09833024118738404, 0.061224489795918366, 0.0575139146567718, 0.05194805194805195, 0.04452690166975881, 0.04452690166975881]",0.0167376403606512,2.759721773593071
ASRUSDT,2022-01-04-00:00,2022-01-05-00:00,second,"[0.16326530612244897, 0.1261595547309833, 0.1280148423005566, 0.08348794063079777, 0.08719851576994433, 0.09090909090909091, 0.09090909090909091, 0.061224489795918366, 0.06679035250463822, 0.10204081632653061]",0.0184184592825763,3.261779007308383
ASRUSDT,2022-01-05-00:00,2022-01-06-00:00,first,"[0.3379721669980119, 0.20278330019880716, 0.11133200795228629, 0.07952286282306163, 0.06560636182902585, 0.0636182902584493, 0.04970178926441352, 0.041749502982107355, 0.04771371769383698]",0.0145756532467374,2.7654443710498993
ASRUSDT,2022-01-05-00:00,2022-01-06-00:00,second,"[0.15308151093439365, 0.1073558648111332, 0.09542743538767395, 0.08548707753479125, 0.09940357852882704, 0.12127236580516898, 0.07952286282306163, 0.09343936381709742, 0.07554671968190854, 0.08946322067594434]",0.013110123101221,3.290161518260303
ASRUSDT,2022-01-06-00:00,2022-01-07-00:00,first,"[0.3293963254593176, 0.15616797900262466, 0.13123359580052493, 0.10498687664041995, 0.07874015748031496, 0.05380577427821522, 0.05380577427821522, 0.03674540682414698, 0.05511811023622047]",0.0115774827323267,2.819977132200323
ASRUSDT,2022-01-06-00:00,2022-01-07-00:00,second,"[0.11811023622047244, 0.10761154855643044, 0.1062992125984252, 0.1010498687664042, 0.10761154855643044, 0.10236220472440945, 0.08267716535433071, 0.08136482939632546, 0.08792650918635171, 0.10498687664041995]",0.0066668590802311,3.3122979432130135
ASRUSDT,2022-01-07-00:00,2022-01-08-00:00,first,"[0.34554973821989526, 0.1762652705061082, 0.1343804537521815, 0.10645724258289703, 0.055846422338568937, 0.05235602094240838, 0.041884816753926704, 0.03664921465968586, 0.0506108202443281]",0.0152302289797147,2.743935055840405
ASRUSDT,2022-01-07-00:00,2022-01-08-00:00,second,"[0.16230366492146597, 0.13089005235602094, 0.1169284467713787, 0.08202443280977312, 0.08376963350785341, 0.09947643979057591, 0.07155322862129145, 0.07155322862129145, 0.07678883071553229, 0.10471204188481675]",0.0180490373708596,3.2683294697918117
ASRUSDT,2022-01-08-00:00,2022-01-09-00:00,first,"[0.3464285714285714, 0.17142857142857143, 0.1357142857142857, 0.09464285714285714, 0.05892857142857143, 0.039285714285714285, 0.05357142857142857, 0.02857142857142857, 0.07142857142857142]",0.0181878234974382,2.7478221066240818
ASRUSDT,2022-01-08-00:00,2022-01-09-00:00,second,"[0.14464285714285716, 0.12857142857142856, 0.11607142857142858, 0.0875, 0.08571428571428572, 0.10714285714285714, 0.08571428571428572, 0.07678571428571429, 0.07678571428571429, 0.09107142857142857]",0.0126869082260079,3.288462592486637
ASRUSDT,2022-01-09-00:00,2022-01-10-00:00,first,"[0.3413078149920255, 0.1674641148325359, 0.13078149920255183, 0.08133971291866028, 0.0861244019138756, 0.05741626794258373, 0.05263157894736842, 0.03987240829346093, 0.0430622009569378]",0.0117919417307882,2.784973515299043
ASRUSDT,2022-01-09-00:00,2022-01-10-00:00,second,"[0.12121212121212122, 0.12440191387559808, 0.09250398724082935, 0.09250398724082935, 0.10207336523125997, 0.08931419457735247, 0.09409888357256778, 0.07655502392344497, 0.09728867623604466, 0.11004784688995216]",0.0098606182651874,3.3078577728036564
ASRUSDT,2022-01-10-00:00,2022-01-11-00:00,first,"[0.3436055469953775, 0.14946070878274267, 0.15870570107858242, 0.08628659476117104, 0.09244992295839753, 0.046224961479198766, 0.029275808936825885, 0.04160246533127889, 0.05238828967642527]",0.0213871092951559,2.751319461788666
ASRUSDT,2022-01-10-00:00,2022-01-11-00:00,second,"[0.15716486902927582, 0.10015408320493066, 0.09553158705701079, 0.09244992295839753, 0.11710323574730354, 0.07858243451463791, 0.10323574730354391, 0.07858243451463791, 0.07704160246533127, 0.10015408320493066]",0.015859675315973,3.28796146506
ASRUSDT,2022-01-11-00:00,2022-01-12-00:00,first,"[0.3206751054852321, 0.18706047819971872, 0.1209563994374121, 0.09845288326300984, 0.08016877637130802, 0.057665260196905765, 0.057665260196905765, 0.035161744022503515, 0.04219409282700422]",0.0073654954542055,2.805552184161688
ASRUSDT,2022-01-11-00:00,2022-01-12-00:00,second,"[0.14345991561181434, 0.12939521800281295, 0.11814345991561181, 0.0970464135021097, 0.10267229254571027, 0.10689170182841069, 0.07735583684950774, 0.06469760900140648, 0.07032348804500703, 0.090014064697609]",0.0132405982928858,3.279403269449772
ASRUSDT,2022-01-12-00:00,2022-01-13-00:00,first,"[0.3883333333333333, 0.16833333333333333, 0.09666666666666666, 0.09333333333333334, 0.06166666666666667, 0.03666666666666667, 0.055, 0.03833333333333333, 0.06166666666666667]",0.0229361141722985,2.6889462231463703
ASRUSDT,2022-01-12-00:00,2022-01-13-00:00,second,"[0.12166666666666667, 0.14333333333333334, 0.09, 0.10833333333333334, 0.08166666666666667, 0.11, 0.07, 0.07666666666666666, 0.09833333333333333, 0.1]",0.0149046185984787,3.290760113346227
ASRUSDT,2022-01-13-00:00,2022-01-14-00:00,first,"[0.34341637010676157, 0.19572953736654805, 0.1512455516014235, 0.06227758007117438, 0.06583629893238434, 0.0498220640569395, 0.05516014234875445, 0.042704626334519574, 0.033807829181494664]",0.0196292150548379,2.7157387177550123
ASRUSDT,2022-01-13-00:00,2022-01-14-00:00,second,"[0.12811387900355872, 0.14768683274021352, 0.08185053380782918, 0.09252669039145907, 0.10854092526690391, 0.09430604982206406, 0.0693950177935943, 0.08718861209964412, 0.08540925266903915, 0.10498220640569395]",0.0140897834173322,3.2881096676319173
ASRUSDT,2022-01-14-00:00,2022-01-15-00:00,first,"[0.375, 0.1622340425531915, 0.14893617021276595, 0.08244680851063829, 0.06648936170212766, 0.03723404255319149, 0.0425531914893617, 0.04521276595744681, 0.0398936170212766]",0.0217705417645521,2.6802982122485335
ASRUSDT,2022-01-14-00:00,2022-01-15-00:00,second,"[0.13031914893617022, 0.10106382978723404, 0.09308510638297872, 0.10904255319148937, 0.10106382978723404, 0.11170212765957446, 0.06914893617021277, 0.10638297872340426, 0.07446808510638298, 0.10372340425531915]",0.0131780868656307,3.300731607680605
ASRUSDT,2022-01-15-00:00,2022-01-16-00:00,first,"[0.3631123919308357, 0.1930835734870317, 0.10086455331412104, 0.09798270893371758, 0.08069164265129683, 0.03170028818443804, 0.043227665706051875, 0.040345821325648415, 0.04899135446685879]",0.0188648149186048,2.697821333604028
