symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
CHRUSDT,2022-01-01-00:00,2022-01-02-00:00,first,"[0.3018736988202637, 0.1873698820263706, 0.12074947952810548, 0.09090909090909091, 0.06800832755031229, 0.0916030534351145, 0.055517002081887576, 0.04371963913948647, 0.040249826509368494]",0.0081730199847718,2.8522596835886977
CHRUSDT,2022-01-01-00:00,2022-01-02-00:00,second,"[0.1193615544760583, 0.1304649548924358, 0.11519777931991672, 0.10825815405968078, 0.09090909090909091, 0.08882720333102012, 0.08952116585704371, 0.09437890353920889, 0.08188757807078417, 0.08119361554476058]",0.0061813279795229,3.3033572147290404
CHRUSDT,2022-01-02-00:00,2022-01-03-00:00,first,"[0.3011797362942401, 0.18945176960444135, 0.14781401804302569, 0.09507286606523248, 0.08119361554476058, 0.05829285218598196, 0.05759888965995836, 0.031922276197085354, 0.03747397640527411]",0.0085328671357512,2.813102460266602
CHRUSDT,2022-01-02-00:00,2022-01-03-00:00,second,"[0.1179736294240111, 0.10756419153365718, 0.09437890353920889, 0.10825815405968078, 0.10131852879944483, 0.1040943789035392, 0.09299097848716169, 0.08743927827897294, 0.09646079111727966, 0.08952116585704371]",0.0051541229599146,3.316015639866048
CHRUSDT,2022-01-03-00:00,2022-01-04-00:00,first,"[0.31875, 0.18819444444444444, 0.12152777777777778, 0.08194444444444444, 0.08194444444444444, 0.05277777777777778, 0.06736111111111111, 0.04375, 0.04375]",0.0093234560566724,2.8214793399902707
CHRUSDT,2022-01-03-00:00,2022-01-04-00:00,second,"[0.10625, 0.11597222222222223, 0.11319444444444444, 0.10694444444444444, 0.10486111111111111, 0.0875, 0.10138888888888889, 0.09027777777777778, 0.08194444444444444, 0.09166666666666666]",0.0056612650050891,3.3132716629608594
CHRUSDT,2022-01-04-00:00,2022-01-05-00:00,first,"[0.3039555863983345, 0.17557251908396945, 0.1311589174184594, 0.09507286606523248, 0.07217210270645386, 0.06939625260235947, 0.06315058986814712, 0.04996530187369882, 0.0395558639833449]",0.0037230838681598,2.862807213596112
CHRUSDT,2022-01-04-00:00,2022-01-05-00:00,second,"[0.1179736294240111, 0.10478834142956281, 0.10478834142956281, 0.09854267869535045, 0.09715475364330327, 0.11034004163775156, 0.09923664122137404, 0.0916030534351145, 0.08882720333102012, 0.08674531575294935]",0.0047561777773387,3.3157890725348156
CHRUSDT,2022-01-05-00:00,2022-01-06-00:00,first,"[0.3053435114503817, 0.1991672449687717, 0.1450381679389313, 0.08396946564885496, 0.07494795281054822, 0.055517002081887576, 0.05343511450381679, 0.04510756419153366, 0.03747397640527411]",0.010553096228916,2.807088092316503
CHRUSDT,2022-01-05-00:00,2022-01-06-00:00,second,"[0.11380985426786953, 0.10062456627342123, 0.1040943789035392, 0.11380985426786953, 0.10131852879944483, 0.1054823039555864, 0.10270645385149202, 0.08674531575294935, 0.08535739070090215, 0.08605135322692574]",0.0059362815919457,3.3144661350104654
CHRUSDT,2022-01-06-00:00,2022-01-07-00:00,first,"[0.29909784871616935, 0.1970853573907009, 0.14018043025676613, 0.09923664122137404, 0.07147814018043026, 0.05759888965995836, 0.049271339347675226, 0.05065926439972242, 0.03539208882720333]",0.0085694267104007,2.8225667992814865
CHRUSDT,2022-01-06-00:00,2022-01-07-00:00,second,"[0.11311589174184594, 0.12213740458015267, 0.08952116585704371, 0.09784871616932686, 0.10617626648161, 0.1040943789035392, 0.08952116585704371, 0.0922970159611381, 0.09993060374739764, 0.08535739070090215]",0.0072396247982248,3.3133055442554595
CHRUSDT,2022-01-07-00:00,2022-01-08-00:00,first,"[0.3102012491325468, 0.16585704371963914, 0.13879250520471895, 0.08466342817487855, 0.08258154059680778, 0.07286606523247745, 0.04718945176960444, 0.054823039555863984, 0.04302567661346287]",0.0080033576276698,2.8560327301972688
CHRUSDT,2022-01-07-00:00,2022-01-08-00:00,second,"[0.1311589174184594, 0.11519777931991672, 0.10340041637751561, 0.11450381679389313, 0.10201249132546843, 0.10687022900763359, 0.08119361554476058, 0.08674531575294935, 0.08049965301873699, 0.0784177654406662]",0.0069717727120145,3.3014470375234715
CHRUSDT,2022-01-08-00:00,2022-01-09-00:00,first,"[0.28313671061762663, 0.17002081887578072, 0.12421929215822346, 0.09437890353920889, 0.08258154059680778, 0.0777238029146426, 0.05968077723802915, 0.0527411519777932, 0.055517002081887576]",0.0060476175878175,2.9269376335394064
CHRUSDT,2022-01-08-00:00,2022-01-09-00:00,second,"[0.10964607911172797, 0.131852879944483, 0.10270645385149202, 0.10270645385149202, 0.10131852879944483, 0.10617626648161, 0.08605135322692574, 0.0922970159611381, 0.09437890353920889, 0.07286606523247745]",0.0074452020799923,3.3062297223786965
CHRUSDT,2022-01-09-00:00,2022-01-10-00:00,first,"[0.3421235253296322, 0.16585704371963914, 0.11658570437196392, 0.09715475364330327, 0.06870229007633588, 0.07078417765440666, 0.055517002081887576, 0.05135322692574601, 0.031922276197085354]",0.0100836361784568,2.7935824031477083
CHRUSDT,2022-01-09-00:00,2022-01-10-00:00,second,"[0.11658570437196392, 0.1179736294240111, 0.11242192921582235, 0.11380985426786953, 0.10131852879944483, 0.09715475364330327, 0.08605135322692574, 0.08813324080499653, 0.08396946564885496, 0.08258154059680778]",0.003730418927305,3.3085637897683617
CHRUSDT,2022-01-10-00:00,2022-01-11-00:00,first,"[0.3289382373351839, 0.17002081887578072, 0.12560721721027066, 0.07425399028452463, 0.07633587786259542, 0.056210964607911175, 0.06384455239417071, 0.0527411519777932, 0.0520471894517696]",0.0094017013580363,2.83275838170986
CHRUSDT,2022-01-10-00:00,2022-01-11-00:00,second,"[0.12283136710617627, 0.1193615544760583, 0.10270645385149202, 0.09576682859125607, 0.09923664122137404, 0.09784871616932686, 0.09993060374739764, 0.0922970159611381, 0.0784177654406662, 0.0916030534351145]",0.004980325195624,3.3110645120504962
CHRUSDT,2022-01-11-00:00,2022-01-12-00:00,first,"[0.30416666666666664, 0.16805555555555557, 0.14166666666666666, 0.09375, 0.08402777777777778, 0.0625, 0.05486111111111111, 0.049305555555555554, 0.041666666666666664]",0.00549136284249,2.8593809424428382
CHRUSDT,2022-01-11-00:00,2022-01-12-00:00,second,"[0.11944444444444445, 0.09791666666666667, 0.10833333333333334, 0.10694444444444444, 0.10208333333333333, 0.09861111111111111, 0.08472222222222223, 0.10347222222222222, 0.09513888888888888, 0.08333333333333333]",0.0054025917701347,3.314296562206567
CHRUSDT,2022-01-12-00:00,2022-01-13-00:00,first,"[0.32685634975711314, 0.16377515614156835, 0.1179736294240111, 0.09021512838306732, 0.08258154059680778, 0.0659264399722415, 0.048577376821651634, 0.055517002081887576, 0.048577376821651634]",0.008091336563955,2.8429134601175
CHRUSDT,2022-01-12-00:00,2022-01-13-00:00,second,"[0.10895211658570438, 0.11311589174184594, 0.12699514226231784, 0.10062456627342123, 0.09993060374739764, 0.0916030534351145, 0.09090909090909091, 0.08327550312283137, 0.10270645385149202, 0.08188757807078417]",0.006662008705888,3.3094795183364307
CHRUSDT,2022-01-13-00:00,2022-01-14-00:00,first,"[0.3039555863983345, 0.16377515614156835, 0.12352532963219987, 0.0922970159611381, 0.08952116585704371, 0.06800832755031229, 0.0659264399722415, 0.04510756419153366, 0.047883414295628035]",0.0054194367095508,2.8853168927512503
CHRUSDT,2022-01-13-00:00,2022-01-14-00:00,second,"[0.11727966689798751, 0.11172796668979876, 0.10964607911172797, 0.1179736294240111, 0.08674531575294935, 0.09090909090909091, 0.09993060374739764, 0.09576682859125607, 0.07633587786259542, 0.0936849410131853]",0.0070253891081557,3.3093107217844944
CHRUSDT,2022-01-14-00:00,2022-01-15-00:00,first,"[0.32616238723108953, 0.17765440666204024, 0.11242192921582235, 0.08119361554476058, 0.07425399028452463, 0.061068702290076333, 0.06315058986814712, 0.05759888965995836, 0.046495489243580844]",0.0086752328798689,2.838181581764151
