symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
LSKUSDT,2021-01-01-00:00,2021-01-02-00:00,first,"[0.3110236220472441, 0.1279527559055118, 0.2125984251968504, 0.10039370078740158, 0.08464566929133858, 0.045275590551181105, 0.047244094488188976, 0.03937007874015748, 0.031496062992125984]",0.0236892057766382,2.764035513367463
LSKUSDT,2021-01-01-00:00,2021-01-02-00:00,second,"[0.1279527559055118, 0.1220472440944882, 0.08661417322834646, 0.12401574803149606, 0.11811023622047244, 0.0688976377952756, 0.08070866141732283, 0.08661417322834646, 0.11023622047244094, 0.07480314960629922]",0.0153170033285143,3.2882047824878726
LSKUSDT,2021-01-02-00:00,2021-01-03-00:00,first,"[0.33634719710669075, 0.15732368896925858, 0.15732368896925858, 0.07414104882459313, 0.0705244122965642, 0.0705244122965642, 0.06148282097649186, 0.03616636528028933, 0.03616636528028933]",0.0166157001040942,2.779982735691533
LSKUSDT,2021-01-02-00:00,2021-01-03-00:00,second,"[0.12296564195298372, 0.10669077757685352, 0.08318264014466546, 0.13562386980108498, 0.11030741410488246, 0.09403254972875226, 0.0705244122965642, 0.07956600361663653, 0.09764918625678119, 0.09945750452079566]",0.0138238359809109,3.2963962580571113
LSKUSDT,2021-01-03-00:00,2021-01-04-00:00,first,"[0.35064935064935066, 0.1641086186540732, 0.12750885478158205, 0.09327036599763873, 0.09090909090909091, 0.04604486422668241, 0.049586776859504134, 0.04014167650531287, 0.03778040141676505]",0.014203848448915,2.754746570365971
LSKUSDT,2021-01-03-00:00,2021-01-04-00:00,second,"[0.11216056670602124, 0.11452184179456906, 0.10035419126328217, 0.09917355371900827, 0.09917355371900827, 0.10861865407319952, 0.10153482880755609, 0.08028335301062574, 0.09681227863046045, 0.08736717827626919]",0.0064690601905171,3.3146146875683247
LSKUSDT,2021-01-04-00:00,2021-01-05-00:00,first,"[0.33497133497133497, 0.16216216216216217, 0.12530712530712532, 0.08845208845208845, 0.08026208026208026, 0.0687960687960688, 0.055692055692055695, 0.049959049959049956, 0.0343980343980344]",0.00827552030802,2.8120921711427336
LSKUSDT,2021-01-04-00:00,2021-01-05-00:00,second,"[0.12776412776412777, 0.11466011466011466, 0.10401310401310401, 0.10892710892710893, 0.10319410319410319, 0.08353808353808354, 0.09336609336609336, 0.08763308763308764, 0.08026208026208026, 0.09664209664209664]",0.0055966129253765,3.307948699888057
LSKUSDT,2021-01-05-00:00,2021-01-06-00:00,first,"[0.33475026567481403, 0.18703506907545164, 0.12114771519659936, 0.1073326248671626, 0.061636556854410204, 0.06376195536663125, 0.044633368756641874, 0.03719447396386823, 0.04250797024442083]",0.012241487086602,2.766897876975024
LSKUSDT,2021-01-05-00:00,2021-01-06-00:00,second,"[0.1275239107332625, 0.11158342189160468, 0.09989373007438895, 0.10945802337938364, 0.10095642933049948, 0.08395324123273114, 0.0924548352816153, 0.09564293304994687, 0.08076514346439957, 0.09776833156216791]",0.006336651126509,3.3099195919310516
LSKUSDT,2021-01-06-00:00,2021-01-07-00:00,first,"[0.32457027300303337, 0.1678463094034378, 0.11830131445904954, 0.11830131445904954, 0.06268958543983821, 0.07381193124368049, 0.04853387259858443, 0.03842264914054601, 0.047522750252780584]",0.0119026622433817,2.817078236574163
LSKUSDT,2021-01-06-00:00,2021-01-07-00:00,second,"[0.14762386248736098, 0.10414560161779575, 0.08493427704752275, 0.11526794742163801, 0.09706774519716886, 0.10920121334681497, 0.08493427704752275, 0.10313447927199192, 0.07684529828109202, 0.07684529828109202]",0.0128378897256079,3.293366300480679
LSKUSDT,2021-01-07-00:00,2021-01-08-00:00,first,"[0.3218390804597701, 0.1748768472906404, 0.11904761904761904, 0.08045977011494253, 0.08045977011494253, 0.07142857142857142, 0.06568144499178982, 0.03940886699507389, 0.046798029556650245]",0.007844317260254,2.8374309153842923
LSKUSDT,2021-01-07-00:00,2021-01-08-00:00,second,"[0.13957307060755336, 0.10755336617405582, 0.09523809523809523, 0.10673234811165845, 0.10262725779967159, 0.10262725779967159, 0.09113300492610837, 0.08949096880131363, 0.07635467980295567, 0.08866995073891626]",0.0068476532204073,3.304127295680485
LSKUSDT,2021-01-08-00:00,2021-01-09-00:00,first,"[0.31140716069941715, 0.17069109075770192, 0.13738551207327226, 0.08409658617818484, 0.08076602830974189, 0.06244796003330558, 0.05661948376353039, 0.049125728559533725, 0.04746044962531224]",0.0058025959615916,2.853163179328292
LSKUSDT,2021-01-08-00:00,2021-01-09-00:00,second,"[0.09408825978351373, 0.12822647793505412, 0.11074104912572856, 0.10324729392173189, 0.09242298084929226, 0.10074937552039967, 0.08159866777685262, 0.09492089925062448, 0.09991673605328892, 0.09408825978351373]",0.009266912909413,3.3120362642912644
LSKUSDT,2021-01-09-00:00,2021-01-10-00:00,first,"[0.30246389124893797, 0.18096856414613424, 0.12829226847918437, 0.10365335598980459, 0.08071367884451996, 0.06032285471537808, 0.056074766355140186, 0.05012744265080714, 0.037383177570093455]",0.0039867796277638,2.851372188182692
LSKUSDT,2021-01-09-00:00,2021-01-10-00:00,second,"[0.11639762107051826, 0.11299915038232795, 0.09855564995751911, 0.10960067969413764, 0.10450297366185217, 0.10365335598980459, 0.08666100254885302, 0.09345794392523364, 0.08836023789294817, 0.08581138487680544]",0.0042304365667526,3.3138141922734
LSKUSDT,2021-01-10-00:00,2021-01-11-00:00,first,"[0.3049155145929339, 0.18049155145929338, 0.11443932411674347, 0.10061443932411675, 0.07757296466973887, 0.07450076804915515, 0.052995391705069124, 0.04685099846390169, 0.047619047619047616]",0.0047568384723421,2.865400568601968
LSKUSDT,2021-01-10-00:00,2021-01-11-00:00,second,"[0.15514592933947774, 0.09984639016897082, 0.09600614439324116, 0.09754224270353302, 0.08755760368663594, 0.10215053763440861, 0.09831029185867896, 0.0837173579109063, 0.07603686635944701, 0.10368663594470046]",0.0129129605074668,3.295159621077114
LSKUSDT,2021-01-11-00:00,2021-01-12-00:00,first,"[0.30427892234548337, 0.18066561014263074, 0.1133122028526149, 0.10697305863708399, 0.08557844690966719, 0.06893819334389857, 0.061806656101426306, 0.042789223454833596, 0.03565768621236133]",0.0066865860214547,2.853018499132257
LSKUSDT,2021-01-11-00:00,2021-01-12-00:00,second,"[0.11568938193343899, 0.11727416798732171, 0.10221870047543581, 0.12123613312202852, 0.0919175911251981, 0.10221870047543581, 0.08161648177496038, 0.08874801901743265, 0.0832012678288431, 0.09587955625990491]",0.007342861269232,3.308764192121192
LSKUSDT,2021-01-12-00:00,2021-01-13-00:00,first,"[0.325354609929078, 0.16666666666666666, 0.13652482269503546, 0.1099290780141844, 0.08333333333333333, 0.057624113475177305, 0.054078014184397165, 0.03900709219858156, 0.0274822695035461]",0.0117959672541486,2.7889041954823397
LSKUSDT,2021-01-12-00:00,2021-01-13-00:00,second,"[0.1196808510638298, 0.10372340425531915, 0.10283687943262411, 0.12588652482269502, 0.10283687943262411, 0.11613475177304965, 0.08067375886524823, 0.08687943262411348, 0.08067375886524823, 0.08067375886524823]",0.0087089480388912,3.302879034729182
LSKUSDT,2021-01-13-00:00,2021-01-14-00:00,first,"[0.34641255605381166, 0.17488789237668162, 0.14349775784753363, 0.10650224215246637, 0.05941704035874439, 0.053811659192825115, 0.04484304932735426, 0.043721973094170405, 0.026905829596412557]",0.0163408468385497,2.723269856163245
LSKUSDT,2021-01-13-00:00,2021-01-14-00:00,second,"[0.1266816143497758, 0.08968609865470852, 0.10538116591928251, 0.10762331838565023, 0.10650224215246637, 0.09080717488789238, 0.0952914798206278, 0.0795964125560538, 0.10201793721973094, 0.09641255605381166]",0.0088539950934106,3.3113430482219557
LSKUSDT,2021-01-14-00:00,2021-01-15-00:00,first,"[0.3463114754098361, 0.16393442622950818, 0.1260245901639344, 0.0860655737704918, 0.07172131147540983, 0.06557377049180328, 0.05942622950819672, 0.0389344262295082, 0.042008196721311473]",0.0106225812959998,2.785467584571858
LSKUSDT,2021-01-14-00:00,2021-01-15-00:00,second,"[0.1526639344262295, 0.0942622950819672, 0.11885245901639344, 0.11065573770491803, 0.10758196721311475, 0.09528688524590163, 0.08299180327868852, 0.07991803278688525, 0.07684426229508197, 0.08094262295081968]",0.0113231136519455,3.28835587428354
LSKUSDT,2021-01-15-00:00,2021-01-16-00:00,first,"[0.3280475718533201, 0.20812685827552033, 0.1159563924677899, 0.08622398414271557, 0.07433102081268583, 0.05550049554013875, 0.04558969276511397, 0.03964321110009911, 0.04658077304261645]",0.0133058795313598,2.768147749573597
LSKUSDT,2021-01-15-00:00,2021-01-16-00:00,second,"[0.1337958374628345, 0.10604558969276512, 0.1199207135777998, 0.12487611496531219, 0.09217046580773043, 0.09514370664023786, 0.0802775024777007, 0.07730426164519326, 0.07135777998017839, 0.09910802775024777]",0.0119746027730306,3.2931461309532284
LSKUSDT,2021-01-16-00:00,2021-01-17-00:00,first,"[0.3356828193832599, 0.14713656387665197, 0.1198237885462555, 0.09515418502202644, 0.0828193832599119, 0.06519823788546256, 0.06343612334801763, 0.04052863436123348, 0.050220264317180616]",0.0107106469018671,2.836154931142222
LSKUSDT,2021-01-16-00:00,2021-01-17-00:00,second,"[0.13656387665198239, 0.10044052863436123, 0.1145374449339207, 0.0986784140969163, 0.10748898678414097, 0.09162995594713656, 0.08634361233480176, 0.07841409691629955, 0.09162995594713656, 0.09427312775330396]",0.0086234033127924,3.3050928503926564
LSKUSDT,2021-01-17-00:00,2021-01-18-00:00,first,"[0.32, 0.17244444444444446, 0.112, 0.096, 0.07644444444444444, 0.0791111111111111, 0.060444444444444446, 0.03822222222222222, 0.04533333333333334]",0.0074637385073943,2.841767134090374
LSKUSDT,2021-01-17-00:00,2021-01-18-00:00,second,"[0.13422222222222221, 0.12533333333333332, 0.08444444444444445, 0.11288888888888889, 0.09777777777777778, 0.09688888888888889, 0.08355555555555555, 0.07377777777777778, 0.09244444444444444, 0.09866666666666667]",0.0106601741540343,3.2989606008268457
LSKUSDT,2021-01-18-00:00,2021-01-19-00:00,first,"[0.33429394812680113, 0.19212295869356388, 0.1373679154658982, 0.08741594620557157, 0.06628242074927954, 0.05091258405379443, 0.04226705091258405, 0.04130643611911623, 0.04803073967339097]",0.014221795571337,2.7578642046940334
