symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
POWRUSDT,2024-01-01-00:00,2024-01-02-00:00,first,"[0.28821292775665397, 0.1870722433460076, 0.1285171102661597, 0.09581749049429658, 0.09277566539923954, 0.07072243346007605, 0.044866920152091254, 0.04638783269961977, 0.045627376425855515]",0.0070954269176141,2.8724554326748053
POWRUSDT,2024-01-01-00:00,2024-01-02-00:00,second,"[0.1247148288973384, 0.10950570342205324, 0.10114068441064639, 0.11102661596958174, 0.09049429657794676, 0.09961977186311786, 0.09961977186311786, 0.08593155893536121, 0.09277566539923954, 0.08517110266159696]",0.0052599101208479,3.312125602867348
POWRUSDT,2024-01-02-00:00,2024-01-03-00:00,first,"[0.2935251798561151, 0.15035971223021583, 0.12589928057553956, 0.10071942446043165, 0.09640287769784173, 0.05539568345323741, 0.0683453237410072, 0.060431654676258995, 0.04892086330935252]",0.0099527708468238,2.9187928368648586
POWRUSDT,2024-01-02-00:00,2024-01-03-00:00,second,"[0.11870503597122302, 0.1158273381294964, 0.1, 0.0856115107913669, 0.10575539568345324, 0.10071942446043165, 0.08201438848920864, 0.09424460431654676, 0.1093525179856115, 0.08776978417266187]",0.0079748256729172,3.3115517756865893
POWRUSDT,2024-01-03-00:00,2024-01-04-00:00,first,"[0.29606784888203547, 0.17501927525057825, 0.10717039321511179, 0.08866615265998458, 0.09406322282189669, 0.07170393215111796, 0.06630686198920586, 0.05319969159599075, 0.047802621434078645]",0.007121407628513,2.903017410249455
POWRUSDT,2024-01-03-00:00,2024-01-04-00:00,second,"[0.1341557440246723, 0.09868928296067848, 0.09946029298380879, 0.10331534309946029, 0.09483423284502698, 0.09252120277563608, 0.1056283731688512, 0.09483423284502698, 0.10254433307632999, 0.07401696222050887]",0.0092373271772997,3.307808381143313
POWRUSDT,2024-01-04-00:00,2024-01-05-00:00,first,"[0.2650936849410132, 0.15475364330326163, 0.12352532963219987, 0.10478834142956281, 0.10340041637751561, 0.07633587786259542, 0.06453851492019431, 0.05412907702984039, 0.05343511450381679]",0.0130416296558861,2.968628707255682
POWRUSDT,2024-01-04-00:00,2024-01-05-00:00,second,"[0.10964607911172797, 0.09923664122137404, 0.10687022900763359, 0.11866759195003469, 0.10964607911172797, 0.1040943789035392, 0.09437890353920889, 0.0922970159611381, 0.0784177654406662, 0.08674531575294935]",0.007158041961481,3.3121691259779813
POWRUSDT,2024-01-05-00:00,2024-01-06-00:00,first,"[0.3102012491325468, 0.16585704371963914, 0.12213740458015267, 0.09923664122137404, 0.06939625260235947, 0.0784177654406662, 0.06939625260235947, 0.04580152671755725, 0.0395558639833449]",0.0076384806925797,2.865282445984098
POWRUSDT,2024-01-05-00:00,2024-01-06-00:00,second,"[0.11519777931991672, 0.11658570437196392, 0.10062456627342123, 0.10131852879944483, 0.1054823039555864, 0.08327550312283137, 0.09854267869535045, 0.09854267869535045, 0.08674531575294935, 0.0936849410131853]",0.0059831847891937,3.3144366792174482
POWRUSDT,2024-01-06-00:00,2024-01-07-00:00,first,"[0.29424011103400416, 0.18806384455239417, 0.13809854267869534, 0.10478834142956281, 0.0798056904927134, 0.055517002081887576, 0.0527411519777932, 0.0388619014573213, 0.047883414295628035]",0.0079469084819236,2.8466948452322125
POWRUSDT,2024-01-06-00:00,2024-01-07-00:00,second,"[0.11589174184594032, 0.1311589174184594, 0.08882720333102012, 0.10478834142956281, 0.08396946564885496, 0.1054823039555864, 0.10340041637751561, 0.0916030534351145, 0.08535739070090215, 0.08952116585704371]",0.0084666443844224,3.307495343406398
POWRUSDT,2024-01-07-00:00,2024-01-08-00:00,first,"[0.2768910478834143, 0.17626648160999306, 0.15405968077723803, 0.1054823039555864, 0.08466342817487855, 0.05968077723802915, 0.05412907702984039, 0.05135322692574601, 0.03747397640527411]",0.0096780765058663,2.8819160249647044
POWRUSDT,2024-01-07-00:00,2024-01-08-00:00,second,"[0.1054823039555864, 0.12005551700208189, 0.09993060374739764, 0.11103400416377515, 0.09784871616932686, 0.10062456627342123, 0.09923664122137404, 0.08882720333102012, 0.0936849410131853, 0.08327550312283137]",0.0057587961742203,3.314731443360842
POWRUSDT,2024-01-08-00:00,2024-01-09-00:00,first,"[0.2338653712699514, 0.17765440666204024, 0.16724496877168632, 0.13948646773074255, 0.07564191533657183, 0.06800832755031229, 0.06176266481609993, 0.0395558639833449, 0.03678001387925052]",0.0202840200556763,2.914164836971488
POWRUSDT,2024-01-08-00:00,2024-01-09-00:00,second,"[0.12005551700208189, 0.11727966689798751, 0.11658570437196392, 0.10201249132546843, 0.09507286606523248, 0.09507286606523248, 0.08813324080499653, 0.08882720333102012, 0.08049965301873699, 0.09646079111727966]",0.004598691264335,3.309868624112822
POWRUSDT,2024-01-09-00:00,2024-01-10-00:00,first,"[0.30881332408049966, 0.20471894517696043, 0.1304649548924358, 0.09923664122137404, 0.06662040249826509, 0.06662040249826509, 0.04371963913948647, 0.03816793893129771, 0.041637751561415685]",0.0098364135633891,2.794935239791356
POWRUSDT,2024-01-09-00:00,2024-01-10-00:00,second,"[0.11034004163775156, 0.1179736294240111, 0.10687022900763359, 0.10964607911172797, 0.09784871616932686, 0.08882720333102012, 0.10478834142956281, 0.08535739070090215, 0.08882720333102012, 0.08952116585704371]",0.0053189228190519,3.313478637561797
POWRUSDT,2024-01-10-00:00,2024-01-11-00:00,first,"[0.3102012491325468, 0.18181818181818182, 0.09507286606523248, 0.0936849410131853, 0.08049965301873699, 0.06731436502428868, 0.062456627342123525, 0.046495489243580844, 0.062456627342123525]",0.0083884390537197,2.874060194035837
POWRUSDT,2024-01-10-00:00,2024-01-11-00:00,second,"[0.14087439278278974, 0.10201249132546843, 0.11242192921582235, 0.10270645385149202, 0.09507286606523248, 0.09299097848716169, 0.09021512838306732, 0.08813324080499653, 0.09090909090909091, 0.08466342817487855]",0.0056269183452904,3.3053769583810584
POWRUSDT,2024-01-11-00:00,2024-01-12-00:00,first,"[0.32130464954892435, 0.1839000693962526, 0.10340041637751561, 0.0916030534351145, 0.06315058986814712, 0.0777238029146426, 0.05898681471200555, 0.05343511450381679, 0.046495489243580844]",0.0095279857740453,2.8405771095207
POWRUSDT,2024-01-11-00:00,2024-01-12-00:00,second,"[0.11242192921582235, 0.0922970159611381, 0.11727966689798751, 0.11103400416377515, 0.09923664122137404, 0.09646079111727966, 0.09854267869535045, 0.09854267869535045, 0.09507286606523248, 0.0791117279666898]",0.0072048113299454,3.313834610813045
POWRUSDT,2024-01-12-00:00,2024-01-13-00:00,first,"[0.2861111111111111, 0.15902777777777777, 0.12569444444444444, 0.10902777777777778, 0.07708333333333334, 0.08125, 0.05347222222222222, 0.052083333333333336, 0.05625]",0.0085777785112287,2.9238058068698103
POWRUSDT,2024-01-12-00:00,2024-01-13-00:00,second,"[0.10486111111111111, 0.125, 0.10138888888888889, 0.1, 0.09027777777777778, 0.10416666666666667, 0.10486111111111111, 0.10347222222222222, 0.08541666666666667, 0.08055555555555556]",0.0086411871474963,3.3119522749212305
POWRUSDT,2024-01-13-00:00,2024-01-14-00:00,first,"[0.28114126652748783, 0.18302018093249825, 0.12526096033402923, 0.10855949895615867, 0.08907446068197634, 0.07306889352818371, 0.05915100904662491, 0.04801670146137787, 0.032707028531663185]",0.0080166693670019,2.8858121201729645
POWRUSDT,2024-01-13-00:00,2024-01-14-00:00,second,"[0.12317327766179541, 0.11691022964509394, 0.1127348643006263, 0.10508002783576896, 0.11551844119693806, 0.0779401530967293, 0.09324982602644398, 0.08559498956158663, 0.08559498956158663, 0.08420320111343076]",0.0052776414263476,3.3042183242471905
POWRUSDT,2024-01-14-00:00,2024-01-15-00:00,first,"[0.3003508771929825, 0.1887719298245614, 0.12631578947368421, 0.09333333333333334, 0.08140350877192983, 0.06596491228070175, 0.05964912280701754, 0.03508771929824561, 0.04912280701754386]",0.0047338841432819,2.850672263793847
POWRUSDT,2024-01-14-00:00,2024-01-15-00:00,second,"[0.11508771929824561, 0.11859649122807017, 0.11368421052631579, 0.09964912280701754, 0.0968421052631579, 0.09263157894736843, 0.09614035087719298, 0.07859649122807018, 0.09543859649122807, 0.09333333333333334]",0.0057078477246971,3.3120830455643926
POWRUSDT,2024-01-15-00:00,2024-01-16-00:00,first,"[0.28481455563331, 0.1595521343596921, 0.14485654303708886, 0.08887333799860042, 0.08747375787263821, 0.0622813156053184, 0.06368089573128062, 0.05458362491252624, 0.053883834849545134]",0.0101014919469802,2.9186303500461572
POWRUSDT,2024-01-15-00:00,2024-01-16-00:00,second,"[0.13086074177746676, 0.11546536039188243, 0.10076976906927922, 0.0986703988803359, 0.10426871938418475, 0.08887333799860042, 0.08747375787263821, 0.09447165850244926, 0.08887333799860042, 0.09027291812456263]",0.0054831534001945,3.309914170746841
POWRUSDT,2024-01-16-00:00,2024-01-17-00:00,first,"[0.3048694424841214, 0.16090331686661963, 0.11644318983768526, 0.09456598447424136, 0.08680310515172901, 0.08256880733944955, 0.05786873676781934, 0.051517290049400144, 0.04446012702893437]",0.0060995758300221,2.890771897722899
POWRUSDT,2024-01-16-00:00,2024-01-17-00:00,second,"[0.1333803810868031, 0.10515172900494002, 0.10797459421312633, 0.1058574453069866, 0.08256880733944955, 0.08962597035991532, 0.08821453775582216, 0.09456598447424136, 0.09668313338038109, 0.09597741707833451]",0.0079072275185498,3.3091864793865673
