symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
SKLUSDT,2021-01-01-00:00,2021-01-02-00:00,first,"[0.33142201834862384, 0.16169724770642202, 0.12614678899082568, 0.08944954128440367, 0.0768348623853211, 0.04931192660550459, 0.0779816513761468, 0.03784403669724771, 0.04931192660550459]",0.012254270113435,2.8198581455351865
SKLUSDT,2021-01-01-00:00,2021-01-02-00:00,second,"[0.12270642201834862, 0.1158256880733945, 0.10091743119266056, 0.08944954128440367, 0.11009174311926606, 0.10665137614678899, 0.09174311926605505, 0.07912844036697247, 0.09862385321100918, 0.08486238532110092]",0.0071548437831213,3.309231795664456
SKLUSDT,2021-01-02-00:00,2021-01-03-00:00,first,"[0.35363247863247865, 0.13675213675213677, 0.1388888888888889, 0.09508547008547008, 0.07905982905982906, 0.0641025641025641, 0.04487179487179487, 0.0405982905982906, 0.04700854700854701]",0.0150674870437685,2.78065085635311
SKLUSDT,2021-01-02-00:00,2021-01-03-00:00,second,"[0.11324786324786325, 0.10897435897435898, 0.09935897435897435, 0.11004273504273504, 0.12713675213675213, 0.10897435897435898, 0.08974358974358974, 0.08867521367521368, 0.06944444444444445, 0.08440170940170941]",0.0089677695705969,3.3028385456726155
SKLUSDT,2021-01-03-00:00,2021-01-04-00:00,first,"[0.33739837398373984, 0.15142276422764228, 0.12398373983739837, 0.09959349593495935, 0.08028455284552846, 0.0701219512195122, 0.06300813008130081, 0.03556910569105691, 0.03861788617886179]",0.0107436694971285,2.8108540280693166
SKLUSDT,2021-01-03-00:00,2021-01-04-00:00,second,"[0.11991869918699187, 0.11382113821138211, 0.10467479674796748, 0.09044715447154472, 0.10264227642276423, 0.11686991869918699, 0.09146341463414634, 0.08739837398373984, 0.08434959349593496, 0.08841463414634146]",0.0052366939461619,3.310475805255653
SKLUSDT,2021-01-04-00:00,2021-01-05-00:00,first,"[0.3204334365325077, 0.16718266253869968, 0.12461300309597523, 0.0890092879256966, 0.07585139318885449, 0.06656346749226007, 0.05727554179566564, 0.0565015479876161, 0.04256965944272446]",0.0055005480908358,2.849399539033401
SKLUSDT,2021-01-04-00:00,2021-01-05-00:00,second,"[0.11609907120743033, 0.12074303405572756, 0.0936532507739938, 0.0998452012383901, 0.11455108359133127, 0.11222910216718267, 0.0913312693498452, 0.0936532507739938, 0.07739938080495357, 0.0804953560371517]",0.0079897879682347,3.3066535785785707
SKLUSDT,2021-01-05-00:00,2021-01-06-00:00,first,"[0.3145720894371627, 0.16962220508866616, 0.12259059367771781, 0.08635312259059368, 0.07632999228989977, 0.07170393215111796, 0.06013878180416345, 0.05319969159599075, 0.04548959136468774]",0.0049984978375049,2.8631721759844013
SKLUSDT,2021-01-05-00:00,2021-01-06-00:00,second,"[0.1195065535851966, 0.11719352351580571, 0.1002313030069391, 0.1110254433307633, 0.08326908249807248, 0.10331534309946029, 0.09329221279876639, 0.09020817270624518, 0.1002313030069391, 0.08172706245181187]",0.0058597319866537,3.310640797947766
SKLUSDT,2021-01-06-00:00,2021-01-07-00:00,first,"[0.3050847457627119, 0.2144436256448047, 0.11422254974207811, 0.09727339719970524, 0.0707442888725129, 0.06632277081798084, 0.05232129697862933, 0.047899778924097275, 0.03168754605747973]",0.0095045557510006,2.8038467531811033
SKLUSDT,2021-01-06-00:00,2021-01-07-00:00,second,"[0.14369933677229182, 0.10980103168754606, 0.10390567428150331, 0.09948415622697127, 0.09579955784819455, 0.09064112011790715, 0.08179808400884303, 0.09137803979366249, 0.08916728076639646, 0.09432571849668386]",0.0071943424651993,3.3040293073837663
SKLUSDT,2021-01-07-00:00,2021-01-08-00:00,first,"[0.33253397282174263, 0.17346123101518784, 0.12629896083133493, 0.09432454036770584, 0.07513988808952837, 0.06155075939248601, 0.060751398880895285, 0.03437250199840128, 0.04156674660271783]",0.0079163673964455,2.796414087968961
SKLUSDT,2021-01-07-00:00,2021-01-08-00:00,second,"[0.1286970423661071, 0.13828936850519585, 0.10551558752997602, 0.09512390087929656, 0.1079136690647482, 0.08393285371702638, 0.09832134292565947, 0.08233413269384493, 0.08713029576338929, 0.07274180655475619]",0.0091938225613315,3.294655230505758
SKLUSDT,2021-01-08-00:00,2021-01-09-00:00,first,"[0.33825816485225507, 0.17884914463452567, 0.10808709175738725, 0.09331259720062209, 0.09253499222395023, 0.0552099533437014, 0.05054432348367029, 0.042768273716951785, 0.04043545878693624]",0.011853289098543,2.787066489519615
SKLUSDT,2021-01-08-00:00,2021-01-09-00:00,second,"[0.12363919129082426, 0.10730948678071539, 0.09486780715396578, 0.1088646967340591, 0.09875583203732503, 0.10186625194401244, 0.08864696734059098, 0.10653188180404355, 0.08553654743390357, 0.08398133748055987]",0.0059727935746346,3.312210707573843
SKLUSDT,2021-01-09-00:00,2021-01-10-00:00,first,"[0.3540280857354028, 0.18625277161862527, 0.11160384331116038, 0.0827790096082779, 0.07317073170731707, 0.0598669623059867, 0.050997782705099776, 0.04951958610495196, 0.031781226903178125]",0.0140354672520812,2.743604279859584
SKLUSDT,2021-01-09-00:00,2021-01-10-00:00,second,"[0.1367331855136733, 0.11456023651145603, 0.10273466371027347, 0.10051736881005174, 0.10938654841093866, 0.10199556541019955, 0.09238728750923873, 0.08647450110864745, 0.07982261640798226, 0.07538802660753881]",0.0064241451543856,3.3012964384119567
SKLUSDT,2021-01-10-00:00,2021-01-11-00:00,first,"[0.3191489361702128, 0.1921985815602837, 0.1226950354609929, 0.09148936170212765, 0.06453900709219858, 0.0574468085106383, 0.05815602836879433, 0.04397163120567376, 0.05035460992907802]",0.0086638808378543,2.8161237244602293
SKLUSDT,2021-01-10-00:00,2021-01-11-00:00,second,"[0.12127659574468085, 0.10212765957446808, 0.11631205673758865, 0.09929078014184398, 0.10425531914893617, 0.08652482269503546, 0.09787234042553192, 0.08439716312056737, 0.09574468085106383, 0.09219858156028368]",0.0065816926357053,3.3130400632995927
SKLUSDT,2021-01-11-00:00,2021-01-12-00:00,first,"[0.2855123674911661, 0.16607773851590105, 0.12508833922261484, 0.09328621908127209, 0.0812720848056537, 0.0784452296819788, 0.06148409893992933, 0.06148409893992933, 0.04734982332155477]",0.0064788761420843,2.9263483245345654
SKLUSDT,2021-01-11-00:00,2021-01-12-00:00,second,"[0.12438162544169612, 0.09823321554770319, 0.10530035335689046, 0.11519434628975266, 0.09540636042402827, 0.10176678445229682, 0.08975265017667844, 0.09328621908127209, 0.08904593639575972, 0.08763250883392226]",0.0055403921916759,3.312797312764363
SKLUSDT,2021-01-12-00:00,2021-01-13-00:00,first,"[0.29515418502202645, 0.19236417033773862, 0.12481644640234948, 0.1027900146842878, 0.08370044052863436, 0.06240822320117474, 0.05066079295154185, 0.0513950073421439, 0.03671071953010279]",0.0059810205186802,2.8515593087525204
SKLUSDT,2021-01-12-00:00,2021-01-13-00:00,second,"[0.13215859030837004, 0.10719530102790015, 0.10719530102790015, 0.08957415565345081, 0.09544787077826726, 0.09397944199706314, 0.10572687224669604, 0.09544787077826726, 0.0881057268722467, 0.08516886930983847]",0.0061269060458688,3.3100794298491563
SKLUSDT,2021-01-13-00:00,2021-01-14-00:00,first,"[0.2985185185185185, 0.2, 0.11185185185185186, 0.09037037037037036, 0.08296296296296296, 0.06592592592592593, 0.05851851851851852, 0.052592592592592594, 0.03925925925925926]",0.0065904665657111,2.8549791461379055
SKLUSDT,2021-01-13-00:00,2021-01-14-00:00,second,"[0.1362962962962963, 0.12148148148148148, 0.11185185185185186, 0.1111111111111111, 0.08888888888888889, 0.09037037037037036, 0.08592592592592592, 0.09185185185185185, 0.06592592592592593, 0.0962962962962963]",0.0093638232641376,3.2952126522993055
SKLUSDT,2021-01-14-00:00,2021-01-15-00:00,first,"[0.33575581395348836, 0.20494186046511628, 0.12645348837209303, 0.08575581395348837, 0.08575581395348837, 0.047238372093023256, 0.042877906976744186, 0.03488372093023256, 0.036337209302325583]",0.0159257198596886,2.7278357403704834
SKLUSDT,2021-01-14-00:00,2021-01-15-00:00,second,"[0.11119186046511628, 0.13590116279069767, 0.09811046511627906, 0.1002906976744186, 0.10755813953488372, 0.09156976744186046, 0.09447674418604651, 0.08648255813953488, 0.0806686046511628, 0.09375]",0.0078231305991527,3.3069681996991243
SKLUSDT,2021-01-15-00:00,2021-01-16-00:00,first,"[0.30664760543245173, 0.18227305218012865, 0.1343817012151537, 0.09077912794853467, 0.08291636883488206, 0.061472480343102216, 0.057183702644746245, 0.04431736954967834, 0.040028591851322376]",0.0055505533971175,2.8402943566492747
SKLUSDT,2021-01-15-00:00,2021-01-16-00:00,second,"[0.13581129378127232, 0.10650464617583988, 0.12866333095067906, 0.09792709077912795, 0.10150107219442459, 0.08863473909935668, 0.08720514653323802, 0.08791994281629735, 0.07219442458899214, 0.09363831308077197]",0.0091615376158974,3.2980615383777274
SKLUSDT,2021-01-16-00:00,2021-01-17-00:00,first,"[0.31893687707641194, 0.20681063122923588, 0.11710963455149502, 0.0739202657807309, 0.07724252491694353, 0.0606312292358804, 0.05232558139534884, 0.04817275747508306, 0.044850498338870434]",0.0108058341302189,2.801080210271227
SKLUSDT,2021-01-16-00:00,2021-01-17-00:00,second,"[0.11710963455149502, 0.12624584717607973, 0.12458471760797342, 0.09800664451827243, 0.09800664451827243, 0.09634551495016612, 0.08388704318936877, 0.09385382059800665, 0.08388704318936877, 0.07807308970099668]",0.0063241587398783,3.303150926164431
SKLUSDT,2021-01-17-00:00,2021-01-18-00:00,first,"[0.3112368633791431, 0.21099434114793855, 0.09539207760711399, 0.10105092966855295, 0.07437348423605497, 0.0646725949878739, 0.05335489086499596, 0.04203718674211803, 0.04688763136620857]",0.0111957793940998,2.81438302855115
SKLUSDT,2021-01-17-00:00,2021-01-18-00:00,second,"[0.14470493128536782, 0.1196443007275667, 0.11802748585286985, 0.1059013742926435, 0.10670978172999192, 0.08407437348423606, 0.07841552142279709, 0.07679870654810024, 0.07437348423605497, 0.09135004042037187]",0.010862385748527,3.288331946110551
SKLUSDT,2021-01-18-00:00,2021-01-19-00:00,first,"[0.3172302737520129, 0.18357487922705315, 0.11755233494363929, 0.10064412238325282, 0.07568438003220612, 0.04428341384863124, 0.05233494363929147, 0.050724637681159424, 0.057971014492753624]",0.0088070070148174,2.8309550615156813
SKLUSDT,2021-01-18-00:00,2021-01-19-00:00,second,"[0.12721417069243157, 0.10869565217391304, 0.10547504025764895, 0.09339774557165861, 0.11352657004830918, 0.09098228663446055, 0.10144927536231885, 0.09017713365539452, 0.0821256038647343, 0.08695652173913043]",0.0061573958274002,3.3096049391887723
SKLUSDT,2021-01-19-00:00,2021-01-20-00:00,first,"[0.3169681309216193, 0.18949181739879414, 0.12144702842377261, 0.08613264427217916, 0.07062876830318691, 0.06718346253229975, 0.056847545219638244, 0.04478897502153316, 0.046511627906976744]",0.0067398897441642,2.8277244047916055
SKLUSDT,2021-01-19-00:00,2021-01-20-00:00,second,"[0.12661498708010335, 0.11886304909560723, 0.09991386735572783, 0.10163652024117141, 0.11886304909560723, 0.08957795004306632, 0.07751937984496124, 0.08527131782945736, 0.08440999138673558, 0.09732988802756244]",0.0085592093938342,3.304043848388695
SKLUSDT,2021-01-20-00:00,2021-01-21-00:00,first,"[0.3110443275732532, 0.1893313298271976, 0.1217129977460556, 0.09842223891810668, 0.07888805409466566, 0.05709992486851991, 0.0608564988730278, 0.04282494365138993, 0.039819684447783624]",0.0061402623302621,2.8281574477188305
SKLUSDT,2021-01-20-00:00,2021-01-21-00:00,second,"[0.11645379413974455, 0.11570247933884298, 0.10217881292261458, 0.09391435011269722, 0.10368144252441773, 0.09842223891810668, 0.10593538692712247, 0.08940646130728776, 0.0879038317054846, 0.08640120210368145]",0.0042457797241215,3.314372043826349
SKLUSDT,2021-01-21-00:00,2021-01-22-00:00,first,"[0.30775075987841943, 0.19300911854103345, 0.13221884498480244, 0.11018237082066869, 0.06610942249240122, 0.056990881458966566, 0.05015197568389058, 0.0425531914893617, 0.041033434650455926]",0.0098202421975344,2.8118614599636835
SKLUSDT,2021-01-21-00:00,2021-01-22-00:00,second,"[0.11474164133738601, 0.11474164133738601, 0.10182370820668693, 0.09878419452887538, 0.10258358662613981, 0.10258358662613981, 0.09650455927051672, 0.10638297872340426, 0.08358662613981763, 0.07826747720364742]",0.0056388172106977,3.312685483404783
