symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
XTZUSDT,2021-01-01-00:00,2021-01-02-00:00,first,"[0.2836676217765043, 0.1819484240687679, 0.12106017191977077, 0.11103151862464183, 0.07879656160458452, 0.05945558739255014, 0.06948424068767908, 0.04799426934097421, 0.04656160458452722]",0.007172239636337,2.8983365857153616
XTZUSDT,2021-01-01-00:00,2021-01-02-00:00,second,"[0.12822349570200572, 0.10386819484240688, 0.12464183381088825, 0.09455587392550144, 0.10601719197707736, 0.09598853868194843, 0.09312320916905444, 0.09813753581661891, 0.07879656160458452, 0.07664756446991404]",0.0075718196334036,3.303743805764226
XTZUSDT,2021-01-02-00:00,2021-01-03-00:00,first,"[0.28370786516853935, 0.16924157303370788, 0.11797752808988764, 0.10674157303370786, 0.09550561797752809, 0.06882022471910113, 0.05828651685393258, 0.05337078651685393, 0.046348314606741575]",0.0069184500079616,2.917056910623768
XTZUSDT,2021-01-02-00:00,2021-01-03-00:00,second,"[0.1151685393258427, 0.11306179775280899, 0.11165730337078651, 0.10955056179775281, 0.10182584269662921, 0.09339887640449439, 0.0877808988764045, 0.09691011235955056, 0.08216292134831461, 0.08848314606741572]",0.0039236726921584,3.312604205326818
XTZUSDT,2021-01-03-00:00,2021-01-04-00:00,first,"[0.31065918653576435, 0.1718092566619916, 0.1297335203366059, 0.08906030855539972, 0.07643758765778401, 0.0729312762973352, 0.052594670406732116, 0.05820476858345021, 0.038569424964936885]",0.0061023794228622,2.855968462081135
XTZUSDT,2021-01-03-00:00,2021-01-04-00:00,second,"[0.10869565217391304, 0.1185133239831697, 0.105890603085554, 0.10518934081346423, 0.09607293127629733, 0.08345021037868162, 0.09747545582047686, 0.09186535764375876, 0.09186535764375876, 0.10098176718092566]",0.0062753617515689,3.3153863367945364
XTZUSDT,2021-01-04-00:00,2021-01-05-00:00,first,"[0.3164469118667592, 0.19986120749479527, 0.12838306731436502, 0.08813324080499653, 0.07147814018043026, 0.055517002081887576, 0.05135322692574601, 0.041637751561415685, 0.04718945176960444]",0.0097918125681969,2.8010232307375316
XTZUSDT,2021-01-04-00:00,2021-01-05-00:00,second,"[0.13324080499653018, 0.09784871616932686, 0.10687022900763359, 0.10131852879944483, 0.11519777931991672, 0.09923664122137404, 0.09646079111727966, 0.0922970159611381, 0.08258154059680778, 0.07494795281054822]",0.0072083201793633,3.3049269744074934
XTZUSDT,2021-01-05-00:00,2021-01-06-00:00,first,"[0.30277777777777776, 0.18194444444444444, 0.12291666666666666, 0.08263888888888889, 0.0875, 0.08263888888888889, 0.04652777777777778, 0.05138888888888889, 0.041666666666666664]",0.0070773749232707,2.859980712335059
XTZUSDT,2021-01-05-00:00,2021-01-06-00:00,second,"[0.12708333333333333, 0.11388888888888889, 0.10416666666666667, 0.10138888888888889, 0.09583333333333334, 0.09513888888888888, 0.10277777777777777, 0.09652777777777778, 0.08541666666666667, 0.07777777777777778]",0.0045965790478736,3.309672192590772
XTZUSDT,2021-01-06-00:00,2021-01-07-00:00,first,"[0.2833333333333333, 0.19166666666666668, 0.13958333333333334, 0.09861111111111111, 0.07777777777777778, 0.05625, 0.06458333333333334, 0.04791666666666667, 0.04027777777777778]",0.0085583308432711,2.8704834944796604
XTZUSDT,2021-01-06-00:00,2021-01-07-00:00,second,"[0.10833333333333334, 0.12708333333333333, 0.11875, 0.09583333333333334, 0.1076388888888889, 0.10486111111111111, 0.08333333333333333, 0.09652777777777778, 0.08611111111111111, 0.07152777777777777]",0.0089624162717082,3.3033024383752343
XTZUSDT,2021-01-07-00:00,2021-01-08-00:00,first,"[0.32130464954892435, 0.1873698820263706, 0.09993060374739764, 0.09437890353920889, 0.07217210270645386, 0.049271339347675226, 0.0659264399722415, 0.062456627342123525, 0.04718945176960444]",0.0116052968786352,2.8365487699952934
