symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
DASHUSDT,2020-01-01-00:00,2020-01-02-00:00,first,"[0.33943833943833945, 0.15018315018315018, 0.12576312576312576, 0.10012210012210013, 0.06471306471306472, 0.052503052503052504, 0.042735042735042736, 0.07936507936507936, 0.045177045177045176]",0.0157016393246501,2.8136641134790428
DASHUSDT,2020-01-01-00:00,2020-01-02-00:00,second,"[0.1343101343101343, 0.11355311355311355, 0.10622710622710622, 0.08302808302808302, 0.10500610500610501, 0.10134310134310134, 0.08180708180708181, 0.0927960927960928, 0.0927960927960928, 0.08913308913308914]",0.0071601027623351,3.3061297911243615
DASHUSDT,2020-01-02-00:00,2020-01-03-00:00,first,"[0.3186344238975818, 0.1806543385490754, 0.10241820768136557, 0.10099573257467995, 0.08108108108108109, 0.059743954480796585, 0.05405405405405406, 0.06543385490753911, 0.03698435277382646]",0.0094298655082738,2.840103931597581
DASHUSDT,2020-01-02-00:00,2020-01-03-00:00,second,"[0.14082503556187767, 0.11095305832147938, 0.11095305832147938, 0.09815078236130868, 0.09957325746799431, 0.09672830725462304, 0.08819345661450925, 0.11379800853485064, 0.07254623044096728, 0.06827880512091039]",0.0093548833997031,3.2929415693294435
DASHUSDT,2020-01-03-00:00,2020-01-04-00:00,first,"[0.3130081300813008, 0.16463414634146342, 0.11991869918699187, 0.10670731707317073, 0.09451219512195122, 0.0508130081300813, 0.052845528455284556, 0.056910569105691054, 0.04065040650406504]",0.0095254298255711,2.851843714814017
DASHUSDT,2020-01-03-00:00,2020-01-04-00:00,second,"[0.15142276422764228, 0.11382113821138211, 0.10873983739837398, 0.09654471544715447, 0.09451219512195122, 0.09146341463414634, 0.08028455284552846, 0.08841463414634146, 0.08333333333333333, 0.09146341463414634]",0.007641911641443,3.29608923546975
DASHUSDT,2020-01-04-00:00,2020-01-05-00:00,first,"[0.3101761252446184, 0.17318982387475537, 0.12035225048923678, 0.10078277886497064, 0.06947162426614481, 0.057729941291585124, 0.049902152641878667, 0.06262230919765166, 0.05577299412915851]",0.0076675968347344,2.8664310445182495
DASHUSDT,2020-01-04-00:00,2020-01-05-00:00,second,"[0.14579256360078277, 0.09882583170254403, 0.10078277886497064, 0.11056751467710371, 0.09686888454011741, 0.09686888454011741, 0.07925636007827788, 0.11056751467710371, 0.08512720156555773, 0.07534246575342465]",0.0105516847190683,3.2971554321174046
DASHUSDT,2020-01-05-00:00,2020-01-06-00:00,first,"[0.3193717277486911, 0.1787584143605086, 0.11293941660433807, 0.07928197456993269, 0.08302169035153328, 0.0605833956619297, 0.05759162303664921, 0.05759162303664921, 0.050860134629768135]",0.008086905855957,2.851222151246914
DASHUSDT,2020-01-05-00:00,2020-01-06-00:00,second,"[0.11967090501121914, 0.11443530291697832, 0.10545998504113688, 0.11368735976065819, 0.08825729244577413, 0.09573672400897532, 0.09349289454001496, 0.09424083769633508, 0.09050112191473449, 0.08451757666417352]",0.0033682149117408,3.312139458337782
DASHUSDT,2020-01-06-00:00,2020-01-07-00:00,first,"[0.32533521524347214, 0.17360621030345802, 0.10303458009880029, 0.09174311926605505, 0.0776287932251235, 0.08680310515172901, 0.05716302046577276, 0.04940014114326041, 0.035285815102328866]",0.0098136744668014,2.8325299930277312
DASHUSDT,2020-01-06-00:00,2020-01-07-00:00,second,"[0.11644318983768526, 0.11856033874382499, 0.09527170077628794, 0.12208892025405788, 0.08892025405786874, 0.09809456598447425, 0.09527170077628794, 0.09527170077628794, 0.0931545518701482, 0.07692307692307693]",0.0072496200665483,3.308485943278153
DASHUSDT,2020-01-07-00:00,2020-01-08-00:00,first,"[0.3239942528735632, 0.15445402298850575, 0.11206896551724138, 0.08405172413793104, 0.08405172413793104, 0.07543103448275862, 0.07255747126436782, 0.04669540229885057, 0.04669540229885057]",0.0115160924837533,2.8661531782614356
DASHUSDT,2020-01-07-00:00,2020-01-08-00:00,second,"[0.1372126436781609, 0.11997126436781609, 0.09554597701149425, 0.10919540229885058, 0.09123563218390805, 0.10272988505747127, 0.08405172413793104, 0.10488505747126436, 0.08405172413793104, 0.07112068965517242]",0.0098132191132481,3.298176498212713
