symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
DIAUSDT,2020-09-04-00:00,2020-09-05-00:00,first,"[0.35833333333333334, 0.18333333333333332, 0.08333333333333333, 0.075, 0.1, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.03333333333333333]",0.0226112688004665,2.734860612854633
DIAUSDT,2020-09-04-00:00,2020-09-05-00:00,second,"[0.15833333333333333, 0.08333333333333333, 0.10833333333333334, 0.125, 0.1, 0.1, 0.1, 0.058333333333333334, 0.06666666666666667, 0.1]",0.0168550361724884,3.2704850667478316
DIAUSDT,2020-09-05-00:00,2020-09-06-00:00,first,"[0.2736842105263158, 0.16766917293233083, 0.13909774436090225, 0.10225563909774436, 0.09097744360902256, 0.06842105263157895, 0.06466165413533835, 0.04962406015037594, 0.04360902255639098]",0.00876551145829,2.9227880598713627
DIAUSDT,2020-09-05-00:00,2020-09-06-00:00,second,"[0.11729323308270677, 0.11127819548872181, 0.11052631578947368, 0.10225563909774436, 0.10225563909774436, 0.08345864661654136, 0.08947368421052632, 0.09924812030075188, 0.081203007518797, 0.10300751879699248]",0.0061117102769158,3.3124396160128358
DIAUSDT,2020-09-06-00:00,2020-09-07-00:00,first,"[0.3091048201989288, 0.18286151491966335, 0.11017597551644988, 0.0971690895179801, 0.08263198163733741, 0.06426931905126243, 0.05355776587605203, 0.05202754399387911, 0.04820198928844682]",0.0048609806161856,2.8598435827306905
DIAUSDT,2020-09-06-00:00,2020-09-07-00:00,second,"[0.12241775057383321, 0.12088752869166029, 0.11094108645753634, 0.1117061973986228, 0.08951798010711554, 0.1009946442234124, 0.08339709257842387, 0.08033664881407804, 0.09181331293037491, 0.08798775822494262]",0.0061566411641203,3.3063006170146867
DIAUSDT,2020-09-07-00:00,2020-09-08-00:00,first,"[0.3164658634538153, 0.18393574297188756, 0.12931726907630522, 0.10200803212851406, 0.07791164658634538, 0.06746987951807229, 0.04096385542168675, 0.04899598393574297, 0.03293172690763052]",0.007395554040436,2.8056399318845022
DIAUSDT,2020-09-07-00:00,2020-09-08-00:00,second,"[0.12289156626506025, 0.11726907630522089, 0.10923694779116466, 0.11164658634538152, 0.07389558232931727, 0.08273092369477912, 0.10120481927710843, 0.078714859437751, 0.09477911646586346, 0.10763052208835341]",0.0103992123755315,3.302985125963872
DIAUSDT,2020-09-08-00:00,2020-09-09-00:00,first,"[0.32213608957795004, 0.17657192075796727, 0.11800172265288544, 0.09043927648578812, 0.07838070628768304, 0.0611541774332472, 0.06029285099052541, 0.04220499569336779, 0.050818260120585705]",0.0064329842642231,2.835462322050595
DIAUSDT,2020-09-08-00:00,2020-09-09-00:00,second,"[0.1343669250645995, 0.10508182601205857, 0.12661498708010335, 0.10422049956933678, 0.10335917312661498, 0.08354866494401378, 0.07924203273040482, 0.08613264427217916, 0.08613264427217916, 0.0913006029285099]",0.0083670732544333,3.300253108728256
