symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
FTTUSDT,2020-01-01-00:00,2020-01-02-00:00,first,"[0.328125, 0.171875, 0.140625, 0.078125, 0.09375, 0.078125, 0.0390625, 0.0390625, 0.03125]",0.0152284960109957,2.7787432011877753
FTTUSDT,2020-01-01-00:00,2020-01-02-00:00,second,"[0.203125, 0.1640625, 0.09375, 0.078125, 0.0390625, 0.1015625, 0.0859375, 0.0703125, 0.0546875, 0.109375]",0.0325762080271096,3.1723295898513935
FTTUSDT,2020-01-02-00:00,2020-01-03-00:00,first,"[0.34, 0.21, 0.1, 0.08, 0.13, 0.03, 0.07, 0.02, 0.02]",0.0301567893900057,2.6544184725533246
FTTUSDT,2020-01-02-00:00,2020-01-03-00:00,second,"[0.14, 0.16, 0.11, 0.09, 0.04, 0.12, 0.08, 0.06, 0.07, 0.13]",0.0271869082260079,3.2221305144745673
FTTUSDT,2020-01-03-00:00,2020-01-04-00:00,first,"[0.27876106194690264, 0.1504424778761062, 0.16371681415929204, 0.09292035398230089, 0.11946902654867257, 0.05309734513274336, 0.05752212389380531, 0.035398230088495575, 0.048672566371681415]",0.0182179853028991,2.881719719505704
FTTUSDT,2020-01-03-00:00,2020-01-04-00:00,second,"[0.12389380530973451, 0.09734513274336283, 0.09734513274336283, 0.09734513274336283, 0.11946902654867257, 0.084070796460177, 0.11504424778761062, 0.10176991150442478, 0.03982300884955752, 0.12389380530973451]",0.019071849697077,3.2741186506758524
FTTUSDT,2020-01-04-00:00,2020-01-05-00:00,first,"[0.2702702702702703, 0.22972972972972974, 0.13513513513513514, 0.10135135135135136, 0.08783783783783784, 0.0472972972972973, 0.0472972972972973, 0.04054054054054054, 0.04054054054054054]",0.0170961776298648,2.822149200202088
FTTUSDT,2020-01-04-00:00,2020-01-05-00:00,second,"[0.10135135135135136, 0.08783783783783784, 0.14189189189189189, 0.08108108108108109, 0.11486486486486487, 0.08108108108108109, 0.0945945945945946, 0.10810810810810811, 0.0945945945945946, 0.0945945945945946]",0.0166449633372735,3.301462715674228
FTTUSDT,2020-01-05-00:00,2020-01-06-00:00,first,"[0.23121387283236994, 0.24277456647398843, 0.1329479768786127, 0.08092485549132948, 0.11560693641618497, 0.046242774566473986, 0.05202312138728324, 0.05202312138728324, 0.046242774566473986]",0.0249942491117513,2.8785787399255742
FTTUSDT,2020-01-05-00:00,2020-01-06-00:00,second,"[0.15606936416184972, 0.2023121387283237, 0.1329479768786127, 0.09826589595375723, 0.08670520231213873, 0.046242774566473986, 0.06936416184971098, 0.08092485549132948, 0.07514450867052024, 0.05202312138728324]",0.0297877217517681,3.1745323857728076
FTTUSDT,2020-01-06-00:00,2020-01-07-00:00,first,"[0.3392857142857143, 0.17857142857142858, 0.17857142857142858, 0.08928571428571429, 0.0625, 0.03571428571428571, 0.05357142857142857, 0.044642857142857144, 0.017857142857142856]",0.0209707955779131,2.679778581089824
FTTUSDT,2020-01-06-00:00,2020-01-07-00:00,second,"[0.08928571428571429, 0.125, 0.07142857142857142, 0.11607142857142858, 0.08035714285714286, 0.044642857142857144, 0.13392857142857142, 0.125, 0.10714285714285714, 0.10714285714285714]",0.027954383991601,3.2652802832971233
FTTUSDT,2020-01-07-00:00,2020-01-08-00:00,first,"[0.34944237918215615, 0.1970260223048327, 0.137546468401487, 0.06319702602230483, 0.08178438661710037, 0.04460966542750929, 0.040892193308550186, 0.03345724907063197, 0.05204460966542751]",0.0201878084966091,2.707295573246043
FTTUSDT,2020-01-07-00:00,2020-01-08-00:00,second,"[0.13011152416356878, 0.10408921933085502, 0.09665427509293681, 0.08921933085501858, 0.10408921933085502, 0.09665427509293681, 0.07434944237918216, 0.1449814126394052, 0.08550185873605948, 0.07434944237918216]",0.013768539199953,3.289869493005034
FTTUSDT,2020-01-08-00:00,2020-01-09-00:00,first,"[0.29010989010989013, 0.210989010989011, 0.11648351648351649, 0.1076923076923077, 0.08791208791208792, 0.05274725274725275, 0.05714285714285714, 0.02857142857142857, 0.04835164835164835]",0.0126677880606705,2.8251999686940437
FTTUSDT,2020-01-08-00:00,2020-01-09-00:00,second,"[0.13406593406593406, 0.12527472527472527, 0.0967032967032967, 0.08571428571428572, 0.1010989010989011, 0.1054945054945055, 0.08131868131868132, 0.0945054945054945, 0.09230769230769231, 0.08351648351648351]",0.0088540799648897,3.302832246260435
FTTUSDT,2020-01-09-00:00,2020-01-10-00:00,first,"[0.28337874659400547, 0.20435967302452315, 0.1553133514986376, 0.09536784741144415, 0.09809264305177112, 0.05449591280653951, 0.02997275204359673, 0.051771117166212535, 0.027247956403269755]",0.0173717823515904,2.7960769004363706
FTTUSDT,2020-01-09-00:00,2020-01-10-00:00,second,"[0.1335149863760218, 0.13896457765667575, 0.1307901907356948, 0.07356948228882834, 0.10354223433242507, 0.07629427792915532, 0.09536784741144415, 0.09809264305177112, 0.07629427792915532, 0.07356948228882834]",0.0147693362467736,3.27840484481947
FTTUSDT,2020-01-10-00:00,2020-01-11-00:00,first,"[0.23460410557184752, 0.1906158357771261, 0.1436950146627566, 0.0967741935483871, 0.1466275659824047, 0.06744868035190615, 0.03812316715542522, 0.026392961876832845, 0.05571847507331378]",0.0247088999876917,2.8934685673801748
FTTUSDT,2020-01-10-00:00,2020-01-11-00:00,second,"[0.14076246334310852, 0.0967741935483871, 0.0967741935483871, 0.07624633431085044, 0.08797653958944282, 0.12316715542521994, 0.09090909090909091, 0.11730205278592376, 0.06744868035190615, 0.10263929618768329]",0.0184330244030873,3.290672696740366
FTTUSDT,2020-01-11-00:00,2020-01-12-00:00,first,"[0.29128440366972475, 0.16972477064220184, 0.1536697247706422, 0.11926605504587157, 0.07568807339449542, 0.05504587155963303, 0.05045871559633028, 0.04357798165137615, 0.04128440366972477]",0.0113526733778127,2.8500783162260963
FTTUSDT,2020-01-11-00:00,2020-01-12-00:00,second,"[0.16743119266055045, 0.11238532110091744, 0.08944954128440367, 0.09403669724770643, 0.07339449541284404, 0.06422018348623854, 0.08944954128440367, 0.0963302752293578, 0.0871559633027523, 0.12614678899082568]",0.0189759293913114,3.269610288654182
FTTUSDT,2020-01-12-00:00,2020-01-13-00:00,first,"[0.2479108635097493, 0.22841225626740946, 0.12256267409470752, 0.11977715877437325, 0.08635097493036212, 0.06406685236768803, 0.03899721448467967, 0.06128133704735376, 0.03064066852367688]",0.0205525969912788,2.8658619325916717
FTTUSDT,2020-01-12-00:00,2020-01-13-00:00,second,"[0.12256267409470752, 0.14206128133704735, 0.0947075208913649, 0.07520891364902507, 0.10863509749303621, 0.07520891364902507, 0.07520891364902507, 0.12813370473537605, 0.10027855153203342, 0.07799442896935933]",0.0179743384143438,3.282920584457797
FTTUSDT,2020-01-13-00:00,2020-01-14-00:00,first,"[0.24324324324324326, 0.19369369369369369, 0.12612612612612611, 0.16666666666666666, 0.09009009009009009, 0.04954954954954955, 0.04954954954954955, 0.03153153153153153, 0.04954954954954955]",0.0229438624101752,2.876846894809192
FTTUSDT,2020-01-13-00:00,2020-01-14-00:00,second,"[0.10810810810810811, 0.15315315315315314, 0.12162162162162163, 0.13513513513513514, 0.10810810810810811, 0.06756756756756757, 0.05855855855855856, 0.05855855855855856, 0.08108108108108109, 0.10810810810810811]",0.022755881831366,3.2513836198957735
FTTUSDT,2020-01-14-00:00,2020-01-15-00:00,first,"[0.24528301886792453, 0.20440251572327045, 0.1509433962264151, 0.13836477987421383, 0.07547169811320754, 0.04716981132075472, 0.06918238993710692, 0.050314465408805034, 0.018867924528301886]",0.0237691391358404,2.8529200567354738
FTTUSDT,2020-01-14-00:00,2020-01-15-00:00,second,"[0.12578616352201258, 0.1069182389937107, 0.1069182389937107, 0.08490566037735849, 0.09433962264150944, 0.06918238993710692, 0.0880503144654088, 0.12264150943396226, 0.09119496855345911, 0.11006289308176101]",0.0134173742176314,3.3013617230761123
FTTUSDT,2020-01-15-00:00,2020-01-16-00:00,first,"[0.25977653631284914, 0.18994413407821228, 0.1340782122905028, 0.14106145251396648, 0.08798882681564246, 0.05726256983240224, 0.04748603351955307, 0.0446927374301676, 0.03770949720670391]",0.0168780824397025,2.879907660456905
FTTUSDT,2020-01-15-00:00,2020-01-16-00:00,second,"[0.15223463687150837, 0.12290502793296089, 0.11033519553072625, 0.11173184357541899, 0.10474860335195531, 0.09217877094972067, 0.06424581005586592, 0.08100558659217877, 0.07541899441340782, 0.08519553072625698]",0.01102497048453,3.279357586472662
FTTUSDT,2020-01-16-00:00,2020-01-17-00:00,first,"[0.25, 0.18388429752066116, 0.14256198347107438, 0.17355371900826447, 0.0743801652892562, 0.05371900826446281, 0.045454545454545456, 0.04132231404958678, 0.03512396694214876]",0.0226799980728805,2.8562036574606275
FTTUSDT,2020-01-16-00:00,2020-01-17-00:00,second,"[0.1115702479338843, 0.1115702479338843, 0.11363636363636363, 0.14049586776859505, 0.10330578512396695, 0.08471074380165289, 0.08471074380165289, 0.08057851239669421, 0.08471074380165289, 0.08471074380165289]",0.0087957510049756,3.298177013174877
FTTUSDT,2020-01-17-00:00,2020-01-18-00:00,first,"[0.27941176470588236, 0.20098039215686275, 0.1323529411764706, 0.09803921568627451, 0.06862745098039216, 0.09313725490196079, 0.05392156862745098, 0.0392156862745098, 0.03431372549019608]",0.0132495568042039,2.855397345027669
FTTUSDT,2020-01-17-00:00,2020-01-18-00:00,second,"[0.15196078431372548, 0.13480392156862744, 0.08823529411764706, 0.06862745098039216, 0.12254901960784313, 0.10049019607843138, 0.07107843137254902, 0.10294117647058823, 0.049019607843137254, 0.11029411764705882]",0.0234270128569279,3.2541866976493226
FTTUSDT,2020-01-18-00:00,2020-01-19-00:00,first,"[0.32340425531914896, 0.17446808510638298, 0.10212765957446808, 0.10638297872340426, 0.06382978723404255, 0.06382978723404255, 0.05106382978723404, 0.03829787234042553, 0.07659574468085106]",0.013930106553487,2.836296219379546
FTTUSDT,2020-01-18-00:00,2020-01-19-00:00,second,"[0.13617021276595745, 0.09787234042553192, 0.11914893617021277, 0.09361702127659574, 0.07659574468085106, 0.11063829787234042, 0.0851063829787234, 0.0851063829787234, 0.08936170212765958, 0.10638297872340426]",0.0127913437236618,3.3010376464254625
FTTUSDT,2020-01-19-00:00,2020-01-20-00:00,first,"[0.3897058823529412, 0.16176470588235295, 0.09558823529411764, 0.10661764705882353, 0.06985294117647059, 0.0625, 0.04779411764705882, 0.01838235294117647, 0.04779411764705882]",0.0223155884058023,2.6665584105999818
FTTUSDT,2020-01-19-00:00,2020-01-20-00:00,second,"[0.13970588235294118, 0.10294117647058823, 0.16544117647058823, 0.09558823529411764, 0.09926470588235294, 0.0625, 0.07352941176470588, 0.09558823529411764, 0.06985294117647059, 0.09558823529411764]",0.0184946840964159,3.2609448773122716
FTTUSDT,2020-01-20-00:00,2020-01-21-00:00,first,"[0.28365384615384615, 0.1778846153846154, 0.09134615384615384, 0.13942307692307693, 0.07211538461538461, 0.09615384615384616, 0.04326923076923077, 0.057692307692307696, 0.038461538461538464]",0.0177896137804697,2.8830907666590866
FTTUSDT,2020-01-20-00:00,2020-01-21-00:00,second,"[0.10576923076923077, 0.11057692307692307, 0.11057692307692307, 0.10576923076923077, 0.09134615384615384, 0.08653846153846154, 0.14423076923076922, 0.0673076923076923, 0.07211538461538461, 0.10576923076923077]",0.0149646013537915,3.2903981061157856
FTTUSDT,2020-01-21-00:00,2020-01-22-00:00,first,"[0.2931937172774869, 0.225130890052356, 0.1099476439790576, 0.1099476439790576, 0.07853403141361257, 0.06806282722513089, 0.031413612565445025, 0.04712041884816754, 0.03664921465968586]",0.0140429554582652,2.7951343171153464
FTTUSDT,2020-01-21-00:00,2020-01-22-00:00,second,"[0.16230366492146597, 0.11518324607329843, 0.10471204188481675, 0.13089005235602094, 0.10471204188481675, 0.09947643979057591, 0.08376963350785341, 0.05759162303664921, 0.041884816753926704, 0.09947643979057591]",0.0184320324907526,3.241637712393117
FTTUSDT,2020-01-22-00:00,2020-01-23-00:00,first,"[0.38461538461538464, 0.2153846153846154, 0.07179487179487179, 0.11282051282051282, 0.06666666666666667, 0.03076923076923077, 0.041025641025641026, 0.041025641025641026, 0.035897435897435895]",0.0308420544650653,2.6005807042250444
