symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ARPAUSDT,2021-01-01-00:00,2021-01-02-00:00,first,"[0.2951048951048951, 0.24825174825174826, 0.16853146853146853, 0.11118881118881119, 0.06713286713286713, 0.03496503496503497, 0.01818181818181818, 0.032167832167832165, 0.024475524475524476]",0.0288960042888867,2.630280077493323
ARPAUSDT,2021-01-01-00:00,2021-01-02-00:00,second,"[0.11328671328671329, 0.10139860139860139, 0.11818181818181818, 0.0958041958041958, 0.09090909090909091, 0.0951048951048951, 0.08391608391608392, 0.11748251748251748, 0.09300699300699301, 0.09090909090909091]",0.0095679051337508,3.3124841317806384
ARPAUSDT,2021-01-02-00:00,2021-01-03-00:00,first,"[0.3354385964912281, 0.25473684210526315, 0.1656140350877193, 0.07508771929824562, 0.047017543859649125, 0.03368421052631579, 0.02245614035087719, 0.02736842105263158, 0.03859649122807018]",0.0341621071902773,2.5597248349034363
ARPAUSDT,2021-01-02-00:00,2021-01-03-00:00,second,"[0.1319298245614035, 0.09894736842105263, 0.09614035087719298, 0.09824561403508772, 0.10105263157894737, 0.0968421052631579, 0.09824561403508772, 0.09824561403508772, 0.08982456140350877, 0.09052631578947369]",0.0067415658621381,3.3135443804455833
ARPAUSDT,2021-01-03-00:00,2021-01-04-00:00,first,"[0.3645251396648045, 0.2534916201117318, 0.15363128491620112, 0.06284916201117319, 0.04189944134078212, 0.02164804469273743, 0.02723463687150838, 0.037011173184357544, 0.03770949720670391]",0.0376862340810611,2.5060996418942554
ARPAUSDT,2021-01-03-00:00,2021-01-04-00:00,second,"[0.09986033519553073, 0.10824022346368715, 0.09497206703910614, 0.10474860335195531, 0.09287709497206705, 0.10195530726256984, 0.0935754189944134, 0.10893854748603352, 0.1026536312849162, 0.09217877094972067]",0.0093498705214267,3.3193352328581813
ARPAUSDT,2021-01-04-00:00,2021-01-05-00:00,first,"[0.3159359777313848, 0.26443980514961724, 0.1677105080027836, 0.09255393180236604, 0.05358385525400139, 0.032011134307585246, 0.029227557411273485, 0.022964509394572025, 0.021572720946416143]",0.0324502887901829,2.5610044889217938
ARPAUSDT,2021-01-04-00:00,2021-01-05-00:00,second,"[0.11064718162839249, 0.10995128740431455, 0.11064718162839249, 0.0883785664578984, 0.09742519137091162, 0.0953375086986778, 0.10716771050800278, 0.09046624913013222, 0.09812108559498957, 0.0918580375782881]",0.0066289269490207,3.316877179891839
ARPAUSDT,2021-01-05-00:00,2021-01-06-00:00,first,"[0.38032100488485693, 0.26796929518492674, 0.15910676901605025, 0.04884856943475227, 0.034891835310537335, 0.01256106071179344, 0.030006978367062107, 0.03558967201674808, 0.030704815073272853]",0.0456304617239714,2.3998437379208024
ARPAUSDT,2021-01-05-00:00,2021-01-06-00:00,second,"[0.12630844382414516, 0.09211444521981857, 0.09839497557571528, 0.11793440334961619, 0.08722958827634333, 0.0928122819260293, 0.08234473133286811, 0.09490579204466155, 0.11444521981856245, 0.09351011863224006]",0.0120351507870456,3.308706773707251
ARPAUSDT,2021-01-06-00:00,2021-01-07-00:00,first,"[0.35564853556485354, 0.25662482566248257, 0.1589958158995816, 0.07391910739191074, 0.038354253835425386, 0.027196652719665274, 0.02301255230125523, 0.03626220362622036, 0.0299860529986053]",0.0376020412886567,2.505932327841306
ARPAUSDT,2021-01-06-00:00,2021-01-07-00:00,second,"[0.11366806136680614, 0.10181311018131102, 0.09902370990237098, 0.09414225941422594, 0.12412831241283125, 0.09065550906555091, 0.10181311018131102, 0.08716875871687588, 0.09205020920502092, 0.09553695955369595]",0.0094556495331379,3.3139273017189588
ARPAUSDT,2021-01-07-00:00,2021-01-08-00:00,first,"[0.3000697836706211, 0.27076064200976974, 0.17725052337752967, 0.09490579204466155, 0.052337752965806, 0.03210048848569435, 0.0209351011863224, 0.02930914166085136, 0.022330774598743892]",0.0326624821607373,2.566861089424025
ARPAUSDT,2021-01-07-00:00,2021-01-08-00:00,second,"[0.11584089323098395, 0.11723656664340544, 0.10118632240055828, 0.10537334263782275, 0.09071877180739707, 0.08583391486392185, 0.08932309839497557, 0.08792742498255408, 0.09211444521981857, 0.11444521981856245]",0.0076765010089079,3.3119514852985934
ARPAUSDT,2021-01-08-00:00,2021-01-09-00:00,first,"[0.31450488145048816, 0.26778242677824265, 0.17712691771269176, 0.08228730822873083, 0.04741980474198047, 0.02510460251046025, 0.030683403068340307, 0.02580195258019526, 0.029288702928870293]",0.03496760769188,2.554260357940472
ARPAUSDT,2021-01-08-00:00,2021-01-09-00:00,second,"[0.12761506276150628, 0.11645746164574616, 0.10390516039051603, 0.08786610878661087, 0.08786610878661087, 0.09693165969316597, 0.09623430962343096, 0.09762900976290098, 0.08786610878661087, 0.09762900976290098]",0.0067643767080618,3.3113327698110244
ARPAUSDT,2021-01-09-00:00,2021-01-10-00:00,first,"[0.36779184247538677, 0.2489451476793249, 0.16526019690576652, 0.0808720112517581, 0.034458509142053444, 0.02250351617440225, 0.02250351617440225, 0.026019690576652602, 0.03164556962025317]",0.0399860434961146,2.461196564308121
ARPAUSDT,2021-01-09-00:00,2021-01-10-00:00,second,"[0.1209563994374121, 0.10970464135021098, 0.10267229254571027, 0.09423347398030943, 0.08579465541490858, 0.09142053445850915, 0.09423347398030943, 0.09634317862165963, 0.10548523206751055, 0.09915611814345991]",0.0080402005928555,3.315369404264273
ARPAUSDT,2021-01-10-00:00,2021-01-11-00:00,first,"[0.3012640449438202, 0.24508426966292135, 0.1896067415730337, 0.0877808988764045, 0.046348314606741575, 0.047752808988764044, 0.02247191011235955, 0.028792134831460675, 0.03089887640449438]",0.0297544588559584,2.6219545563083764
ARPAUSDT,2021-01-10-00:00,2021-01-11-00:00,second,"[0.11867977528089887, 0.11376404494382023, 0.1172752808988764, 0.10182584269662921, 0.08707865168539326, 0.09199438202247191, 0.0898876404494382, 0.08216292134831461, 0.10393258426966293, 0.09339887640449439]",0.0066435673861943,3.3108086767460962
ARPAUSDT,2021-01-11-00:00,2021-01-12-00:00,first,"[0.3223314606741573, 0.23103932584269662, 0.1404494382022472, 0.08426966292134831, 0.046348314606741575, 0.046348314606741575, 0.04143258426966292, 0.0449438202247191, 0.042837078651685394]",0.0203911629758086,2.7102647793703305
ARPAUSDT,2021-01-11-00:00,2021-01-12-00:00,second,"[0.12219101123595505, 0.11376404494382023, 0.10674157303370786, 0.09901685393258428, 0.0877808988764045, 0.09339887640449439, 0.09620786516853932, 0.08707865168539326, 0.08497191011235955, 0.10884831460674158]",0.0058391669147253,3.3119008022006957
ARPAUSDT,2021-01-12-00:00,2021-01-13-00:00,first,"[0.3525686136523575, 0.1266713581984518, 0.07107670654468684, 0.07459535538353272, 0.08304011259676285, 0.08092892329345532, 0.06685432793807178, 0.07459535538353272, 0.06966924700914849]",0.0279103530100813,2.8580110780055588
ARPAUSDT,2021-01-12-00:00,2021-01-13-00:00,second,"[0.11330049261083744, 0.12104152005629838, 0.12526389866291343, 0.10063335679099226, 0.08304011259676285, 0.10274454609429978, 0.09148486980999296, 0.08515130190007038, 0.08726249120337791, 0.09007741027445461]",0.0069482369629773,3.3070228713542367
ARPAUSDT,2021-01-13-00:00,2021-01-14-00:00,first,"[0.41431670281995664, 0.15112075198843095, 0.06290672451193059, 0.05929139551699204, 0.06941431670281996, 0.05929139551699204, 0.06073752711496746, 0.064352856109906, 0.05856832971800434]",0.0315652133584688,2.680120443282724
ARPAUSDT,2021-01-13-00:00,2021-01-14-00:00,second,"[0.14099783080260303, 0.12292118582791034, 0.12147505422993492, 0.11641359363702097, 0.09038322487346348, 0.07881417208966016, 0.09399855386840203, 0.0918293564714389, 0.0737527114967462, 0.06941431670281996]",0.0114376837087531,3.2847188485435517
ARPAUSDT,2021-01-14-00:00,2021-01-15-00:00,first,"[0.1940074906367041, 0.17228464419475656, 0.16853932584269662, 0.17752808988764046, 0.09063670411985018, 0.06666666666666667, 0.05093632958801498, 0.04044943820224719, 0.03895131086142322]",0.0301498053747124,2.9345296692923943
ARPAUSDT,2021-01-14-00:00,2021-01-15-00:00,second,"[0.12134831460674157, 0.11760299625468165, 0.10711610486891386, 0.08314606741573034, 0.10486891385767791, 0.08089887640449438, 0.08764044943820225, 0.11161048689138577, 0.09288389513108614, 0.09288389513108614]",0.0088803065388971,3.308384431301897
ARPAUSDT,2021-01-15-00:00,2021-01-16-00:00,first,"[0.20699925539836186, 0.1563663440059568, 0.18466120625465376, 0.1548771407297096, 0.0953090096798213, 0.06924795234549516, 0.054355919583023084, 0.040208488458674606, 0.0379746835443038]",0.0302485608255745,2.939682976571914
ARPAUSDT,2021-01-15-00:00,2021-01-16-00:00,second,"[0.1325390915860015, 0.10498883097542815, 0.11094564408041697, 0.09903201787043932, 0.10796723752792256, 0.0953090096798213, 0.09456440804169769, 0.08562918838421445, 0.08190618019359643, 0.08711839166046165]",0.0051907430371606,3.30782636330639
ARPAUSDT,2021-01-16-00:00,2021-01-17-00:00,first,"[0.2311046511627907, 0.15479651162790697, 0.16787790697674418, 0.14244186046511628, 0.08502906976744186, 0.06831395348837209, 0.05450581395348837, 0.04869186046511628, 0.047238372093023256]",0.0215926415412062,2.953710687444913
ARPAUSDT,2021-01-16-00:00,2021-01-17-00:00,second,"[0.12718023255813954, 0.11918604651162791, 0.10755813953488372, 0.10610465116279069, 0.10247093023255814, 0.07921511627906977, 0.08938953488372094, 0.10319767441860465, 0.07994186046511628, 0.08575581395348837]",0.0060677746013875,3.3048856758028924
ARPAUSDT,2021-01-17-00:00,2021-01-18-00:00,first,"[0.24599708879184862, 0.15065502183406113, 0.12518195050946143, 0.12445414847161572, 0.10189228529839883, 0.08369723435225619, 0.06986899563318777, 0.0611353711790393, 0.03711790393013101]",0.0198019401609548,2.984897655794753
