symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
COSUSDT,2021-01-01-00:00,2021-01-02-00:00,first,"[0.3653566229985444, 0.16302765647743814, 0.13100436681222707, 0.08151382823871907, 0.0611353711790393, 0.05967976710334789, 0.050946142649199416, 0.033478893740902474, 0.053857350800582245]",0.0174426928396438,2.7353549253920484
COSUSDT,2021-01-01-00:00,2021-01-02-00:00,second,"[0.13537117903930132, 0.09606986899563319, 0.09606986899563319, 0.10043668122270742, 0.13537117903930132, 0.09461426491994178, 0.09606986899563319, 0.05967976710334789, 0.08442503639010189, 0.10189228529839883]",0.0140689907334891,3.289540363117229
COSUSDT,2021-01-02-00:00,2021-01-03-00:00,first,"[0.3125, 0.20512820512820512, 0.14102564102564102, 0.08333333333333333, 0.08012820512820513, 0.0625, 0.03205128205128205, 0.041666666666666664, 0.041666666666666664]",0.0127868475347697,2.7734355806730804
COSUSDT,2021-01-02-00:00,2021-01-03-00:00,second,"[0.14262820512820512, 0.10416666666666667, 0.11858974358974358, 0.08012820512820513, 0.10576923076923077, 0.10416666666666667, 0.08814102564102565, 0.08173076923076923, 0.07371794871794872, 0.10096153846153846]",0.0123263653770802,3.29535186098378
COSUSDT,2021-01-03-00:00,2021-01-04-00:00,first,"[0.36483253588516745, 0.1638755980861244, 0.12320574162679426, 0.07535885167464115, 0.07775119617224881, 0.06698564593301436, 0.050239234449760764, 0.04066985645933014, 0.03708133971291866]",0.0141869770052416,2.740291573221347
COSUSDT,2021-01-03-00:00,2021-01-04-00:00,second,"[0.16028708133971292, 0.11961722488038277, 0.10167464114832536, 0.08133971291866028, 0.10287081339712918, 0.10047846889952153, 0.0861244019138756, 0.09688995215311005, 0.0861244019138756, 0.0645933014354067]",0.0118473482651828,3.2810891784307477
COSUSDT,2021-01-04-00:00,2021-01-05-00:00,first,"[0.3414043583535109, 0.16464891041162227, 0.1089588377723971, 0.09927360774818401, 0.07627118644067797, 0.059322033898305086, 0.06174334140435835, 0.04721549636803874, 0.04116222760290557]",0.0103309670791842,2.8075258116668005
COSUSDT,2021-01-04-00:00,2021-01-05-00:00,second,"[0.11501210653753027, 0.11864406779661017, 0.10774818401937046, 0.11380145278450363, 0.09079903147699758, 0.08837772397094432, 0.08958837772397095, 0.08716707021791767, 0.08595641646489104, 0.10290556900726393]",0.0064268147784339,3.3110240080649715
COSUSDT,2021-01-05-00:00,2021-01-06-00:00,first,"[0.36034732272069464, 0.1548480463096961, 0.13748191027496381, 0.08972503617945007, 0.07525325615050651, 0.059334298118668596, 0.04486251808972504, 0.04052098408104197, 0.03762662807525326]",0.0159690001607505,2.742015335541292
COSUSDT,2021-01-05-00:00,2021-01-06-00:00,second,"[0.13748191027496381, 0.11432706222865413, 0.11287988422575977, 0.12156295224312591, 0.09696092619392185, 0.09117221418234443, 0.09261939218523878, 0.07091172214182344, 0.08393632416787265, 0.07814761215629522]",0.0079062755463197,3.2936197374083176
COSUSDT,2021-01-06-00:00,2021-01-07-00:00,first,"[0.32605304212168484, 0.15756630265210608, 0.1497659906396256, 0.0998439937597504, 0.06396255850234009, 0.0530421216848674, 0.062402496099843996, 0.031201248049921998, 0.056162246489859596]",0.0150221302871255,2.8069571878526185
COSUSDT,2021-01-06-00:00,2021-01-07-00:00,second,"[0.1482059282371295, 0.11700468018720749, 0.07956318252730109, 0.08892355694227769, 0.09828393135725429, 0.09828393135725429, 0.0873634945397816, 0.09828393135725429, 0.0904836193447738, 0.093603744149766]",0.0105399663840937,3.2989695911473094
COSUSDT,2021-01-07-00:00,2021-01-08-00:00,first,"[0.372289156626506, 0.16987951807228915, 0.11325301204819277, 0.07951807228915662, 0.06987951807228916, 0.04096385542168675, 0.060240963855421686, 0.03855421686746988, 0.05542168674698795]",0.0184827497836827,2.7251199671580135
COSUSDT,2021-01-07-00:00,2021-01-08-00:00,second,"[0.16987951807228915, 0.10361445783132531, 0.0891566265060241, 0.1, 0.10602409638554217, 0.10602409638554217, 0.07590361445783132, 0.060240963855421686, 0.07349397590361446, 0.11566265060240964]",0.0191856605442616,3.266225214594637
COSUSDT,2021-01-08-00:00,2021-01-09-00:00,first,"[0.3305084745762712, 0.17312348668280872, 0.1271186440677966, 0.12469733656174334, 0.07990314769975787, 0.048426150121065374, 0.044794188861985475, 0.03389830508474576, 0.03753026634382567]",0.0133705803505792,2.765503337126136
COSUSDT,2021-01-08-00:00,2021-01-09-00:00,second,"[0.14285714285714285, 0.1162227602905569, 0.12227602905569007, 0.08595641646489104, 0.1053268765133172, 0.09443099273607748, 0.09322033898305085, 0.07627118644067797, 0.06658595641646489, 0.09685230024213075]",0.0111677367247241,3.2892021203351427
COSUSDT,2021-01-09-00:00,2021-01-10-00:00,first,"[0.36407185628742517, 0.17125748502994012, 0.11497005988023952, 0.09700598802395209, 0.06706586826347305, 0.05748502994011976, 0.05269461077844311, 0.04311377245508982, 0.032335329341317366]",0.0140306301420754,2.7296801178413372
COSUSDT,2021-01-09-00:00,2021-01-10-00:00,second,"[0.14850299401197606, 0.11616766467065869, 0.1089820359281437, 0.08263473053892216, 0.09580838323353294, 0.10059880239520957, 0.08622754491017964, 0.07664670658682635, 0.08263473053892216, 0.10179640718562874]",0.0103964890643313,3.2943278169978836
COSUSDT,2021-01-10-00:00,2021-01-11-00:00,first,"[0.3488108720271801, 0.1913929784824462, 0.10532276330690826, 0.0985277463193658, 0.0622876557191393, 0.05436013590033975, 0.045300113250283124, 0.045300113250283124, 0.04869762174405436]",0.0150312133965894,2.7525965255428533
