symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
ICPUSDT,2021-05-11-00:00,2021-05-12-00:00,first,"[0.2746730083234245, 0.19738406658739596, 0.13912009512485138, 0.11771700356718193, 0.08561236623067776, 0.05112960760998811, 0.04399524375743163, 0.057074910820451845, 0.03329369797859691]",0.0152521478141144,2.8537176993082065
ICPUSDT,2021-05-11-00:00,2021-05-12-00:00,second,"[0.09631391200951249, 0.10582639714625446, 0.11414982164090369, 0.10344827586206896, 0.08799048751486326, 0.11296076099881094, 0.09988109393579073, 0.09631391200951249, 0.08799048751486326, 0.09512485136741974]",0.0089256123940553,3.3165175764141
ICPUSDT,2021-05-12-00:00,2021-05-13-00:00,first,"[0.34767522553782093, 0.22068008327550312, 0.13671061762664816, 0.0784177654406662, 0.05690492713393477, 0.04580152671755725, 0.04302567661346287, 0.02914642609299098, 0.041637751561415685]",0.0228902078026688,2.665426799667743
ICPUSDT,2021-05-12-00:00,2021-05-13-00:00,second,"[0.09507286606523248, 0.11380985426786953, 0.11172796668979876, 0.10617626648161, 0.09854267869535045, 0.10478834142956281, 0.10131852879944483, 0.09646079111727966, 0.09299097848716169, 0.0791117279666898]",0.0064675598669133,3.315170584171756
ICPUSDT,2021-05-13-00:00,2021-05-14-00:00,first,"[0.32130464954892435, 0.19153365718251214, 0.1179736294240111, 0.08605135322692574, 0.062456627342123525, 0.06453851492019431, 0.0652324774462179, 0.04302567661346287, 0.047883414295628035]",0.010018556936724,2.8184189004844344
ICPUSDT,2021-05-13-00:00,2021-05-14-00:00,second,"[0.11589174184594032, 0.12074947952810548, 0.09715475364330327, 0.09021512838306732, 0.10756419153365718, 0.09854267869535045, 0.09784871616932686, 0.09576682859125607, 0.1054823039555864, 0.07078417765440666]",0.0087563756728646,3.3088524830323838
ICPUSDT,2021-05-14-00:00,2021-05-15-00:00,first,"[0.28383067314365024, 0.15475364330326163, 0.12560721721027066, 0.09993060374739764, 0.08882720333102012, 0.08188757807078417, 0.06731436502428868, 0.05759888965995836, 0.040249826509368494]",0.009787689405346,2.931964262117011
ICPUSDT,2021-05-14-00:00,2021-05-15-00:00,second,"[0.10756419153365718, 0.11311589174184594, 0.11242192921582235, 0.09784871616932686, 0.09784871616932686, 0.1054823039555864, 0.10062456627342123, 0.09507286606523248, 0.08743927827897294, 0.08258154059680778]",0.0048752411299184,3.3152876989695024
ICPUSDT,2021-05-15-00:00,2021-05-16-00:00,first,"[0.3060374739764053, 0.16446911866759195, 0.1040943789035392, 0.08813324080499653, 0.0798056904927134, 0.07494795281054822, 0.06315058986814712, 0.0652324774462179, 0.05412907702984039]",0.0091651711768688,2.907217479887798
ICPUSDT,2021-05-15-00:00,2021-05-16-00:00,second,"[0.12283136710617627, 0.11589174184594032, 0.11103400416377515, 0.11034004163775156, 0.09854267869535045, 0.09090909090909091, 0.0936849410131853, 0.08258154059680778, 0.08813324080499653, 0.08605135322692574]",0.0030608234276512,3.309314782843267
ICPUSDT,2021-05-16-00:00,2021-05-17-00:00,first,"[0.2734212352532963, 0.14156835530881332, 0.13462873004857737, 0.10825815405968078, 0.08813324080499653, 0.08674531575294935, 0.07009021512838307, 0.05135322692574601, 0.04580152671755725]",0.0138070364794561,2.9547811048036388
ICPUSDT,2021-05-16-00:00,2021-05-17-00:00,second,"[0.12907702984038863, 0.09715475364330327, 0.10895211658570438, 0.10895211658570438, 0.09507286606523248, 0.0936849410131853, 0.10131852879944483, 0.08535739070090215, 0.09299097848716169, 0.08743927827897294]",0.0059915158648877,3.3115003738226627
