symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
XLMUSDT,2021-01-01-00:00,2021-01-02-00:00,first,"[0.3289382373351839, 0.1554476058292852, 0.11380985426786953, 0.09090909090909091, 0.08605135322692574, 0.07702984038861901, 0.05412907702984039, 0.046495489243580844, 0.04718945176960444]",0.0102874135149863,2.8472848282474517
XLMUSDT,2021-01-01-00:00,2021-01-02-00:00,second,"[0.12005551700208189, 0.09854267869535045, 0.09993060374739764, 0.10964607911172797, 0.11311589174184594, 0.0936849410131853, 0.09715475364330327, 0.0922970159611381, 0.09021512838306732, 0.08535739070090215]",0.0054461229518907,3.3142124177761354
XLMUSDT,2021-01-02-00:00,2021-01-03-00:00,first,"[0.29770992366412213, 0.17904233171408743, 0.1325468424705066, 0.10687022900763359, 0.07217210270645386, 0.06037473976405274, 0.06037473976405274, 0.04302567661346287, 0.047883414295628035]",0.0055618024536686,2.863867361788641
XLMUSDT,2021-01-02-00:00,2021-01-03-00:00,second,"[0.11450381679389313, 0.10756419153365718, 0.0916030534351145, 0.11242192921582235, 0.10340041637751561, 0.09507286606523248, 0.09854267869535045, 0.1054823039555864, 0.0777238029146426, 0.0936849410131853]",0.0080340859297178,3.313820888606011
XLMUSDT,2021-01-03-00:00,2021-01-04-00:00,first,"[0.2921582234559334, 0.19361554476058293, 0.1304649548924358, 0.10131852879944483, 0.08049965301873699, 0.054823039555863984, 0.05898681471200555, 0.04302567661346287, 0.04510756419153366]",0.0066160654413015,2.8553213148128433
XLMUSDT,2021-01-03-00:00,2021-01-04-00:00,second,"[0.12768910478834142, 0.11034004163775156, 0.11589174184594032, 0.1040943789035392, 0.09923664122137404, 0.09090909090909091, 0.0916030534351145, 0.09090909090909091, 0.08396946564885496, 0.08535739070090215]",0.003199443862918,3.308902227803726
XLMUSDT,2021-01-04-00:00,2021-01-05-00:00,first,"[0.28105482303955587, 0.16655100624566274, 0.1193615544760583, 0.12213740458015267, 0.08396946564885496, 0.06176266481609993, 0.05759888965995836, 0.06176266481609993, 0.04580152671755725]",0.009037731044206,2.9191053749739693
XLMUSDT,2021-01-04-00:00,2021-01-05-00:00,second,"[0.1325468424705066, 0.11380985426786953, 0.10756419153365718, 0.10478834142956281, 0.08743927827897294, 0.10201249132546843, 0.09021512838306732, 0.08882720333102012, 0.09299097848716169, 0.0798056904927134]",0.004816507100735,3.3067268883958674
XLMUSDT,2021-01-05-00:00,2021-01-06-00:00,first,"[0.30326162387231087, 0.13601665510062458, 0.10340041637751561, 0.10340041637751561, 0.08466342817487855, 0.08119361554476058, 0.06315058986814712, 0.0652324774462179, 0.05968077723802915]",0.0136917609301868,2.9374637060108637
XLMUSDT,2021-01-05-00:00,2021-01-06-00:00,second,"[0.12630117973629423, 0.1193615544760583, 0.11172796668979876, 0.11242192921582235, 0.09715475364330327, 0.09021512838306732, 0.09854267869535045, 0.0922970159611381, 0.0777238029146426, 0.07425399028452463]",0.0060410336961835,3.3023936264610922
