symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
YGGUSDT,2021-09-24-00:00,2021-09-25-00:00,first,"[0.33086876155268025, 0.15157116451016636, 0.13123844731977818, 0.066543438077634, 0.10720887245841035, 0.05730129390018484, 0.07763401109057301, 0.04251386321626617, 0.03512014787430684]",0.0186240371386331,2.816555954091917
YGGUSDT,2021-09-24-00:00,2021-09-25-00:00,second,"[0.10536044362292052, 0.09981515711645102, 0.12199630314232902, 0.11275415896487985, 0.10166358595194085, 0.09057301293900184, 0.08317929759704251, 0.10720887245841035, 0.07578558225508318, 0.10166358595194085]",0.0112955807276316,3.3094849400483586
YGGUSDT,2021-09-25-00:00,2021-09-26-00:00,first,"[0.32199861207494795, 0.17557251908396945, 0.12699514226231784, 0.08952116585704371, 0.061068702290076333, 0.0659264399722415, 0.055517002081887576, 0.05690492713393477, 0.046495489243580844]",0.0065589834298764,2.8344995227047276
YGGUSDT,2021-09-25-00:00,2021-09-26-00:00,second,"[0.11242192921582235, 0.12907702984038863, 0.1193615544760583, 0.10201249132546843, 0.0798056904927134, 0.09090909090909091, 0.09090909090909091, 0.08396946564885496, 0.09437890353920889, 0.09715475364330327]",0.0089386466898681,3.3060580798644827
YGGUSDT,2021-09-26-00:00,2021-09-27-00:00,first,"[0.24375, 0.16875, 0.18263888888888888, 0.11805555555555555, 0.07430555555555556, 0.0763888888888889, 0.05416666666666667, 0.04722222222222222, 0.034722222222222224]",0.0196195097969697,2.9077769589490914
YGGUSDT,2021-09-26-00:00,2021-09-27-00:00,second,"[0.11319444444444444, 0.11805555555555555, 0.11180555555555556, 0.09305555555555556, 0.08611111111111111, 0.10138888888888889, 0.1076388888888889, 0.07083333333333333, 0.09861111111111111, 0.09930555555555555]",0.0102949151841157,3.3084365650151617
YGGUSDT,2021-09-27-00:00,2021-09-28-00:00,first,"[0.3075313807531381, 0.15829846582984658, 0.12622036262203626, 0.10320781032078104, 0.08577405857740586, 0.07043235704323571, 0.0502092050209205, 0.0502092050209205, 0.04811715481171548]",0.0058930783575692,2.876702594042844
YGGUSDT,2021-09-27-00:00,2021-09-28-00:00,second,"[0.10529986052998605, 0.10599721059972106, 0.10599721059972106, 0.09623430962343096, 0.09553695955369595, 0.11576011157601115, 0.11157601115760112, 0.08647140864714087, 0.08647140864714087, 0.09065550906555091]",0.0085884616312224,3.314916204391495
YGGUSDT,2021-09-28-00:00,2021-09-29-00:00,first,"[0.3011283497884344, 0.16995768688293372, 0.12200282087447109, 0.10860366713681241, 0.08744710860366714, 0.06064880112834979, 0.056417489421720736, 0.04724964739069112, 0.0465444287729196]",0.0046321797825546,2.874762492726675
YGGUSDT,2021-09-28-00:00,2021-09-29-00:00,second,"[0.11212976022566996, 0.11071932299012693, 0.11142454160789844, 0.10648801128349789, 0.09449929478138223, 0.09590973201692525, 0.1001410437235543, 0.08815232722143865, 0.08744710860366714, 0.0930888575458392]",0.0039238614167187,3.315961484345744
