symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
DOGEUSDT,2022-01-01-00:00,2022-01-02-00:00,first,"[0.2782789729354615, 0.1963913948646773, 0.14156835530881332, 0.09507286606523248, 0.08813324080499653, 0.07009021512838307, 0.05065926439972242, 0.040249826509368494, 0.0395558639833449]",0.0108944832810335,2.863214500009134
DOGEUSDT,2022-01-01-00:00,2022-01-02-00:00,second,"[0.1054823039555864, 0.11242192921582235, 0.10825815405968078, 0.10478834142956281, 0.10340041637751561, 0.09715475364330327, 0.09923664122137404, 0.09299097848716169, 0.09854267869535045, 0.0777238029146426]",0.0047004065843811,3.315600164148893
DOGEUSDT,2022-01-02-00:00,2022-01-03-00:00,first,"[0.31714087439278277, 0.18112421929215822, 0.1339347675225538, 0.09715475364330327, 0.0652324774462179, 0.07009021512838307, 0.049271339347675226, 0.04233171408743928, 0.04371963913948647]",0.0074506746694553,2.8173593543845987
DOGEUSDT,2022-01-02-00:00,2022-01-03-00:00,second,"[0.11658570437196392, 0.10201249132546843, 0.11866759195003469, 0.0936849410131853, 0.08882720333102012, 0.08952116585704371, 0.11172796668979876, 0.0936849410131853, 0.09437890353920889, 0.09090909090909091]",0.0088505728813234,3.313497613995362
DOGEUSDT,2022-01-03-00:00,2022-01-04-00:00,first,"[0.3136710617626648, 0.18598195697432338, 0.12352532963219987, 0.11172796668979876, 0.0798056904927134, 0.0659264399722415, 0.041637751561415685, 0.04996530187369882, 0.027758501040943788]",0.0084387026987014,2.8021649876773744
DOGEUSDT,2022-01-03-00:00,2022-01-04-00:00,second,"[0.12630117973629423, 0.1054823039555864, 0.10895211658570438, 0.09923664122137404, 0.10270645385149202, 0.09021512838306732, 0.09021512838306732, 0.08882720333102012, 0.09923664122137404, 0.08882720333102012]",0.0049294438438725,3.313189806882121
DOGEUSDT,2022-01-04-00:00,2022-01-05-00:00,first,"[0.2782789729354615, 0.18875780707841777, 0.13740458015267176, 0.09923664122137404, 0.08466342817487855, 0.07147814018043026, 0.05065926439972242, 0.04580152671755725, 0.04371963913948647]",0.0083272338794437,2.8845893300272634
DOGEUSDT,2022-01-04-00:00,2022-01-05-00:00,second,"[0.11727966689798751, 0.10340041637751561, 0.1040943789035392, 0.11311589174184594, 0.10478834142956281, 0.09854267869535045, 0.10131852879944483, 0.09021512838306732, 0.08813324080499653, 0.0791117279666898]",0.0047277787616883,3.313140496838608
DOGEUSDT,2022-01-05-00:00,2022-01-06-00:00,first,"[0.2609299097848716, 0.1845940319222762, 0.15614156835530882, 0.1193615544760583, 0.08882720333102012, 0.05759888965995836, 0.05343511450381679, 0.0395558639833449, 0.0395558639833449]",0.0159562451922224,2.88198082422972
DOGEUSDT,2022-01-05-00:00,2022-01-06-00:00,second,"[0.12074947952810548, 0.1179736294240111, 0.11103400416377515, 0.09993060374739764, 0.09715475364330327, 0.09784871616932686, 0.09854267869535045, 0.09021512838306732, 0.08605135322692574, 0.08049965301873699]",0.0027411330770529,3.3107305879350397
DOGEUSDT,2022-01-06-00:00,2022-01-07-00:00,first,"[0.2685634975711312, 0.15267175572519084, 0.10687022900763359, 0.10687022900763359, 0.09993060374739764, 0.08327550312283137, 0.06870229007633588, 0.05690492713393477, 0.056210964607911175]",0.0164343353386681,2.977764877760954
DOGEUSDT,2022-01-06-00:00,2022-01-07-00:00,second,"[0.11450381679389313, 0.10131852879944483, 0.11727966689798751, 0.09993060374739764, 0.09715475364330327, 0.08813324080499653, 0.1040943789035392, 0.0922970159611381, 0.10617626648161, 0.0791117279666898]",0.0079458101214531,3.313088400520632
DOGEUSDT,2022-01-07-00:00,2022-01-08-00:00,first,"[0.28452463566967384, 0.1734906315058987, 0.12283136710617627, 0.12005551700208189, 0.0936849410131853, 0.06037473976405274, 0.055517002081887576, 0.04580152671755725, 0.04371963913948647]",0.0083664886576857,2.890391842868404
DOGEUSDT,2022-01-07-00:00,2022-01-08-00:00,second,"[0.11519777931991672, 0.10964607911172797, 0.10478834142956281, 0.1040943789035392, 0.0922970159611381, 0.09576682859125607, 0.0922970159611381, 0.08952116585704371, 0.09715475364330327, 0.09923664122137404]",0.0047647978456247,3.317513284027662
DOGEUSDT,2022-01-08-00:00,2022-01-09-00:00,first,"[0.27064538514920194, 0.208882720333102, 0.15405968077723803, 0.11450381679389313, 0.07286606523247745, 0.06800832755031229, 0.04371963913948647, 0.034004163775156145, 0.033310201249132546]",0.0179039438115321,2.8218020216998756
