symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
DYDXUSDT,2022-01-01-00:00,2022-01-02-00:00,first,"[0.32222222222222224, 0.1798611111111111, 0.11875, 0.09375, 0.08541666666666667, 0.05486111111111111, 0.06666666666666667, 0.04652777777777778, 0.03194444444444444]",0.0088604930937094,2.8148561498237004
DYDXUSDT,2022-01-01-00:00,2022-01-02-00:00,second,"[0.11736111111111111, 0.10416666666666667, 0.12222222222222222, 0.09861111111111111, 0.09097222222222222, 0.10277777777777777, 0.09375, 0.09652777777777778, 0.09652777777777778, 0.07708333333333334]",0.0070020084232447,3.311166373792001
DYDXUSDT,2022-01-02-00:00,2022-01-03-00:00,first,"[0.3, 0.1798611111111111, 0.11666666666666667, 0.09027777777777778, 0.07708333333333334, 0.07916666666666666, 0.06041666666666667, 0.05277777777777778, 0.04375]",0.004453267580191,2.881881760713942
DYDXUSDT,2022-01-02-00:00,2022-01-03-00:00,second,"[0.11319444444444444, 0.125, 0.10902777777777778, 0.08680555555555555, 0.1, 0.10138888888888889, 0.10694444444444444, 0.09027777777777778, 0.08055555555555556, 0.08680555555555555]",0.0062811481221102,3.3093669161767565
DYDXUSDT,2022-01-03-00:00,2022-01-04-00:00,first,"[0.30673143650242884, 0.16030534351145037, 0.11727966689798751, 0.09299097848716169, 0.08882720333102012, 0.06662040249826509, 0.07009021512838307, 0.049271339347675226, 0.047883414295628035]",0.0065714644461093,2.890934058827877
DYDXUSDT,2022-01-03-00:00,2022-01-04-00:00,second,"[0.11311589174184594, 0.11380985426786953, 0.11103400416377515, 0.12283136710617627, 0.09993060374739764, 0.08882720333102012, 0.08396946564885496, 0.09784871616932686, 0.0916030534351145, 0.07702984038861901]",0.006448807757892,3.307480246149747
DYDXUSDT,2022-01-04-00:00,2022-01-05-00:00,first,"[0.28313671061762663, 0.19222761970853575, 0.1325468424705066, 0.10131852879944483, 0.08327550312283137, 0.05968077723802915, 0.04996530187369882, 0.054823039555863984, 0.04302567661346287]",0.0079817236644752,2.8761034042812486
DYDXUSDT,2022-01-04-00:00,2022-01-05-00:00,second,"[0.12005551700208189, 0.10756419153365718, 0.11103400416377515, 0.09854267869535045, 0.09715475364330327, 0.09507286606523248, 0.09993060374739764, 0.09923664122137404, 0.08813324080499653, 0.08327550312283137]",0.003718492141147,3.3144970919663646
DYDXUSDT,2022-01-05-00:00,2022-01-06-00:00,first,"[0.2997918112421929, 0.17557251908396945, 0.12421929215822346, 0.1040943789035392, 0.07078417765440666, 0.07425399028452463, 0.0520471894517696, 0.05968077723802915, 0.0395558639833449]",0.0051155158533426,2.873178105974928
DYDXUSDT,2022-01-05-00:00,2022-01-06-00:00,second,"[0.13532269257460097, 0.11172796668979876, 0.10687022900763359, 0.09646079111727966, 0.09437890353920889, 0.10964607911172797, 0.08605135322692574, 0.0922970159611381, 0.08119361554476058, 0.08605135322692574]",0.0063222590295787,3.3054547654598974
DYDXUSDT,2022-01-06-00:00,2022-01-07-00:00,first,"[0.34004163775156143, 0.16516308119361556, 0.1179736294240111, 0.10617626648161, 0.0659264399722415, 0.06037473976405274, 0.03816793893129771, 0.061068702290076333, 0.04510756419153366]",0.0129320167564064,2.7965138441060433
DYDXUSDT,2022-01-06-00:00,2022-01-07-00:00,second,"[0.12283136710617627, 0.12213740458015267, 0.10340041637751561, 0.09923664122137404, 0.09437890353920889, 0.10131852879944483, 0.09021512838306732, 0.0916030534351145, 0.09021512838306732, 0.08466342817487855]",0.0039873663297462,3.3110511501643787
DYDXUSDT,2022-01-07-00:00,2022-01-08-00:00,first,"[0.2817487855655795, 0.17487855655794587, 0.11103400416377515, 0.11450381679389313, 0.0777238029146426, 0.07564191533657183, 0.05690492713393477, 0.05898681471200555, 0.048577376821651634]",0.0082095795594213,2.921254528960751
DYDXUSDT,2022-01-07-00:00,2022-01-08-00:00,second,"[0.11311589174184594, 0.11866759195003469, 0.11034004163775156, 0.10478834142956281, 0.10131852879944483, 0.11172796668979876, 0.09854267869535045, 0.08674531575294935, 0.08882720333102012, 0.0659264399722415]",0.0058481924914279,3.3046808609587486
DYDXUSDT,2022-01-08-00:00,2022-01-09-00:00,first,"[0.28680555555555554, 0.17430555555555555, 0.13333333333333333, 0.09236111111111112, 0.07916666666666666, 0.07569444444444444, 0.05347222222222222, 0.052083333333333336, 0.05277777777777778]",0.0055762999204265,2.904547563165875
DYDXUSDT,2022-01-08-00:00,2022-01-09-00:00,second,"[0.12430555555555556, 0.10902777777777778, 0.10625, 0.10347222222222222, 0.09791666666666667, 0.09027777777777778, 0.09930555555555555, 0.10208333333333333, 0.07847222222222222, 0.08888888888888889]",0.0052359975252241,3.311732855932296
DYDXUSDT,2022-01-09-00:00,2022-01-10-00:00,first,"[0.3159722222222222, 0.1798611111111111, 0.12361111111111112, 0.0875, 0.07708333333333334, 0.06041666666666667, 0.05555555555555555, 0.05694444444444444, 0.043055555555555555]",0.005445333469052,2.8427941098259653
DYDXUSDT,2022-01-09-00:00,2022-01-10-00:00,second,"[0.12777777777777777, 0.10902777777777778, 0.09375, 0.10625, 0.1076388888888889, 0.09305555555555556, 0.08888888888888889, 0.09375, 0.09097222222222222, 0.08888888888888889]",0.0056082703552402,3.3121690295474315
DYDXUSDT,2022-01-10-00:00,2022-01-11-00:00,first,"[0.3, 0.15416666666666667, 0.11319444444444444, 0.10694444444444444, 0.08472222222222223, 0.059722222222222225, 0.06944444444444445, 0.059722222222222225, 0.052083333333333336]",0.0093163216944982,2.9142044481163976
DYDXUSDT,2022-01-10-00:00,2022-01-11-00:00,second,"[0.12083333333333333, 0.12222222222222222, 0.11527777777777778, 0.08958333333333333, 0.1111111111111111, 0.09027777777777778, 0.09930555555555555, 0.09166666666666666, 0.08402777777777778, 0.07569444444444444]",0.0067981736673004,3.304568739654504
DYDXUSDT,2022-01-11-00:00,2022-01-12-00:00,first,"[0.29673384294649063, 0.1723419041000695, 0.11605281445448228, 0.09867963863794302, 0.07574704656011119, 0.07018763029881862, 0.05837387074357193, 0.061153578874218205, 0.05072967338429465]",0.0045256954032074,2.902524207138434
DYDXUSDT,2022-01-11-00:00,2022-01-12-00:00,second,"[0.13759555246699096, 0.12091730368311328, 0.09728978457261987, 0.10979847116052814, 0.1014593467685893, 0.08964558721334259, 0.08547602501737317, 0.0965948575399583, 0.08686587908269632, 0.07435719249478805]",0.0075612815693201,3.3001166463186316
DYDXUSDT,2022-01-12-00:00,2022-01-13-00:00,first,"[0.3296321998612075, 0.1693268563497571, 0.12144344205412907, 0.08396946564885496, 0.07217210270645386, 0.07702984038861901, 0.05829285218598196, 0.04580152671755725, 0.04233171408743928]",0.0086635911474505,2.825590837725844
DYDXUSDT,2022-01-12-00:00,2022-01-13-00:00,second,"[0.12213740458015267, 0.11103400416377515, 0.11103400416377515, 0.12213740458015267, 0.10131852879944483, 0.09507286606523248, 0.08952116585704371, 0.08605135322692574, 0.0777238029146426, 0.08396946564885496]",0.0046977624045194,3.305306693384596
DYDXUSDT,2022-01-13-00:00,2022-01-14-00:00,first,"[0.3289382373351839, 0.157529493407356, 0.12421929215822346, 0.09715475364330327, 0.0652324774462179, 0.07217210270645386, 0.0527411519777932, 0.056210964607911175, 0.04580152671755725]",0.0085512830443782,2.8399254814011137
