symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
IOTAUSDT,2022-01-01-00:00,2022-01-02-00:00,first,"[0.32269257460097156, 0.17002081887578072, 0.11658570437196392, 0.10270645385149202, 0.0791117279666898, 0.06176266481609993, 0.054823039555863984, 0.049271339347675226, 0.04302567661346287]",0.0061020043956502,2.8364557552968823
IOTAUSDT,2022-01-01-00:00,2022-01-02-00:00,second,"[0.10964607911172797, 0.10062456627342123, 0.10340041637751561, 0.11172796668979876, 0.10687022900763359, 0.10201249132546843, 0.09437890353920889, 0.0916030534351145, 0.08258154059680778, 0.09715475364330327]",0.0067416644458668,3.3167319473650836
IOTAUSDT,2022-01-02-00:00,2022-01-03-00:00,first,"[0.2925642807505212, 0.17512161223071576, 0.1299513551077137, 0.08964558721334259, 0.08408617095205004, 0.07018763029881862, 0.06184850590687978, 0.05837387074357193, 0.03822098679638638]",0.0053858425105395,2.8903884518876515
IOTAUSDT,2022-01-02-00:00,2022-01-03-00:00,second,"[0.10840861709520501, 0.12300208478109799, 0.09589993050729674, 0.11049339819318972, 0.09103544127866574, 0.09589993050729674, 0.09381514940931203, 0.10493398193189715, 0.09103544127866574, 0.08547602501737317]",0.0068484572567653,3.3136129335382996
IOTAUSDT,2022-01-03-00:00,2022-01-04-00:00,first,"[0.28521859819569745, 0.16308119361554477, 0.11172796668979876, 0.11589174184594032, 0.09576682859125607, 0.07217210270645386, 0.054823039555863984, 0.0527411519777932, 0.048577376821651634]",0.0100446978330542,2.919807029896136
IOTAUSDT,2022-01-03-00:00,2022-01-04-00:00,second,"[0.10756419153365718, 0.10964607911172797, 0.10478834142956281, 0.10964607911172797, 0.11172796668979876, 0.09715475364330327, 0.08327550312283137, 0.09715475364330327, 0.08605135322692574, 0.09299097848716169]",0.0064020383894276,3.3150106628652836
IOTAUSDT,2022-01-04-00:00,2022-01-05-00:00,first,"[0.29375, 0.17847222222222223, 0.12083333333333333, 0.09583333333333334, 0.07847222222222222, 0.06875, 0.0625, 0.05486111111111111, 0.04652777777777778]",0.0029269116531274,2.8948785310499794
IOTAUSDT,2022-01-04-00:00,2022-01-05-00:00,second,"[0.11180555555555556, 0.09513888888888888, 0.1076388888888889, 0.10972222222222222, 0.10347222222222222, 0.10208333333333333, 0.09375, 0.09791666666666667, 0.09513888888888888, 0.08333333333333333]",0.0058943112801942,3.316980380260197
IOTAUSDT,2022-01-05-00:00,2022-01-06-00:00,first,"[0.2861111111111111, 0.15902777777777777, 0.12222222222222222, 0.10555555555555556, 0.08819444444444445, 0.06666666666666667, 0.06180555555555556, 0.06041666666666667, 0.05]",0.007773111817955,2.9297759112704616
IOTAUSDT,2022-01-05-00:00,2022-01-06-00:00,second,"[0.12430555555555556, 0.1125, 0.11041666666666666, 0.09930555555555555, 0.09791666666666667, 0.07152777777777777, 0.10486111111111111, 0.08611111111111111, 0.09583333333333334, 0.09722222222222222]",0.0076391959733819,3.3077902726012187
